* Measurement data measured by REW V5.31.1
* Source: RMS + phase average
* Format: RMS + phase average
* Dated: Jul 23, 2024 4:59:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: RMS + phase average of L MM500, L MM500, L MM500
* Measurement: RMS + phase average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	63.153	-104.9614
20.299999	63.210	-105.4074
20.600000	63.284	-105.6641
20.900000	63.382	-105.8347
21.200001	63.502	-106.0468
21.400000	63.587	-106.2633
21.799999	63.747	-106.9391
22.000000	63.810	-107.3916
22.400000	63.883	-108.4298
22.700001	63.883	-109.1958
23.000000	63.836	-109.8018
23.299999	63.757	-110.1080
23.600000	63.670	-110.0057
24.000000	63.606	-109.2186
24.299999	63.641	-108.3204
24.700001	63.823	-107.2611
25.000000	64.035	-106.9581
25.400000	64.330	-107.5223
25.799999	64.540	-109.0829
26.200001	64.604	-111.1587
26.500000	64.558	-112.6854
26.900000	64.423	-114.2778
27.200001	64.317	-115.0342
27.600000	64.240	-115.6030
28.000000	64.257	-116.0605
28.500000	64.354	-116.9644
29.000000	64.432	-118.1471
29.500000	64.481	-119.0704
30.000000	64.589	-119.5146
30.400000	64.767	-119.8291
30.700001	64.943	-120.2840
31.100000	65.186	-121.3269
31.500000	65.382	-122.7829
32.000000	65.515	-124.7339
32.500000	65.555	-126.3189
33.000000	65.573	-127.3680
33.500000	65.616	-128.1010
34.000000	65.672	-128.7667
34.500000	65.716	-129.3821
35.000000	65.752	-129.8592
35.500000	65.801	-130.2589
36.000000	65.858	-130.7801
36.500000	65.886	-131.4919
37.000000	65.853	-132.1812
37.500000	65.771	-132.5197
38.200001	65.685	-132.2522
38.700001	65.694	-131.8990
39.500000	65.777	-131.8150
40.000000	65.815	-132.0352
40.599998	65.844	-132.3318
41.200001	65.882	-132.6178
41.799999	65.940	-132.9996
42.500000	66.017	-133.6371
43.099998	66.080	-134.2925
43.700001	66.136	-134.9297
44.400002	66.210	-135.4718
45.000000	66.310	-135.7783
45.500000	66.421	-136.0957
46.200001	66.564	-136.8228
46.799999	66.621	-137.4947
47.500000	66.632	-137.8894
48.200001	66.663	-137.9191
48.700001	66.708	-137.9761
49.400002	66.763	-138.1868
50.000000	66.799	-138.3105
50.799999	66.884	-138.4940
51.500000	66.979	-139.1380
52.200001	67.033	-140.3041
53.000000	67.027	-141.8230
53.799999	66.977	-143.1440
54.500000	66.910	-143.8583
55.200001	66.857	-143.8241
56.000000	66.921	-142.8872
57.000000	67.281	-141.9520
58.000000	67.655	-143.1807
59.000000	67.646	-145.4384
60.000000	67.347	-146.2403
60.799999	67.146	-145.8218
61.500000	67.050	-145.4568
62.200001	66.990	-145.3614
63.000000	66.942	-145.5142
64.000000	66.907	-145.9446
65.000000	66.888	-146.4346
66.000000	66.890	-146.7319
67.000000	66.919	-146.7362
68.000000	66.971	-146.5352
69.000000	67.027	-146.2258
70.000000	67.078	-145.8106
71.000000	67.143	-145.3807
72.000000	67.234	-145.1694
73.000000	67.338	-145.3593
74.000000	67.429	-145.9528
75.000000	67.485	-146.7526
76.199997	67.518	-147.5857
77.500000	67.552	-148.2229
78.800003	67.587	-148.7223
80.000000	67.611	-149.1067
81.199997	67.629	-149.4264
82.500000	67.650	-149.7948
83.800003	67.661	-150.2454
85.000000	67.660	-150.6197
86.199997	67.660	-150.9180
87.500000	67.668	-151.2077
88.500000	67.675	-151.4307
90.000000	67.683	-151.7718
91.199997	67.686	-152.0051
92.500000	67.694	-152.2091
93.800003	67.710	-152.4236
95.000000	67.723	-152.6602
96.199997	67.728	-152.8878
97.500000	67.731	-153.0923
98.800003	67.736	-153.2845
100.000000	67.738	-153.4834
101.500000	67.730	-153.7138
103.000000	67.716	-153.8294
104.400002	67.705	-153.8588
106.000000	67.699	-153.8327
107.500000	67.710	-153.7483
109.000000	67.745	-153.7499
110.599998	67.786	-153.9319
112.000000	67.809	-154.1220
113.800003	67.828	-154.2754
115.000000	67.840	-154.3494
117.199997	67.862	-154.5231
118.000000	67.870	-154.6158
120.599998	67.876	-155.0478
122.000000	67.865	-155.2927
124.099998	67.856	-155.5583
125.000000	67.860	-155.6432
126.500000	67.869	-155.7519
128.000000	67.877	-155.8079
131.500000	67.891	-155.7555
132.000000	67.895	-155.7537
134.000000	67.912	-155.8620
136.000000	67.920	-156.1337
138.000000	67.914	-156.3950
140.000000	67.905	-156.5356
143.000000	67.895	-156.5314
145.000000	67.894	-156.5184
147.500000	67.895	-156.5811
150.000000	67.899	-156.6778
152.500000	67.909	-156.7712
155.000000	67.926	-156.8731
157.500000	67.946	-156.9052
160.000000	67.962	-156.8049
162.500000	67.964	-156.6060
165.000000	67.955	-156.4066
167.500000	67.951	-156.2935
170.000000	67.957	-156.2500
172.500000	67.966	-156.2117
175.000000	67.971	-156.1562
177.500000	67.973	-156.0842
180.000000	67.977	-156.0390
182.500000	67.979	-156.0224
185.000000	67.980	-156.0020
187.500000	67.986	-155.9681
190.000000	67.998	-155.9158
192.500000	68.015	-155.8474
195.000000	68.030	-155.7768
197.500000	68.041	-155.7102
200.000000	68.052	-155.6667
203.000000	68.065	-155.6627
206.000000	68.076	-155.6689
209.000000	68.085	-155.6387
212.000000	68.093	-155.5943
214.000000	68.097	-155.5818
218.000000	68.102	-155.6254
220.000000	68.104	-155.6408
224.000000	68.109	-155.5781
227.000000	68.116	-155.5105
230.000000	68.124	-155.4828
233.000000	68.127	-155.4768
236.000000	68.126	-155.4495
240.000000	68.124	-155.3600
243.000000	68.128	-155.2678
247.000000	68.135	-155.1498
250.000000	68.138	-155.0694
254.000000	68.137	-154.9704
258.000000	68.136	-154.8895
262.000000	68.134	-154.7991
265.000000	68.130	-154.7161
269.000000	68.126	-154.6046
272.000000	68.124	-154.5155
276.000000	68.118	-154.3728
280.000000	68.106	-154.2136
285.000000	68.083	-154.0225
290.000000	68.063	-153.8076
295.000000	68.044	-153.4979
300.000000	68.026	-153.1314
304.000000	68.020	-152.8368
307.000000	68.021	-152.6117
311.000000	68.027	-152.2992
315.000000	68.032	-151.9838
320.000000	68.032	-151.6234
325.000000	68.033	-151.2830
330.000000	68.044	-150.9625
335.000000	68.062	-150.6481
340.000000	68.079	-150.3258
345.000000	68.095	-150.0168
350.000000	68.111	-149.7322
355.000000	68.127	-149.4595
360.000000	68.140	-149.1901
365.000000	68.150	-148.9413
370.000000	68.158	-148.7205
375.000000	68.163	-148.5273
382.000000	68.160	-148.2657
387.000000	68.153	-148.0532
395.000000	68.136	-147.6343
400.000000	68.121	-147.3200
406.000000	68.105	-146.8858
412.000000	68.092	-146.3939
418.000000	68.083	-145.8624
425.000000	68.077	-145.2104
431.000000	68.079	-144.6390
437.000000	68.087	-144.0576
444.000000	68.104	-143.3705
450.000000	68.125	-142.7857
455.000000	68.145	-142.3124
462.000000	68.176	-141.6801
468.000000	68.203	-141.1592
475.000000	68.238	-140.5570
482.000000	68.278	-139.9604
487.000000	68.309	-139.5470
494.000000	68.355	-138.9865
500.000000	68.394	-138.5168
508.000000	68.451	-137.9037
515.000000	68.504	-137.3883
522.000000	68.559	-136.9056
530.000000	68.622	-136.3935
538.000000	68.682	-135.9018
545.000000	68.734	-135.4610
552.000000	68.786	-135.0192
560.000000	68.848	-134.5446
570.000000	68.929	-134.0137
580.000000	69.007	-133.5524
590.000000	69.079	-133.1563
600.000000	69.142	-132.8059
608.000000	69.188	-132.5475
615.000000	69.223	-132.3352
622.000000	69.254	-132.1275
630.000000	69.282	-131.8862
640.000000	69.310	-131.5588
650.000000	69.335	-131.1770
660.000000	69.359	-130.7338
670.000000	69.381	-130.2440
680.000000	69.405	-129.7071
690.000000	69.433	-129.1181
700.000000	69.468	-128.5071
710.000000	69.511	-127.9004
720.000000	69.562	-127.3272
730.000000	69.617	-126.8238
740.000000	69.667	-126.4146
750.000000	69.709	-126.0841
762.000000	69.752	-125.7215
775.000000	69.795	-125.2796
788.000000	69.828	-124.7416
800.000000	69.845	-124.1978
812.000000	69.857	-123.6151
825.000000	69.874	-122.9036
838.000000	69.900	-122.1226
850.000000	69.936	-121.3585
862.000000	69.984	-120.5867
875.000000	70.045	-119.7817
885.000000	70.097	-119.1867
900.000000	70.179	-118.3261
912.000000	70.245	-117.6581
925.000000	70.316	-116.9204
938.000000	70.397	-116.1589
950.000000	70.485	-115.5071
962.000000	70.581	-114.9869
975.000000	70.678	-114.6023
988.000000	70.753	-114.3448
1000.000000	70.800	-114.1177
1015.000000	70.846	-113.7563
1030.000000	70.895	-113.3176
1044.000000	70.948	-112.8895
1060.000000	71.019	-112.4626
1075.000000	71.082	-112.1809
1090.000000	71.126	-111.9081
1106.000000	71.165	-111.4838
1120.000000	71.213	-111.0538
1138.000000	71.295	-110.6523
1150.000000	71.344	-110.5326
1172.000000	71.400	-110.4343
1180.000000	71.411	-110.3935
1206.000000	71.426	-110.1854
1220.000000	71.420	-109.9875
1241.000000	71.403	-109.5064
1250.000000	71.399	-109.2507
1265.000000	71.393	-108.7985
1280.000000	71.385	-108.3130
1315.000000	71.338	-106.7687
1320.000000	71.333	-106.4825
1340.000000	71.326	-105.2798
1360.000000	71.328	-104.0674
1380.000000	71.335	-102.7622
1400.000000	71.353	-101.3606
1430.000000	71.416	-99.2085
1450.000000	71.489	-97.9172
1475.000000	71.590	-96.5707
1500.000000	71.691	-95.5771
1525.000000	71.763	-95.0614
1550.000000	71.755	-94.7266
1575.000000	71.675	-94.0707
1600.000000	71.573	-93.0276
1625.000000	71.458	-91.6904
1650.000000	71.339	-90.1292
1675.000000	71.212	-88.4396
1700.000000	71.071	-86.5521
1725.000000	70.940	-84.2115
1750.000000	70.894	-81.4891
1775.000000	70.954	-78.9869
1800.000000	71.032	-77.0819
1825.000000	71.042	-75.3694
1850.000000	70.973	-73.3192
1875.000000	70.850	-70.6244
1900.000000	70.729	-67.0907
1925.000000	70.699	-62.8687
1950.000000	70.825	-58.4827
1975.000000	71.102	-54.4922
2000.000000	71.459	-51.2319
2030.000000	71.870	-48.2296
2060.000000	72.150	-45.6964
2090.000000	72.314	-43.0267
2120.000000	72.461	-40.1055
2140.000000	72.577	-38.0282
2180.000000	72.886	-33.5686
2200.000000	73.093	-31.3911
2240.000000	73.584	-27.6703
2270.000000	73.965	-25.3114
2300.000000	74.339	-23.1011
2330.000000	74.720	-21.0190
2360.000000	75.115	-19.1900
2400.000000	75.636	-17.1213
2430.000000	76.007	-15.6697
2470.000000	76.459	-13.8666
2500.000000	76.773	-12.6284
2540.000000	77.186	-11.1102
2580.000000	77.605	-9.7388
2620.000000	78.013	-8.4883
2650.000000	78.300	-7.7261
2690.000000	78.627	-7.0982
2720.000000	78.816	-6.7921
2760.000000	79.010	-6.0777
2800.000000	79.206	-4.5475
2850.000000	79.537	-1.6759
2900.000000	79.959	1.1877
2950.000000	80.340	3.1858
3000.000000	80.559	4.7841
3040.000000	80.621	6.4498
3070.000000	80.643	8.0526
3110.000000	80.675	10.3735
3150.000000	80.719	12.4834
3200.000000	80.762	14.3768
3250.000000	80.720	15.2498
3300.000000	80.532	15.4826
3350.000000	80.228	15.6149
3400.000000	79.881	15.8087
3450.000000	79.515	15.9645
3500.000000	79.102	16.1300
3550.000000	78.628	16.6063
3600.000000	78.129	17.7277
3650.000000	77.662	19.4439
3700.000000	77.243	21.3598
3750.000000	76.835	23.2699
3820.000000	76.225	26.1629
3870.000000	75.747	28.5939
3950.000000	74.912	33.3367
4000.000000	74.363	36.9506
4060.000000	73.715	42.0435
4120.000000	73.119	47.8746
4180.000000	72.593	54.1813
4250.000000	72.063	61.9631
4310.000000	71.705	69.0166
4370.000000	71.494	76.1567
4440.000000	71.452	83.6281
4500.000000	71.519	88.6717
4550.000000	71.585	91.9536
4620.000000	71.654	95.6425
4680.000000	71.688	98.3361
4750.000000	71.704	101.2671
4820.000000	71.737	104.2102
4870.000000	71.793	106.3107
4940.000000	71.922	109.0891
5000.000000	72.060	111.1336
5080.000000	72.216	113.2694
5150.000000	72.279	114.8559
5220.000000	72.287	116.4802
5300.000000	72.262	118.3620
5380.000000	72.202	120.1627
5450.000000	72.124	121.7276
5520.000000	72.032	123.3003
5600.000000	71.905	125.0758
5700.000000	71.696	127.3918
5800.000000	71.424	130.1140
5900.000000	71.088	133.5132
6000.000000	70.736	137.9695
6080.000000	70.531	142.0967
6150.000000	70.432	145.6833
6220.000000	70.393	149.0172
6300.000000	70.410	152.3303
6400.000000	70.482	155.3542
6500.000000	70.515	157.1385
6600.000000	70.446	158.0956
6700.000000	70.240	158.6952
6800.000000	69.893	159.4674
6900.000000	69.438	160.8360
7000.000000	68.931	163.0217
7100.000000	68.431	165.9388
7200.000000	67.964	169.3779
7300.000000	67.547	173.2187
7400.000000	67.192	177.2708
7500.000000	66.890	-178.5950
7620.000000	66.584	-173.5226
7750.000000	66.341	-167.7962
7880.000000	66.254	-162.0012
8000.000000	66.303	-157.2985
8120.000000	66.379	-153.1614
8250.000000	66.436	-148.7179
8380.000000	66.433	-144.2826
8500.000000	66.329	-140.7710
8620.000000	66.073	-138.4173
8750.000000	65.570	-137.5483
8850.000000	64.946	-138.0363
9000.000000	63.507	-139.1544
