* Measurement data measured by REW V5.31.1
* Source: RMS + phase average
* Format: RMS + phase average
* Dated: Jul 23, 2024 4:59:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: RMS + phase average of R MM500, R MM500, R MM500
* Measurement: RMS + phase average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.767	-106.2835
20.299999	62.811	-106.9492
20.600000	62.822	-107.4615
20.900000	62.816	-107.7510
21.200001	62.809	-107.7862
21.400000	62.814	-107.6803
21.799999	62.874	-107.3049
22.000000	62.935	-107.1540
22.400000	63.109	-107.2796
22.700001	63.253	-107.9696
23.000000	63.359	-109.2079
23.299999	63.383	-110.8169
23.600000	63.295	-112.4353
24.000000	63.004	-113.7564
24.299999	62.721	-113.5102
24.700001	62.469	-111.1880
25.000000	62.533	-108.5225
25.400000	63.022	-105.6197
25.799999	63.776	-105.1169
26.200001	64.500	-107.2103
26.500000	64.916	-109.9662
26.900000	65.267	-114.3388
27.200001	65.400	-117.6134
27.600000	65.476	-121.3554
28.000000	65.514	-123.9226
28.500000	65.589	-125.2943
29.000000	65.693	-125.1664
29.500000	65.775	-124.5725
30.000000	65.796	-124.3978
30.400000	65.761	-124.7165
30.700001	65.712	-125.0730
31.100000	65.640	-125.4115
31.500000	65.596	-125.3682
32.000000	65.633	-124.9600
32.500000	65.753	-124.8702
33.000000	65.848	-125.5646
33.500000	65.817	-126.6920
34.000000	65.654	-127.4931
34.500000	65.449	-127.5559
35.000000	65.294	-127.1274
35.500000	65.208	-126.6652
36.000000	65.165	-126.2727
36.500000	65.173	-125.8140
37.000000	65.273	-125.4062
37.500000	65.454	-125.4569
38.200001	65.700	-126.5545
38.700001	65.795	-127.5975
39.500000	65.882	-128.7981
40.000000	65.951	-129.3959
40.599998	66.006	-130.2416
41.200001	65.967	-130.8942
41.799999	65.877	-130.7906
42.500000	65.859	-129.8809
43.099998	65.956	-129.3188
43.700001	66.079	-129.4544
44.400002	66.167	-130.1829
45.000000	66.212	-130.8949
45.500000	66.266	-131.4915
46.200001	66.398	-132.4541
46.799999	66.555	-133.4505
47.500000	66.752	-134.7969
48.200001	66.924	-136.2890
48.700001	67.012	-137.3114
49.400002	67.084	-138.3529
50.000000	67.121	-138.7064
50.799999	67.160	-138.6191
51.500000	67.159	-138.2961
52.200001	67.103	-137.6768
53.000000	67.013	-136.4410
53.799999	66.979	-134.8018
54.500000	67.066	-133.5317
55.200001	67.276	-133.2863
56.000000	67.528	-134.9887
57.000000	67.592	-139.0886
58.000000	67.384	-142.9129
59.000000	67.115	-145.0619
60.000000	66.975	-145.5893
60.799999	66.977	-145.6514
61.500000	66.979	-145.6665
62.200001	66.955	-145.3539
63.000000	66.955	-144.5331
64.000000	67.035	-143.6650
65.000000	67.124	-143.5316
66.000000	67.173	-143.8649
67.000000	67.201	-144.2960
68.000000	67.248	-144.6264
69.000000	67.327	-144.8882
70.000000	67.417	-145.1397
71.000000	67.494	-145.3913
72.000000	67.542	-145.6445
73.000000	67.564	-145.9112
74.000000	67.570	-146.2699
75.000000	67.563	-146.7749
76.199997	67.542	-147.4041
77.500000	67.540	-147.8724
78.800003	67.577	-148.1520
80.000000	67.620	-148.3931
81.199997	67.633	-148.6275
82.500000	67.609	-148.8458
83.800003	67.568	-149.0152
85.000000	67.550	-149.1998
