* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2023 12:50:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Mackie MC450
* Measurement: Mackie MC450
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	61.074	-174.8442
20.299999	61.236	-175.8132
20.600000	61.465	-176.3710
20.900000	61.774	-176.9238
21.200001	62.132	-177.8774
21.400000	62.366	-178.8628
21.799999	62.751	178.4703
22.000000	62.882	176.9680
22.400000	63.031	174.1387
22.700001	63.097	172.5525
23.000000	63.190	171.4673
23.299999	63.357	170.6500
23.600000	63.608	169.7166
24.000000	63.999	167.7290
24.299999	64.261	165.6528
24.700001	64.506	162.6188
25.000000	64.639	160.6721
25.400000	64.859	158.9113
25.799999	65.259	157.6851
26.200001	65.825	155.8535
26.500000	66.256	153.4829
26.900000	66.672	148.9907
27.200001	66.791	145.1450
27.600000	66.671	140.7708
28.000000	66.324	138.6169
28.500000	65.931	139.7598
29.000000	66.026	143.0846
29.500000	66.569	145.4486
30.000000	67.137	145.5071
30.400000	67.457	144.5391
30.700001	67.622	143.7493
31.100000	67.794	142.9519
31.500000	67.965	142.4039
32.000000	68.198	141.6682
32.500000	68.419	140.5906
33.000000	68.596	139.2703
33.500000	68.739	137.9155
34.000000	68.872	136.5850
34.500000	69.007	135.2360
35.000000	69.144	133.8611
35.500000	69.281	132.4974
36.000000	69.421	131.1802
36.500000	69.563	129.9409
37.000000	69.710	128.8195
37.500000	69.868	127.8293
38.200001	70.116	126.5565
38.700001	70.302	125.6184
39.500000	70.586	123.9845
40.000000	70.745	122.9033
40.599998	70.912	121.5731
41.200001	71.057	120.2428
41.799999	71.185	118.9576
42.500000	71.330	117.5320
43.099998	71.461	116.3538
43.700001	71.605	115.1953
44.400002	71.793	113.8101
45.000000	71.961	112.5459
45.500000	72.094	111.4664
46.200001	72.269	110.0198
46.799999	72.416	108.8774
47.500000	72.583	107.6233
48.200001	72.744	106.4479
48.700001	72.857	105.6433
49.400002	73.009	104.4734
50.000000	73.119	103.4067
50.799999	73.228	102.0352
51.500000	73.310	100.9177
52.200001	73.380	99.7463
53.000000	73.414	98.3882
53.799999	73.416	97.2615
54.500000	73.431	96.4226
55.200001	73.464	95.4867
56.000000	73.500	94.1283
57.000000	73.493	92.0663
58.000000	73.394	90.0914
59.000000	73.264	89.1370
60.000000	73.325	89.2939
60.799999	73.567	89.1748
61.500000	73.819	88.3716
62.200001	74.027	87.1196
63.000000	74.195	85.6412
64.000000	74.338	84.1233
65.000000	74.440	82.9792
66.000000	74.518	82.0704
67.000000	74.583	81.2499
68.000000	74.651	80.4130
69.000000	74.731	79.4224
70.000000	74.805	78.2592
71.000000	74.862	77.2028
72.000000	74.936	76.4473
73.000000	75.044	75.7931
74.000000	75.143	75.0594
75.000000	75.203	74.3616
76.199997	75.243	73.7109
77.500000	75.291	73.1089
78.800003	75.371	72.3890
80.000000	75.477	71.5833
81.199997	75.615	70.6826
82.500000	75.774	69.6180
83.800003	75.910	68.6060
85.000000	76.009	67.7849
86.199997	76.087	66.9850
87.500000	76.150	66.0397
88.500000	76.189	65.2426
90.000000	76.258	64.0111
91.199997	76.349	63.0352
92.500000	76.489	61.8828
93.800003	76.621	60.5814
95.000000	76.689	59.5297
96.199997	76.720	58.9214
97.500000	76.757	58.6022
98.800003	76.790	58.2156
100.000000	76.795	57.6787
101.500000	76.784	56.8149
103.000000	76.790	55.7952
104.400002	76.833	54.8113
106.000000	76.918	53.7877
107.500000	76.999	52.9528
109.000000	77.048	52.1692
110.599998	77.074	51.2778
112.000000	77.122	50.4308
113.800003	77.304	49.3972
115.000000	77.509	48.8417
117.199997	77.924	48.2172
118.000000	78.037	48.0469
120.599998	78.042	47.0067
122.000000	77.811	46.1758
124.099998	77.399	44.6699
125.000000	77.269	43.9332
126.500000	77.148	42.7172
128.000000	77.119	41.7141
131.500000	77.100	40.3735
132.000000	77.089	40.2140
134.000000	77.036	39.4727
136.000000	77.012	38.6487
138.000000	77.041	37.9600
140.000000	77.093	37.4603
143.000000	77.141	36.8274
145.000000	77.149	36.3661
147.500000	77.145	35.6997
150.000000	77.139	34.9460
152.500000	77.142	34.1625
155.000000	77.152	33.4753
157.500000	77.157	32.8651
160.000000	77.146	32.1772
162.500000	77.127	31.4297
165.000000	77.115	30.7756
167.500000	77.111	30.2700
170.000000	77.107	29.8539
172.500000	77.101	29.4575
175.000000	77.090	29.0461
177.500000	77.073	28.5992
180.000000	77.060	28.1018
182.500000	77.053	27.5930
185.000000	77.049	27.1470
187.500000	77.040	26.7722
190.000000	77.023	26.4169
192.500000	76.998	26.0652
195.000000	76.972	25.7561
197.500000	76.948	25.5254
200.000000	76.931	25.3601
203.000000	76.919	25.1759
206.000000	76.918	24.9297
209.000000	76.920	24.5892
212.000000	76.918	24.1848
214.000000	76.912	23.9055
218.000000	76.890	23.4213
220.000000	76.872	23.2568
224.000000	76.822	23.0669
227.000000	76.777	22.9879
230.000000	76.736	22.9448
233.000000	76.706	22.9490
236.000000	76.688	22.9938
240.000000	76.681	23.0336
243.000000	76.679	22.9886
247.000000	76.674	22.8710
250.000000	76.666	22.8026
254.000000	76.654	22.7903
258.000000	76.648	22.8800
262.000000	76.655	23.0431
265.000000	76.674	23.1765
269.000000	76.715	23.3123
272.000000	76.751	23.3636
276.000000	76.799	23.3733
280.000000	76.841	23.3326
285.000000	76.886	23.2386
290.000000	76.924	23.1692
295.000000	76.961	23.1118
300.000000	76.998	22.9006
304.000000	77.024	22.6312
307.000000	77.040	22.4282
311.000000	77.061	22.1974
315.000000	77.080	22.0215
320.000000	77.100	21.8619
325.000000	77.114	21.7391
330.000000	77.125	21.6360
335.000000	77.137	21.5266
340.000000	77.149	21.4005
345.000000	77.159	21.2805
350.000000	77.166	21.1914
355.000000	77.173	21.1353
360.000000	77.186	21.1033
365.000000	77.203	21.0864
370.000000	77.221	21.0724
375.000000	77.241	21.0555
382.000000	77.266	21.0258
387.000000	77.280	20.9980
395.000000	77.302	20.9604
400.000000	77.318	20.9501
406.000000	77.340	20.9458
412.000000	77.363	20.9368
418.000000	77.392	20.9148
425.000000	77.432	20.8860
431.000000	77.459	20.8829
437.000000	77.474	20.9032
444.000000	77.485	20.9419
450.000000	77.497	20.9973
455.000000	77.511	21.0624
462.000000	77.535	21.1716
468.000000	77.558	21.2697
475.000000	77.589	21.3762
482.000000	77.626	21.4734
487.000000	77.655	21.5415
494.000000	77.700	21.6355
500.000000	77.739	21.7015
508.000000	77.794	21.7336
515.000000	77.842	21.6982
522.000000	77.886	21.6177
530.000000	77.929	21.5042
538.000000	77.963	21.4041
545.000000	77.984	21.3440
552.000000	77.999	21.3149
560.000000	78.014	21.3168
570.000000	78.037	21.3339
580.000000	78.051	21.3357
590.000000	78.050	21.3809
600.000000	78.053	21.5007
608.000000	78.063	21.6089
615.000000	78.071	21.7029
622.000000	78.074	21.8065
630.000000	78.072	21.9504
640.000000	78.060	22.2113
650.000000	78.048	22.6184
660.000000	78.048	23.1611
670.000000	78.065	23.7903
680.000000	78.097	24.4645
690.000000	78.141	25.1589
700.000000	78.198	25.8883
710.000000	78.277	26.6367
720.000000	78.378	27.3298
730.000000	78.490	27.9232
740.000000	78.605	28.4401
750.000000	78.724	28.9182
762.000000	78.875	29.4374
775.000000	79.048	29.8804
788.000000	79.220	30.1534
800.000000	79.366	30.3187
812.000000	79.507	30.4952
825.000000	79.665	30.6880
838.000000	79.830	30.7957
850.000000	79.978	30.7925
862.000000	80.114	30.7197
875.000000	80.247	30.6415
885.000000	80.344	30.6312
900.000000	80.498	30.6830
912.000000	80.628	30.7391
925.000000	80.779	30.7803
938.000000	80.940	30.7402
950.000000	81.092	30.5913
962.000000	81.238	30.3372
975.000000	81.383	29.9875
988.000000	81.516	29.6243
1000.000000	81.632	29.3176
1015.000000	81.778	28.9590
1030.000000	81.927	28.5538
1044.000000	82.063	28.0890
1060.000000	82.207	27.4650
1075.000000	82.324	26.8047
1090.000000	82.417	26.0972
1106.000000	82.479	25.3960
1120.000000	82.508	24.9640
1138.000000	82.539	24.8149
1150.000000	82.583	24.9753
1172.000000	82.779	25.4717
1180.000000	82.888	25.5500
1206.000000	83.271	24.8530
1220.000000	83.438	24.0105
1241.000000	83.624	22.5281
1250.000000	83.682	21.8525
1265.000000	83.745	20.7451
1280.000000	83.775	19.7755
1315.000000	83.822	18.2480
1320.000000	83.832	18.0781
1340.000000	83.879	17.4597
1360.000000	83.944	16.9434
1380.000000	84.041	16.4226
1400.000000	84.165	15.6661
1430.000000	84.329	13.9467
1450.000000	84.399	12.5239
1475.000000	84.410	10.5597
1500.000000	84.325	8.7773
1525.000000	84.186	7.5225
1550.000000	84.062	6.6902
1575.000000	83.955	5.7979
1600.000000	83.790	4.9442
1625.000000	83.588	4.6124
1650.000000	83.413	4.6295
1675.000000	83.243	4.7859
1700.000000	83.071	5.3301
1725.000000	82.944	6.1638
1750.000000	82.844	7.0920
1775.000000	82.774	8.3240
1800.000000	82.789	9.7914
1825.000000	82.916	11.0245
1850.000000	83.092	11.4897
1875.000000	83.212	11.2104
1900.000000	83.227	10.7229
1925.000000	83.164	10.5513
1950.000000	83.085	10.8231
1975.000000	83.024	11.3630
2000.000000	82.981	11.9766
2030.000000	82.919	12.7502
2060.000000	82.827	13.8718
2090.000000	82.757	15.5491
2120.000000	82.742	17.4995
2140.000000	82.751	18.9414
2180.000000	82.873	22.5269
2200.000000	83.036	24.5120
2240.000000	83.555	27.9429
2270.000000	84.043	29.7712
2300.000000	84.574	30.8149
2330.000000	85.082	30.9216
2360.000000	85.516	30.3297
2400.000000	85.976	28.9858
2430.000000	86.229	27.7825
2470.000000	86.449	26.4313
2500.000000	86.569	25.8654
2540.000000	86.730	25.7554
2580.000000	86.970	26.2748
2620.000000	87.334	26.9047
2650.000000	87.679	27.1737
2690.000000	88.203	26.9351
2720.000000	88.595	26.1373
2760.000000	89.056	24.3855
2800.000000	89.433	22.2437
2850.000000	89.823	19.4412
2900.000000	90.154	16.4817
2950.000000	90.395	13.3599
3000.000000	90.552	10.4359
3040.000000	90.647	8.4012
3070.000000	90.722	7.0490
3110.000000	90.842	5.3602
3150.000000	90.993	3.7004
3200.000000	91.245	1.4603
3250.000000	91.554	-1.5522
3300.000000	91.793	-5.8593
3350.000000	91.829	-10.9290
3400.000000	91.673	-15.8616
3450.000000	91.376	-20.3132
3500.000000	90.960	-24.1021
3550.000000	90.454	-27.0327
3600.000000	89.895	-29.0286
3650.000000	89.327	-30.1035
3700.000000	88.794	-30.4010
3750.000000	88.327	-30.1494
3820.000000	87.809	-29.3944
3870.000000	87.519	-28.8600
3950.000000	87.121	-28.2209
4000.000000	86.880	-27.8824
4060.000000	86.593	-27.4156
4120.000000	86.310	-26.9008
4180.000000	86.024	-26.3362
4250.000000	85.685	-25.5758
4310.000000	85.383	-24.9110
4370.000000	85.034	-24.1538
4440.000000	84.538	-22.6193
4500.000000	84.082	-20.3702
4550.000000	83.730	-17.8777
4620.000000	83.316	-13.7018
4680.000000	83.039	-9.5428
4750.000000	82.839	-3.9596
4820.000000	82.832	2.2720
4870.000000	82.977	6.9733
4940.000000	83.436	13.6940
5000.000000	84.094	19.2386
5080.000000	85.295	25.3748
5150.000000	86.491	28.6957
5220.000000	87.656	29.7606
5300.000000	88.827	28.5568
5380.000000	89.776	25.5703
5450.000000	90.429	22.1792
5520.000000	90.946	18.5479
5600.000000	91.414	14.4227
5700.000000	91.878	9.4669
5800.000000	92.271	4.7377
5900.000000	92.646	-0.1104
6000.000000	92.989	-5.5657
6080.000000	93.201	-10.6174
6150.000000	93.299	-15.5884
6220.000000	93.279	-20.9183
6300.000000	93.088	-27.0588
6400.000000	92.608	-34.1265
6500.000000	91.918	-39.9646
6600.000000	91.100	-44.3918
6700.000000	90.225	-47.5278
6800.000000	89.345	-49.6238
6900.000000	88.484	-50.9470
7000.000000	87.630	-51.5386
7100.000000	86.793	-51.2413
7200.000000	86.030	-50.1625
7300.000000	85.394	-48.7721
7400.000000	84.876	-47.4408
7500.000000	84.462	-46.3300
7620.000000	84.105	-45.7822
7750.000000	83.808	-47.1515
7880.000000	83.386	-51.1626
8000.000000	82.602	-56.0808
8120.000000	81.241	-58.6802
8250.000000	79.150	-53.6813
8380.000000	77.045	-37.2668
8500.000000	76.557	-16.3842
8620.000000	77.749	-0.7319
8750.000000	79.204	3.6096
8850.000000	79.831	0.2754
9000.000000	79.899	-8.0098
9120.000000	79.345	-13.2996
9250.000000	78.323	-15.6863
9380.000000	77.070	-14.2698
9500.000000	75.902	-10.1294
9620.000000	74.875	-3.9659
9750.000000	74.066	4.2786
9880.000000	73.697	13.0455
10000.000000	73.718	20.4070
10150.000000	73.983	27.7466
10300.000000	74.254	33.4193
10440.000000	74.434	38.2643
10600.000000	74.660	44.5083
10750.000000	75.135	51.4370
10900.000000	76.102	58.9048
11060.000000	77.753	66.1968
11200.000000	79.541	70.3677
11380.000000	81.803	69.8279
11500.000000	83.015	64.7839
11720.000000	84.216	47.6489
11800.000000	84.285	40.3086
12060.000000	83.356	19.9633
12200.000000	82.408	12.9800
12410.000000	80.929	6.1885
12500.000000	80.357	3.7695
12650.000000	79.473	-0.3236
12800.000000	78.587	-4.4404
13150.000000	76.514	-13.2793
13200.000000	76.285	-14.8928
13400.000000	75.666	-24.9414
13600.000000	75.272	-43.2089
13800.000000	74.740	-68.8008
14000.000000	74.426	-97.6116
14300.000000	75.827	-142.4214
14500.000000	77.414	-172.6621
14750.000000	79.014	151.6261
15000.000000	79.859	120.4749
15250.000000	79.879	95.2050
15500.000000	79.241	77.4626
15750.000000	78.498	66.4971
16000.000000	78.114	58.4963
16250.000000	78.109	50.8794
16500.000000	78.406	42.2229
16750.000000	78.856	31.3088
17000.000000	79.305	17.4438
17250.000000	79.570	0.1525
17500.000000	79.446	-19.9271
17750.000000	78.828	-40.8738
18000.000000	77.754	-60.5985
18250.000000	76.412	-78.1001
18500.000000	75.156	-94.3519
18750.000000	74.377	-112.1152
19000.000000	74.154	-134.2847
19250.000000	74.220	-162.1155
19500.000000	74.245	166.0908
19750.000000	74.090	136.3009
