* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 22, 2023 6:49:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Maxwell SP NS-O
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	70.943	-69.9550
20.299999	71.395	-73.0858
20.600000	71.828	-75.8629
20.900000	72.282	-78.3263
21.200001	72.779	-80.7030
21.400000	73.128	-82.4075
21.799999	73.810	-86.3969
22.000000	74.113	-88.6971
22.400000	74.608	-93.5970
22.700001	74.893	-97.0418
23.000000	75.169	-99.9153
23.299999	75.518	-102.1371
23.600000	76.012	-103.9744
24.000000	76.902	-106.8222
24.299999	77.639	-109.9928
24.700001	78.524	-116.0884
25.000000	79.016	-121.7556
25.400000	79.389	-129.7159
25.799999	79.481	-136.5870
26.200001	79.460	-141.2014
26.500000	79.516	-143.1169
26.900000	79.838	-144.4905
27.200001	80.266	-145.4737
27.600000	80.936	-147.7400
28.000000	81.546	-151.3641
28.500000	82.082	-156.9539
29.000000	82.414	-162.2073
29.500000	82.705	-166.5244
30.000000	83.063	-170.5433
30.400000	83.374	-174.1545
30.700001	83.583	-177.2366
31.100000	83.789	178.2607
31.500000	83.900	173.6247
32.000000	83.941	168.1215
32.500000	83.946	163.1445
33.000000	83.974	158.4940
33.500000	84.034	153.8586
34.000000	84.091	149.1049
34.500000	84.114	144.3412
35.000000	84.095	139.7891
35.500000	84.047	135.6111
36.000000	83.990	131.8431
36.500000	83.940	128.4196
37.000000	83.903	125.2227
37.500000	83.877	122.1252
38.200001	83.840	117.7629
38.700001	83.794	114.5636
39.500000	83.658	109.3706
40.000000	83.529	106.1878
40.599998	83.337	102.5547
41.200001	83.121	99.2128
41.799999	82.903	96.2045
42.500000	82.672	93.0672
43.099998	82.504	90.5946
43.700001	82.356	88.2490
44.400002	82.197	85.6393
45.000000	82.062	83.4924
45.500000	81.945	81.7585
46.200001	81.767	79.4199
46.799999	81.605	77.4884
47.500000	81.409	75.2730
48.200001	81.211	73.0526
48.700001	81.074	71.4169
49.400002	80.886	68.9414
50.000000	80.697	66.6858
50.799999	80.373	64.0544
51.500000	80.083	62.6282
52.200001	79.899	61.7799
53.000000	79.828	60.6499
53.799999	79.783	59.0792
54.500000	79.706	57.6843
55.200001	79.597	56.5026
56.000000	79.448	55.4734
57.000000	79.251	54.6780
58.000000	79.092	54.2590
59.000000	78.995	53.6818
60.000000	78.883	52.6250
60.799999	78.732	51.7998
61.500000	78.577	51.3683
62.200001	78.433	51.1924
63.000000	78.298	51.1632
64.000000	78.169	51.2525
65.000000	78.083	51.3759
66.000000	78.036	51.4040
67.000000	78.016	51.2765
68.000000	78.017	50.9898
69.000000	78.033	50.5697
70.000000	78.063	50.0707
71.000000	78.103	49.5652
72.000000	78.158	49.1331
73.000000	78.237	48.7310
74.000000	78.327	48.2155
75.000000	78.404	47.5590
76.199997	78.465	46.6196
77.500000	78.483	45.3896
78.800003	78.444	44.0482
80.000000	78.383	42.8997
81.199997	78.339	41.8816
82.500000	78.336	40.7993
83.800003	78.359	39.6957
85.000000	78.386	38.7346
86.199997	78.410	37.8414
87.500000	78.423	36.9156
88.500000	78.423	36.2020
90.000000	78.411	35.0472
91.199997	78.393	34.0293
92.500000	78.366	32.8910
93.800003	78.336	31.7803
95.000000	78.302	30.8127
96.199997	78.258	29.9166
97.500000	78.196	29.0256
98.800003	78.121	28.2020
100.000000	78.044	27.4868
101.500000	77.949	26.6437
103.000000	77.866	25.8416
104.400002	77.797	25.1068
106.000000	77.714	24.2983
107.500000	77.625	23.5996
109.000000	77.524	22.9792
110.599998	77.408	22.4451
112.000000	77.304	22.1259
113.800003	77.164	21.9731
115.000000	77.065	22.0366
117.199997	76.880	22.4282
118.000000	76.822	22.6310
120.599998	76.739	23.1868
122.000000	76.769	23.2123
124.099998	76.854	22.9467
125.000000	76.893	22.7961
126.500000	76.948	22.5492
128.000000	76.986	22.3010
131.500000	77.023	21.5951
132.000000	77.026	21.4843
134.000000	77.037	21.0598
136.000000	77.049	20.6865
138.000000	77.055	20.3345
140.000000	77.052	19.9477
143.000000	77.044	19.2346
145.000000	77.046	18.7319
147.500000	77.059	18.1684
150.000000	77.068	17.6565
152.500000	77.064	17.1473
155.000000	77.044	16.5658
157.500000	77.000	15.9666
160.000000	76.934	15.4649
162.500000	76.859	15.0424
165.000000	76.788	14.6553
167.500000	76.730	14.3148
170.000000	76.678	14.0471
172.500000	76.620	13.8481
175.000000	76.558	13.6921
177.500000	76.498	13.5811
180.000000	76.438	13.5552
182.500000	76.377	13.6345
185.000000	76.317	13.7925
187.500000	76.263	14.0105
190.000000	76.215	14.3119
192.500000	76.178	14.7079
195.000000	76.154	15.1686
197.500000	76.146	15.6569
200.000000	76.158	16.1460
203.000000	76.195	16.7051
206.000000	76.254	17.2090
209.000000	76.327	17.6474
212.000000	76.411	18.0094
214.000000	76.470	18.2002
218.000000	76.589	18.4617
220.000000	76.649	18.5425
224.000000	76.768	18.6304
227.000000	76.857	18.6506
230.000000	76.947	18.6467
233.000000	77.036	18.6236
236.000000	77.128	18.5786
240.000000	77.256	18.4821
243.000000	77.357	18.3826
247.000000	77.497	18.2050
250.000000	77.606	18.0310
254.000000	77.755	17.7324
258.000000	77.906	17.3375
262.000000	78.059	16.8260
265.000000	78.172	16.3611
269.000000	78.320	15.6333
272.000000	78.425	15.0116
