* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 22, 2023 6:50:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Maxwell WP NS-O
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	72.144	-117.7198
20.299999	72.547	-121.1101
20.600000	72.902	-124.3930
20.900000	73.216	-127.3813
21.200001	73.517	-129.9393
21.400000	73.726	-131.3874
21.799999	74.197	-133.8505
22.000000	74.464	-134.9930
22.400000	75.040	-137.3851
22.700001	75.469	-139.4486
23.000000	75.863	-141.7297
23.299999	76.207	-144.0855
23.600000	76.506	-146.3099
24.000000	76.882	-148.7759
24.299999	77.199	-150.2292
24.700001	77.725	-151.9273
25.000000	78.197	-153.3920
25.400000	78.882	-156.0864
25.799999	79.537	-159.8986
26.200001	80.087	-164.6900
26.500000	80.412	-168.6703
26.900000	80.734	-174.0980
27.200001	80.911	-178.0554
27.600000	81.095	176.9680
28.000000	81.252	172.3345
28.500000	81.437	166.8932
29.000000	81.615	161.7311
29.500000	81.792	156.8679
30.000000	81.994	152.2919
30.400000	82.189	148.7029
30.700001	82.349	145.9355
31.100000	82.560	142.0294
31.500000	82.737	137.8569
32.000000	82.870	132.4810
32.500000	82.898	127.3309
33.000000	82.865	122.7270
33.500000	82.828	118.6322
34.000000	82.817	114.7169
34.500000	82.813	110.6865
35.000000	82.772	106.5183
35.500000	82.672	102.4269
36.000000	82.528	98.6487
36.500000	82.372	95.2498
37.000000	82.232	92.1154
37.500000	82.109	89.0958
38.200001	81.936	84.9811
38.700001	81.797	82.2053
39.500000	81.551	78.2382
40.000000	81.393	76.0671
40.599998	81.208	73.7114
41.200001	81.026	71.5510
41.799999	80.843	69.5262
42.500000	80.626	67.2921
43.099998	80.439	65.4526
43.700001	80.257	63.6420
44.400002	80.057	61.5333
45.000000	79.904	59.7114
45.500000	79.796	58.1544
46.200001	79.667	55.9047
46.799999	79.568	54.0118
47.500000	79.475	52.0326
48.200001	79.426	50.3667
48.700001	79.423	49.3579
49.400002	79.480	48.1368
50.000000	79.592	46.9892
50.799999	79.742	44.6091
51.500000	79.703	41.8212
52.200001	79.424	39.5338
53.000000	78.950	38.6082
53.799999	78.548	38.8183
54.500000	78.299	38.9397
55.200001	78.096	38.7409
56.000000	77.890	38.1925
57.000000	77.651	37.0624
58.000000	77.397	35.8495
59.000000	77.175	35.0449
60.000000	77.040	34.3402
60.799999	76.951	33.5679
61.500000	76.848	32.8562
62.200001	76.724	32.2586
63.000000	76.577	31.7159
64.000000	76.408	31.0822
65.000000	76.258	30.3688
66.000000	76.124	29.5878
67.000000	76.009	28.8501
68.000000	75.921	28.2037
69.000000	75.848	27.6434
70.000000	75.770	27.2476
71.000000	75.689	27.0807
72.000000	75.614	27.0768
73.000000	75.553	27.1170
74.000000	75.508	27.0840
75.000000	75.475	26.9045
76.199997	75.438	26.5238
77.500000	75.398	26.0398
78.800003	75.363	25.6007
80.000000	75.344	25.2325
81.199997	75.338	24.8235
82.500000	75.340	24.3018
83.800003	75.346	23.7093
85.000000	75.352	23.1111
86.199997	75.352	22.4795
87.500000	75.344	21.7577
88.500000	75.329	21.1708
90.000000	75.294	20.2439
91.199997	75.264	19.4670
92.500000	75.234	18.5859
93.800003	75.207	17.6649
95.000000	75.174	16.7980
96.199997	75.123	15.9827
97.500000	75.049	15.2513
98.800003	74.967	14.6593
100.000000	74.891	14.1538
101.500000	74.788	13.4974
103.000000	74.672	12.8086
104.400002	74.550	12.1949
106.000000	74.404	11.5947
107.500000	74.269	11.1323
109.000000	74.129	10.7625
110.599998	73.970	10.4938
112.000000	73.829	10.3796
113.800003	73.664	10.3765
115.000000	73.577	10.4529
117.199997	73.482	10.7093
118.000000	73.462	10.8163
120.599998	73.362	11.3026
122.000000	73.273	11.8091
124.099998	73.143	12.7086
125.000000	73.097	13.0299
126.500000	73.034	13.4188
128.000000	72.983	13.6697
131.500000	72.894	14.1100
132.000000	72.882	14.1761
134.000000	72.838	14.4598
136.000000	72.809	14.7430
138.000000	72.797	15.0182
140.000000	72.795	15.3177
143.000000	72.787	15.7704
