* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 18, 2023 10:49:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Parts Express Headphone
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	22.336	-174.3184
20.299999	23.799	-160.1514
20.600000	26.077	-145.4210
20.900000	28.600	-133.3193
21.200001	30.886	-126.2808
21.400000	32.184	-124.7750
21.799999	34.188	-127.9677
22.000000	34.887	-131.7927
22.400000	35.681	-141.9923
22.700001	35.749	-150.1207
23.000000	35.367	-157.0026
23.299999	34.546	-160.8662
23.600000	33.340	-160.0735
24.000000	31.451	-150.9801
24.299999	30.359	-140.5460
24.700001	30.011	-127.9286
25.000000	30.293	-122.7135
25.400000	30.560	-121.8077
25.799999	30.248	-123.8654
26.200001	29.411	-124.4537
26.500000	28.680	-123.0493
26.900000	28.063	-120.5713
27.200001	28.051	-120.2782
27.600000	28.380	-124.1022
28.000000	28.655	-132.3661
28.500000	28.539	-144.2030
29.000000	28.199	-150.3884
29.500000	28.682	-147.9105
30.000000	30.492	-141.4802
30.400000	32.241	-138.2388
30.700001	33.405	-138.1774
31.100000	34.627	-140.8734
31.500000	35.466	-145.2548
32.000000	36.028	-150.9166
32.500000	36.093	-155.1415
33.000000	35.710	-156.0048
33.500000	35.107	-151.1637
34.000000	35.035	-140.1322
34.500000	36.156	-126.9162
35.000000	37.897	-118.2653
35.500000	39.401	-117.8740
36.000000	40.331	-124.3926
36.500000	40.651	-134.1685
37.000000	40.436	-143.7742
37.500000	39.826	-150.9256
38.200001	38.751	-155.6072
38.700001	38.205	-156.1903
39.500000	38.054	-155.7864
40.000000	38.290	-155.6235
40.599998	38.742	-155.6629
41.200001	39.254	-156.0767
41.799999	39.722	-156.7719
42.500000	40.202	-157.5023
43.099998	40.600	-158.2744
43.700001	40.939	-159.7950
44.400002	41.184	-162.4940
45.000000	41.336	-165.3616
45.500000	41.472	-168.5942
46.200001	41.549	-175.1072
46.799999	41.294	178.7411
47.500000	40.596	175.0287
48.200001	40.041	177.6044
48.700001	40.212	-178.2523
49.400002	41.184	-173.7295
50.000000	42.143	-172.9863
50.799999	43.057	-175.1370
51.500000	43.445	-177.0230
52.200001	43.601	-176.9922
53.000000	43.744	-174.6857
53.799999	43.980	-171.7407
54.500000	44.255	-170.0591
55.200001	44.566	-170.1628
56.000000	44.964	-173.0350
57.000000	45.835	178.2540
58.000000	47.156	155.3680
59.000000	47.867	105.1138
60.000000	47.435	27.0284
60.799999	46.715	-43.6948
