* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L Moondrop Para, L Moondrop Para, L Moondrop Para
* Dated: Jun 30, 2024 12:05:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L Moondrop Para, L Moondrop Para, L Moondrop Para
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	64.173
20.299999	64.515
20.600000	64.848
20.900000	65.164
21.200001	65.457
21.400000	65.638
21.799999	65.973
22.000000	66.135
22.400000	66.470
22.700001	66.747
23.000000	67.049
23.299999	67.368
23.600000	67.687
24.000000	68.086
24.299999	68.357
24.700001	68.685
25.000000	68.920
25.400000	69.234
25.799999	69.557
26.200001	69.880
26.500000	70.113
26.900000	70.404
27.200001	70.611
27.600000	70.882
28.000000	71.157
28.500000	71.507
29.000000	71.852
29.500000	72.185
30.000000	72.508
30.400000	72.766
30.700001	72.961
31.100000	73.222
31.500000	73.484
32.000000	73.810
32.500000	74.134
33.000000	74.444
33.500000	74.726
34.000000	74.970
34.500000	75.184
35.000000	75.386
35.500000	75.598
36.000000	75.834
36.500000	76.093
37.000000	76.361
37.500000	76.620
38.200001	76.942
38.700001	77.140
39.500000	77.403
40.000000	77.529
40.599998	77.636
41.200001	77.699
41.799999	77.728
42.500000	77.736
43.099998	77.728
43.700001	77.716
44.400002	77.711
45.000000	77.723
45.500000	77.746
46.200001	77.802
46.799999	77.879
47.500000	77.998
48.200001	78.137
48.700001	78.236
49.400002	78.369
50.000000	78.475
50.799999	78.609
51.500000	78.719
52.200001	78.823
53.000000	78.927
53.799999	79.008
54.500000	79.057
55.200001	79.092
56.000000	79.124
57.000000	79.171
58.000000	79.240
59.000000	79.336
60.000000	79.455
60.799999	79.561
61.500000	79.661
62.200001	79.766
63.000000	79.888
64.000000	80.040
65.000000	80.185
66.000000	80.319
67.000000	80.436
68.000000	80.528
69.000000	80.593
70.000000	80.632
71.000000	80.649
72.000000	80.646
73.000000	80.630
74.000000	80.605
75.000000	80.573
76.199997	80.527
77.500000	80.468
78.800003	80.399
80.000000	80.326
81.199997	80.251
82.500000	80.173
83.800003	80.097
85.000000	80.024
86.199997	79.940
87.500000	79.836
88.500000	79.752
90.000000	79.636
91.199997	79.557
92.500000	79.486
93.800003	79.424
95.000000	79.368
96.199997	79.312
97.500000	79.250
98.800003	79.193
100.000000	79.145
101.500000	79.096
103.000000	79.059
104.400002	79.035
106.000000	79.013
107.500000	78.990
109.000000	78.958
110.599998	78.913
112.000000	78.871
113.800003	78.822
115.000000	78.796
117.199997	78.761
118.000000	78.750
120.599998	78.715
122.000000	78.693
124.099998	78.652
125.000000	78.630
126.500000	78.589
128.000000	78.545
131.500000	78.454
132.000000	78.445
134.000000	78.424
136.000000	78.418
138.000000	78.419
140.000000	78.423
143.000000	78.419
145.000000	78.400
147.500000	78.353
150.000000	78.289
152.500000	78.214
155.000000	78.131
157.500000	78.049
160.000000	77.981
162.500000	77.933
165.000000	77.906
167.500000	77.905
170.000000	77.935
172.500000	77.988
175.000000	78.042
177.500000	78.075
180.000000	78.083
182.500000	78.081
185.000000	78.081
187.500000	78.076
190.000000	78.051
192.500000	77.997
195.000000	77.926
197.500000	77.859
200.000000	77.812
203.000000	77.780
206.000000	77.766
209.000000	77.767
212.000000	77.785
214.000000	77.806
218.000000	77.857
220.000000	77.880
224.000000	77.911
227.000000	77.923
230.000000	77.933
233.000000	77.943
236.000000	77.954
240.000000	77.968
243.000000	77.976
247.000000	77.986
250.000000	77.997
254.000000	78.020
258.000000	78.052
262.000000	78.082
265.000000	78.097
269.000000	78.106
272.000000	78.106
276.000000	78.104
280.000000	78.104
285.000000	78.108
290.000000	78.112
295.000000	78.111
300.000000	78.111
304.000000	78.114
307.000000	78.120
311.000000	78.132
315.000000	78.144
320.000000	78.151
325.000000	78.147
330.000000	78.143
335.000000	78.148
340.000000	78.162
345.000000	78.180
350.000000	78.201
355.000000	78.229
360.000000	78.267
365.000000	78.315
370.000000	78.364
375.000000	78.404
382.000000	78.439
387.000000	78.444
395.000000	78.424
400.000000	78.398
406.000000	78.351
412.000000	78.286
418.000000	78.221
425.000000	78.171
431.000000	78.159
437.000000	78.170
444.000000	78.202
450.000000	78.249
455.000000	78.300
462.000000	78.374
468.000000	78.418
475.000000	78.426
482.000000	78.383
487.000000	78.331
494.000000	78.259
500.000000	78.215
508.000000	78.177
515.000000	78.138
522.000000	78.079
530.000000	77.995
538.000000	77.906
545.000000	77.830
552.000000	77.756
560.000000	77.680
570.000000	77.617
580.000000	77.606
590.000000	77.649
600.000000	77.730
608.000000	77.808
615.000000	77.879
622.000000	77.948
630.000000	78.025
640.000000	78.116
650.000000	78.193
660.000000	78.252
670.000000	78.296
680.000000	78.333
690.000000	78.366
700.000000	78.392
710.000000	78.407
720.000000	78.413
730.000000	78.416
740.000000	78.417
750.000000	78.417
762.000000	78.416
775.000000	78.417
788.000000	78.428
800.000000	78.456
812.000000	78.507
825.000000	78.591
838.000000	78.694
850.000000	78.792
862.000000	78.877
875.000000	78.948
885.000000	78.988
900.000000	79.026
912.000000	79.039
925.000000	79.043
938.000000	79.045
950.000000	79.052
962.000000	79.067
975.000000	79.091
988.000000	79.119
1000.000000	79.143
1015.000000	79.165
1030.000000	79.176
1044.000000	79.177
1060.000000	79.170
1075.000000	79.162
1090.000000	79.157
1106.000000	79.155
1120.000000	79.151
1138.000000	79.132
1150.000000	79.105
1172.000000	79.027
1180.000000	78.995
1206.000000	78.917
1220.000000	78.904
1241.000000	78.918
1250.000000	78.931
1265.000000	78.952
1280.000000	78.967
1315.000000	78.957
1320.000000	78.951
1340.000000	78.913
1360.000000	78.860
1380.000000	78.802
1400.000000	78.751
1430.000000	78.709
1450.000000	78.708
1475.000000	78.732
1500.000000	78.771
1525.000000	78.816
1550.000000	78.869
1575.000000	78.945
1600.000000	79.045
1625.000000	79.159
1650.000000	79.283
1675.000000	79.422
1700.000000	79.582
1725.000000	79.763
1750.000000	79.955
1775.000000	80.147
1800.000000	80.331
1825.000000	80.504
1850.000000	80.668
1875.000000	80.826
1900.000000	80.987
1925.000000	81.160
1950.000000	81.355
1975.000000	81.575
2000.000000	81.813
2030.000000	82.109
2060.000000	82.405
2090.000000	82.699
2120.000000	82.991
2140.000000	83.182
2180.000000	83.556
2200.000000	83.739
2240.000000	84.108
2270.000000	84.393
2300.000000	84.690
2330.000000	84.998
2360.000000	85.320
2400.000000	85.788
2430.000000	86.179
2470.000000	86.758
2500.000000	87.229
2540.000000	87.877
2580.000000	88.501
2620.000000	89.055
2650.000000	89.414
2690.000000	89.832
2720.000000	90.125
2760.000000	90.532
2800.000000	90.990
2850.000000	91.615
2900.000000	92.206
2950.000000	92.684
3000.000000	93.033
3040.000000	93.236
3070.000000	93.357
3110.000000	93.486
3150.000000	93.583
3200.000000	93.647
3250.000000	93.630
3300.000000	93.527
3350.000000	93.352
3400.000000	93.131
3450.000000	92.887
3500.000000	92.644
3550.000000	92.425
3600.000000	92.237
3650.000000	92.068
3700.000000	91.887
3750.000000	91.669
3820.000000	91.294
3870.000000	91.000
3950.000000	90.529
4000.000000	90.233
4060.000000	89.860
4120.000000	89.466
4180.000000	89.078
4250.000000	88.671
4310.000000	88.373
4370.000000	88.113
4440.000000	87.841
4500.000000	87.626
4550.000000	87.447
4620.000000	87.180
4680.000000	86.924
4750.000000	86.595
4820.000000	86.251
4870.000000	86.008
4940.000000	85.681
5000.000000	85.419
5080.000000	85.101
5150.000000	84.848
5220.000000	84.605
5300.000000	84.331
5380.000000	84.072
5450.000000	83.889
5520.000000	83.780
5600.000000	83.768
5700.000000	83.922
5800.000000	84.205
5900.000000	84.520
6000.000000	84.760
6080.000000	84.840
6150.000000	84.808
6220.000000	84.682
6300.000000	84.440
6400.000000	84.034
6500.000000	83.586
6600.000000	83.182
6700.000000	82.890
6800.000000	82.750
6900.000000	82.777
7000.000000	82.953
7100.000000	83.227
7200.000000	83.537
7300.000000	83.839
7400.000000	84.096
7500.000000	84.283
7620.000000	84.398
7750.000000	84.410
7880.000000	84.351
8000.000000	84.260
8120.000000	84.144
8250.000000	84.000
8380.000000	83.842
8500.000000	83.676
8620.000000	83.462
8750.000000	83.114
8850.000000	82.709
9000.000000	81.769
9120.000000	80.659
9250.000000	79.065
9380.000000	77.147
9500.000000	75.353
9620.000000	74.045
9750.000000	73.736
9880.000000	74.471
10000.000000	75.561
10150.000000	77.018
10300.000000	78.365
10440.000000	79.425
10600.000000	80.307
10750.000000	80.738
10900.000000	80.738
11060.000000	80.263
11200.000000	79.492
11380.000000	78.198
11500.000000	77.364
11720.000000	76.826
11800.000000	77.152
12060.000000	79.665
12200.000000	81.302
12410.000000	83.514
12500.000000	84.318
12650.000000	85.445
12800.000000	86.313
13150.000000	87.435
13200.000000	87.505
13400.000000	87.583
13600.000000	87.376
13800.000000	86.932
14000.000000	86.303
14300.000000	85.143
14500.000000	84.330
14750.000000	83.408
15000.000000	82.707
15250.000000	82.219
15500.000000	81.759
15750.000000	81.114
16000.000000	80.171
16250.000000	78.963
16500.000000	77.742
16750.000000	77.004
17000.000000	77.083
17250.000000	77.650
17500.000000	78.167
17750.000000	78.399
18000.000000	78.381
18250.000000	78.252
18500.000000	78.117
18750.000000	78.000
19000.000000	77.855
19250.000000	77.624
19500.000000	77.293
19750.000000	76.928
20000.000000	76.678
