* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R Moondrop Para, R Moondrop Para, R Moondrop Para
* Dated: Jun 30, 2024 12:05:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R Moondrop Para, R Moondrop Para, R Moondrop Para
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	69.967
20.299999	70.132
20.600000	70.310
20.900000	70.519
21.200001	70.763
21.400000	70.938
21.799999	71.284
22.000000	71.440
22.400000	71.691
22.700001	71.826
23.000000	71.927
23.299999	72.010
23.600000	72.094
24.000000	72.222
24.299999	72.330
24.700001	72.485
25.000000	72.607
25.400000	72.782
25.799999	72.977
26.200001	73.188
26.500000	73.344
26.900000	73.529
27.200001	73.642
27.600000	73.757
28.000000	73.850
28.500000	73.971
29.000000	74.121
29.500000	74.292
30.000000	74.457
30.400000	74.574
30.700001	74.651
31.100000	74.742
31.500000	74.823
32.000000	74.910
32.500000	74.981
33.000000	75.035
33.500000	75.068
34.000000	75.074
34.500000	75.057
35.000000	75.034
35.500000	75.032
36.000000	75.072
36.500000	75.155
37.000000	75.272
37.500000	75.406
38.200001	75.602
38.700001	75.743
39.500000	75.969
40.000000	76.116
40.599998	76.297
41.200001	76.491
41.799999	76.702
42.500000	76.939
43.099998	77.075
43.700001	77.097
44.400002	76.978
45.000000	76.811
45.500000	76.675
46.200001	76.535
46.799999	76.459
47.500000	76.403
48.200001	76.370
48.700001	76.361
49.400002	76.364
50.000000	76.371
50.799999	76.368
51.500000	76.349
52.200001	76.316
53.000000	76.267
53.799999	76.213
54.500000	76.168
55.200001	76.133
56.000000	76.107
57.000000	76.099
58.000000	76.112
59.000000	76.141
60.000000	76.184
60.799999	76.229
61.500000	76.276
62.200001	76.328
63.000000	76.390
64.000000	76.470
65.000000	76.550
66.000000	76.629
67.000000	76.706
68.000000	76.773
69.000000	76.827
70.000000	76.867
71.000000	76.898
72.000000	76.925
73.000000	76.948
74.000000	76.967
75.000000	76.981
76.199997	76.991
77.500000	76.995
