* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L Moondrop Void, L Moondrop Void, L Moondrop Void
* Dated: Jun 30, 2024 12:06:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L Moondrop Void, L Moondrop Void, L Moondrop Void
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	76.610
20.299999	76.799
20.600000	76.976
20.900000	77.153
21.200001	77.340
21.400000	77.474
21.799999	77.758
22.000000	77.903
22.400000	78.181
22.700001	78.368
23.000000	78.528
23.299999	78.663
23.600000	78.779
24.000000	78.917
24.299999	79.020
24.700001	79.169
25.000000	79.293
25.400000	79.471
25.799999	79.659
26.200001	79.846
26.500000	79.982
26.900000	80.153
27.200001	80.274
27.600000	80.428
28.000000	80.576
28.500000	80.763
29.000000	80.953
29.500000	81.138
30.000000	81.304
30.400000	81.422
30.700001	81.504
31.100000	81.609
31.500000	81.716
32.000000	81.852
32.500000	81.985
33.000000	82.106
33.500000	82.212
34.000000	82.306
34.500000	82.396
35.000000	82.485
35.500000	82.580
36.000000	82.682
36.500000	82.795
37.000000	82.916
37.500000	83.038
38.200001	83.199
38.700001	83.299
39.500000	83.437
40.000000	83.516
40.599998	83.615
41.200001	83.724
41.799999	83.839
42.500000	83.966
43.099998	84.053
43.700001	84.117
44.400002	84.176
45.000000	84.220
45.500000	84.250
46.200001	84.267
46.799999	84.249
47.500000	84.181
48.200001	84.073
48.700001	83.982
49.400002	83.864
50.000000	83.801
50.799999	83.813
51.500000	83.917
52.200001	84.080
53.000000	84.293
53.799999	84.496
54.500000	84.654
55.200001	84.791
56.000000	84.927
57.000000	85.077
58.000000	85.211
59.000000	85.326
60.000000	85.425
60.799999	85.490
61.500000	85.533
62.200001	85.563
63.000000	85.581
64.000000	85.584
65.000000	85.575
66.000000	85.559
67.000000	85.535
68.000000	85.504
69.000000	85.463
70.000000	85.419
71.000000	85.381
72.000000	85.356
73.000000	85.352
74.000000	85.378
75.000000	85.437
76.199997	85.540
77.500000	85.667
78.800003	85.784
80.000000	85.869
81.199997	85.934
82.500000	85.991
83.800003	86.049
85.000000	86.106
86.199997	86.168
87.500000	86.236
88.500000	86.286
90.000000	86.354
91.199997	86.402
92.500000	86.445
93.800003	86.478
95.000000	86.501
96.199997	86.520
97.500000	86.539
98.800003	86.557
100.000000	86.571
101.500000	86.580
103.000000	86.578
104.400002	86.569
106.000000	86.561
107.500000	86.557
109.000000	86.560
110.599998	86.565
112.000000	86.564
113.800003	86.553
115.000000	86.544
117.199997	86.545
118.000000	86.553
120.599998	86.583
122.000000	86.593
124.099998	86.599
125.000000	86.599
126.500000	86.597
128.000000	86.592
131.500000	86.579
132.000000	86.577
134.000000	86.568
136.000000	86.563
138.000000	86.564
140.000000	86.567
143.000000	86.569
145.000000	86.571
147.500000	86.573
150.000000	86.569
152.500000	86.559
155.000000	86.543
157.500000	86.525
160.000000	86.509
162.500000	86.493
165.000000	86.476
167.500000	86.454
170.000000	86.427
172.500000	86.403
175.000000	86.378
177.500000	86.353
180.000000	86.330
182.500000	86.313
185.000000	86.300
187.500000	86.291
190.000000	86.286
192.500000	86.282
195.000000	86.276
197.500000	86.266
200.000000	86.256
203.000000	86.251
206.000000	86.251
209.000000	86.250
212.000000	86.229
214.000000	86.205
218.000000	86.169
220.000000	86.169
224.000000	86.181
227.000000	86.173
230.000000	86.150
233.000000	86.125
236.000000	86.107
240.000000	86.092
243.000000	86.086
247.000000	86.072
250.000000	86.053
254.000000	86.023
258.000000	85.998
262.000000	85.980
265.000000	85.967
269.000000	85.951
272.000000	85.940
276.000000	85.924
280.000000	85.906
285.000000	85.869
290.000000	85.816
295.000000	85.760
300.000000	85.707
304.000000	85.669
307.000000	85.640
311.000000	85.600
315.000000	85.557
320.000000	85.500
325.000000	85.438
330.000000	85.376
335.000000	85.320
340.000000	85.270
345.000000	85.226
350.000000	85.192
355.000000	85.173
360.000000	85.172
365.000000	85.172
370.000000	85.161
375.000000	85.144
382.000000	85.118
387.000000	85.107
395.000000	85.091
400.000000	85.071
406.000000	85.033
412.000000	84.984
418.000000	84.926
425.000000	84.851
431.000000	84.786
437.000000	84.718
444.000000	84.622
450.000000	84.518
455.000000	84.424
462.000000	84.295
468.000000	84.186
475.000000	84.040
482.000000	83.873
487.000000	83.751
494.000000	83.569
500.000000	83.394
508.000000	83.134
515.000000	82.892
522.000000	82.645
530.000000	82.377
538.000000	82.155
545.000000	82.035
552.000000	82.037
560.000000	82.219
570.000000	82.580
580.000000	82.878
590.000000	83.029
600.000000	83.066
608.000000	83.061
615.000000	83.061
622.000000	83.087
630.000000	83.159
640.000000	83.307
650.000000	83.496
660.000000	83.692
670.000000	83.865
680.000000	84.009
690.000000	84.137
700.000000	84.272
710.000000	84.418
720.000000	84.568
730.000000	84.718
740.000000	84.869
750.000000	85.022
762.000000	85.218
775.000000	85.447
788.000000	85.683
800.000000	85.880
812.000000	86.033
825.000000	86.135
838.000000	86.175
850.000000	86.172
862.000000	86.146
875.000000	86.106
