* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R Moondrop Void, R Moondrop Void, R Moondrop Void
* Dated: Jun 30, 2024 12:06:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R Moondrop Void, R Moondrop Void, R Moondrop Void
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	78.374
20.299999	78.555
20.600000	78.731
20.900000	78.909
21.200001	79.090
21.400000	79.210
21.799999	79.443
22.000000	79.551
22.400000	79.747
22.700001	79.880
23.000000	80.008
23.299999	80.141
23.600000	80.283
24.000000	80.489
24.299999	80.649
24.700001	80.858
25.000000	81.005
25.400000	81.181
25.799999	81.341
26.200001	81.489
26.500000	81.598
26.900000	81.743
27.200001	81.853
27.600000	82.002
28.000000	82.152
28.500000	82.334
29.000000	82.507
29.500000	82.667
30.000000	82.819
30.400000	82.939
30.700001	83.029
31.100000	83.148
31.500000	83.265
32.000000	83.406
32.500000	83.537
33.000000	83.656
33.500000	83.761
34.000000	83.860
34.500000	83.961
35.000000	84.071
35.500000	84.189
36.000000	84.309
36.500000	84.420
37.000000	84.520
37.500000	84.612
38.200001	84.735
38.700001	84.822
39.500000	84.961
40.000000	85.048
40.599998	85.150
41.200001	85.247
41.799999	85.332
42.500000	85.415
43.099998	85.478
43.700001	85.538
44.400002	85.603
45.000000	85.645
45.500000	85.668
46.200001	85.681
46.799999	85.677
47.500000	85.658
48.200001	85.628
48.700001	85.603
49.400002	85.570
50.000000	85.557
50.799999	85.575
51.500000	85.631
52.200001	85.718
53.000000	85.833
53.799999	85.941
54.500000	86.016
55.200001	86.068
56.000000	86.108
57.000000	86.158
58.000000	86.228
59.000000	86.306
60.000000	86.361
60.799999	86.381
61.500000	86.390
62.200001	86.404
63.000000	86.433
64.000000	86.490
65.000000	86.548
66.000000	86.587
67.000000	86.590
68.000000	86.557
69.000000	86.499
70.000000	86.434
71.000000	86.379
72.000000	86.355
73.000000	86.370
74.000000	86.422
75.000000	86.501
76.199997	86.622
77.500000	86.768
78.800003	86.915
80.000000	87.042
81.199997	87.157
82.500000	87.263
83.800003	87.348
85.000000	87.411
86.199997	87.463
87.500000	87.513
88.500000	87.549
90.000000	87.602
91.199997	87.642
92.500000	87.680
93.800003	87.712
95.000000	87.735
96.199997	87.753
97.500000	87.771
98.800003	87.788
100.000000	87.804
101.500000	87.826
103.000000	87.846
