* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of 10dB_KEMAR_DF_500x_Tilt_, RMS Average R, Ouroboros L, Ouroboros L, Ouroboros L, Ouroboros L, Ouroboros L
* Dated: Mar 13, 2024 9:39:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of 10dB_KEMAR_DF_500x_Tilt_, RMS Average R, Ouroboros L, Ouroboros L, Ouroboros L, Ouroboros L, Ouroboros L
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)
20.600000	74.833
20.900000	74.859
21.200001	74.947
21.400000	75.021
21.799999	75.179
22.000000	75.259
22.400000	75.415
22.700001	75.528
23.000000	75.636
23.299999	75.739
23.600000	75.838
24.000000	75.969
24.299999	76.068
24.700001	76.199
25.000000	76.294
25.400000	76.413
25.799999	76.522
26.200001	76.624
26.500000	76.699
26.900000	76.798
27.200001	76.869
27.600000	76.957
28.000000	77.031
28.500000	77.109
29.000000	77.184
29.500000	77.267
30.000000	77.352
30.400000	77.414
30.700001	77.455
31.100000	77.507
31.500000	77.562
32.000000	77.642
32.500000	77.727
33.000000	77.800
33.500000	77.852
34.000000	77.888
34.500000	77.919
35.000000	77.952
35.500000	77.985
36.000000	78.014
36.500000	78.036
37.000000	78.052
37.500000	78.063
38.200001	78.071
38.700001	78.072
39.500000	78.060
40.000000	78.043
40.599998	78.019
41.200001	77.995
41.799999	77.974
42.500000	77.948
43.099998	77.922
43.700001	77.894
44.400002	77.861
45.000000	77.837
45.500000	77.825
46.200001	77.824
46.799999	77.833
47.500000	77.839
48.200001	77.839
48.700001	77.838
49.400002	77.838
50.000000	77.834
50.799999	77.827
51.500000	77.830
52.200001	77.845
53.000000	77.872
53.799999	77.912
54.500000	77.957
55.200001	78.006
56.000000	78.064
57.000000	78.141
58.000000	78.221
59.000000	78.303
60.000000	78.388
60.799999	78.454
61.500000	78.506
62.200001	78.554
63.000000	78.610
64.000000	78.691
65.000000	78.784
66.000000	78.885
67.000000	78.988
68.000000	79.094
69.000000	79.206
70.000000	79.325
71.000000	79.444
72.000000	79.557
73.000000	79.666
74.000000	79.775
75.000000	79.884
76.199997	80.017
77.500000	80.156
78.800003	80.285
80.000000	80.395
81.199997	80.501
82.500000	80.616
83.800003	80.729
85.000000	80.824
86.199997	80.907
87.500000	80.986
88.500000	81.041
90.000000	81.114
91.199997	81.164
92.500000	81.210
93.800003	81.239
95.000000	81.248
96.199997	81.244
97.500000	81.229
98.800003	81.210
100.000000	81.188
101.500000	81.153
103.000000	81.109
104.400002	81.058
106.000000	80.988
107.500000	80.913
109.000000	80.834
110.599998	80.748
112.000000	80.674
113.800003	80.582
115.000000	80.522
117.199997	80.412
118.000000	80.374
120.599998	80.255
122.000000	80.195
124.099998	80.113
125.000000	80.080
126.500000	80.026
128.000000	79.971
131.500000	79.833
132.000000	79.814
134.000000	79.746
136.000000	79.689
138.000000	79.635
140.000000	79.583
143.000000	79.498
145.000000	79.433
147.500000	79.359
150.000000	79.287
152.500000	79.198
155.000000	79.095
157.500000	78.978
160.000000	78.848
162.500000	78.711
165.000000	78.569
167.500000	78.417
170.000000	78.255
172.500000	78.086
175.000000	77.917
177.500000	77.756
180.000000	77.606
182.500000	77.472
185.000000	77.351
187.500000	77.238
190.000000	77.124
192.500000	77.007
195.000000	76.887
197.500000	76.765
200.000000	76.640
203.000000	76.490
206.000000	76.343
209.000000	76.202
212.000000	76.070
214.000000	75.986
218.000000	75.826
220.000000	75.747
224.000000	75.584
227.000000	75.457
230.000000	75.326
233.000000	75.195
236.000000	75.067
240.000000	74.903
243.000000	74.784
247.000000	74.626
250.000000	74.508
254.000000	74.356
258.000000	74.214
262.000000	74.081
265.000000	73.986
269.000000	73.863
272.000000	73.774
276.000000	73.662
280.000000	73.561
285.000000	73.451
290.000000	73.360
295.000000	73.283
300.000000	73.216
304.000000	73.167
307.000000	73.132
311.000000	73.087
315.000000	73.045
320.000000	72.996
325.000000	72.950
330.000000	72.909
335.000000	72.873
340.000000	72.842
345.000000	72.816
350.000000	72.795
355.000000	72.780
360.000000	72.769
365.000000	72.763
370.000000	72.761
375.000000	72.763
382.000000	72.771
387.000000	72.781
395.000000	72.801
400.000000	72.816
406.000000	72.835
412.000000	72.854
418.000000	72.872
425.000000	72.894
431.000000	72.914
437.000000	72.933
444.000000	72.956
450.000000	72.974
455.000000	72.988
462.000000	73.003
468.000000	73.012
475.000000	73.018
482.000000	73.019
487.000000	73.018
494.000000	73.014
500.000000	73.007
508.000000	72.994
515.000000	72.981
522.000000	72.965
530.000000	72.946
538.000000	72.926
545.000000	72.908
552.000000	72.890
560.000000	72.870
570.000000	72.844
580.000000	72.818
590.000000	72.795
600.000000	72.777
608.000000	72.766
615.000000	72.761
622.000000	72.759
630.000000	72.760
640.000000	72.765
650.000000	72.769
660.000000	72.769
670.000000	72.767
680.000000	72.765
690.000000	72.765
700.000000	72.768
710.000000	72.769
720.000000	72.769
730.000000	72.766
740.000000	72.763
750.000000	72.759
762.000000	72.751
775.000000	72.741
788.000000	72.729
800.000000	72.718
812.000000	72.706
825.000000	72.693
838.000000	72.678
850.000000	72.662
862.000000	72.645
875.000000	72.625
885.000000	72.609
900.000000	72.583
912.000000	72.562
925.000000	72.540
938.000000	72.518
950.000000	72.497
962.000000	72.478
975.000000	72.472
988.000000	72.500
1000.000000	72.576
1015.000000	72.751
1030.000000	72.995
1044.000000	73.242
1060.000000	73.487
1075.000000	73.643
1090.000000	73.725
1106.000000	73.754
1120.000000	73.751
1138.000000	73.732
1150.000000	73.718
1172.000000	73.698
1180.000000	73.693
1206.000000	73.691
1220.000000	73.701
1241.000000	73.735
1250.000000	73.755
1265.000000	73.798
1280.000000	73.849
1315.000000	73.994
1320.000000	74.017
1340.000000	74.114
1360.000000	74.217
1380.000000	74.325
1400.000000	74.438
1430.000000	74.622
1450.000000	74.759
1475.000000	74.945
1500.000000	75.141
1525.000000	75.338
1550.000000	75.532
1575.000000	75.726
1600.000000	75.921
1625.000000	76.120
1650.000000	76.323
1675.000000	76.532
1700.000000	76.747
1725.000000	76.968
1750.000000	77.193
1775.000000	77.421
1800.000000	77.651
1825.000000	77.880
1850.000000	78.110
1875.000000	78.339
1900.000000	78.567
1925.000000	78.794
1950.000000	79.021
1975.000000	79.246
2000.000000	79.470
2030.000000	79.734
2060.000000	79.991
2090.000000	80.241
2120.000000	80.482
2140.000000	80.639
2180.000000	80.942
2200.000000	81.090
2240.000000	81.378
2270.000000	81.588
2300.000000	81.795
2330.000000	81.998
2360.000000	82.200
2400.000000	82.467
2430.000000	82.664
2470.000000	82.924
2500.000000	83.118
2540.000000	83.377
2580.000000	83.637
2620.000000	83.901
2650.000000	84.099
2690.000000	84.364
2720.000000	84.561
2760.000000	84.817
2800.000000	85.063
2850.000000	85.348
2900.000000	85.597
2950.000000	85.804
3000.000000	85.958
