* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -29.9 dBFS, measurement signal peak level -28.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: May 24, 2024 8:45:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: new speaker Delay 0.0191 ms (6.5 mm, 0.26 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -38.4 ppm
* Measurement: Ouroboros Speaker 3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	77.877	102.0168
20.299999	77.980	100.2411
20.600000	78.066	98.4173
20.900000	78.126	96.6197
21.200001	78.164	94.9701
21.400000	78.187	94.0037
21.799999	78.257	92.3411
22.000000	78.314	91.5698
22.400000	78.477	89.8805
22.700001	78.615	88.2755
23.000000	78.722	86.3121
23.299999	78.761	84.1725
23.600000	78.722	82.1614
24.000000	78.573	80.2112
24.299999	78.454	79.5524
24.700001	78.396	79.6037
25.000000	78.486	79.8832
25.400000	78.768	79.8076
25.799999	79.121	78.6069
26.200001	79.413	76.2768
26.500000	79.547	74.1041
26.900000	79.609	71.1322
27.200001	79.587	69.1247
27.600000	79.507	66.9166
28.000000	79.413	65.2250
28.500000	79.317	63.6450
29.000000	79.267	62.4180
29.500000	79.269	61.3248
30.000000	79.309	60.1401
30.400000	79.344	59.0522
30.700001	79.361	58.1784
31.100000	79.365	57.0270
31.500000	79.352	55.9750
32.000000	79.331	54.8345
32.500000	79.316	53.7958
33.000000	79.301	52.7531
33.500000	79.271	51.7125
34.000000	79.224	50.7513
34.500000	79.169	49.9173
35.000000	79.115	49.2000
35.500000	79.072	48.5585
36.000000	79.048	47.9254
36.500000	79.042	47.2007
37.000000	79.039	46.3018
37.500000	79.018	45.2622
38.200001	78.940	43.8911
38.700001	78.870	43.1803
39.500000	78.809	42.4293
40.000000	78.807	41.9735
40.599998	78.812	41.3283
41.200001	78.800	40.7029
41.799999	78.775	40.2828
42.500000	78.764	40.1069
43.099998	78.793	40.0535
