* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Ouroboros R, Ouroboros R, Ouroboros R, Ouroboros R, Ouroboros R
* Dated: Mar 13, 2024 9:35:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Ouroboros R, Ouroboros R, Ouroboros R, Ouroboros R, Ouroboros R
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	74.710
20.299999	74.872
20.600000	75.029
20.900000	75.182
21.200001	75.331
21.400000	75.427
21.799999	75.617
22.000000	75.711
22.400000	75.902
22.700001	76.051
23.000000	76.203
23.299999	76.357
23.600000	76.507
24.000000	76.692
24.299999	76.815
24.700001	76.959
25.000000	77.056
25.400000	77.176
25.799999	77.293
26.200001	77.406
26.500000	77.488
26.900000	77.590
27.200001	77.662
27.600000	77.753
28.000000	77.842
28.500000	77.954
29.000000	78.063
29.500000	78.164
30.000000	78.254
30.400000	78.322
30.700001	78.374
31.100000	78.445
31.500000	78.520
32.000000	78.613
32.500000	78.696
33.000000	78.759
33.500000	78.805
34.000000	78.840
34.500000	78.872
35.000000	78.905
35.500000	78.935
36.000000	78.959
36.500000	78.976
37.000000	78.986
37.500000	78.991
38.200001	78.995
38.700001	78.998
39.500000	79.002
40.000000	79.001
40.599998	79.000
41.200001	79.003
41.799999	79.007
42.500000	78.998
43.099998	78.975
43.700001	78.943
44.400002	78.914
45.000000	78.901
45.500000	78.896
46.200001	78.892
46.799999	78.886
47.500000	78.877
48.200001	78.869
48.700001	78.863
49.400002	78.853
50.000000	78.841
50.799999	78.823
51.500000	78.810
52.200001	78.801
53.000000	78.797
53.799999	78.803
54.500000	78.813
55.200001	78.824
56.000000	78.838
57.000000	78.855
58.000000	78.868
59.000000	78.886
60.000000	78.915
60.799999	78.941
61.500000	78.962
62.200001	78.989
63.000000	79.031
64.000000	79.099
65.000000	79.180
66.000000	79.271
67.000000	79.369
68.000000	79.472
69.000000	79.580
70.000000	79.695
71.000000	79.818
72.000000	79.939
73.000000	80.051
74.000000	80.155
75.000000	80.253
76.199997	80.362
77.500000	80.464
78.800003	80.556
80.000000	80.646
81.199997	80.748
82.500000	80.874
83.800003	81.018
85.000000	81.151
86.199997	81.260
87.500000	81.349
88.500000	81.415
90.000000	81.507
91.199997	81.566
92.500000	81.614
93.800003	81.650
95.000000	81.675
96.199997	81.693
97.500000	81.707
98.800003	81.716
100.000000	81.724
101.500000	81.733
103.000000	81.740
104.400002	81.741
106.000000	81.730
107.500000	81.702
109.000000	81.659
110.599998	81.601
112.000000	81.544
113.800003	81.462
115.000000	81.402
117.199997	81.287
118.000000	81.245
120.599998	81.112
122.000000	81.049
124.099998	80.963
125.000000	80.929
126.500000	80.876
128.000000	80.826
131.500000	80.703
132.000000	80.682
134.000000	80.591
136.000000	80.497
138.000000	80.407
140.000000	80.321
143.000000	80.209
145.000000	80.150
147.500000	80.095
150.000000	80.044
152.500000	79.979
155.000000	79.902
157.500000	79.814
160.000000	79.710
162.500000	79.591
165.000000	79.457
167.500000	79.309
170.000000	79.156
172.500000	79.005
175.000000	78.860
177.500000	78.724
180.000000	78.600
182.500000	78.490
185.000000	78.389
