* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -31.4 dBFS, measurement signal peak level -30.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: May 24, 2024 8:46:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: new speaker Delay -0.0413 ms (-14 mm, -0.56 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -39.4 ppm
* Measurement: Ouroboros Speaker 2
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	77.670	94.3533
20.299999	77.745	92.5404
20.600000	77.763	90.8400
20.900000	77.739	89.5247
21.200001	77.723	88.7509
21.400000	77.750	88.4409
21.799999	77.910	87.8480
22.000000	78.031	87.3136
22.400000	78.268	85.3664
22.700001	78.358	83.2541
23.000000	78.319	81.0821
23.299999	78.164	79.4959
23.600000	77.964	78.8747
24.000000	77.795	79.5400
24.299999	77.857	80.4990
24.700001	78.189	81.0990
25.000000	78.502	80.3665
25.400000	78.817	77.7823
25.799999	78.899	74.4159
26.200001	78.776	71.6847
26.500000	78.641	70.5421
26.900000	78.546	70.0942
27.200001	78.606	70.0421
27.600000	78.847	69.5306
28.000000	79.153	67.9429
28.500000	79.447	64.5787
29.000000	79.556	60.6418
29.500000	79.500	57.0118
30.000000	79.335	54.1893
30.400000	79.162	52.6728
30.700001	79.033	51.9985
31.100000	78.899	51.6320
31.500000	78.841	51.6257
32.000000	78.883	51.5571
32.500000	78.980	50.9128
33.000000	79.032	49.6673
33.500000	78.990	48.2188
34.000000	78.868	46.9740
34.500000	78.709	46.0359
35.000000	78.535	45.3049
35.500000	78.347	44.7498
36.000000	78.154	44.4864
36.500000	77.993	44.5622
37.000000	77.909	44.7539
37.500000	77.901	44.7116
38.200001	77.926	44.0347
38.700001	77.924	43.3939
39.500000	77.929	42.6856
40.000000	77.967	42.3600
40.599998	78.033	41.9351
41.200001	78.102	41.5341
41.799999	78.173	41.1971
42.500000	78.246	40.7961
43.099998	78.279	40.5656
43.700001	78.312	40.6387
44.400002	78.415	40.8386
45.000000	78.539	40.6276
45.500000	78.619	40.1390
46.200001	78.677	39.3617
46.799999	78.710	38.8291
47.500000	78.760	38.2683
48.200001	78.822	37.7267
48.700001	78.882	37.3293
49.400002	78.984	36.4961
50.000000	79.032	35.3624
50.799999	78.951	33.7435
51.500000	78.781	32.8880
52.200001	78.615	32.4834
53.000000	78.454	31.9461
53.799999	78.259	31.2955
54.500000	78.070	31.0583
55.200001	77.944	31.1839
56.000000	77.929	31.2831
57.000000	78.029	30.8755
58.000000	78.172	30.2635
59.000000	78.301	29.6908
60.000000	78.329	29.7327
60.799999	78.335	30.7548
61.500000	78.406	32.0795
62.200001	78.533	33.2080
63.000000	78.667	33.9071
64.000000	78.744	34.2671
65.000000	78.785	34.5882
66.000000	78.882	34.7077
67.000000	79.037	34.3434
68.000000	79.212	33.5759
69.000000	79.380	32.7145
70.000000	79.539	32.0474
71.000000	79.703	31.6428
72.000000	79.875	31.3099
73.000000	80.031	30.8341
74.000000	80.152	30.2130
75.000000	80.249	29.5411
76.199997	80.371	28.6528
77.500000	80.523	27.4912
78.800003	80.689	26.1921
80.000000	80.851	24.9379
81.199997	81.011	23.5875
82.500000	81.162	21.9871
83.800003	81.285	20.2177
85.000000	81.367	18.4124
86.199997	81.417	16.4568
87.500000	81.427	14.2418
88.500000	81.404	12.5372
90.000000	81.318	10.0605
91.199997	81.205	8.1990
92.500000	81.039	6.3693
93.800003	80.835	4.8055
95.000000	80.624	3.6561
96.199997	80.402	2.8293
97.500000	80.167	2.3086
98.800003	79.950	2.1456
100.000000	79.776	2.2573
