* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Philephone Dilupus L, Philephone Dilupus L, Philephone Dilupus L, Philephone Dilupus L, Philephone Dilupus L
* Dated: Feb 7, 2024 10:33:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Philephone Dilupus L, Philephone Dilupus L, Philephone Dilupus L, Philephone Dilupus L, Philephone Dilupus L
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	63.469
20.299999	63.711
20.600000	63.952
20.900000	64.193
21.200001	64.434
21.400000	64.593
21.799999	64.910
22.000000	65.065
22.400000	65.368
22.700001	65.588
23.000000	65.803
23.299999	66.013
23.600000	66.218
24.000000	66.484
24.299999	66.674
24.700001	66.912
25.000000	67.080
25.400000	67.293
25.799999	67.502
26.200001	67.715
26.500000	67.879
26.900000	68.099
27.200001	68.259
27.600000	68.462
28.000000	68.649
28.500000	68.870
29.000000	69.090
29.500000	69.313
30.000000	69.533
30.400000	69.700
30.700001	69.819
31.100000	69.971
31.500000	70.117
32.000000	70.294
32.500000	70.463
33.000000	70.623
33.500000	70.771
34.000000	70.909
34.500000	71.036
35.000000	71.157
35.500000	71.278
36.000000	71.403
36.500000	71.533
37.000000	71.659
37.500000	71.776
38.200001	71.924
38.700001	72.027
39.500000	72.206
40.000000	72.328
40.599998	72.475
41.200001	72.614
41.799999	72.741
42.500000	72.878
43.099998	72.987
43.700001	73.088
44.400002	73.193
45.000000	73.275
45.500000	73.337
46.200001	73.412
46.799999	73.468
47.500000	73.528
48.200001	73.584
48.700001	73.622
49.400002	73.669
50.000000	73.708
50.799999	73.763
51.500000	73.817
52.200001	73.875
53.000000	73.943
53.799999	74.007
54.500000	74.062
55.200001	74.118
56.000000	74.182
57.000000	74.251
58.000000	74.312
59.000000	74.391
60.000000	74.473
60.799999	74.497
61.500000	74.484
62.200001	74.458
63.000000	74.435
64.000000	74.428
65.000000	74.439
66.000000	74.458
67.000000	74.477
68.000000	74.490
69.000000	74.500
70.000000	74.511
71.000000	74.527
72.000000	74.549
73.000000	74.579
74.000000	74.616
75.000000	74.660
76.199997	74.716
77.500000	74.772
78.800003	74.813
80.000000	74.832
81.199997	74.836
82.500000	74.830
83.800003	74.816
85.000000	74.798
86.199997	74.774
87.500000	74.741
88.500000	74.713
90.000000	74.670
91.199997	74.641
92.500000	74.612
93.800003	74.582
95.000000	74.552
96.199997	74.517
97.500000	74.473
98.800003	74.419
100.000000	74.363
101.500000	74.289
103.000000	74.210
104.400002	74.134
106.000000	74.044
107.500000	73.956
109.000000	73.863
110.599998	73.759
112.000000	73.666
113.800003	73.550
115.000000	73.480
117.199997	73.379
118.000000	73.351
120.599998	73.296
122.000000	73.293
124.099998	73.303
125.000000	73.305
126.500000	73.300
128.000000	73.284
131.500000	73.226
132.000000	73.216
134.000000	73.179
136.000000	73.139
138.000000	73.096
140.000000	73.049
143.000000	72.974
145.000000	72.920
147.500000	72.851
150.000000	72.788
152.500000	72.729
155.000000	72.670
157.500000	72.610
160.000000	72.552
162.500000	72.495
165.000000	72.435
167.500000	72.369
170.000000	72.300
172.500000	72.230
175.000000	72.163
177.500000	72.099
180.000000	72.039
182.500000	71.986
185.000000	71.935
187.500000	71.883
190.000000	71.826
192.500000	71.766
195.000000	71.703
197.500000	71.643
200.000000	71.588
203.000000	71.529
206.000000	71.472
209.000000	71.418
212.000000	71.366
214.000000	71.333
218.000000	71.275
220.000000	71.247
224.000000	71.189
227.000000	71.147
230.000000	71.107
233.000000	71.071
236.000000	71.041
240.000000	70.998
243.000000	70.958
247.000000	70.899
250.000000	70.857
254.000000	70.805
258.000000	70.759
262.000000	70.716
265.000000	70.686
269.000000	70.647
272.000000	70.619
276.000000	70.582
280.000000	70.546
285.000000	70.499
290.000000	70.452
295.000000	70.405
300.000000	70.360
304.000000	70.324
307.000000	70.299
311.000000	70.268
315.000000	70.239
320.000000	70.202
325.000000	70.167
330.000000	70.136
335.000000	70.110
340.000000	70.088
345.000000	70.068
350.000000	70.050
355.000000	70.034
360.000000	70.020
365.000000	70.007
370.000000	69.993
375.000000	69.979
382.000000	69.962
387.000000	69.952
395.000000	69.937
400.000000	69.927
406.000000	69.911
412.000000	69.893
418.000000	69.874
425.000000	69.857
431.000000	69.847
437.000000	69.839
444.000000	69.830
450.000000	69.824
455.000000	69.821
462.000000	69.822
468.000000	69.827
475.000000	69.836
482.000000	69.844
487.000000	69.849
494.000000	69.858
500.000000	69.869
508.000000	69.889
515.000000	69.908
522.000000	69.932
530.000000	69.963
538.000000	69.998
545.000000	70.032
552.000000	70.067
560.000000	70.106
570.000000	70.154
580.000000	70.204
590.000000	70.259
600.000000	70.317
608.000000	70.358
615.000000	70.379
622.000000	70.373
630.000000	70.316
640.000000	70.168
650.000000	70.009
660.000000	69.962
670.000000	70.059
680.000000	70.230
690.000000	70.409
700.000000	70.567
710.000000	70.698
720.000000	70.810
730.000000	70.910
740.000000	71.004
750.000000	71.097
762.000000	71.207
775.000000	71.331
788.000000	71.462
800.000000	71.588
812.000000	71.714
825.000000	71.847
838.000000	71.965
850.000000	72.052
862.000000	72.117
875.000000	72.173
885.000000	72.215
900.000000	72.277
912.000000	72.323
925.000000	72.374
938.000000	72.428
950.000000	72.482
962.000000	72.545
975.000000	72.623
988.000000	72.706
1000.000000	72.782
1015.000000	72.866
1030.000000	72.943
1044.000000	73.019
1060.000000	73.118
1075.000000	73.226
1090.000000	73.342
1106.000000	73.460
1120.000000	73.549
1138.000000	73.684
1150.000000	73.823
1172.000000	74.150
1180.000000	74.271
1206.000000	74.622
1220.000000	74.787
1241.000000	75.017
1250.000000	75.111
1265.000000	75.264
1280.000000	75.405
1315.000000	75.680
1320.000000	75.714
1340.000000	75.835
1360.000000	75.930
1380.000000	76.005
1400.000000	76.074
1430.000000	76.180
1450.000000	76.251
1475.000000	76.336
1500.000000	76.415
1525.000000	76.478
1550.000000	76.525
1575.000000	76.570
1600.000000	76.624
1625.000000	76.671
1650.000000	76.695
1675.000000	76.705
1700.000000	76.726
1725.000000	76.756
1750.000000	76.779
1775.000000	76.783
1800.000000	76.774
1825.000000	76.770
1850.000000	76.794
1875.000000	76.853
1900.000000	76.938
1925.000000	77.024
1950.000000	77.091
1975.000000	77.134
2000.000000	77.158
2030.000000	77.171
2060.000000	77.167
2090.000000	77.134
2120.000000	77.063
2140.000000	76.995
2180.000000	76.834
2200.000000	76.756
2240.000000	76.625
2270.000000	76.529
2300.000000	76.391
2330.000000	76.190
2360.000000	75.939
2400.000000	75.574
2430.000000	75.309
2470.000000	74.988
2500.000000	74.776
2540.000000	74.538
2580.000000	74.368
2620.000000	74.286
2650.000000	74.292
2690.000000	74.395
2720.000000	74.551
2760.000000	74.875
2800.000000	75.332
2850.000000	76.063
2900.000000	76.902
2950.000000	77.756
3000.000000	78.579
3040.000000	79.222
3070.000000	79.706
3110.000000	80.350
3150.000000	80.979
3200.000000	81.721
3250.000000	82.397
3300.000000	82.993
3350.000000	83.498
3400.000000	83.907
3450.000000	84.213
3500.000000	84.410
3550.000000	84.502
3600.000000	84.501
3650.000000	84.421
3700.000000	84.271
3750.000000	84.061
3820.000000	83.697
3870.000000	83.411
3950.000000	82.931
4000.000000	82.619
4060.000000	82.231
4120.000000	81.834
4180.000000	81.434
4250.000000	80.968
4310.000000	80.570
4370.000000	80.189
4440.000000	79.791
4500.000000	79.505
4550.000000	79.307
4620.000000	79.089
4680.000000	78.962
4750.000000	78.903
4820.000000	78.958
4870.000000	79.074
4940.000000	79.348
5000.000000	79.690
5080.000000	80.307
5150.000000	80.995
5220.000000	81.794
5300.000000	82.763
5380.000000	83.665
5450.000000	84.284
5520.000000	84.649
5600.000000	84.668
5700.000000	84.040
5800.000000	82.772
5900.000000	81.105
6000.000000	79.318
6080.000000	77.953
6150.000000	76.865
6220.000000	75.896
6300.000000	74.943
6400.000000	73.967
6500.000000	73.199
6600.000000	72.589
6700.000000	72.087
6800.000000	71.657
6900.000000	71.282
7000.000000	70.992
7100.000000	70.855
7200.000000	70.951
7300.000000	71.331
7400.000000	71.992
7500.000000	72.897
7620.000000	74.184
7750.000000	75.550
7880.000000	76.555
8000.000000	77.003
8120.000000	76.996
8250.000000	76.513
8380.000000	75.570
8500.000000	74.423
8620.000000	73.291
8750.000000	72.489
8850.000000	72.344
9000.000000	72.746
9120.000000	73.235
9250.000000	73.584
9380.000000	73.574
9500.000000	73.196
9620.000000	72.474
9750.000000	71.361
9880.000000	70.002
10000.000000	68.655
10150.000000	67.051
10300.000000	65.782
10440.000000	65.120
10600.000000	65.123
10750.000000	65.786
10900.000000	66.884
11060.000000	68.256
11200.000000	69.337
11380.000000	70.124
11500.000000	70.112
11720.000000	68.964
11800.000000	68.262
12060.000000	65.675
12200.000000	64.631
12410.000000	64.271
12500.000000	64.552
12650.000000	65.352
12800.000000	66.273
13150.000000	67.799
13200.000000	67.906
13400.000000	68.050
13600.000000	67.765
13800.000000	67.114
14000.000000	66.287
14300.000000	65.823
14500.000000	66.840
14750.000000	69.035
15000.000000	70.820
15250.000000	71.463
15500.000000	70.946
15750.000000	69.717
16000.000000	68.764
16250.000000	68.929
16500.000000	69.601
16750.000000	69.936
17000.000000	69.859
17250.000000	69.566
17500.000000	68.983
17750.000000	67.848
18000.000000	66.243
18250.000000	65.117
18500.000000	65.493
18750.000000	66.656
19000.000000	67.561
19250.000000	67.891
19500.000000	67.755
19750.000000	67.455
