* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Philephone Dilupus R, Philephone Dilupus R, Philephone Dilupus R, Philephone Dilupus R, Philephone Dilupus R, Vector average
* Dated: Feb 7, 2024 10:30:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Philephone Dilupus R, Philephone Dilupus R, Philephone Dilupus R, Philephone Dilupus R, Philephone Dilupus R, Vector average
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	62.014
20.299999	62.225
20.600000	62.454
20.900000	62.699
21.200001	62.959
21.400000	63.136
21.799999	63.496
22.000000	63.677
22.400000	64.040
22.700001	64.312
23.000000	64.579
23.299999	64.841
23.600000	65.094
24.000000	65.418
24.299999	65.653
24.700001	65.962
25.000000	66.192
25.400000	66.494
25.799999	66.783
26.200001	67.049
26.500000	67.230
26.900000	67.446
27.200001	67.594
27.600000	67.782
28.000000	67.974
28.500000	68.227
29.000000	68.494
29.500000	68.757
30.000000	68.997
30.400000	69.170
30.700001	69.290
31.100000	69.446
31.500000	69.603
32.000000	69.806
32.500000	70.013
33.000000	70.214
33.500000	70.405
34.000000	70.584
34.500000	70.753
35.000000	70.915
35.500000	71.069
36.000000	71.217
36.500000	71.357
37.000000	71.492
37.500000	71.626
38.200001	71.823
38.700001	71.975
39.500000	72.226
40.000000	72.377
40.599998	72.547
41.200001	72.704
41.799999	72.849
42.500000	73.002
43.099998	73.123
43.700001	73.242
44.400002	73.380
45.000000	73.493
45.500000	73.579
46.200001	73.687
46.799999	73.772
47.500000	73.858
48.200001	73.920
48.700001	73.951
49.400002	73.989
50.000000	74.028
50.799999	74.093
51.500000	74.155
52.200001	74.214
53.000000	74.276
53.799999	74.335
54.500000	74.389
55.200001	74.444
56.000000	74.504
57.000000	74.566
58.000000	74.610
59.000000	74.635
60.000000	74.658
60.799999	74.678
61.500000	74.688
62.200001	74.687
63.000000	74.677
64.000000	74.659
65.000000	74.641
66.000000	74.636
67.000000	74.644
68.000000	74.662
69.000000	74.688
70.000000	74.721
71.000000	74.759
72.000000	74.797
73.000000	74.831
74.000000	74.862
75.000000	74.892
76.199997	74.933
77.500000	74.984
78.800003	75.036
80.000000	75.081
81.199997	75.122
82.500000	75.151
83.800003	75.157
85.000000	75.150
86.199997	75.142
87.500000	75.133
88.500000	75.124
90.000000	75.106
91.199997	75.089
92.500000	75.064
93.800003	75.028
95.000000	74.983
96.199997	74.931
97.500000	74.867
98.800003	74.796
100.000000	74.724
101.500000	74.624
103.000000	74.517
104.400002	74.417
106.000000	74.310
107.500000	74.216
109.000000	74.130
110.599998	74.049
112.000000	73.987
113.800003	73.915
115.000000	73.874
117.199997	73.821
118.000000	73.809
120.599998	73.755
122.000000	73.691
124.099998	73.564
125.000000	73.513
126.500000	73.439
128.000000	73.381
131.500000	73.272
132.000000	73.259
134.000000	73.209
136.000000	73.165
138.000000	73.119
140.000000	73.066
143.000000	72.979
145.000000	72.927
147.500000	72.867
150.000000	72.798
152.500000	72.722
155.000000	72.645
157.500000	72.570
160.000000	72.500
162.500000	72.435
165.000000	72.376
167.500000	72.318
170.000000	72.262
172.500000	72.206
175.000000	72.152
