* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Philphone Frankenrose L, Philphone Frankenrose L, Philphone Frankenrose L, Philphone Frankenrose L, Philphone Frankenrose L
* Dated: Feb 7, 2024 4:53:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Philphone Frankenrose L, Philphone Frankenrose L, Philphone Frankenrose L, Philphone Frankenrose L, Philphone Frankenrose L
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	61.181
20.299999	61.431
20.600000	61.669
20.900000	61.903
21.200001	62.141
21.400000	62.303
21.799999	62.627
22.000000	62.785
22.400000	63.080
22.700001	63.280
23.000000	63.463
23.299999	63.640
23.600000	63.819
24.000000	64.072
24.299999	64.275
24.700001	64.550
25.000000	64.751
25.400000	64.998
25.799999	65.223
26.200001	65.434
26.500000	65.592
26.900000	65.807
27.200001	65.971
27.600000	66.188
28.000000	66.394
28.500000	66.630
29.000000	66.848
29.500000	67.059
30.000000	67.263
30.400000	67.421
30.700001	67.534
31.100000	67.683
31.500000	67.833
32.000000	68.025
32.500000	68.219
33.000000	68.403
33.500000	68.572
34.000000	68.731
34.500000	68.886
35.000000	69.042
35.500000	69.195
36.000000	69.344
36.500000	69.487
37.000000	69.625
37.500000	69.758
38.200001	69.935
38.700001	70.056
39.500000	70.237
40.000000	70.341
40.599998	70.456
41.200001	70.564
41.799999	70.670
42.500000	70.791
43.099998	70.890
43.700001	70.984
44.400002	71.088
45.000000	71.176
45.500000	71.247
46.200001	71.344
46.799999	71.419
47.500000	71.490
48.200001	71.535
48.700001	71.550
49.400002	71.555
50.000000	71.552
50.799999	71.551
51.500000	71.559
52.200001	71.578
53.000000	71.614
53.799999	71.665
54.500000	71.722
55.200001	71.785
56.000000	71.858
57.000000	71.942
58.000000	72.004
59.000000	72.039
60.000000	72.099
60.799999	72.190
61.500000	72.281
62.200001	72.363
63.000000	72.439
64.000000	72.513
65.000000	72.567
66.000000	72.602
67.000000	72.619
68.000000	72.622
69.000000	72.616
70.000000	72.606
71.000000	72.600
72.000000	72.601
73.000000	72.608
74.000000	72.618
75.000000	72.623
76.199997	72.620
77.500000	72.606
78.800003	72.595
80.000000	72.595
81.199997	72.600
82.500000	72.613
83.800003	72.629
85.000000	72.638
86.199997	72.639
87.500000	72.635
88.500000	72.630
90.000000	72.619
91.199997	72.606
92.500000	72.589
93.800003	72.570
95.000000	72.547
96.199997	72.517
97.500000	72.478
98.800003	72.435
100.000000	72.392
101.500000	72.336
103.000000	72.278
104.400002	72.219
106.000000	72.146
107.500000	72.075
109.000000	72.007
110.599998	71.940
112.000000	71.884
113.800003	71.804
115.000000	71.737
117.199997	71.587
118.000000	71.532
120.599998	71.396
122.000000	71.348
124.099998	71.262
125.000000	71.216
126.500000	71.129
128.000000	71.042
131.500000	70.910
132.000000	70.902
134.000000	70.886
136.000000	70.877
138.000000	70.858
140.000000	70.830
143.000000	70.781
145.000000	70.745
147.500000	70.696
150.000000	70.643
152.500000	70.585
155.000000	70.520
157.500000	70.452
160.000000	70.386
162.500000	70.324
165.000000	70.260
167.500000	70.197
170.000000	70.137
172.500000	70.081
175.000000	70.028
177.500000	69.972
180.000000	69.914
182.500000	69.857
185.000000	69.804
187.500000	69.754
190.000000	69.705
192.500000	69.657
195.000000	69.610
197.500000	69.566
200.000000	69.523
203.000000	69.473
206.000000	69.422
209.000000	69.371
212.000000	69.320
214.000000	69.286
218.000000	69.219
220.000000	69.186
224.000000	69.118
227.000000	69.064
230.000000	69.009
233.000000	68.951
236.000000	68.892
240.000000	68.819
243.000000	68.776
247.000000	68.726
250.000000	68.689
254.000000	68.640
258.000000	68.592
262.000000	68.544
265.000000	68.506
269.000000	68.457
272.000000	68.420
276.000000	68.369
280.000000	68.315
285.000000	68.250
290.000000	68.192
295.000000	68.141
300.000000	68.096
304.000000	68.067
307.000000	68.049
311.000000	68.025
315.000000	68.004
