* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Philphone Frankenrose R, Philphone Frankenrose R, Philphone Frankenrose R, Philphone Frankenrose R, Philphone Frankenrose R
* Dated: Feb 7, 2024 4:51:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Philphone Frankenrose R, Philphone Frankenrose R, Philphone Frankenrose R, Philphone Frankenrose R, Philphone Frankenrose R
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	70.279
20.299999	70.506
20.600000	70.717
20.900000	70.917
21.200001	71.111
21.400000	71.239
21.799999	71.494
22.000000	71.620
22.400000	71.873
22.700001	72.060
23.000000	72.245
23.299999	72.426
23.600000	72.602
24.000000	72.829
24.299999	72.993
24.700001	73.204
25.000000	73.355
25.400000	73.550
25.799999	73.736
26.200001	73.916
26.500000	74.048
26.900000	74.224
27.200001	74.357
27.600000	74.536
28.000000	74.714
28.500000	74.929
29.000000	75.133
29.500000	75.322
30.000000	75.501
30.400000	75.637
30.700001	75.735
31.100000	75.857
31.500000	75.968
32.000000	76.092
32.500000	76.210
33.000000	76.331
33.500000	76.461
34.000000	76.597
34.500000	76.730
35.000000	76.855
35.500000	76.972
36.000000	77.086
36.500000	77.201
37.000000	77.317
37.500000	77.431
38.200001	77.577
38.700001	77.669
39.500000	77.796
40.000000	77.866
40.599998	77.943
41.200001	78.017
41.799999	78.089
42.500000	78.172
43.099998	78.241
43.700001	78.308
44.400002	78.383
45.000000	78.444
45.500000	78.491
46.200001	78.549
46.799999	78.587
47.500000	78.614
48.200001	78.620
48.700001	78.614
49.400002	78.597
50.000000	78.582
50.799999	78.570
51.500000	78.576
52.200001	78.602
53.000000	78.651
53.799999	78.714
54.500000	78.773
55.200001	78.829
56.000000	78.886
57.000000	78.949
58.000000	79.011
59.000000	79.079
60.000000	79.148
60.799999	79.194
61.500000	79.225
62.200001	79.247
63.000000	79.266
64.000000	79.284
65.000000	79.296
66.000000	79.299
67.000000	79.292
