* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -40.0 dBFS, measurement signal peak level -40.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Jun 16, 2023 6:46:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Ragnarok Philphone
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	68.461	-66.1940
20.299999	68.603	-66.7898
20.600000	68.750	-67.2278
20.900000	68.906	-67.5805
21.200001	69.069	-67.9154
21.400000	69.181	-68.1599
21.799999	69.407	-68.7459
22.000000	69.518	-69.1093
22.400000	69.728	-70.0059
22.700001	69.871	-70.8317
23.000000	69.996	-71.7833
23.299999	70.102	-72.8496
23.600000	70.185	-74.0151
24.000000	70.255	-75.6731
24.299999	70.274	-76.9140
24.700001	70.257	-78.3991
25.000000	70.230	-79.2518
25.400000	70.213	-79.9370
25.799999	70.281	-80.2138
26.200001	70.467	-80.4520
26.500000	70.671	-80.8767
26.900000	70.979	-81.9739
27.200001	71.197	-83.1690
27.600000	71.438	-85.0271
28.000000	71.623	-86.8269
28.500000	71.823	-88.6572
29.000000	72.035	-90.0893
29.500000	72.254	-91.3609
30.000000	72.455	-92.4779
30.400000	72.608	-93.1534
30.700001	72.732	-93.5372
31.100000	72.919	-94.0378
31.500000	73.114	-94.7240
32.000000	73.311	-95.9646
32.500000	73.408	-97.3197
33.000000	73.431	-98.2497
33.500000	73.467	-98.6198
34.000000	73.579	-98.8737
34.500000	73.742	-99.5793
35.000000	73.882	-100.8681
35.500000	73.954	-102.4178
36.000000	73.977	-103.8496
36.500000	73.993	-105.0503
37.000000	74.027	-106.1280
37.500000	74.077	-107.1929
38.200001	74.157	-108.6541
38.700001	74.221	-109.6192
39.500000	74.343	-111.0555
40.000000	74.426	-111.9428
40.599998	74.522	-113.0154
41.200001	74.606	-114.0743
41.799999	74.679	-115.1057
42.500000	74.753	-116.3056
43.099998	74.802	-117.3719
43.700001	74.832	-118.4426
44.400002	74.851	-119.5849
45.000000	74.877	-120.4477
45.500000	74.915	-121.1643
46.200001	74.984	-122.2853
46.799999	75.039	-123.3417
