* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2023 5:45:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Project OG On-Ear
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	61.261	-155.2296
20.299999	61.421	-158.1395
20.600000	61.487	-160.2645
20.900000	61.543	-161.4174
21.200001	61.685	-161.8335
21.400000	61.852	-162.0709
21.799999	62.294	-163.1354
22.000000	62.522	-164.2077
22.400000	62.861	-167.4760
22.700001	62.959	-170.3600
23.000000	62.928	-172.8774
23.299999	62.841	-174.5844
23.600000	62.793	-175.5142
24.000000	62.899	-176.2013
24.299999	63.097	-177.0901
24.700001	63.380	-179.3865
25.000000	63.495	178.3356
25.400000	63.467	175.7204
25.799999	63.384	175.0084
26.200001	63.572	176.3616
26.500000	64.016	177.7795
26.900000	64.907	178.5399
27.200001	65.605	177.4358
27.600000	66.353	173.7101
28.000000	66.792	168.6451
28.500000	66.971	162.9160
29.000000	66.996	159.5143
29.500000	67.135	158.0142
30.000000	67.453	156.8550
30.400000	67.747	155.5048
30.700001	67.946	154.2523
31.100000	68.170	152.4991
31.500000	68.362	150.8317
32.000000	68.595	148.8687
32.500000	68.820	146.8240
33.000000	69.005	144.6250
33.500000	69.137	142.4816
34.000000	69.242	140.6397
34.500000	69.367	139.1014
35.000000	69.534	137.6529
35.500000	69.729	136.0684
36.000000	69.924	134.2964
36.500000	70.102	132.4257
37.000000	70.266	130.5471
37.500000	70.420	128.6632
38.200001	70.607	125.9668
38.700001	70.708	124.0543
39.500000	70.829	121.2242
40.000000	70.899	119.5594
40.599998	70.974	117.5352
41.200001	71.022	115.5017
41.799999	71.047	113.6024
42.500000	71.079	111.5641
43.099998	71.113	109.8066
43.700001	71.127	108.0408
44.400002	71.110	106.2114
45.000000	71.088	104.9760
45.500000	71.076	104.1687
46.200001	71.073	103.3835
46.799999	71.100	103.0682
47.500000	71.203	102.9637
48.200001	71.383	102.7545
48.700001	71.534	102.3819
49.400002	71.747	101.5466
50.000000	71.920	100.6163
50.799999	72.139	99.1285
51.500000	72.312	97.6387
52.200001	72.468	96.0974
53.000000	72.642	94.4420
53.799999	72.841	92.9002
54.500000	73.031	91.5277
55.200001	73.212	90.1229
56.000000	73.392	88.6286
57.000000	73.595	87.0980
58.000000	73.807	85.8296
59.000000	74.044	84.3227
60.000000	74.224	81.9858
60.799999	74.249	79.7639
61.500000	74.200	77.9945
62.200001	74.135	76.5140
63.000000	74.088	75.0103
64.000000	74.075	73.1505
65.000000	74.095	71.2823
66.000000	74.133	69.5052
67.000000	74.184	67.8907
68.000000	74.244	66.4163
69.000000	74.303	65.0225
70.000000	74.359	63.6545
71.000000	74.410	62.2422
72.000000	74.454	60.7300
73.000000	74.482	59.1299
74.000000	74.490	57.5706
75.000000	74.493	56.1821
76.199997	74.511	54.7035
77.500000	74.542	53.2163
78.800003	74.568	51.8040
80.000000	74.581	50.5366
81.199997	74.585	49.3180
82.500000	74.595	47.9991
83.800003	74.601	46.5524
85.000000	74.584	45.1786
86.199997	74.550	43.8921
87.500000	74.511	42.5865
88.500000	74.483	41.6002
90.000000	74.449	40.1127
91.199997	74.433	38.8900
92.500000	74.422	37.5122
93.800003	74.404	36.1521
95.000000	74.382	35.0261
96.199997	74.368	34.0145
97.500000	74.361	32.9524
98.800003	74.352	31.8950
100.000000	74.337	30.9568
101.500000	74.311	29.8860
103.000000	74.283	28.9161
104.400002	74.254	28.0107
106.000000	74.205	26.8557
107.500000	74.130	25.6992
109.000000	74.025	24.6619
110.599998	73.889	23.9453
112.000000	73.770	23.6909
113.800003	73.626	23.6307
115.000000	73.550	23.6194
117.199997	73.552	22.9791
118.000000	73.603	22.2963
120.599998	73.743	18.6832
122.000000	73.725	16.9297
124.099998	73.631	15.6085
125.000000	73.589	15.3714
126.500000	73.525	15.0676
128.000000	73.469	14.7391
131.500000	73.417	14.0647
132.000000	73.415	13.9636
134.000000	73.375	13.3159
136.000000	73.253	12.0270
138.000000	73.099	10.1534
140.000000	73.003	8.1606
143.000000	72.942	6.6541
145.000000	72.898	7.2852
147.500000	72.863	8.4424
150.000000	72.832	8.4150
152.500000	72.811	7.5319
155.000000	72.780	6.7020
157.500000	72.689	6.2688
160.000000	72.567	5.9958
162.500000	72.469	5.5807
165.000000	72.397	5.0599
167.500000	72.319	4.6133
170.000000	72.229	4.2821
172.500000	72.136	3.9987
175.000000	72.048	3.7828
177.500000	71.970	3.6577
180.000000	71.909	3.6013
182.500000	71.865	3.5613
185.000000	71.828	3.5075
187.500000	71.798	3.4414
190.000000	71.778	3.3608
192.500000	71.770	3.2830
195.000000	71.771	3.2043
197.500000	71.774	3.0499
200.000000	71.771	2.7627
203.000000	71.752	2.2643
206.000000	71.722	1.6936
209.000000	71.687	1.1277
212.000000	71.641	0.5367
214.000000	71.603	0.1154
218.000000	71.521	-0.6245
220.000000	71.486	-0.8572
224.000000	71.417	-1.0751
227.000000	71.351	-1.1649
230.000000	71.276	-1.2766
233.000000	71.195	-1.3885
236.000000	71.108	-1.4893
240.000000	71.001	-1.6381
243.000000	70.951	-1.7574
247.000000	70.924	-1.9118
250.000000	70.905	-1.9966
254.000000	70.859	-2.0372
258.000000	70.798	-2.0151
262.000000	70.732	-1.9678
265.000000	70.685	-1.9453
269.000000	70.629	-1.9722
272.000000	70.592	-2.0209
276.000000	70.551	-2.0922
280.000000	70.522	-2.2039
285.000000	70.475	-2.4912
290.000000	70.370	-2.8090
295.000000	70.271	-2.6924
300.000000	70.259	-2.3693
304.000000	70.261	-2.2516
307.000000	70.246	-2.2350
311.000000	70.203	-2.2690
315.000000	70.157	-2.3463
320.000000	70.121	-2.4296
325.000000	70.101	-2.3911
330.000000	70.077	-2.2361
335.000000	70.036	-2.0528
340.000000	69.981	-1.8645
345.000000	69.936	-1.6824
350.000000	69.910	-1.5378
355.000000	69.890	-1.4513
360.000000	69.862	-1.4082
365.000000	69.827	-1.3883
370.000000	69.793	-1.3821
375.000000	69.761	-1.4028
382.000000	69.715	-1.4587
387.000000	69.676	-1.4666
395.000000	69.608	-1.3741
400.000000	69.566	-1.2755
406.000000	69.515	-1.1554
412.000000	69.458	-1.0717
418.000000	69.393	-1.0311
425.000000	69.317	-0.9329
431.000000	69.261	-0.7154
437.000000	69.213	-0.3755
444.000000	69.156	0.0838
450.000000	69.104	0.4655
455.000000	69.061	0.7740
462.000000	69.007	1.2070
468.000000	68.965	1.5988
475.000000	68.919	2.1041
482.000000	68.878	2.6409
487.000000	68.856	3.0251
494.000000	68.833	3.5668
500.000000	68.815	4.0502
508.000000	68.799	4.7115
515.000000	68.792	5.2535
522.000000	68.790	5.7413
530.000000	68.796	6.3001
538.000000	68.819	6.9055
545.000000	68.852	7.4005
552.000000	68.884	7.7738
560.000000	68.901	8.0599
570.000000	68.901	8.4169
580.000000	68.924	8.9397
590.000000	68.981	9.3813
600.000000	69.017	9.5873
608.000000	69.017	9.7147
615.000000	69.006	9.8881
622.000000	68.995	10.1218
630.000000	68.984	10.4170
640.000000	68.973	10.8014
650.000000	68.970	11.2311
660.000000	68.980	11.6882
670.000000	68.996	12.1338
680.000000	69.008	12.5428
690.000000	69.012	12.9313
700.000000	69.007	13.3507
710.000000	69.004	13.7809
720.000000	69.000	14.1567
730.000000	68.977	14.5773
740.000000	68.952	15.1548
750.000000	68.953	15.8076
762.000000	68.998	16.4644
775.000000	69.058	16.8821
788.000000	69.085	17.1093
800.000000	69.063	17.3124
812.000000	68.997	17.7374
825.000000	68.924	18.6044
838.000000	68.901	19.6624
850.000000	68.920	20.5452
862.000000	68.948	21.2967
875.000000	68.958	22.1344
885.000000	68.959	22.9010
900.000000	68.984	24.1465
912.000000	69.031	25.0616
925.000000	69.094	25.8890
938.000000	69.151	26.5842
950.000000	69.194	27.2035
962.000000	69.230	27.8700
975.000000	69.266	28.6891
988.000000	69.311	29.6478
1000.000000	69.383	30.5735
1015.000000	69.508	31.4750
1030.000000	69.615	32.0163
1044.000000	69.672	32.4755
1060.000000	69.711	33.2188
1075.000000	69.757	34.1195
1090.000000	69.826	35.0348
1106.000000	69.903	35.9260
1120.000000	69.966	36.7540
1138.000000	70.066	37.8525
1150.000000	70.136	38.5287
1172.000000	70.259	39.7299
1180.000000	70.306	40.1729
1206.000000	70.474	41.5595
1220.000000	70.559	42.2196
1241.000000	70.653	43.2192
