* Measurement data measured by REW V5.31.1
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.410. Timing signal peak level -35.2 dBFS, measurement signal peak level -30.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Oct 29, 2024 8:20:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0992 ms (-34 mm, -1.34 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -57.3 ppm
* Measurement: L Ploopy DSP
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	67.559	-96.9025
20.299999	67.738	-97.7345
20.600000	67.926	-98.7407
20.900000	68.102	-99.9066
21.200001	68.251	-101.1489
21.400000	68.335	-101.9677
21.799999	68.477	-103.4755
22.000000	68.541	-104.1454
22.400000	68.676	-105.3532
22.700001	68.788	-106.2179
23.000000	68.903	-107.1144
23.299999	69.014	-108.0686
23.600000	69.111	-109.0630
24.000000	69.214	-110.3641
24.299999	69.276	-111.2537
24.700001	69.356	-112.2795
25.000000	69.427	-112.9544
25.400000	69.544	-113.8270
25.799999	69.684	-114.7797
26.200001	69.831	-115.8663
26.500000	69.939	-116.7535
26.900000	70.076	-117.9841
27.200001	70.177	-118.9206
27.600000	70.315	-120.1893
28.000000	70.457	-121.5074
28.500000	70.628	-123.2383
29.000000	70.784	-124.9895
29.500000	70.931	-126.6523
30.000000	71.094	-128.2208
30.400000	71.244	-129.4914
30.700001	71.366	-130.5085
31.100000	71.536	-131.9923
31.500000	71.705	-133.6350
32.000000	71.907	-135.9062
32.500000	72.100	-138.4417
33.000000	72.278	-141.3136
33.500000	72.423	-144.5909
34.000000	72.511	-148.2777
34.500000	72.517	-152.3016
35.000000	72.421	-156.5324
35.500000	72.210	-160.7948
36.000000	71.877	-164.8720
36.500000	71.426	-168.5201
37.000000	70.876	-171.5014
37.500000	70.258	-173.6234
38.200001	69.355	-174.9549
38.700001	68.746	-174.7649
39.500000	67.936	-172.9604
40.000000	67.556	-171.2895
40.599998	67.220	-169.0909
41.200001	66.994	-166.8969
41.799999	66.855	-164.8706
42.500000	66.768	-162.8427
43.099998	66.734	-161.4085
43.700001	66.725	-160.2468
44.400002	66.729	-159.1994
45.000000	66.740	-158.4861
45.500000	66.758	-158.0052
46.200001	66.795	-157.5850
46.799999	66.808	-157.4220
47.500000	66.791	-157.1270
48.200001	66.796	-156.5244
48.700001	66.840	-156.0917
49.400002	66.926	-155.7838
50.000000	66.979	-155.7408
50.799999	67.017	-155.6447
51.500000	67.051	-155.4776
52.200001	67.091	-155.3452
53.000000	67.136	-155.2530
53.799999	67.185	-155.2593
54.500000	67.221	-155.3784
55.200001	67.241	-155.5139
56.000000	67.256	-155.5656
57.000000	67.290	-155.4779
58.000000	67.347	-155.3593
59.000000	67.406	-155.2653
60.000000	67.460	-155.0938
60.799999	67.515	-154.9376
61.500000	67.567	-154.9017
62.200001	67.610	-154.9891
63.000000	67.637	-155.1640
64.000000	67.646	-155.3768
65.000000	67.637	-155.5563
66.000000	67.618	-155.6446
67.000000	67.597	-155.6022
68.000000	67.577	-155.3945
69.000000	67.565	-154.9662
70.000000	67.569	-154.3142
71.000000	67.599	-153.4395
72.000000	67.674	-152.3635
73.000000	67.819	-151.2560
74.000000	68.040	-150.4344
75.000000	68.306	-150.1735
76.199997	68.621	-150.6430
77.500000	68.908	-151.7830
78.800003	69.126	-153.2090
80.000000	69.270	-154.5035
81.199997	69.376	-155.6433
82.500000	69.470	-156.7043
83.800003	69.548	-157.7101
85.000000	69.603	-158.6696
86.199997	69.640	-159.6742
87.500000	69.664	-160.7767
88.500000	69.677	-161.6048
