* Measurement data measured by REW V5.31.1
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.410. Timing signal peak level -36.0 dBFS, measurement signal peak level -32.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Oct 29, 2024 8:21:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0294 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -56.8 ppm
* Measurement: R Ploopy DSP
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	69.158	-94.6054
20.299999	69.334	-96.2742
20.600000	69.446	-97.9168
20.900000	69.518	-99.3682
21.200001	69.576	-100.5856
21.400000	69.618	-101.2932
21.799999	69.717	-102.5884
22.000000	69.772	-103.2238
22.400000	69.875	-104.5069
22.700001	69.941	-105.4469
23.000000	69.998	-106.3226
23.299999	70.055	-107.1190
23.600000	70.117	-107.8586
24.000000	70.213	-108.8392
24.299999	70.287	-109.6179
24.700001	70.375	-110.7133
25.000000	70.428	-111.5338
25.400000	70.483	-112.5510
25.799999	70.536	-113.4500
26.200001	70.597	-114.2715
26.500000	70.649	-114.8806
26.900000	70.722	-115.7191
27.200001	70.773	-116.3667
27.600000	70.836	-117.2327
28.000000	70.893	-118.0853
28.500000	70.959	-119.1440
29.000000	71.014	-120.2158
29.500000	71.046	-121.2612
30.000000	71.055	-122.1853
30.400000	71.054	-122.7874
30.700001	71.053	-123.1542
31.100000	71.057	-123.5460
31.500000	71.073	-123.8555
32.000000	71.110	-124.1822
32.500000	71.168	-124.5103
33.000000	71.240	-124.8978
33.500000	71.314	-125.3456
34.000000	71.384	-125.7886
34.500000	71.458	-126.1554
35.000000	71.552	-126.4415
35.500000	71.676	-126.7141
36.000000	71.829	-127.0508
36.500000	72.011	-127.5054
37.000000	72.221	-128.1465
37.500000	72.456	-129.0920
38.200001	72.779	-131.1262
38.700001	72.962	-133.0589
39.500000	73.115	-136.5490
40.000000	73.130	-138.7174
40.599998	73.088	-141.1566
41.200001	72.995	-143.3650
41.799999	72.863	-145.2823
42.500000	72.684	-147.0661
43.099998	72.538	-148.2049
43.700001	72.420	-149.0838
44.400002	72.320	-149.9584
45.000000	72.250	-150.6316
45.500000	72.198	-151.0955
46.200001	72.152	-151.5970
46.799999	72.140	-152.0561
47.500000	72.116	-152.7765
48.200001	72.035	-153.4515
48.700001	71.953	-153.6969
49.400002	71.850	-153.7025
50.000000	71.791	-153.5970
50.799999	71.732	-153.5352
51.500000	71.679	-153.5524
52.200001	71.620	-153.5799
53.000000	71.548	-153.5143
53.799999	71.497	-153.2684
54.500000	71.494	-153.0081
55.200001	71.526	-152.8696
56.000000	71.582	-152.9753
57.000000	71.630	-153.4200
58.000000	71.636	-153.7966
59.000000	71.659	-154.0081
60.000000	71.699	-154.4252
60.799999	71.711	-154.9059
61.500000	71.705	-155.3116
62.200001	71.693	-155.6626
63.000000	71.679	-155.9990
64.000000	71.671	-156.3343
65.000000	71.675	-156.6034
66.000000	71.690	-156.8158
67.000000	71.716	-156.9707
68.000000	71.750	-157.1284
69.000000	71.780	-157.2919
70.000000	71.807	-157.3853
71.000000	71.846	-157.4489
72.000000	71.896	-157.5831
73.000000	71.948	-157.7913
74.000000	72.008	-158.0659
75.000000	72.077	-158.4879
76.199997	72.145	-159.1556
77.500000	72.216	-159.8106
78.800003	72.320	-160.4387
80.000000	72.444	-161.1367
81.199997	72.581	-162.0489
82.500000	72.716	-163.3867
83.800003	72.795	-165.0904
85.000000	72.793	-166.8727
86.199997	72.711	-168.6682
87.500000	72.539	-170.4233
88.500000	72.361	-171.4703
90.000000	72.069	-172.2942
91.199997	71.862	-172.3322
92.500000	71.700	-171.9453
93.800003	71.605	-171.4187
95.000000	71.561	-170.9573
96.199997	71.552	-170.5739
97.500000	71.577	-170.3604
98.800003	71.617	-170.3910
100.000000	71.653	-170.5775
101.500000	71.684	-170.9065
103.000000	71.700	-171.2673
104.400002	71.701	-171.6673
106.000000	71.684	-172.2280
107.500000	71.649	-172.8171
109.000000	71.597	-173.2943
110.599998	71.539	-173.4792
112.000000	71.499	-173.4013
113.800003	71.448	-173.3213
115.000000	71.388	-173.4691
117.199997	71.185	-174.0797
118.000000	71.091	-174.2590
120.599998	70.886	-174.0394
122.000000	70.905	-173.6828
124.099998	71.048	-173.2559
125.000000	71.132	-173.1329
126.500000	71.290	-173.1046
128.000000	71.459	-173.4331
131.500000	71.746	-176.2370
132.000000	71.750	-176.8652
134.000000	71.607	-179.5907
136.000000	71.209	178.2123
138.000000	70.693	177.4614
140.000000	70.243	178.2014
143.000000	69.886	-179.2799
145.000000	69.817	-177.7158
147.500000	69.802	-176.3585
150.000000	69.806	-175.3926
152.500000	69.821	-174.5626
155.000000	69.838	-173.8551
157.500000	69.852	-173.2723
160.000000	69.873	-172.7997
162.500000	69.903	-172.4790
165.000000	69.928	-172.2818
167.500000	69.939	-172.1226
170.000000	69.942	-171.9086
172.500000	69.950	-171.6404
175.000000	69.964	-171.4233
177.500000	69.964	-171.3200
180.000000	69.947	-171.2811
182.500000	69.927	-171.2597
