* Measurement data measured by REW V5.31.1
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.410. Timing signal peak level -37.1 dBFS, measurement signal peak level -32.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Oct 29, 2024 8:17:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1962 ms (-67 mm, -2.65 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 9.5 ppm
* Measurement: L Ploopyphone
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	74.141	11.8126
20.299999	74.548	9.9983
20.600000	74.959	8.1721
20.900000	75.365	6.3087
21.200001	75.752	4.4434
21.400000	75.997	3.2454
21.799999	76.467	1.1123
22.000000	76.706	0.2197
22.400000	77.233	-1.2769
22.700001	77.692	-2.3503
23.000000	78.198	-3.6298
23.299999	78.718	-5.2739
23.600000	79.211	-7.3018
24.000000	79.771	-10.3657
24.299999	80.106	-12.6472
24.700001	80.468	-15.2527
25.000000	80.722	-16.7269
25.400000	81.107	-18.1193
25.799999	81.584	-19.2243
26.200001	82.138	-20.4824
26.500000	82.570	-21.6587
26.900000	83.136	-23.4952
27.200001	83.543	-24.9727
27.600000	84.075	-26.9437
28.000000	84.615	-28.8719
28.500000	85.324	-31.3147
29.000000	86.070	-33.9558
29.500000	86.841	-36.8752
30.000000	87.632	-40.0773
30.400000	88.284	-42.8622
30.700001	88.785	-45.1095
31.100000	89.465	-48.3599
31.500000	90.153	-51.9396
32.000000	91.010	-56.9166
32.500000	91.852	-62.4768
33.000000	92.664	-68.6475
33.500000	93.427	-75.4554
34.000000	94.115	-82.8999
34.500000	94.702	-90.9272
35.000000	95.159	-99.4232
35.500000	95.469	-108.2224
36.000000	95.619	-117.1243
36.500000	95.606	-125.9089
37.000000	95.439	-134.3557
37.500000	95.138	-142.2670
38.200001	94.547	-152.1826
38.700001	94.052	-158.3694
39.500000	93.212	-166.8285
40.000000	92.682	-171.3341
40.599998	92.055	-176.0541
41.200001	91.450	179.8875
41.799999	90.876	176.3750
42.500000	90.248	172.8082
43.099998	89.739	170.1321
43.700001	89.256	167.7783
44.400002	88.733	165.3512
45.000000	88.317	163.4291
45.500000	87.982	161.9055
46.200001	87.520	159.9489
46.799999	87.137	158.4828
47.500000	86.722	156.9573
48.200001	86.340	155.5188
48.700001	86.079	154.5333
49.400002	85.731	153.2355
50.000000	85.454	152.1795
50.799999	85.108	150.7981
51.500000	84.820	149.6469
52.200001	84.549	148.5884
53.000000	84.267	147.4341
53.799999	84.002	146.3115
54.500000	83.779	145.4246
55.200001	83.573	144.6443
