* Measurement data measured by REW V5.31.1
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.410. Timing signal peak level -37.0 dBFS, measurement signal peak level -36.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Oct 29, 2024 8:16:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1510 ms (-52 mm, -2.04 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 27.7 ppm
* Measurement: L Ploopyphone
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	72.060	23.1244
20.299999	72.376	20.5382
20.600000	72.636	18.1542
20.900000	72.871	16.1917
21.200001	73.130	14.7131
21.400000	73.338	13.9313
21.799999	73.858	12.4828
22.000000	74.157	11.6509
22.400000	74.770	9.5839
22.700001	75.196	7.7660
23.000000	75.578	5.9216
23.299999	75.927	4.2299
23.600000	76.272	2.7683
24.000000	76.771	1.0519
24.299999	77.182	-0.2767
24.700001	77.743	-2.3784
25.000000	78.137	-4.2338
25.400000	78.589	-6.8975
25.799999	78.958	-9.4611
26.200001	79.283	-11.6707
26.500000	79.529	-13.0714
26.900000	79.888	-14.7183
27.200001	80.182	-15.8989
27.600000	80.598	-17.5048
28.000000	81.029	-19.1606
28.500000	81.590	-21.2523
29.000000	82.190	-23.3921
29.500000	82.827	-25.7020
30.000000	83.479	-28.2353
30.400000	84.000	-30.3668
30.700001	84.393	-31.9862
31.100000	84.930	-34.1594
31.500000	85.487	-36.3838
32.000000	86.214	-39.3386
32.500000	86.959	-42.5651
33.000000	87.711	-46.0603
33.500000	88.474	-49.8040
34.000000	89.258	-53.8491
34.500000	90.059	-58.3208
35.000000	90.858	-63.3358
35.500000	91.630	-68.9378
36.000000	92.352	-75.1067
36.500000	93.013	-81.8065
37.000000	93.598	-89.0113
37.500000	94.088	-96.6885
38.200001	94.571	-108.0715
38.700001	94.744	-116.4454
39.500000	94.712	-129.7072
40.000000	94.516	-137.6036
40.599998	94.138	-146.4322
41.200001	93.647	-154.4155
41.799999	93.084	-161.4939
42.500000	92.389	-168.6356
43.099998	91.789	-173.8848
43.700001	91.202	-178.4218
44.400002	90.543	177.0729
45.000000	90.005	173.7811
45.500000	89.573	171.3774
46.200001	88.987	168.4949
46.799999	88.511	166.4495
47.500000	88.009	164.3749
48.200001	87.563	162.3093
48.700001	87.255	160.7541
49.400002	86.813	158.5756
50.000000	86.435	156.8199
50.799999	85.960	154.6177
51.500000	85.572	152.7729
52.200001	85.204	151.0862
53.000000	84.827	149.3887
53.799999	84.493	147.8148
54.500000	84.204	146.5583
55.200001	83.910	145.5778
56.000000	83.597	144.8661
57.000000	83.292	144.1824
58.000000	83.042	143.0726
59.000000	82.753	141.6639
60.000000	82.450	140.5079
60.799999	82.253	139.6810
61.500000	82.104	138.8859
62.200001	81.962	138.0704
63.000000	81.803	137.2069
64.000000	81.613	136.2162
65.000000	81.414	135.2607
66.000000	81.198	134.3781
67.000000	80.983	133.5470
68.000000	80.789	132.6307
69.000000	80.621	131.5353
70.000000	80.472	130.2291
71.000000	80.314	128.8064
72.000000	80.124	127.6285
73.000000	79.933	126.9769
74.000000	79.775	126.6860
75.000000	79.628	126.5113
76.199997	79.442	126.5454
77.500000	79.283	126.8741
78.800003	79.212	127.0783
80.000000	79.228	126.8800
81.199997	79.298	126.1443
82.500000	79.373	124.7437
83.800003	79.393	123.0099
85.000000	79.362	121.3599
86.199997	79.295	119.7004
87.500000	79.197	117.9500
88.500000	79.117	116.6485
90.000000	79.000	114.8384
91.199997	78.932	113.4870
92.500000	78.874	111.7847
93.800003	78.772	109.7032
95.000000	78.615	107.5865
96.199997	78.401	105.3761
