* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -32.0 dBFS, measurement signal peak level -31.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 29, 2023 6:41:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss PortaPro Stock Pads
* Measurement: Koss PortaPro Stock Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	66.028	-29.3962
20.299999	66.271	-29.9355
20.600000	66.530	-30.5507
20.900000	66.790	-31.3276
21.200001	67.031	-32.2717
21.400000	67.174	-32.9387
21.799999	67.427	-34.2228
22.000000	67.544	-34.7805
22.400000	67.789	-35.6809
22.700001	68.001	-36.2638
23.000000	68.243	-36.9358
23.299999	68.496	-37.8388
23.600000	68.737	-39.0175
24.000000	69.004	-40.9328
24.299999	69.148	-42.4305
24.700001	69.275	-44.2009
25.000000	69.348	-45.2055
25.400000	69.462	-46.0890
25.799999	69.633	-46.6547
26.200001	69.867	-47.2194
26.500000	70.069	-47.7975
26.900000	70.344	-48.8548
27.200001	70.537	-49.8403
27.600000	70.761	-51.3107
28.000000	70.942	-52.7988
28.500000	71.127	-54.4585
29.000000	71.307	-55.7916
29.500000	71.517	-56.9410
30.000000	71.756	-58.2128
30.400000	71.940	-59.4392
30.700001	72.059	-60.4504
31.100000	72.185	-61.7791
31.500000	72.286	-62.9349
32.000000	72.416	-64.0442
32.500000	72.585	-64.9484
33.000000	72.787	-65.9470
33.500000	72.982	-67.1379
34.000000	73.145	-68.3439
34.500000	73.293	-69.3282
35.000000	73.462	-70.0627
35.500000	73.672	-70.7568
36.000000	73.904	-71.6514
36.500000	74.121	-72.8068
37.000000	74.300	-74.0807
37.500000	74.447	-75.2889
38.200001	74.640	-76.7714
38.700001	74.785	-77.8069
39.500000	75.000	-79.6665
40.000000	75.105	-80.8855
40.599998	75.206	-82.2515
41.200001	75.302	-83.4756
41.799999	75.403	-84.6326
42.500000	75.521	-85.9495
43.099998	75.621	-87.0186
43.700001	75.727	-88.0357
44.400002	75.856	-89.2012
45.000000	75.966	-90.1692
45.500000	76.063	-90.9332
46.200001	76.218	-92.0163
46.799999	76.361	-93.1063
47.500000	76.506	-94.6407
48.200001	76.602	-96.2904
48.700001	76.642	-97.4046
49.400002	76.678	-98.7736
50.000000	76.707	-99.7633
50.799999	76.764	-100.8826
51.500000	76.838	-101.7840
52.200001	76.931	-102.7188
53.000000	77.041	-103.8752
53.799999	77.143	-105.1000
54.500000	77.218	-106.1754
55.200001	77.283	-107.2080
56.000000	77.354	-108.3624
57.000000	77.426	-109.8512
58.000000	77.471	-111.2037
59.000000	77.539	-112.3241
60.000000	77.645	-113.5228
60.799999	77.733	-114.6096
61.500000	77.801	-115.5829
62.200001	77.861	-116.5237
63.000000	77.923	-117.5235
64.000000	77.998	-118.6606
65.000000	78.072	-119.7358
66.000000	78.141	-120.8019
67.000000	78.201	-121.8806
68.000000	78.252	-122.9735
69.000000	78.295	-124.0524
70.000000	78.335	-125.0852
71.000000	78.379	-126.0721
72.000000	78.426	-127.0287
73.000000	78.473	-127.9659
74.000000	78.518	-128.8995
75.000000	78.555	-129.8330
76.199997	78.589	-130.9312
77.500000	78.621	-132.0905
78.800003	78.653	-133.2336
80.000000	78.684	-134.2844
81.199997	78.711	-135.3279
82.500000	78.733	-136.4099
83.800003	78.751	-137.4232
85.000000	78.766	-138.3355
86.199997	78.779	-139.2529
87.500000	78.788	-140.2437
88.500000	78.794	-140.9845
90.000000	78.802	-142.0428
91.199997	78.809	-142.8485
92.500000	78.813	-143.6876
93.800003	78.812	-144.4995
95.000000	78.807	-145.2333
96.199997	78.798	-145.9595
97.500000	78.788	-146.7350
98.800003	78.779	-147.4944
100.000000	78.772	-148.1757
101.500000	78.761	-148.9818
103.000000	78.748	-149.7250
104.400002	78.736	-150.3641
106.000000	78.725	-151.0403
107.500000	78.720	-151.6383
109.000000	78.724	-152.2250
110.599998	78.733	-152.8769
112.000000	78.743	-153.5054
113.800003	78.748	-154.4133
115.000000	78.744	-155.0621
117.199997	78.719	-156.2338
118.000000	78.706	-156.6305
120.599998	78.645	-157.7413
122.000000	78.602	-158.2020
124.099998	78.536	-158.7689
125.000000	78.510	-158.9932
126.500000	78.471	-159.3597
128.000000	78.440	-159.7147
131.500000	78.404	-160.4515
132.000000	78.403	-160.5479
134.000000	78.406	-160.9366
136.000000	78.414	-161.3447
138.000000	78.423	-161.7853
140.000000	78.432	-162.2702
143.000000	78.438	-163.0703
145.000000	78.432	-163.6325
147.500000	78.417	-164.3364
150.000000	78.403	-165.0233
152.500000	78.393	-165.6746
155.000000	78.381	-166.2836
157.500000	78.362	-166.8776
160.000000	78.337	-167.4783
162.500000	78.310	-168.0750
165.000000	78.281	-168.6406
167.500000	78.249	-169.1629
170.000000	78.217	-169.6596
172.500000	78.188	-170.1589
175.000000	78.158	-170.6554
177.500000	78.126	-171.1191
180.000000	78.090	-171.5443
182.500000	78.053	-171.9410
185.000000	78.019	-172.3112
187.500000	77.991	-172.6653
190.000000	77.968	-173.0187
192.500000	77.944	-173.3716
195.000000	77.919	-173.7253
197.500000	77.892	-174.0905
200.000000	77.861	-174.4682
203.000000	77.819	-174.9187
206.000000	77.772	-175.3465
209.000000	77.721	-175.7406
212.000000	77.670	-176.0980
214.000000	77.638	-176.3171
218.000000	77.575	-176.7157
220.000000	77.544	-176.8977
224.000000	77.484	-177.2249
227.000000	77.442	-177.4370
230.000000	77.404	-177.6326
233.000000	77.369	-177.8282
236.000000	77.340	-178.0298
240.000000	77.306	-178.2965
243.000000	77.282	-178.4950
247.000000	77.249	-178.7858
250.000000	77.222	-179.0319
254.000000	77.180	-179.3835
258.000000	77.128	-179.7263
262.000000	77.073	179.9651
265.000000	77.031	179.7474
269.000000	76.973	179.4727
272.000000	76.928	179.2837
276.000000	76.867	179.0634
280.000000	76.807	178.8825
285.000000	76.733	178.6941
290.000000	76.659	178.5527
295.000000	76.589	178.4683
300.000000	76.526	178.4207
304.000000	76.480	178.3958
307.000000	76.448	178.3815
311.000000	76.407	178.3649
315.000000	76.368	178.3462
320.000000	76.321	178.3185
325.000000	76.277	178.2933
330.000000	76.236	178.2649
335.000000	76.192	178.2245
340.000000	76.144	178.1758
345.000000	76.094	178.1290
350.000000	76.043	178.0975
355.000000	75.992	178.1017
360.000000	75.942	178.1558
365.000000	75.898	178.2474
370.000000	75.865	178.3387
375.000000	75.839	178.4007
382.000000	75.803	178.4329
387.000000	75.773	178.4287
395.000000	75.718	178.4164
400.000000	75.682	178.4072
406.000000	75.641	178.3918
412.000000	75.599	178.3885
418.000000	75.552	178.4035
425.000000	75.493	178.4437
431.000000	75.439	178.4996
437.000000	75.384	178.5771
444.000000	75.322	178.6977
450.000000	75.270	178.8329
455.000000	75.229	178.9731
462.000000	75.179	179.1942
468.000000	75.146	179.3515
475.000000	75.109	179.4241
482.000000	75.051	179.4259
487.000000	74.994	179.4804
494.000000	74.904	179.7154
500.000000	74.831	-179.9470
508.000000	74.749	-179.3724
515.000000	74.696	-178.8139
522.000000	74.660	-178.2454
530.000000	74.638	-177.6227
538.000000	74.631	-177.0622
545.000000	74.632	-176.6326
552.000000	74.636	-176.2519
560.000000	74.641	-175.8643
570.000000	74.647	-175.4358
580.000000	74.652	-175.0601
590.000000	74.655	-174.7190
600.000000	74.654	-174.3974
608.000000	74.650	-174.1481
615.000000	74.644	-173.9287
622.000000	74.636	-173.6995
630.000000	74.626	-173.4198
640.000000	74.616	-173.0510
650.000000	74.611	-172.6815
660.000000	74.609	-172.3241
670.000000	74.606	-171.9769
680.000000	74.604	-171.6345
690.000000	74.605	-171.2905
700.000000	74.608	-170.9448
710.000000	74.612	-170.6012
720.000000	74.617	-170.2603
730.000000	74.622	-169.9254
740.000000	74.629	-169.6019
750.000000	74.638	-169.2918
762.000000	74.648	-168.9396
775.000000	74.655	-168.5704
788.000000	74.656	-168.1827
800.000000	74.655	-167.7918
812.000000	74.656	-167.3771
825.000000	74.663	-166.9188
838.000000	74.676	-166.4634
850.000000	74.691	-166.0515
862.000000	74.707	-165.6469
875.000000	74.724	-165.2079
885.000000	74.738	-164.8656
900.000000	74.761	-164.3497
912.000000	74.781	-163.9377
925.000000	74.804	-163.4865
938.000000	74.829	-163.0303
950.000000	74.856	-162.6124
962.000000	74.886	-162.2029
975.000000	74.922	-161.7714
988.000000	74.962	-161.3571
1000.000000	75.000	-160.9969
1015.000000	75.046	-160.5788
1030.000000	75.090	-160.1854
1044.000000	75.126	-159.8263
1060.000000	75.165	-159.4099
1075.000000	75.200	-159.0017
1090.000000	75.235	-158.5692
1106.000000	75.276	-158.0795
1120.000000	75.316	-157.6362
1138.000000	75.374	-157.0685
1150.000000	75.415	-156.6983
1172.000000	75.497	-156.0393
1180.000000	75.528	-155.8061
1206.000000	75.630	-155.0637
1220.000000	75.686	-154.6659
1241.000000	75.774	-154.0599
1250.000000	75.813	-153.7955
1265.000000	75.882	-153.3525
1280.000000	75.956	-152.9180
1315.000000	76.143	-151.9734
1320.000000	76.171	-151.8476
1340.000000	76.288	-151.3701
1360.000000	76.406	-150.9269
1380.000000	76.526	-150.4983
1400.000000	76.654	-150.0848
1430.000000	76.863	-149.5729
1450.000000	77.007	-149.3284
1475.000000	77.186	-149.1154
1500.000000	77.358	-149.0063
1525.000000	77.519	-148.9740
1550.000000	77.671	-148.9576
1575.000000	77.815	-148.9014
1600.000000	77.964	-148.7557
1625.000000	78.135	-148.5820
1650.000000	78.326	-148.4997
1675.000000	78.527	-148.5580
1700.000000	78.732	-148.7629
1725.000000	78.934	-149.1201
1750.000000	79.124	-149.6205
1775.000000	79.299	-150.2079
1800.000000	79.463	-150.8126
1825.000000	79.624	-151.4283
1850.000000	79.788	-152.1018
1875.000000	79.951	-152.8843
1900.000000	80.105	-153.8065
1925.000000	80.241	-154.8513
1950.000000	80.353	-155.9619
1975.000000	80.444	-157.0801
2000.000000	80.518	-158.1673
2030.000000	80.591	-159.4169
2060.000000	80.656	-160.6335
2090.000000	80.714	-161.8525
2120.000000	80.760	-163.0955
2140.000000	80.780	-163.9382
2180.000000	80.788	-165.5702
2200.000000	80.779	-166.3086
2240.000000	80.756	-167.5864
2270.000000	80.749	-168.4266
2300.000000	80.754	-169.2773
2330.000000	80.757	-170.1804
2360.000000	80.754	-171.0780
2400.000000	80.751	-172.2234
2430.000000	80.756	-173.1168
2470.000000	80.760	-174.4465
2500.000000	80.748	-175.5304
2540.000000	80.704	-176.9780
2580.000000	80.638	-178.3067
2620.000000	80.573	-179.5281
2650.000000	80.530	179.5509
2690.000000	80.473	178.2278
2720.000000	80.419	177.1515
2760.000000	80.320	175.6447
2800.000000	80.176	174.1644
2850.000000	79.939	172.6367
2900.000000	79.676	171.6492
2950.000000	79.432	171.2477
3000.000000	79.265	171.2598
3040.000000	79.203	171.3036
3070.000000	79.195	171.2476
3110.000000	79.224	170.9653
3150.000000	79.282	170.3995
3200.000000	79.380	169.2906
3250.000000	79.495	167.7287
3300.000000	79.622	165.6654
3350.000000	79.751	163.0204
3400.000000	79.863	159.7136
3450.000000	79.938	155.7020
3500.000000	79.957	151.0065
3550.000000	79.911	145.6338
3600.000000	79.788	139.5292
3650.000000	79.572	132.6139
3700.000000	79.230	124.8381
3750.000000	78.711	116.4031
3820.000000	77.632	104.5437
3870.000000	76.695	96.3691
3950.000000	75.206	82.0139
4000.000000	74.362	70.7971
4060.000000	73.423	54.1149
4120.000000	72.538	34.1375
4180.000000	71.754	12.1779
4250.000000	71.118	-13.2983
4310.000000	70.914	-32.9210
4370.000000	71.000	-49.3129
4440.000000	71.344	-64.0219
4500.000000	71.756	-73.2306
4550.000000	72.156	-78.9572
4620.000000	72.793	-84.7913
4680.000000	73.407	-88.4497
4750.000000	74.194	-91.8558
4820.000000	75.051	-94.8526
4870.000000	75.709	-96.9773
4940.000000	76.688	-100.2950
5000.000000	77.553	-103.8542
5080.000000	78.651	-110.2296
5150.000000	79.451	-117.6078
5220.000000	80.003	-126.4805
5300.000000	80.259	-137.5665
5380.000000	80.118	-148.3082
5450.000000	79.738	-156.5874
5520.000000	79.207	-163.6301
5600.000000	78.503	-170.4675
5700.000000	77.525	-177.8954
5800.000000	76.377	175.7640
5900.000000	74.968	171.5071
6000.000000	73.315	170.7161
6080.000000	71.932	172.9977
6150.000000	70.808	176.8687
6220.000000	69.888	-178.0793
6300.000000	69.194	-171.7587
6400.000000	68.855	-164.3494
6500.000000	68.915	-158.2688
6600.000000	69.189	-153.5472
6700.000000	69.601	-150.0656
6800.000000	70.104	-147.9791
6900.000000	70.607	-147.5983
7000.000000	70.978	-148.8879
7100.000000	71.116	-151.0797
7200.000000	71.027	-152.9626
7300.000000	70.833	-153.7673
7400.000000	70.679	-153.6877
7500.000000	70.624	-153.4305
7620.000000	70.637	-153.6216
7750.000000	70.629	-154.5774
7880.000000	70.541	-155.9064
8000.000000	70.394	-157.2405
8120.000000	70.170	-158.6145
8250.000000	69.821	-159.7839
8380.000000	69.397	-160.1565
8500.000000	69.014	-159.6902
8620.000000	68.712	-158.6813
8750.000000	68.525	-157.5205
8850.000000	68.468	-156.9558
9000.000000	68.448	-156.9048
9120.000000	68.450	-157.4893
9250.000000	68.459	-158.7399
9380.000000	68.459	-160.7671
9500.000000	68.408	-163.3479
9620.000000	68.269	-166.3096
9750.000000	68.050	-169.3760
9880.000000	67.908	-172.2617
10000.000000	67.956	-175.8783
10150.000000	68.088	176.1787
10300.000000	67.884	164.2954
10440.000000	67.197	151.6548
10600.000000	65.901	137.0320
10750.000000	64.342	122.6102
10900.000000	62.528	105.8477
11060.000000	60.358	83.2703
11200.000000	58.378	58.2590
11380.000000	56.349	19.8883
11500.000000	55.929	-6.8245
11720.000000	57.185	-50.0989
11800.000000	57.912	-62.9851
12060.000000	60.086	-95.4015
12200.000000	61.034	-108.3732
12410.000000	62.298	-124.2449
12500.000000	62.821	-130.3275
12650.000000	63.681	-140.3208
12800.000000	64.484	-150.9497
13150.000000	65.622	179.1543
13200.000000	65.656	174.4309
13400.000000	65.428	155.5815
13600.000000	64.699	137.9655
13800.000000	63.674	121.2571
14000.000000	62.529	102.5769
14300.000000	60.496	61.6212
14500.000000	58.746	20.4381
14750.000000	56.603	-45.9701
15000.000000	56.079	-114.4283
15250.000000	56.937	-168.6012
15500.000000	57.646	152.6440
15750.000000	57.677	122.7870
16000.000000	56.980	97.5359
16250.000000	55.606	75.9583
