* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -32.5 dBFS, measurement signal peak level -32.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 29, 2023 5:06:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss PortaPro Yaxi Pads
* Measurement: Koss PortaPro Yaxi Pads L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	65.586	-21.4687
20.299999	65.781	-23.4905
20.600000	65.930	-25.2820
20.900000	66.072	-26.7489
21.200001	66.243	-27.9888
21.400000	66.377	-28.8215
21.799999	66.665	-30.6838
22.000000	66.800	-31.7489
22.400000	67.010	-34.0195
22.700001	67.108	-35.5484
23.000000	67.177	-36.6290
23.299999	67.267	-37.1737
23.600000	67.418	-37.3128
24.000000	67.744	-37.3064
24.299999	68.059	-37.5623
24.700001	68.494	-38.5487
25.000000	68.780	-39.7108
25.400000	69.079	-41.4835
25.799999	69.303	-43.0767
26.200001	69.501	-44.2973
26.500000	69.655	-45.0339
26.900000	69.873	-45.9415
27.200001	70.037	-46.6459
27.600000	70.246	-47.6200
28.000000	70.444	-48.5683
28.500000	70.696	-49.7152
29.000000	70.955	-51.0048
29.500000	71.187	-52.5457
30.000000	71.365	-54.1315
30.400000	71.485	-55.2239
30.700001	71.578	-55.9081
31.100000	71.725	-56.7358
31.500000	71.895	-57.6129
32.000000	72.112	-58.9120
32.500000	72.306	-60.3533
33.000000	72.478	-61.7561
33.500000	72.645	-63.0867
34.000000	72.807	-64.4229
34.500000	72.946	-65.7494
35.000000	73.061	-66.9182
35.500000	73.178	-67.8145
36.000000	73.327	-68.5191
36.500000	73.514	-69.2356
37.000000	73.717	-70.1249
37.500000	73.914	-71.1999
38.200001	74.151	-72.8376
38.700001	74.296	-73.9463
39.500000	74.520	-75.4192
40.000000	74.678	-76.1987
40.599998	74.889	-77.1622
41.200001	75.098	-78.2767
41.799999	75.278	-79.4729
42.500000	75.453	-80.7465
43.099998	75.594	-81.6327
43.700001	75.750	-82.4111
44.400002	75.952	-83.4102
45.000000	76.115	-84.4924
45.500000	76.221	-85.5158
46.200001	76.318	-86.8772
46.799999	76.385	-87.7717
47.500000	76.500	-88.5925
48.200001	76.663	-89.5554
48.700001	76.783	-90.4497
49.400002	76.931	-91.8727
50.000000	77.043	-93.0988
50.799999	77.189	-94.7377
51.500000	77.299	-96.2199
52.200001	77.377	-97.5668
53.000000	77.462	-98.7035
53.799999	77.586	-99.5719
54.500000	77.717	-100.3663
55.200001	77.838	-101.2056
56.000000	77.961	-102.0582
57.000000	78.140	-102.9213
58.000000	78.366	-104.0988
59.000000	78.534	-106.0606
60.000000	78.553	-108.1386
60.799999	78.521	-109.3526
61.500000	78.514	-110.1589
62.200001	78.537	-110.9200
63.000000	78.591	-111.8719
64.000000	78.673	-113.2181
65.000000	78.749	-114.6015
66.000000	78.824	-115.8967
67.000000	78.901	-117.1161
68.000000	78.976	-118.2784
69.000000	79.047	-119.4086
70.000000	79.112	-120.5692
71.000000	79.161	-121.7655
72.000000	79.198	-122.9517
73.000000	79.230	-124.1198
74.000000	79.257	-125.2684
75.000000	79.282	-126.3775
76.199997	79.305	-127.6285
77.500000	79.321	-128.8267
78.800003	79.334	-129.8027
80.000000	79.359	-130.5410
81.199997	79.404	-131.2802
82.500000	79.457	-132.2034
83.800003	79.501	-133.2027
85.000000	79.539	-134.1468
86.199997	79.577	-135.1195
87.500000	79.616	-136.2090
88.500000	79.642	-137.0609
90.000000	79.672	-138.3265
91.199997	79.689	-139.3080
92.500000	79.702	-140.3491
93.800003	79.712	-141.3859
95.000000	79.718	-142.3564
96.199997	79.718	-143.3442
97.500000	79.707	-144.3919
98.800003	79.687	-145.3587
100.000000	79.664	-146.1625
101.500000	79.631	-147.0576
103.000000	79.589	-147.8288
104.400002	79.543	-148.4255
106.000000	79.493	-148.9643
107.500000	79.459	-149.3689
109.000000	79.443	-149.7337
110.599998	79.450	-150.1219
112.000000	79.474	-150.4966
113.800003	79.522	-151.0865
115.000000	79.555	-151.5639
117.199997	79.599	-152.6092
118.000000	79.607	-153.0297
120.599998	79.603	-154.4200
122.000000	79.590	-155.1316
124.099998	79.563	-156.0942
125.000000	79.550	-156.4590
126.500000	79.528	-157.0038
128.000000	79.508	-157.4877
131.500000	79.492	-158.5361
132.000000	79.494	-158.6869
134.000000	79.503	-159.2869
136.000000	79.515	-159.8707
138.000000	79.527	-160.4663
140.000000	79.534	-161.1060
143.000000	79.536	-162.1118
145.000000	79.530	-162.7794
147.500000	79.514	-163.6071
150.000000	79.489	-164.4404
152.500000	79.461	-165.2692
155.000000	79.438	-166.0545
157.500000	79.420	-166.7794
160.000000	79.400	-167.4638
162.500000	79.371	-168.1198
165.000000	79.338	-168.7561
167.500000	79.305	-169.3895
170.000000	79.271	-170.0311
172.500000	79.234	-170.6722
175.000000	79.192	-171.2922
177.500000	79.146	-171.8827
180.000000	79.097	-172.4346
182.500000	79.047	-172.9276
185.000000	79.003	-173.3578
187.500000	78.967	-173.7710
190.000000	78.936	-174.2283
192.500000	78.905	-174.7475
195.000000	78.869	-175.3034
197.500000	78.823	-175.8624
200.000000	78.765	-176.3953
203.000000	78.682	-176.9655
206.000000	78.592	-177.4343
209.000000	78.504	-177.8007
212.000000	78.423	-178.0793
214.000000	78.376	-178.2281
218.000000	78.298	-178.4721
220.000000	78.264	-178.5826
224.000000	78.199	-178.8093
227.000000	78.154	-178.9940
230.000000	78.112	-179.1905
233.000000	78.072	-179.3811
236.000000	78.029	-179.5493
240.000000	77.965	-179.7782
243.000000	77.917	-179.9932
247.000000	77.860	179.6953
250.000000	77.823	179.4795
254.000000	77.773	179.2382
258.000000	77.721	179.0626
262.000000	77.669	178.9409
265.000000	77.630	178.8539
269.000000	77.578	178.6992
272.000000	77.541	178.5569
276.000000	77.493	178.3625
280.000000	77.448	178.1862
285.000000	77.390	177.9976
290.000000	77.330	177.8283
295.000000	77.271	177.6712
300.000000	77.214	177.5220
304.000000	77.168	177.3965
307.000000	77.133	177.3025
311.000000	77.086	177.1919
315.000000	77.039	177.1106
320.000000	76.985	177.0460
325.000000	76.933	176.9979
330.000000	76.883	176.9488
335.000000	76.830	176.8997
340.000000	76.775	176.8507
345.000000	76.723	176.8010
350.000000	76.675	176.7546
355.000000	76.632	176.7177
360.000000	76.591	176.6914
365.000000	76.547	176.6461
370.000000	76.497	176.5497
375.000000	76.440	176.4384
382.000000	76.348	176.3710
387.000000	76.282	176.4032
395.000000	76.184	176.5267
400.000000	76.129	176.6198
406.000000	76.069	176.7567
412.000000	76.014	176.9373
418.000000	75.960	177.1509
425.000000	75.901	177.4023
431.000000	75.854	177.5898
437.000000	75.811	177.7506
444.000000	75.763	177.9336
450.000000	75.727	178.0958
455.000000	75.697	178.2169
462.000000	75.654	178.3377
468.000000	75.609	178.4030
475.000000	75.539	178.4859
482.000000	75.445	178.6944
487.000000	75.375	178.9942
494.000000	75.299	179.5920
500.000000	75.261	-179.8626
508.000000	75.242	-179.2267
515.000000	75.239	-178.7645
522.000000	75.241	-178.3772
530.000000	75.242	-178.0209
538.000000	75.238	-177.7324
545.000000	75.230	-177.5079
552.000000	75.220	-177.2950
560.000000	75.207	-177.0677
570.000000	75.186	-176.8085
580.000000	75.160	-176.5394
590.000000	75.128	-176.2180
600.000000	75.094	-175.8222
608.000000	75.070	-175.4679
615.000000	75.055	-175.1560
622.000000	75.044	-174.8595
630.000000	75.035	-174.5434
640.000000	75.024	-174.1707
650.000000	75.015	-173.8150
660.000000	75.006	-173.4707
670.000000	74.996	-173.1273
680.000000	74.984	-172.7752
690.000000	74.970	-172.4049
700.000000	74.957	-172.0112
710.000000	74.950	-171.6058
720.000000	74.948	-171.2161
730.000000	74.949	-170.8553
740.000000	74.950	-170.5123
750.000000	74.950	-170.1763
762.000000	74.946	-169.7846
775.000000	74.940	-169.3729
788.000000	74.931	-168.9416
800.000000	74.926	-168.4886
812.000000	74.929	-167.9907
825.000000	74.944	-167.4627
838.000000	74.970	-167.0111
850.000000	74.996	-166.6817
862.000000	75.013	-166.4151
875.000000	75.017	-166.1443
885.000000	75.010	-165.9113
900.000000	74.995	-165.4872
912.000000	74.984	-165.0896
925.000000	74.977	-164.6284
938.000000	74.975	-164.1648
950.000000	74.974	-163.7355
962.000000	74.970	-163.2731
975.000000	74.971	-162.7170
988.000000	74.981	-162.1409
1000.000000	75.000	-161.6356
1015.000000	75.027	-161.0580
1030.000000	75.052	-160.5140
1044.000000	75.074	-160.0066
