* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -17.8 dBFS, measurement signal peak level -10.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 28, 2023 6:21:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss Pro4s
* Measurement: Koss Pro4s
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.273	136.3082
20.299999	89.421	134.5965
20.600000	89.567	132.8981
20.900000	89.707	131.2089
21.200001	89.840	129.5345
21.400000	89.924	128.4340
21.799999	90.084	126.2836
22.000000	90.161	125.2384
22.400000	90.309	123.2090
22.700001	90.418	121.7310
23.000000	90.526	120.2780
23.299999	90.631	118.8394
23.600000	90.733	117.4106
24.000000	90.863	115.5192
24.299999	90.954	114.1143
24.700001	91.068	112.2659
25.000000	91.148	110.9017
25.400000	91.246	109.1153
25.799999	91.336	107.3695
26.200001	91.419	105.6683
26.500000	91.477	104.4240
26.900000	91.549	102.8070
27.200001	91.600	101.6236
27.600000	91.666	100.0803
28.000000	91.728	98.5705
28.500000	91.799	96.7253
29.000000	91.863	94.9276
29.500000	91.918	93.1809
30.000000	91.965	91.4863
30.400000	91.995	90.1684
30.700001	92.013	89.2040
31.100000	92.029	87.9593
31.500000	92.038	86.7760
32.000000	92.040	85.4068
32.500000	92.040	84.1660
33.000000	92.041	83.0260
33.500000	92.047	81.9474
34.000000	92.052	80.9126
34.500000	92.054	79.9370
35.000000	92.057	79.0379
35.500000	92.064	78.2060
36.000000	92.074	77.4180
36.500000	92.084	76.6766
37.000000	92.092	76.0240
37.500000	92.102	75.5099
38.200001	92.140	75.0529
38.700001	92.199	74.8799
39.500000	92.368	74.7015
40.000000	92.524	74.5114
40.599998	92.752	74.0361
41.200001	92.997	73.1750
41.799999	93.231	71.9191
42.500000	93.465	70.0529
43.099998	93.621	68.2278
43.700001	93.733	66.3059
44.400002	93.814	64.0592
45.000000	93.850	62.1935
45.500000	93.862	60.6953
46.200001	93.856	58.6855
46.799999	93.832	57.0540
47.500000	93.781	55.3030
48.200001	93.715	53.7789
48.700001	93.668	52.8386
49.400002	93.613	51.6744
50.000000	93.576	50.7388
50.799999	93.533	49.5085
51.500000	93.491	48.4555
52.200001	93.445	47.4364
53.000000	93.387	46.2883
53.799999	93.320	45.1362
54.500000	93.250	44.1328
55.200001	93.169	43.1472
56.000000	93.062	42.0658
57.000000	92.908	40.8233
58.000000	92.734	39.7131
59.000000	92.529	38.8262
60.000000	92.303	38.3523
60.799999	92.134	38.2657
61.500000	92.002	38.3170
62.200001	91.883	38.4286
63.000000	91.759	38.5975
64.000000	91.614	38.8483
65.000000	91.471	39.1636
66.000000	91.327	39.6182
67.000000	91.186	40.2948
68.000000	91.062	41.2477
69.000000	90.970	42.4865
70.000000	90.926	43.9689
71.000000	90.942	45.5950
72.000000	91.023	47.2310
73.000000	91.165	48.7520
74.000000	91.358	50.0577
75.000000	91.591	51.0780
76.199997	91.905	51.8805
77.500000	92.264	52.2309
78.800003	92.619	52.0955
80.000000	92.924	51.6329
81.199997	93.201	50.9429
82.500000	93.464	50.0202
83.800003	93.692	48.9649
85.000000	93.870	47.9102
86.199997	94.015	46.8547
87.500000	94.147	45.8356
88.500000	94.246	45.1705
90.000000	94.407	44.2707
91.199997	94.546	43.5186
92.500000	94.694	42.5890
93.800003	94.827	41.5336
95.000000	94.929	40.4928
96.199997	95.009	39.4554
97.500000	95.077	38.4103
98.800003	95.132	37.4988
100.000000	95.181	36.7845
101.500000	95.249	36.0166
103.000000	95.331	35.2931
104.400002	95.422	34.5751
106.000000	95.536	33.6520
107.500000	95.645	32.6825
109.000000	95.749	31.6343
110.599998	95.847	30.4717
112.000000	95.922	29.4433
113.800003	96.003	28.1141
115.000000	96.049	27.2211
117.199997	96.122	25.5739
118.000000	96.145	24.9758
120.599998	96.208	23.0447
122.000000	96.234	22.0122
124.099998	96.260	20.4855
125.000000	96.265	19.8467
126.500000	96.263	18.8158
128.000000	96.250	17.8433
131.500000	96.181	15.8899
132.000000	96.170	15.6506
134.000000	96.132	14.7794
136.000000	96.113	13.9996
138.000000	96.113	13.2423
140.000000	96.126	12.4508
143.000000	96.153	11.1550
145.000000	96.169	10.2256
147.500000	96.184	9.0127
150.000000	96.191	7.7737
152.500000	96.193	6.5278
155.000000	96.194	5.2662
157.500000	96.193	3.9795
160.000000	96.186	2.6680
162.500000	96.168	1.3392
165.000000	96.138	-0.0028
167.500000	96.096	-1.3616
170.000000	96.044	-2.7267
172.500000	95.985	-4.0770
175.000000	95.920	-5.4030
177.500000	95.848	-6.7084
180.000000	95.766	-8.0010
182.500000	95.676	-9.2858
185.000000	95.576	-10.5625
187.500000	95.467	-11.8285
190.000000	95.347	-13.0803
192.500000	95.215	-14.3121
195.000000	95.069	-15.5121
197.500000	94.910	-16.6602
200.000000	94.736	-17.7285
203.000000	94.515	-18.8595
206.000000	94.290	-19.8026
209.000000	94.076	-20.6068
212.000000	93.876	-21.3821
214.000000	93.748	-21.9285
218.000000	93.485	-23.1067
220.000000	93.344	-23.7120
224.000000	93.038	-24.8737
227.000000	92.789	-25.6553
230.000000	92.528	-26.3311
233.000000	92.258	-26.8835
236.000000	91.983	-27.3042
240.000000	91.611	-27.6761
243.000000	91.331	-27.8423
247.000000	90.963	-27.9512
250.000000	90.690	-27.9675
254.000000	90.327	-27.9207
258.000000	89.957	-27.7874
262.000000	89.575	-27.5200
265.000000	89.278	-27.1862
269.000000	88.869	-26.4832
272.000000	88.561	-25.7112
276.000000	88.169	-24.3439
280.000000	87.825	-22.7101
285.000000	87.475	-20.6207
290.000000	87.184	-18.7260
295.000000	86.913	-16.9857
300.000000	86.653	-15.2343
304.000000	86.464	-13.8002
307.000000	86.334	-12.7419
311.000000	86.169	-11.3917
315.000000	85.999	-10.0936
320.000000	85.764	-8.4282
325.000000	85.507	-6.5585
330.000000	85.254	-4.3960
335.000000	85.029	-1.9683
340.000000	84.847	0.6411
345.000000	84.707	3.3614
350.000000	84.604	6.1415
355.000000	84.532	8.9394
360.000000	84.493	11.7267
365.000000	84.487	14.4947
370.000000	84.517	17.2396
375.000000	84.581	19.9363
382.000000	84.730	23.5419
387.000000	84.873	25.9362
395.000000	85.151	29.3832
400.000000	85.344	31.2805
406.000000	85.585	33.2943
412.000000	85.827	35.0422
418.000000	86.064	36.5705
425.000000	86.332	38.1449
431.000000	86.556	39.3468
437.000000	86.777	40.4147
444.000000	87.026	41.4924
450.000000	87.231	42.2889
455.000000	87.395	42.8802
462.000000	87.612	43.6207
468.000000	87.789	44.1886
475.000000	87.986	44.7828
482.000000	88.173	45.3071
487.000000	88.300	45.6418
494.000000	88.470	46.0610
500.000000	88.608	46.3818
508.000000	88.782	46.7617
515.000000	88.925	47.0528
522.000000	89.058	47.3127
530.000000	89.199	47.5869
538.000000	89.328	47.8539
545.000000	89.432	48.0926
552.000000	89.531	48.3425
560.000000	89.639	48.6467
570.000000	89.769	49.0548
580.000000	89.900	49.4784
590.000000	90.032	49.8897
600.000000	90.165	50.2652
608.000000	90.271	50.5318
615.000000	90.362	50.7368
622.000000	90.452	50.9117
630.000000	90.551	51.0726
640.000000	90.664	51.2274
650.000000	90.766	51.3665
660.000000	90.859	51.5308
670.000000	90.952	51.7224
680.000000	91.049	51.8922
690.000000	91.146	51.9888
700.000000	91.233	52.0100
710.000000	91.306	51.9941
720.000000	91.365	51.9818
730.000000	91.414	51.9973
740.000000	91.454	52.0540
750.000000	91.489	52.1588
762.000000	91.530	52.3420
775.000000	91.576	52.5818
788.000000	91.624	52.8318
800.000000	91.670	53.0581
812.000000	91.718	53.2698
825.000000	91.773	53.4516
838.000000	91.824	53.5472
850.000000	91.858	53.5631
862.000000	91.876	53.5512
875.000000	91.878	53.5605
885.000000	91.868	53.6073
900.000000	91.843	53.7609
912.000000	91.817	53.9557
925.000000	91.787	54.2262
938.000000	91.755	54.5413
950.000000	91.725	54.8586
962.000000	91.692	55.1952
975.000000	91.653	55.5830
988.000000	91.608	56.0022
1000.000000	91.563	56.4236
1015.000000	91.502	57.0043
1030.000000	91.435	57.6509
1044.000000	91.368	58.3188
1060.000000	91.285	59.1682
1075.000000	91.201	60.0696
1090.000000	91.112	61.1099
1106.000000	91.018	62.4174
1120.000000	90.945	63.7542
1138.000000	90.883	65.7364
1150.000000	90.874	67.1865
1172.000000	90.950	69.8757
1180.000000	91.007	70.7703
1206.000000	91.247	72.9787
1220.000000	91.369	73.6897
1241.000000	91.483	74.3345
1250.000000	91.497	74.5668
1265.000000	91.474	75.1213
1280.000000	91.423	76.1134
1315.000000	91.485	79.6503
1320.000000	91.522	80.1137
1340.000000	91.688	81.5879
1360.000000	91.832	82.5886
1380.000000	91.935	83.4002
1400.000000	92.005	84.2076
1430.000000	92.071	85.5455
1450.000000	92.102	86.5448
1475.000000	92.135	87.9249
1500.000000	92.170	89.4448
1525.000000	92.216	91.0764
1550.000000	92.279	92.7717
1575.000000	92.359	94.4740
1600.000000	92.453	96.1320
1625.000000	92.555	97.7142
1650.000000	92.657	99.2159
1675.000000	92.752	100.6541
1700.000000	92.835	102.0630
1725.000000	92.899	103.5078
1750.000000	92.950	105.0957
1775.000000	93.006	106.9029
1800.000000	93.089	108.8644
1825.000000	93.204	110.8485
1850.000000	93.340	112.7865
1875.000000	93.492	114.6694
1900.000000	93.657	116.5011
1925.000000	93.836	118.2752
1950.000000	94.027	119.9693
1975.000000	94.227	121.5502
2000.000000	94.427	122.9948
2030.000000	94.656	124.5647
2060.000000	94.860	126.0323
2090.000000	95.037	127.4935
2120.000000	95.184	129.0408
2140.000000	95.265	130.1938
2180.000000	95.414	133.1593
2200.000000	95.525	135.0953
2240.000000	95.939	139.3746
2270.000000	96.389	142.1068
2300.000000	96.862	144.1414
2330.000000	97.315	145.7108
2360.000000	97.752	147.0520
2400.000000	98.328	148.6462
2430.000000	98.765	149.7096
2470.000000	99.359	150.9237
2500.000000	99.813	151.6613
2540.000000	100.426	152.3892
2580.000000	101.048	152.7986
2620.000000	101.671	152.8609
2650.000000	102.136	152.6653
2690.000000	102.745	152.0739
2720.000000	103.190	151.3894
2760.000000	103.764	150.1791
2800.000000	104.316	148.6542
2850.000000	104.982	146.2811
2900.000000	105.610	143.2159
2950.000000	106.146	139.2584
3000.000000	106.513	134.6217
3040.000000	106.679	130.8728
3070.000000	106.748	128.2093
3110.000000	106.794	124.8724
3150.000000	106.797	121.7151
3200.000000	106.741	117.9859
3250.000000	106.624	114.5542
3300.000000	106.468	111.4250
3350.000000	106.284	108.4951
3400.000000	106.065	105.7203
3450.000000	105.819	103.1362
3500.000000	105.559	100.5982
3550.000000	105.265	97.9189
3600.000000	104.887	95.2423
3650.000000	104.413	92.9445
3700.000000	103.877	91.2431
3750.000000	103.320	90.0461
3820.000000	102.523	88.9216
3870.000000	101.926	88.5338
3950.000000	100.932	88.8575
