* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -34.1 dBFS, measurement signal peak level -30.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 2, 2024 12:33:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0345 ms (-12 mm, -0.47 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -51.9 ppm
* Measurement: Orthrus 5m Nylon Foam Front
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	73.393	144.2333
20.299999	73.555	142.4866
20.600000	73.709	140.8433
20.900000	73.863	139.3031
21.200001	74.024	137.8250
21.400000	74.137	136.8418
21.799999	74.367	134.8112
22.000000	74.479	133.7491
22.400000	74.688	131.5521
22.700001	74.825	129.8962
23.000000	74.947	128.2929
23.299999	75.057	126.7856
23.600000	75.164	125.3943
24.000000	75.313	123.7072
24.299999	75.434	122.5316
24.700001	75.613	121.0179
25.000000	75.758	119.8779
25.400000	75.960	118.3014
25.799999	76.159	116.6277
26.200001	76.345	114.8635
26.500000	76.468	113.5116
26.900000	76.611	111.7373
27.200001	76.704	110.4698
27.600000	76.818	108.8959
28.000000	76.932	107.4378
28.500000	77.082	105.6822
29.000000	77.234	103.8832
29.500000	77.374	102.0066
30.000000	77.493	100.1010
30.400000	77.575	98.5932
30.700001	77.630	97.4826
31.100000	77.696	96.0351
31.500000	77.755	94.6353
32.000000	77.825	92.9715
32.500000	77.898	91.4056
33.000000	77.981	89.8943
33.500000	78.073	88.3771
34.000000	78.166	86.8246
34.500000	78.254	85.2528
35.000000	78.336	83.6910
35.500000	78.410	82.1487
36.000000	78.477	80.6246
36.500000	78.531	79.1328
37.000000	78.575	77.7026
37.500000	78.613	76.3503
38.200001	78.663	74.5493
38.700001	78.697	73.2825
39.500000	78.739	71.2626
40.000000	78.756	70.0312
40.599998	78.768	68.6080
41.200001	78.776	67.2391
41.799999	78.780	65.9198
42.500000	78.778	64.4617
43.099998	78.775	63.2971
43.700001	78.774	62.1968
44.400002	78.774	60.9551
45.000000	78.769	59.9203
45.500000	78.760	59.0944
46.200001	78.743	58.0073
46.799999	78.725	57.1240
47.500000	78.697	56.1275
48.200001	78.659	55.1924
48.700001	78.626	54.5952
49.400002	78.580	53.8862
50.000000	78.547	53.3850
50.799999	78.521	52.8278
51.500000	78.514	52.4270
52.200001	78.525	52.1049
53.000000	78.565	51.7960
53.799999	78.636	51.4671
54.500000	78.715	51.0918
55.200001	78.798	50.5988
56.000000	78.883	49.9082
57.000000	78.961	48.9546
58.000000	79.012	48.0287
59.000000	79.055	47.1859
60.000000	79.106	46.2730
60.799999	79.134	45.4311
61.500000	79.144	44.6945
62.200001	79.150	44.0125
63.000000	79.162	43.2704
64.000000	79.188	42.2999
65.000000	79.214	41.2368
66.000000	79.226	40.1368
67.000000	79.221	39.1125
68.000000	79.204	38.2383
69.000000	79.178	37.5466
70.000000	79.144	37.0712
71.000000	79.111	36.8376
72.000000	79.092	36.7982
73.000000	79.095	36.8244
74.000000	79.116	36.8094
75.000000	79.147	36.7317
76.199997	79.199	36.6120
77.500000	79.290	36.4939
78.800003	79.429	36.3308
80.000000	79.588	36.0318
81.199997	79.757	35.5581
82.500000	79.930	34.8479
83.800003	80.083	34.0005
