* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -35.2 dBFS, measurement signal peak level -34.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 2, 2024 12:43:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0343 ms (-12 mm, -0.46 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -52.7 ppm
* Measurement: Orthrus 5m Nylon Front R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	69.861	143.8325
20.299999	70.065	141.7614
20.600000	70.262	139.6655
20.900000	70.445	137.6006
21.200001	70.614	135.6486
21.400000	70.720	134.4539
21.799999	70.936	132.3834
22.000000	71.054	131.5086
22.400000	71.321	130.0067
22.700001	71.554	128.9812
23.000000	71.805	127.9395
23.299999	72.060	126.8197
23.600000	72.305	125.6097
24.000000	72.593	123.9282
24.299999	72.776	122.7110
24.700001	72.981	121.2776
25.000000	73.118	120.3909
25.400000	73.299	119.4415
25.799999	73.494	118.6345
26.200001	73.706	117.7811
26.500000	73.870	117.0033
26.900000	74.075	115.6928
27.200001	74.207	114.4890
27.600000	74.335	112.6469
28.000000	74.400	110.6613
28.500000	74.396	108.2416
29.000000	74.336	106.1436
29.500000	74.275	104.4087
30.000000	74.259	102.8215
30.400000	74.283	101.4631
30.700001	74.314	100.3253
31.100000	74.355	98.6496
31.500000	74.383	96.8806
32.000000	74.399	94.7415
32.500000	74.413	92.8425
33.000000	74.453	91.1663
33.500000	74.526	89.5607
34.000000	74.614	87.8904
34.500000	74.688	86.1505
35.000000	74.734	84.4458
35.500000	74.752	82.8832
36.000000	74.753	81.5011
36.500000	74.743	80.2760
37.000000	74.728	79.1674
37.500000	74.707	78.1518
38.200001	74.671	76.8859
38.700001	74.645	76.1054
39.500000	74.621	75.0746
40.000000	74.623	74.5340
40.599998	74.642	73.9446
41.200001	74.672	73.4379
41.799999	74.711	73.0849
42.500000	74.788	72.8633
43.099998	74.883	72.6725
43.700001	74.983	72.3443
44.400002	75.072	71.8526
45.000000	75.130	71.4397
45.500000	75.173	71.0609
46.200001	75.214	70.3606
46.799999	75.208	69.6855
47.500000	75.172	69.1223
48.200001	75.177	68.8468
48.700001	75.235	68.5932
49.400002	75.365	67.7980
50.000000	75.475	66.6860
50.799999	75.575	64.9641
51.500000	75.631	63.5970
52.200001	75.686	62.4817
53.000000	75.764	61.4414
53.799999	75.844	60.5630
54.500000	75.905	59.9279
55.200001	75.952	59.4460
56.000000	75.993	59.0988
57.000000	76.037	58.9334
58.000000	76.094	58.9941
59.000000	76.202	59.0792
60.000000	76.358	58.6916
60.799999	76.463	57.9344
61.500000	76.522	57.1503
62.200001	76.566	56.4007
63.000000	76.616	55.6106
64.000000	76.691	54.6798
65.000000	76.783	53.7952
66.000000	76.889	52.9465
67.000000	77.009	52.1204
68.000000	77.136	51.2865
69.000000	77.263	50.4144
70.000000	77.382	49.4902
71.000000	77.487	48.5128
72.000000	77.574	47.4995
73.000000	77.643	46.4951
74.000000	77.696	45.5469
75.000000	77.741	44.6865
76.199997	77.790	43.7926
77.500000	77.850	43.0040
78.800003	77.927	42.3621
80.000000	78.023	41.8395
81.199997	78.151	41.3125
82.500000	78.330	40.5850
83.800003	78.531	39.5386
85.000000	78.708	38.3158
86.199997	78.870	36.9438
87.500000	79.028	35.3291
88.500000	79.133	34.0089
90.000000	79.262	31.9280
91.199997	79.343	30.1779
92.500000	79.406	28.1900
93.800003	79.438	26.1335
95.000000	79.439	24.2307
96.199997	79.413	22.3781
97.500000	79.356	20.4716
98.800003	79.270	18.6987
100.000000	79.164	17.2081
101.500000	79.003	15.5820
103.000000	78.819	14.2535
104.400002	78.642	13.3116
106.000000	78.450	12.6077
107.500000	78.301	12.2692
109.000000	78.193	12.1547
110.599998	78.128	12.1677
112.000000	78.119	12.1804
113.800003	78.168	12.0355
115.000000	78.230	11.7905
117.199997	78.374	11.0023
118.000000	78.425	10.6131
120.599998	78.541	9.1681
122.000000	78.576	8.3705
124.099998	78.616	7.0498
125.000000	78.626	6.4043
126.500000	78.628	5.2609
128.000000	78.612	4.1334
131.500000	78.553	1.7924
132.000000	78.544	1.4725
134.000000	78.505	0.1810
136.000000	78.456	-1.1165
138.000000	78.400	-2.3825
140.000000	78.336	-3.6024
143.000000	78.224	-5.4111
145.000000	78.138	-6.6652
147.500000	78.016	-8.2720
150.000000	77.886	-9.7495
152.500000	77.756	-11.0436
155.000000	77.624	-12.2112
157.500000	77.494	-13.3378
160.000000	77.366	-14.4111
162.500000	77.232	-15.4556
165.000000	77.078	-16.4631
167.500000	76.911	-17.4326
170.000000	76.742	-18.3770
172.500000	76.567	-19.1899
175.000000	76.387	-19.8320
177.500000	76.203	-20.4670
180.000000	76.019	-21.1775
182.500000	75.851	-21.8676
185.000000	75.708	-22.4683
187.500000	75.578	-23.0486
190.000000	75.435	-23.6808
192.500000	75.266	-24.2713
195.000000	75.083	-24.6354
197.500000	74.925	-24.7559
200.000000	74.814	-24.8710
203.000000	74.724	-25.3777
206.000000	74.622	-26.3618
209.000000	74.464	-27.4930
212.000000	74.255	-28.3202
214.000000	74.102	-28.5425
218.000000	73.787	-28.0343
220.000000	73.626	-27.3665
224.000000	73.271	-25.7766
227.000000	72.969	-24.9573
