* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 22, 2023 6:58:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Prototype Axis Closed
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	69.127	115.0801
20.299999	69.169	113.4469
20.600000	69.233	111.8731
20.900000	69.297	110.2591
21.200001	69.338	108.6555
21.400000	69.347	107.6721
21.799999	69.349	106.0986
22.000000	69.357	105.5363
22.400000	69.424	104.7370
22.700001	69.531	104.1919
23.000000	69.674	103.4978
23.299999	69.826	102.5696
23.600000	69.964	101.4422
24.000000	70.110	99.8522
24.299999	70.202	98.7490
24.700001	70.334	97.4529
25.000000	70.457	96.4993
25.400000	70.646	95.0196
25.799999	70.822	93.1425
26.200001	70.940	90.9746
26.500000	70.978	89.3482
26.900000	70.981	87.4370
27.200001	70.970	86.2779
27.600000	70.977	85.0084
28.000000	71.025	83.8099
28.500000	71.115	82.0355
29.000000	71.169	79.9063
29.500000	71.148	77.7800
30.000000	71.083	76.0617
30.400000	71.038	75.0286
30.700001	71.025	74.3722
31.100000	71.039	73.5181
31.500000	71.075	72.5762
32.000000	71.124	71.2519
32.500000	71.159	69.8796
33.000000	71.181	68.5922
33.500000	71.202	67.4192
34.000000	71.224	66.3168
34.500000	71.241	65.2567
35.000000	71.247	64.2581
35.500000	71.242	63.3483
36.000000	71.228	62.5233
36.500000	71.205	61.7637
37.000000	71.174	61.0698
37.500000	71.138	60.4556
38.200001	71.098	59.6921
38.700001	71.083	59.1375
39.500000	71.073	58.1570
40.000000	71.073	57.5478
40.599998	71.088	56.9036
41.200001	71.133	56.3489
41.799999	71.211	55.8141
42.500000	71.319	55.1526
43.099998	71.405	54.6065
43.700001	71.475	54.1660
44.400002	71.537	53.7682
45.000000	71.558	53.4585
45.500000	71.541	53.2619
46.200001	71.483	53.1730
46.799999	71.438	53.1111
47.500000	71.399	52.5863
48.200001	71.329	51.3182
48.700001	71.244	49.9895
49.400002	71.054	47.6884
50.000000	70.794	45.7765
50.799999	70.359	44.7885
51.500000	70.163	45.8813
52.200001	70.349	47.2470
53.000000	70.796	47.0523
53.799999	71.142	45.3831
54.500000	71.315	43.9751
55.200001	71.410	43.0452
56.000000	71.436	42.5055
57.000000	71.341	42.5479
58.000000	71.140	43.4335
59.000000	70.977	45.0983
60.000000	71.014	46.2653
60.799999	71.108	45.9094
61.500000	71.143	44.9320
62.200001	71.130	43.9158
63.000000	71.110	43.0965
64.000000	71.130	42.6700
65.000000	71.213	42.7869
66.000000	71.333	43.1814
67.000000	71.445	43.6715
68.000000	71.525	44.2323
69.000000	71.581	44.9006
70.000000	71.654	45.6654
71.000000	71.777	46.3505
72.000000	71.951	46.7887
73.000000	72.160	46.9393
74.000000	72.381	46.8245
75.000000	72.588	46.5333
76.199997	72.813	46.1199
77.500000	73.039	45.6609
78.800003	73.261	45.0759
80.000000	73.453	44.3457
81.199997	73.627	43.5184
82.500000	73.809	42.6405
83.800003	74.005	41.7393
85.000000	74.194	40.7610
86.199997	74.381	39.6494
87.500000	74.582	38.3358
88.500000	74.735	37.2262
90.000000	74.938	35.4075
91.199997	75.065	33.8989
92.500000	75.162	32.2637
93.800003	75.218	30.6695
95.000000	75.242	29.2510
96.199997	75.250	27.8682
97.500000	75.248	26.3858
98.800003	75.235	24.9180
100.000000	75.214	23.6007
101.500000	75.175	22.0304
103.000000	75.125	20.5515
104.400002	75.064	19.2813
106.000000	74.976	18.0137
107.500000	74.877	17.0327
109.000000	74.765	16.2545
110.599998	74.645	15.6396
112.000000	74.559	15.2721
113.800003	74.499	15.0254
115.000000	74.497	15.0068
117.199997	74.561	15.1630
118.000000	74.598	15.1960
120.599998	74.694	14.6893
122.000000	74.695	14.0021
124.099998	74.650	12.8181
125.000000	74.630	12.3414
126.500000	74.607	11.6490
128.000000	74.598	11.0958
131.500000	74.602	10.0844
132.000000	74.604	9.9283
134.000000	74.618	9.1804
136.000000	74.631	8.2742
138.000000	74.636	7.3693
140.000000	74.628	6.5837
143.000000	74.596	5.5701
145.000000	74.564	4.8955
147.500000	74.526	4.0408
150.000000	74.508	3.2222
152.500000	74.500	2.3939
155.000000	74.485	1.5112
157.500000	74.461	0.6127
160.000000	74.441	-0.1472
162.500000	74.428	-0.7959
165.000000	74.399	-1.5152
167.500000	74.347	-2.3533
170.000000	74.285	-3.2286
