* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -37.4 dBFS, measurement signal peak level -36.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 2, 2024 12:44:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0401 ms (-14 mm, -0.54 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -53.8 ppm
* Measurement: Orthrus 5m Nylon Front L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	69.443	145.7772
20.299999	69.603	144.0969
20.600000	69.751	142.4428
20.900000	69.891	140.8239
21.200001	70.025	139.2427
21.400000	70.112	138.2083
21.799999	70.284	136.1786
22.000000	70.370	135.1797
22.400000	70.541	133.2097
22.700001	70.669	131.7571
23.000000	70.796	130.3315
23.299999	70.923	128.9403
23.600000	71.051	127.5906
24.000000	71.224	125.8631
24.299999	71.356	124.6240
24.700001	71.534	123.0512
25.000000	71.671	121.9381
25.400000	71.858	120.5530
25.799999	72.059	119.2750
26.200001	72.278	118.0535
26.500000	72.456	117.1185
26.900000	72.702	115.7605
27.200001	72.885	114.6172
27.600000	73.109	112.9185
28.000000	73.298	111.0730
28.500000	73.475	108.7054
29.000000	73.593	106.4294
29.500000	73.669	104.3239
30.000000	73.718	102.4094
30.400000	73.747	101.0132
30.700001	73.768	100.0341
31.100000	73.801	98.7867
31.500000	73.842	97.5492
32.000000	73.899	95.9398
32.500000	73.950	94.2544
33.000000	73.988	92.5792
33.500000	74.023	90.9888
34.000000	74.067	89.4541
34.500000	74.120	87.8815
35.000000	74.162	86.2364
35.500000	74.177	84.6051
36.000000	74.164	83.1346
36.500000	74.136	81.9149
37.000000	74.111	80.9267
37.500000	74.094	80.0910
38.200001	74.080	79.0580
38.700001	74.070	78.3931
39.500000	74.049	77.4776
40.000000	74.038	77.0034
40.599998	74.036	76.5091
41.200001	74.051	76.0383
41.799999	74.083	75.5204
42.500000	74.134	74.8063
43.099998	74.178	74.1261
43.700001	74.221	73.4565
44.400002	74.279	72.7798
45.000000	74.355	72.2851
45.500000	74.442	71.8486
46.200001	74.586	71.0260
46.799999	74.696	70.0707
47.500000	74.773	68.8677
48.200001	74.803	67.9199
48.700001	74.823	67.4893
49.400002	74.884	67.0939
50.000000	74.967	66.7488
50.799999	75.091	66.1137
51.500000	75.189	65.4376
52.200001	75.269	64.7340
53.000000	75.336	63.9482
53.799999	75.372	63.2589
54.500000	75.386	62.8083
55.200001	75.395	62.4857
56.000000	75.405	62.1880
57.000000	75.415	61.8257
58.000000	75.411	61.4759
59.000000	75.415	61.4646
60.000000	75.539	61.7467
60.799999	75.733	61.5758
61.500000	75.912	60.9724
62.200001	76.067	60.1637
63.000000	76.225	59.2545
64.000000	76.418	58.2559
65.000000	76.614	57.3579
66.000000	76.807	56.4671
67.000000	76.985	55.5255
68.000000	77.144	54.5128
69.000000	77.282	53.4185
70.000000	77.399	52.2648
71.000000	77.498	51.0775
72.000000	77.580	49.8791
73.000000	77.644	48.7124
74.000000	77.696	47.6088
