* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 30, 2023 5:36:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Satyr1 Geekria Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	70.065	166.5952
20.299999	70.309	164.6027
20.600000	70.554	162.6012
20.900000	70.792	160.5920
21.200001	71.016	158.6167
21.400000	71.158	157.3484
21.799999	71.432	154.9767
22.000000	71.569	153.8761
22.400000	71.851	151.8011
22.700001	72.070	150.2861
23.000000	72.290	148.7497
23.299999	72.503	147.1633
23.600000	72.702	145.5283
24.000000	72.936	143.3231
24.299999	73.088	141.7017
24.700001	73.263	139.6440
25.000000	73.381	138.1960
25.400000	73.528	136.3833
25.799999	73.670	134.6648
26.200001	73.810	132.9923
26.500000	73.912	131.7487
26.900000	74.045	130.0983
27.200001	74.141	128.8694
27.600000	74.270	127.2463
28.000000	74.402	125.6287
28.500000	74.574	123.5654
29.000000	74.745	121.4075
29.500000	74.904	119.1866
30.000000	75.050	117.0179
30.400000	75.167	115.3717
30.700001	75.261	114.1759
31.100000	75.397	112.5803
31.500000	75.537	110.9242
32.000000	75.698	108.7679
32.500000	75.827	106.6485
33.000000	75.938	104.7395
33.500000	76.057	103.0674
34.000000	76.200	101.4847
34.500000	76.355	99.8311
35.000000	76.501	98.0711
35.500000	76.625	96.2815
36.000000	76.731	94.5440
36.500000	76.828	92.8781
37.000000	76.917	91.2670
37.500000	76.998	89.7097
38.200001	77.102	87.6466
38.700001	77.176	86.2442
39.500000	77.291	84.0412
40.000000	77.355	82.6822
40.599998	77.422	81.1052
41.200001	77.485	79.5892
41.799999	77.545	78.0865
42.500000	77.604	76.3047
43.099998	77.641	74.7751
43.700001	77.666	73.2720
44.400002	77.686	71.5476
45.000000	77.692	70.1005
45.500000	77.691	68.9492
46.200001	77.689	67.4733
46.799999	77.701	66.3319
47.500000	77.746	65.0398
48.200001	77.823	63.5866
48.700001	77.879	62.3513
49.400002	77.921	60.4009
50.000000	77.911	58.7603
50.799999	77.873	56.9559
51.500000	77.881	55.6205
52.200001	77.931	54.1510
53.000000	77.983	52.2346
53.799999	78.008	50.4323
54.500000	78.032	49.1268
55.200001	78.066	48.0596
56.000000	78.112	47.1635
57.000000	78.187	46.6042
58.000000	78.317	46.6028
59.000000	78.554	46.4124
60.000000	78.754	44.6894
60.799999	78.714	42.4886
61.500000	78.536	40.7737
62.200001	78.310	39.5093
63.000000	78.077	38.3649
64.000000	77.865	36.9664
65.000000	77.740	35.4686
66.000000	77.684	33.9283
67.000000	77.671	32.4716
68.000000	77.674	31.1705
69.000000	77.665	30.0630
70.000000	77.638	29.0978
71.000000	77.587	28.1279
72.000000	77.506	27.0482
73.000000	77.399	25.8470
74.000000	77.270	24.5782
75.000000	77.131	23.3397
76.199997	76.957	22.0188
77.500000	76.753	20.9938
78.800003	76.546	20.5908
80.000000	76.377	20.7164
81.199997	76.251	21.1339
82.500000	76.179	21.6855
83.800003	76.177	22.1339
85.000000	76.229	22.3218
86.199997	76.308	22.2213
87.500000	76.392	21.8212
88.500000	76.445	21.3734
90.000000	76.504	20.5490
91.199997	76.534	19.8011
92.500000	76.552	18.9655
93.800003	76.557	18.1832
95.000000	76.558	17.5491
96.199997	76.556	16.9869
97.500000	76.553	16.4070
98.800003	76.546	15.8055
100.000000	76.537	15.2250
101.500000	76.528	14.4807
103.000000	76.523	13.7222
104.400002	76.513	13.0302
106.000000	76.493	12.2741
107.500000	76.466	11.5110
109.000000	76.433	10.5930
110.599998	76.392	9.4326
112.000000	76.349	8.3681
113.800003	76.279	7.1895
115.000000	76.213	6.6578
117.199997	76.048	6.3962
118.000000	75.985	6.4958
120.599998	75.824	6.7502
122.000000	75.749	6.5471
124.099998	75.622	6.1545
125.000000	75.572	6.0573
126.500000	75.502	5.9758
128.000000	75.447	5.9025
131.500000	75.358	5.2957
132.000000	75.349	5.1661
134.000000	75.327	4.6665
136.000000	75.318	4.2831
138.000000	75.303	3.9986
140.000000	75.273	3.6691
143.000000	75.198	2.9791
145.000000	75.137	2.5839
147.500000	75.063	2.2849
150.000000	74.990	2.0135
152.500000	74.910	1.6986
155.000000	74.815	1.5577
157.500000	74.719	1.8106
160.000000	74.653	2.2935
162.500000	74.631	2.5950
165.000000	74.630	2.5448
167.500000	74.627	2.2609
170.000000	74.613	1.9515
172.500000	74.598	1.7685
175.000000	74.597	1.7418
177.500000	74.607	1.7872
180.000000	74.609	1.7772
182.500000	74.589	1.6313
185.000000	74.552	1.3962
187.500000	74.510	1.2358
190.000000	74.468	1.2662
192.500000	74.431	1.3999
195.000000	74.416	1.3854
197.500000	74.420	1.0853
