* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -28.1 dBFS, measurement signal peak level -27.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 28, 2023 7:24:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Satyr 1
* Measurement: Satyr 1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	63.194	161.5392
20.299999	63.432	160.4089
20.600000	63.696	159.2831
20.900000	63.978	158.0417
21.200001	64.259	156.5981
21.400000	64.432	155.5289
21.799999	64.733	153.2484
22.000000	64.858	152.1125
22.400000	65.067	150.0166
22.700001	65.209	148.6606
23.000000	65.357	147.4608
23.299999	65.521	146.3077
23.600000	65.694	145.0960
24.000000	65.923	143.2731
24.299999	66.073	141.7484
24.700001	66.229	139.6203
25.000000	66.315	138.0715
25.400000	66.404	136.1896
25.799999	66.491	134.5449
26.200001	66.594	133.0642
26.500000	66.688	131.9983
26.900000	66.835	130.5790
27.200001	66.960	129.4885
27.600000	67.145	127.9603
28.000000	67.346	126.2778
28.500000	67.589	123.8732
29.000000	67.774	121.2563
29.500000	67.880	118.8448
30.000000	67.956	117.0961
30.400000	68.056	116.1925
30.700001	68.178	115.6490
31.100000	68.393	114.7955
31.500000	68.631	113.5656
32.000000	68.885	111.4660
32.500000	69.042	109.1101
33.000000	69.119	106.9621
33.500000	69.163	105.1655
34.000000	69.207	103.5735
34.500000	69.250	102.0117
35.000000	69.279	100.4601
35.500000	69.296	98.9871
36.000000	69.317	97.6071
36.500000	69.352	96.2437
37.000000	69.397	94.8084
37.500000	69.438	93.3006
38.200001	69.475	91.2741
38.700001	69.502	90.0528
39.500000	69.607	88.4722
40.000000	69.723	87.4930
40.599998	69.881	86.1362
41.200001	70.026	84.6238
41.799999	70.145	83.1000
42.500000	70.256	81.3878
43.099998	70.323	79.9874
43.700001	70.363	78.7115
44.400002	70.393	77.4219
45.000000	70.419	76.4198
45.500000	70.444	75.5982
46.200001	70.486	74.4223
46.799999	70.534	73.3278
47.500000	70.596	71.8573
48.200001	70.648	70.2201
48.700001	70.681	69.0262
49.400002	70.732	67.3645
50.000000	70.785	65.9181
50.799999	70.858	63.9441
51.500000	70.912	62.2319
52.200001	70.950	60.6144
53.000000	70.971	58.9993
