* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 30, 2023 5:31:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Satyr1 Yaxi Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	68.156	174.8564
20.299999	68.497	172.8804
20.600000	68.818	170.9368
20.900000	69.116	169.0225
21.200001	69.391	167.1455
21.400000	69.560	165.9260
21.799999	69.871	163.5942
22.000000	70.015	162.4902
22.400000	70.289	160.3993
22.700001	70.487	158.9082
23.000000	70.680	157.4552
23.299999	70.867	156.0221
23.600000	71.049	154.6021
24.000000	71.282	152.7358
24.299999	71.453	151.3610
24.700001	71.681	149.5503
25.000000	71.853	148.1887
25.400000	72.082	146.3357
25.799999	72.307	144.4128
26.200001	72.521	142.4141
26.500000	72.670	140.8730
26.900000	72.847	138.7905
27.200001	72.962	137.2385
27.600000	73.091	135.2513
28.000000	73.199	133.4304
28.500000	73.329	131.4366
29.000000	73.476	129.6384
29.500000	73.638	127.8253
30.000000	73.782	125.9243
30.400000	73.870	124.4556
30.700001	73.927	123.4741
31.100000	74.009	122.3738
31.500000	74.123	121.4346
32.000000	74.320	120.1965
32.500000	74.545	118.5940
33.000000	74.746	116.6021
33.500000	74.897	114.4457
34.000000	75.011	112.3542
34.500000	75.109	110.3922
35.000000	75.201	108.5264
35.500000	75.290	106.7520
36.000000	75.382	105.0891
36.500000	75.489	103.4968
37.000000	75.610	101.8612
37.500000	75.726	100.1077
38.200001	75.844	97.5950
38.700001	75.896	95.9580
39.500000	75.971	93.7634
40.000000	76.032	92.5437
40.599998	76.118	91.0781
41.200001	76.206	89.5264
41.799999	76.287	87.8340
42.500000	76.353	85.6665
43.099998	76.377	83.7214
43.700001	76.374	81.8019
44.400002	76.356	79.6530
45.000000	76.339	77.8796
45.500000	76.321	76.4539
46.200001	76.288	74.6052
46.799999	76.250	73.2776
47.500000	76.209	72.1841
48.200001	76.206	71.5840
48.700001	76.238	71.3329
49.400002	76.319	70.9912
50.000000	76.399	70.5933
50.799999	76.489	69.8977
51.500000	76.543	69.1820
52.200001	76.587	68.4039
53.000000	76.655	67.3848
53.799999	76.759	65.9961
54.500000	76.852	64.3954
55.200001	76.924	62.6843
56.000000	77.005	61.0186
57.000000	77.179	59.5665
58.000000	77.473	58.4767
59.000000	77.814	56.8206
60.000000	77.937	54.2083
60.799999	77.776	52.5242
61.500000	77.533	51.9843
62.200001	77.302	52.0654
63.000000	77.108	52.2644
64.000000	76.953	52.1101
65.000000	76.865	51.4230
66.000000	76.834	50.3824
67.000000	76.861	49.2388
68.000000	76.940	48.1248
69.000000	77.044	47.0798
70.000000	77.142	46.0758
71.000000	77.210	45.0676
72.000000	77.237	44.0367
73.000000	77.231	42.9553
74.000000	77.203	41.7960
75.000000	77.159	40.6354
76.199997	77.107	39.4254
77.500000	77.083	38.3844
78.800003	77.086	37.5012
80.000000	77.088	36.7396
81.199997	77.080	36.0039
82.500000	77.071	35.1625
83.800003	77.066	34.1779
85.000000	77.054	33.2427
86.199997	77.048	32.4634
87.500000	77.063	31.7695
88.500000	77.080	31.2635
90.000000	77.092	30.4915
91.199997	77.085	29.8374
92.500000	77.064	29.0531
93.800003	77.035	28.2072
95.000000	77.008	27.4331
96.199997	76.985	26.7173
97.500000	76.968	26.0400
98.800003	76.957	25.4435
100.000000	76.949	24.8955
101.500000	76.932	24.1233
103.000000	76.899	23.2739
104.400002	76.864	22.5160
106.000000	76.840	21.7239
107.500000	76.831	20.9950
109.000000	76.819	20.2709
110.599998	76.798	19.5385
112.000000	76.783	18.9236
113.800003	76.773	18.1666
115.000000	76.770	17.7198
117.199997	76.759	17.0842
118.000000	76.751	16.8834
120.599998	76.686	15.9631
122.000000	76.615	15.2507
124.099998	76.480	14.1877
125.000000	76.426	13.8203
126.500000	76.350	13.3689
128.000000	76.285	13.1201
131.500000	76.135	13.1504
132.000000	76.115	13.1674
134.000000	76.048	13.1404
136.000000	76.008	12.9586
138.000000	75.992	12.6493
140.000000	75.969	12.2711
143.000000	75.889	11.7477
145.000000	75.839	11.3835
147.500000	75.802	10.8292
150.000000	75.773	10.3373
152.500000	75.739	10.0400
155.000000	75.727	9.8583
157.500000	75.759	9.6748
160.000000	75.793	9.4973
162.500000	75.770	9.4894
165.000000	75.718	9.6110
167.500000	75.682	9.5557
170.000000	75.663	9.3082
172.500000	75.647	9.0411
175.000000	75.628	8.8065
177.500000	75.610	8.5562
180.000000	75.590	8.2520
182.500000	75.559	7.9438
185.000000	75.516	7.6956
187.500000	75.465	7.5323
190.000000	75.400	7.4791
192.500000	75.320	7.5350
195.000000	75.248	7.6105
197.500000	75.219	7.5481
200.000000	75.238	7.2721
203.000000	75.270	6.8591
206.000000	75.269	6.6052
209.000000	75.242	6.5093
212.000000	75.208	6.4958
214.000000	75.187	6.5061
218.000000	75.154	6.4790
220.000000	75.141	6.4260
224.000000	75.118	6.2817
227.000000	75.108	6.1643
230.000000	75.101	6.0754
233.000000	75.078	6.0791
