* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L S2 Geek FF, L S2 Geek FF, L S2 Geek FF
* Dated: Aug 15, 2024 8:21:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L S2 Geek FF, L S2 Geek FF, L S2 Geek FF
* Measurement: RMS Geekria Pads L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	73.204
20.299999	73.364
20.600000	73.522
20.900000	73.679
21.200001	73.835
21.400000	73.938
21.799999	74.139
22.000000	74.236
22.400000	74.422
22.700001	74.557
23.000000	74.689
23.299999	74.821
23.600000	74.951
24.000000	75.123
24.299999	75.247
24.700001	75.406
25.000000	75.520
25.400000	75.668
25.799999	75.814
26.200001	75.961
26.500000	76.070
26.900000	76.214
27.200001	76.318
27.600000	76.450
28.000000	76.577
28.500000	76.732
29.000000	76.885
29.500000	77.033
30.000000	77.171
30.400000	77.275
30.700001	77.349
31.100000	77.445
31.500000	77.541
32.000000	77.658
32.500000	77.771
33.000000	77.878
33.500000	77.980
34.000000	78.080
34.500000	78.178
35.000000	78.274
35.500000	78.369
36.000000	78.463
36.500000	78.557
37.000000	78.647
37.500000	78.729
38.200001	78.831
38.700001	78.900
39.500000	79.012
40.000000	79.082
40.599998	79.163
41.200001	79.240
41.799999	79.312
42.500000	79.389
43.099998	79.450
43.700001	79.507
44.400002	79.570
45.000000	79.622
45.500000	79.666
46.200001	79.727
46.799999	79.776
47.500000	79.824
48.200001	79.861
48.700001	79.882
49.400002	79.906
50.000000	79.922
50.799999	79.936
51.500000	79.943
52.200001	79.951
53.000000	79.979
53.799999	80.031
54.500000	80.090
55.200001	80.149
56.000000	80.213
57.000000	80.287
58.000000	80.349
59.000000	80.387
60.000000	80.420
60.799999	80.455
61.500000	80.489
62.200001	80.522
63.000000	80.556
64.000000	80.591
65.000000	80.615
66.000000	80.628
67.000000	80.636
68.000000	80.642
69.000000	80.648
70.000000	80.651
71.000000	80.651
72.000000	80.650
73.000000	80.644
74.000000	80.626
75.000000	80.589
76.199997	80.521
77.500000	80.429
78.800003	80.343
80.000000	80.292
81.199997	80.280
82.500000	80.310
83.800003	80.372
85.000000	80.438
86.199997	80.500
87.500000	80.555
88.500000	80.585
90.000000	80.614
91.199997	80.624
92.500000	80.625
93.800003	80.621
95.000000	80.613
96.199997	80.603
97.500000	80.591
98.800003	80.580
100.000000	80.571
101.500000	80.565
103.000000	80.563
104.400002	80.566
106.000000	80.574
107.500000	80.580
109.000000	80.584
110.599998	80.583
112.000000	80.577
113.800003	80.566
115.000000	80.561
117.199997	80.564
118.000000	80.567
120.599998	80.570
122.000000	80.565
124.099998	80.562
125.000000	80.563
126.500000	80.565
128.000000	80.569
131.500000	80.577
132.000000	80.578
134.000000	80.576
136.000000	80.567
138.000000	80.554
140.000000	80.539
143.000000	80.511
145.000000	80.489
147.500000	80.461
150.000000	80.433
152.500000	80.408
155.000000	80.388
157.500000	80.375
160.000000	80.372
162.500000	80.380
165.000000	80.395
167.500000	80.412
170.000000	80.430
172.500000	80.444
175.000000	80.456
177.500000	80.464
180.000000	80.469
182.500000	80.471
185.000000	80.470
187.500000	80.468
190.000000	80.464
192.500000	80.455
195.000000	80.440
197.500000	80.420
200.000000	80.396
203.000000	80.363
206.000000	80.325
209.000000	80.285
212.000000	80.244
214.000000	80.218
218.000000	80.169
220.000000	80.145
224.000000	80.100
227.000000	80.071
230.000000	80.047
233.000000	80.027
236.000000	80.010
240.000000	79.984
243.000000	79.957
247.000000	79.915
250.000000	79.883
254.000000	79.841
258.000000	79.802
262.000000	79.767
265.000000	79.745
269.000000	79.718
272.000000	79.700
276.000000	79.675
280.000000	79.649
285.000000	79.611
290.000000	79.569
295.000000	79.522
300.000000	79.474
304.000000	79.436
307.000000	79.408
311.000000	79.372
315.000000	79.338
320.000000	79.297
325.000000	79.255
330.000000	79.211
335.000000	79.167
340.000000	79.124
345.000000	79.080
350.000000	79.037
355.000000	78.995
360.000000	78.953
365.000000	78.913
370.000000	78.874
375.000000	78.837
382.000000	78.791
387.000000	78.760
395.000000	78.712
400.000000	78.680
406.000000	78.642
412.000000	78.604
418.000000	78.567
425.000000	78.523
431.000000	78.486
437.000000	78.450
444.000000	78.411
450.000000	78.381
455.000000	78.357
462.000000	78.328
468.000000	78.306
475.000000	78.282
482.000000	78.259
487.000000	78.243
494.000000	78.222
500.000000	78.204
508.000000	78.184
515.000000	78.169
522.000000	78.154
530.000000	78.137
538.000000	78.117
545.000000	78.098
552.000000	78.076
560.000000	78.044
570.000000	77.991
580.000000	77.929
590.000000	77.881
600.000000	77.864
608.000000	77.873
615.000000	77.893
622.000000	77.920
630.000000	77.955
640.000000	78.002
650.000000	78.051
660.000000	78.097
670.000000	78.138
680.000000	78.176
690.000000	78.212
700.000000	78.249
710.000000	78.289
720.000000	78.327
730.000000	78.362
740.000000	78.393
750.000000	78.417
762.000000	78.434
775.000000	78.433
788.000000	78.398
800.000000	78.334
812.000000	78.263
825.000000	78.224
838.000000	78.244
850.000000	78.294
862.000000	78.349
875.000000	78.398
885.000000	78.424
900.000000	78.443
912.000000	78.444
925.000000	78.434
938.000000	78.420
950.000000	78.405
962.000000	78.389
975.000000	78.373
988.000000	78.366
1000.000000	78.381
1015.000000	78.437
1030.000000	78.524
1044.000000	78.611
1060.000000	78.698
1075.000000	78.767
1090.000000	78.836
1106.000000	78.914
1120.000000	78.987
1138.000000	79.071
1150.000000	79.112
1172.000000	79.159
1180.000000	79.173
1206.000000	79.228
1220.000000	79.264
1241.000000	79.319
1250.000000	79.342
1265.000000	79.383
1280.000000	79.427
1315.000000	79.518
1320.000000	79.525
1340.000000	79.527
1360.000000	79.487
1380.000000	79.407
1400.000000	79.297
1430.000000	79.112
1450.000000	78.981
1475.000000	78.815
1500.000000	78.662
1525.000000	78.528
1550.000000	78.425
1575.000000	78.379
1600.000000	78.399
1625.000000	78.462
1650.000000	78.556
1675.000000	78.679
1700.000000	78.811
1725.000000	78.921
1750.000000	78.994
1775.000000	79.047
1800.000000	79.105
1825.000000	79.188
1850.000000	79.311
1875.000000	79.468
1900.000000	79.647
1925.000000	79.850
1950.000000	80.080
1975.000000	80.333
2000.000000	80.596
2030.000000	80.897
2060.000000	81.173
2090.000000	81.443
2120.000000	81.714
2140.000000	81.885
2180.000000	82.186
2200.000000	82.322
2240.000000	82.597
2270.000000	82.824
2300.000000	83.069
2330.000000	83.314
2360.000000	83.543
2400.000000	83.811
2430.000000	83.984
2470.000000	84.189
2500.000000	84.336
2540.000000	84.534
2580.000000	84.747
2620.000000	84.992
2650.000000	85.199
2690.000000	85.491
2720.000000	85.708
2760.000000	85.983
2800.000000	86.235
2850.000000	86.537
2900.000000	86.839
2950.000000	87.136
3000.000000	87.425
3040.000000	87.658
3070.000000	87.828
3110.000000	88.038
3150.000000	88.219
3200.000000	88.402
3250.000000	88.539
3300.000000	88.640
3350.000000	88.715
3400.000000	88.769
3450.000000	88.794
3500.000000	88.772
3550.000000	88.690
3600.000000	88.540
3650.000000	88.318
3700.000000	88.021
3750.000000	87.659
3820.000000	87.075
3870.000000	86.623
3950.000000	85.882
4000.000000	85.433
4060.000000	84.933
4120.000000	84.490
4180.000000	84.109
4250.000000	83.730
4310.000000	83.437
4370.000000	83.161
4440.000000	82.857
4500.000000	82.610
4550.000000	82.413
4620.000000	82.156
4680.000000	81.952
4750.000000	81.728
4820.000000	81.521
4870.000000	81.387
4940.000000	81.226
5000.000000	81.123
5080.000000	81.051
5150.000000	81.060
5220.000000	81.130
5300.000000	81.258
5380.000000	81.397
5450.000000	81.492
5520.000000	81.535
5600.000000	81.483
5700.000000	81.230
5800.000000	80.768
5900.000000	80.157
6000.000000	79.498
6080.000000	78.995
6150.000000	78.595
6220.000000	78.234
6300.000000	77.862
6400.000000	77.432
6500.000000	77.032
6600.000000	76.669
6700.000000	76.374
6800.000000	76.198
6900.000000	76.179
7000.000000	76.284
7100.000000	76.414
7200.000000	76.473
7300.000000	76.408
7400.000000	76.222
7500.000000	75.950
7620.000000	75.579
7750.000000	75.204
7880.000000	74.935
8000.000000	74.825
8120.000000	74.842
8250.000000	74.965
8380.000000	75.199
8500.000000	75.556
8620.000000	76.034
8750.000000	76.582
8850.000000	76.926
9000.000000	77.171
9120.000000	77.078
9250.000000	76.693
9380.000000	76.082
9500.000000	75.398
9620.000000	74.668
9750.000000	73.856
9880.000000	72.997
10000.000000	72.100
10150.000000	70.766
10300.000000	69.188
10440.000000	67.654
10600.000000	66.449
10750.000000	66.689
10900.000000	68.075
11060.000000	69.823
11200.000000	71.175
11380.000000	72.592
11500.000000	73.357
11720.000000	74.400
11800.000000	74.656
12060.000000	75.064
12200.000000	75.126
12410.000000	75.285
12500.000000	75.444
12650.000000	75.874
12800.000000	76.479
13150.000000	77.915
13200.000000	78.049
13400.000000	78.268
13600.000000	77.964
