* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R S2 Geek FF, R S2 Geek FF, R S2 Geek FF
* Dated: Aug 15, 2024 8:21:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R S2 Geek FF, R S2 Geek FF, R S2 Geek FF
* Measurement: RMS Geekria Pads R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	72.849
20.299999	73.019
20.600000	73.187
20.900000	73.351
21.200001	73.512
21.400000	73.617
21.799999	73.820
22.000000	73.919
22.400000	74.110
22.700001	74.248
23.000000	74.380
23.299999	74.507
23.600000	74.628
24.000000	74.784
24.299999	74.899
24.700001	75.052
25.000000	75.166
25.400000	75.317
25.799999	75.462
26.200001	75.600
26.500000	75.701
26.900000	75.833
27.200001	75.933
27.600000	76.067
28.000000	76.199
28.500000	76.351
29.000000	76.485
29.500000	76.611
30.000000	76.739
30.400000	76.845
30.700001	76.925
31.100000	77.027
31.500000	77.121
32.000000	77.228
32.500000	77.330
33.000000	77.432
33.500000	77.534
34.000000	77.636
34.500000	77.740
35.000000	77.845
35.500000	77.950
36.000000	78.051
36.500000	78.147
37.000000	78.237
37.500000	78.320
38.200001	78.422
38.700001	78.484
39.500000	78.577
40.000000	78.638
40.599998	78.713
41.200001	78.785
41.799999	78.851
42.500000	78.922
43.099998	78.977
43.700001	79.027
44.400002	79.082
45.000000	79.126
45.500000	79.162
46.200001	79.214
46.799999	79.260
47.500000	79.315
48.200001	79.369
48.700001	79.407
49.400002	79.462
50.000000	79.512
50.799999	79.578
51.500000	79.630
52.200001	79.676
53.000000	79.725
53.799999	79.774
54.500000	79.817
55.200001	79.859
56.000000	79.902
57.000000	79.950
58.000000	79.993
59.000000	80.031
60.000000	80.057
60.799999	80.070
61.500000	80.080
62.200001	80.090
63.000000	80.100
64.000000	80.103
65.000000	80.092
66.000000	80.064
67.000000	80.022
68.000000	79.972
69.000000	79.928
70.000000	79.902
71.000000	79.898
72.000000	79.913
73.000000	79.940
74.000000	79.973
75.000000	80.008
76.199997	80.051
77.500000	80.096
78.800003	80.136
80.000000	80.164
81.199997	80.182
82.500000	80.187
83.800003	80.180
85.000000	80.166
86.199997	80.150
87.500000	80.137
88.500000	80.132
90.000000	80.134
91.199997	80.141
92.500000	80.149
93.800003	80.157
95.000000	80.163
96.199997	80.171
97.500000	80.181
98.800003	80.193
100.000000	80.205
101.500000	80.219
103.000000	80.231
104.400002	80.238
106.000000	80.240
107.500000	80.235
109.000000	80.223
110.599998	80.207
112.000000	80.196
113.800003	80.195
115.000000	80.205
117.199997	80.241
118.000000	80.256
120.599998	80.283
122.000000	80.280
124.099998	80.271
125.000000	80.268
126.500000	80.266
128.000000	80.266
131.500000	80.264
132.000000	80.261
134.000000	80.245
136.000000	80.227
138.000000	80.214
140.000000	80.207
143.000000	80.193
145.000000	80.179
147.500000	80.156
150.000000	80.126
152.500000	80.092
155.000000	80.051
157.500000	80.006
160.000000	79.957
162.500000	79.909
165.000000	79.862
167.500000	79.818
170.000000	79.780
172.500000	79.752
175.000000	79.738
177.500000	79.735
180.000000	79.743
182.500000	79.760
185.000000	79.782
187.500000	79.807
190.000000	79.831
192.500000	79.854
195.000000	79.873
197.500000	79.888
200.000000	79.896
203.000000	79.897
206.000000	79.891
209.000000	79.879
212.000000	79.863
214.000000	79.851
218.000000	79.826
220.000000	79.814
224.000000	79.792
227.000000	79.777
230.000000	79.762
233.000000	79.746
236.000000	79.729
240.000000	79.708
243.000000	79.694
247.000000	79.673
250.000000	79.655
254.000000	79.628
258.000000	79.601
262.000000	79.575
265.000000	79.559
269.000000	79.539
272.000000	79.525
276.000000	79.507
280.000000	79.488
285.000000	79.463
290.000000	79.439
295.000000	79.415
300.000000	79.390
304.000000	79.369
307.000000	79.352
311.000000	79.327
315.000000	79.301
320.000000	79.266
325.000000	79.229
330.000000	79.193
335.000000	79.158
340.000000	79.125
345.000000	79.093
350.000000	79.061
355.000000	79.030
360.000000	78.999
365.000000	78.969
370.000000	78.941
375.000000	78.913
382.000000	78.875
387.000000	78.850
395.000000	78.809
400.000000	78.783
406.000000	78.755
412.000000	78.727
418.000000	78.700
425.000000	78.666
431.000000	78.636
437.000000	78.608
444.000000	78.575
450.000000	78.549
455.000000	78.529
462.000000	78.504
468.000000	78.485
475.000000	78.465
482.000000	78.446
487.000000	78.433
494.000000	78.416
500.000000	78.402
508.000000	78.386
515.000000	78.373
522.000000	78.360
530.000000	78.346
538.000000	78.330
545.000000	78.315
552.000000	78.302
560.000000	78.287
570.000000	78.267
580.000000	78.242
590.000000	78.212
600.000000	78.175
608.000000	78.140
615.000000	78.104
622.000000	78.061
630.000000	78.005
640.000000	77.933
650.000000	77.874
660.000000	77.844
670.000000	77.850
680.000000	77.887
690.000000	77.939
700.000000	77.995
710.000000	78.047
