* Measurement data measured by REW V5.31.1
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.420. Timing signal peak level -32.8 dBFS, measurement signal peak level -26.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 12, 2024 10:02:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0420 ms (-14 mm, -0.57 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 1.1 ppm
* Measurement: L s2 Geekria
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	65.204	-33.4159
20.299999	65.451	-34.3512
20.600000	65.706	-35.3421
20.900000	65.958	-36.4302
21.200001	66.193	-37.5883
21.400000	66.336	-38.3587
21.799999	66.598	-39.7630
22.000000	66.725	-40.3576
22.400000	67.002	-41.3491
22.700001	67.243	-42.0366
23.000000	67.510	-42.8237
23.299999	67.785	-43.8063
23.600000	68.043	-44.9954
24.000000	68.330	-46.7524
24.299999	68.494	-48.0207
24.700001	68.666	-49.4055
25.000000	68.786	-50.1467
25.400000	68.973	-50.8200
25.799999	69.206	-51.3669
26.200001	69.470	-52.0212
26.500000	69.669	-52.6361
26.900000	69.917	-53.5798
27.200001	70.089	-54.3242
27.600000	70.303	-55.3057
28.000000	70.509	-56.2634
28.500000	70.761	-57.4648
29.000000	71.007	-58.7100
29.500000	71.245	-60.0113
30.000000	71.475	-61.3827
30.400000	71.649	-62.5321
30.700001	71.771	-63.4069
31.100000	71.920	-64.5444
31.500000	72.060	-65.5972
32.000000	72.242	-66.7725
32.500000	72.446	-67.8804
33.000000	72.668	-69.0571
33.500000	72.885	-70.3474
34.000000	73.083	-71.6766
34.500000	73.266	-72.9489
35.000000	73.445	-74.1461
35.500000	73.626	-75.3249
36.000000	73.802	-76.5414
36.500000	73.965	-77.7946
37.000000	74.110	-79.0388
37.500000	74.243	-80.2310
38.200001	74.422	-81.8053
38.700001	74.553	-82.9024
39.500000	74.763	-84.6900
40.000000	74.890	-85.8304
40.599998	75.037	-87.1893
41.200001	75.180	-88.5126
41.799999	75.323	-89.8087
42.500000	75.487	-91.3175
43.099998	75.620	-92.6064
43.700001	75.743	-93.8694
44.400002	75.876	-95.3077
45.000000	75.982	-96.5322
45.500000	76.062	-97.5522
46.200001	76.160	-98.9656
46.799999	76.234	-100.1566
47.500000	76.312	-101.5152
48.200001	76.384	-102.8098
48.700001	76.440	-103.6946
49.400002	76.529	-104.9399
50.000000	76.606	-106.0564
50.799999	76.690	-107.5251
51.500000	76.753	-108.6605
52.200001	76.822	-109.6518
53.000000	76.909	-110.6701
53.799999	77.007	-111.5714
54.500000	77.114	-112.3598
55.200001	77.230	-113.3129
56.000000	77.342	-114.6073
57.000000	77.444	-116.2430
58.000000	77.556	-117.8710
59.000000	77.669	-119.7310
60.000000	77.744	-121.6509
60.799999	77.790	-123.0413
61.500000	77.835	-124.1586
62.200001	77.884	-125.2399
63.000000	77.936	-126.4705
64.000000	77.987	-128.0079
65.000000	78.014	-129.5212
66.000000	78.023	-130.9935
67.000000	78.024	-132.4474
68.000000	78.020	-133.9157
69.000000	78.007	-135.3792
70.000000	77.985	-136.7720
71.000000	77.955	-138.0283
72.000000	77.917	-139.1041
73.000000	77.875	-139.9428
74.000000	77.843	-140.5408
75.000000	77.835	-141.0301
76.199997	77.853	-141.6371
77.500000	77.903	-142.4548
78.800003	77.967	-143.5757
80.000000	78.017	-144.7908
81.199997	78.054	-146.0524
82.500000	78.080	-147.3957
83.800003	78.093	-148.6872
85.000000	78.092	-149.8425
86.199997	78.081	-150.9713
87.500000	78.061	-152.1811
88.500000	78.044	-153.0985
90.000000	78.015	-154.4517
91.199997	77.986	-155.4947
92.500000	77.947	-156.5665
93.800003	77.896	-157.5734
95.000000	77.837	-158.4376
96.199997	77.775	-159.2467
