* Measurement data measured by REW V5.31.1
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.420. Timing signal peak level -30.7 dBFS, measurement signal peak level -26.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 12, 2024 9:58:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.3356 ms (-115 mm, -4.53 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.3 ppm
* Measurement: R s2 Geekria
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	66.756	-29.6563
20.299999	67.014	-30.7039
20.600000	67.262	-31.7544
20.900000	67.500	-32.7821
21.200001	67.733	-33.7752
21.400000	67.887	-34.4196
21.799999	68.192	-35.6846
22.000000	68.343	-36.3140
22.400000	68.640	-37.5771
22.700001	68.857	-38.5244
23.000000	69.067	-39.4608
23.299999	69.274	-40.3791
23.600000	69.478	-41.2803
24.000000	69.750	-42.4778
24.299999	69.952	-43.3958
24.700001	70.216	-44.6686
25.000000	70.403	-45.6533
25.400000	70.635	-46.9644
25.799999	70.847	-48.2106
26.200001	71.052	-49.3489
26.500000	71.207	-50.1395
26.900000	71.423	-51.1620
27.200001	71.590	-51.9485
27.600000	71.812	-53.0642
28.000000	72.022	-54.2498
28.500000	72.256	-55.7451
29.000000	72.468	-57.1473
29.500000	72.674	-58.4277
30.000000	72.885	-59.6514
30.400000	73.054	-60.6362
30.700001	73.177	-61.3816
31.100000	73.336	-62.3647
31.500000	73.491	-63.3093
32.000000	73.690	-64.4294
32.500000	73.903	-65.5461
33.000000	74.128	-66.7596
33.500000	74.349	-68.1172
34.000000	74.551	-69.5731
34.500000	74.731	-71.0381
35.000000	74.898	-72.4572
35.500000	75.058	-73.8338
36.000000	75.210	-75.1853
36.500000	75.351	-76.4948
37.000000	75.483	-77.7239
37.500000	75.615	-78.8650
38.200001	75.809	-80.4032
38.700001	75.950	-81.5262
39.500000	76.162	-83.3627
40.000000	76.287	-84.5048
40.599998	76.434	-85.8799
41.200001	76.575	-87.2869
41.799999	76.706	-88.7161
42.500000	76.846	-90.3693
43.099998	76.961	-91.7706
43.700001	77.071	-93.1786
44.400002	77.186	-94.8276
45.000000	77.270	-96.2067
45.500000	77.330	-97.3087
46.200001	77.406	-98.7930
46.799999	77.458	-100.0409
47.500000	77.491	-101.4307
48.200001	77.494	-102.6115
48.700001	77.493	-103.2768
49.400002	77.512	-104.0221
50.000000	77.552	-104.6009
50.799999	77.637	-105.4082
51.500000	77.741	-106.1975
52.200001	77.870	-107.1321
53.000000	78.035	-108.4527
53.799999	78.193	-110.0242
54.500000	78.307	-111.4935
55.200001	78.393	-112.8833
56.000000	78.478	-114.2248
57.000000	78.606	-115.6386
58.000000	78.740	-117.1261
59.000000	78.823	-118.7163
60.000000	78.847	-120.1458
60.799999	78.851	-121.1188
61.500000	78.859	-121.9109
62.200001	78.873	-122.7103
63.000000	78.896	-123.6665
64.000000	78.936	-124.9381
65.000000	78.984	-126.2978
66.000000	79.030	-127.7074
67.000000	79.067	-129.1067
68.000000	79.094	-130.4691
69.000000	79.107	-131.7962
70.000000	79.106	-133.1185
71.000000	79.085	-134.4437
72.000000	79.041	-135.7118
73.000000	78.983	-136.8295
74.000000	78.927	-137.7339
75.000000	78.888	-138.4383
76.199997	78.871	-139.1164
77.500000	78.878	-139.7957
78.800003	78.888	-140.5264
80.000000	78.888	-141.2747
81.199997	78.883	-142.1168
82.500000	78.875	-143.1402
83.800003	78.876	-144.2372
85.000000	78.889	-145.3217
86.199997	78.901	-146.4691
87.500000	78.896	-147.6740
88.500000	78.879	-148.5149
90.000000	78.837	-149.6171
91.199997	78.796	-150.3761
92.500000	78.756	-151.1107
93.800003	78.726	-151.8137
95.000000	78.710	-152.4770
96.199997	78.699	-153.1698
97.500000	78.689	-153.9468
98.800003	78.677	-154.7446
100.000000	78.662	-155.4966
101.500000	78.634	-156.4455
103.000000	78.596	-157.3884
104.400002	78.553	-158.2537
106.000000	78.499	-159.2233
107.500000	78.443	-160.1052
109.000000	78.384	-160.9619
110.599998	78.316	-161.8488
112.000000	78.248	-162.5992
113.800003	78.150	-163.5273
115.000000	78.079	-164.1383
117.199997	77.937	-165.2477
118.000000	77.884	-165.6287
120.599998	77.727	-166.6638
122.000000	77.661	-167.1355
124.099998	77.570	-167.8346
125.000000	77.529	-168.1323
126.500000	77.456	-168.6332
128.000000	77.377	-169.1445
131.500000	77.168	-170.3158
132.000000	77.137	-170.4746
134.000000	77.006	-171.0789
136.000000	76.868	-171.6235
138.000000	76.727	-172.1100
140.000000	76.581	-172.5363
143.000000	76.356	-173.0399
145.000000	76.206	-173.2930
147.500000	76.025	-173.5157
150.000000	75.859	-173.6479
152.500000	75.704	-173.7381
155.000000	75.552	-173.8351
157.500000	75.399	-173.9677
160.000000	75.241	-174.1159
162.500000	75.079	-174.2525
165.000000	74.913	-174.3644
167.500000	74.742	-174.4432
170.000000	74.564	-174.4906
172.500000	74.374	-174.4915
175.000000	74.172	-174.4231
177.500000	73.962	-174.2627
180.000000	73.755	-174.0283
182.500000	73.548	-173.7559
185.000000	73.335	-173.4131
187.500000	73.115	-172.9507
190.000000	72.892	-172.3559
192.500000	72.668	-171.6249
195.000000	72.446	-170.7610
197.500000	72.228	-169.7527
200.000000	72.017	-168.5846
203.000000	71.779	-166.9465
206.000000	71.565	-165.0616
209.000000	71.388	-163.0036
212.000000	71.253	-160.8455
214.000000	71.190	-159.3709
218.000000	71.125	-156.3919
220.000000	71.120	-154.9280
224.000000	71.157	-152.1652
227.000000	71.221	-150.2861
230.000000	71.313	-148.5972
233.000000	71.427	-147.1263
236.000000	71.554	-145.8791
240.000000	71.726	-144.4886
243.000000	71.846	-143.5841
247.000000	71.995	-142.5549
250.000000	72.100	-141.9287
254.000000	72.227	-141.2653
258.000000	72.336	-140.7684
262.000000	72.424	-140.3780
265.000000	72.477	-140.1088
269.000000	72.532	-139.7584
272.000000	72.564	-139.5108
276.000000	72.592	-139.2009
280.000000	72.605	-138.8893
285.000000	72.602	-138.4552
290.000000	72.583	-137.9355
295.000000	72.550	-137.3291
300.000000	72.508	-136.6489
304.000000	72.470	-136.0694
307.000000	72.438	-135.6148
311.000000	72.393	-134.9606
315.000000	72.342	-134.2348
320.000000	72.276	-133.2251
325.000000	72.216	-132.1084
330.000000	72.166	-130.9081
335.000000	72.128	-129.6546
340.000000	72.105	-128.3579
345.000000	72.098	-127.0361
350.000000	72.101	-125.7263
355.000000	72.111	-124.4448
360.000000	72.121	-123.1918
365.000000	72.131	-121.9789
370.000000	72.142	-120.7986
375.000000	72.154	-119.6280
382.000000	72.175	-117.9467
387.000000	72.192	-116.6973
395.000000	72.231	-114.6285
400.000000	72.267	-113.3127
406.000000	72.325	-111.7480
412.000000	72.399	-110.2387
418.000000	72.486	-108.8025
425.000000	72.596	-107.2228
431.000000	72.690	-105.9455
437.000000	72.782	-104.7290
444.000000	72.890	-103.3599
450.000000	72.984	-102.2191
455.000000	73.064	-101.2924
462.000000	73.180	-100.0328
468.000000	73.281	-98.9862
475.000000	73.399	-97.8079
482.000000	73.517	-96.6928
487.000000	73.602	-95.9396
494.000000	73.718	-94.9424
500.000000	73.817	-94.1372
508.000000	73.944	-93.1251
515.000000	74.050	-92.2893
522.000000	74.149	-91.4927
530.000000	74.253	-90.6262
538.000000	74.347	-89.8048
545.000000	74.421	-89.1124
552.000000	74.486	-88.4274
560.000000	74.553	-87.6307
570.000000	74.624	-86.5873
580.000000	74.686	-85.4831
590.000000	74.743	-84.3191
600.000000	74.801	-83.1047
608.000000	74.850	-82.1107
615.000000	74.896	-81.2364
622.000000	74.943	-80.3651
630.000000	74.997	-79.3756
640.000000	75.066	-78.1538
650.000000	75.132	-76.9531
660.000000	75.193	-75.7648
670.000000	75.248	-74.5658
680.000000	75.299	-73.3240
690.000000	75.352	-72.0290
700.000000	75.411	-70.6986
710.000000	75.477	-69.3603
720.000000	75.551	-68.0399
730.000000	75.630	-66.7550
740.000000	75.711	-65.5093
750.000000	75.792	-64.3067
762.000000	75.886	-62.9231
775.000000	75.979	-61.4592
788.000000	76.064	-59.9432
800.000000	76.148	-58.4615
812.000000	76.248	-56.9768
825.000000	76.372	-55.4948
838.000000	76.496	-54.2142
850.000000	76.592	-53.1713
862.000000	76.664	-52.1512
875.000000	76.725	-50.9708
885.000000	76.769	-49.9995
900.000000	76.842	-48.5270
912.000000	76.899	-47.3916
925.000000	76.952	-46.1867
938.000000	76.994	-44.9769
950.000000	77.025	-43.8363
962.000000	77.049	-42.6627
975.000000	77.067	-41.3467
988.000000	77.075	-39.9646
1000.000000	77.077	-38.5925
1015.000000	77.081	-36.6980
1030.000000	77.105	-34.6048
1044.000000	77.155	-32.5443
1060.000000	77.251	-30.1819
1075.000000	77.375	-28.0627
1090.000000	77.524	-26.1290
1106.000000	77.693	-24.2934
1120.000000	77.843	-22.8572
1138.000000	78.033	-21.2393
1150.000000	78.152	-20.3123
1172.000000	78.335	-18.8580
1180.000000	78.390	-18.3723
1206.000000	78.530	-16.8829
1220.000000	78.583	-16.1316
1241.000000	78.626	-15.0790
1250.000000	78.628	-14.6297
1265.000000	78.608	-13.8163
1280.000000	78.567	-12.8838
1315.000000	78.428	-10.2305
1320.000000	78.406	-9.7966
1340.000000	78.315	-7.9271
1360.000000	78.232	-5.8671
1380.000000	78.166	-3.6817
1400.000000	78.116	-1.4525
1430.000000	78.057	1.8489
1450.000000	78.018	4.0206
1475.000000	77.962	6.6913
1500.000000	77.885	9.4093
1525.000000	77.805	12.2283
1550.000000	77.712	15.0383
1575.000000	77.581	17.9768
1600.000000	77.429	21.2961
1625.000000	77.298	24.9777
1650.000000	77.199	28.7959
1675.000000	77.112	32.7033
1700.000000	77.042	36.8041
1725.000000	76.996	41.0584
1750.000000	76.972	45.4713
1775.000000	76.981	50.1256
1800.000000	77.054	55.0232
1825.000000	77.220	59.9266
1850.000000	77.469	64.4014
1875.000000	77.742	68.2083
1900.000000	77.983	71.4933
1925.000000	78.171	74.5807
1950.000000	78.320	77.7266
1975.000000	78.455	81.0256
2000.000000	78.593	84.4467
2030.000000	78.771	88.6398
2060.000000	78.969	92.9478
2090.000000	79.207	97.3161
2120.000000	79.484	101.5690
2140.000000	79.685	104.3259
2180.000000	80.140	109.6594
2200.000000	80.399	112.1183
2240.000000	80.925	116.1789
2270.000000	81.248	118.5762
2300.000000	81.482	120.8985
2330.000000	81.668	123.5239
2360.000000	81.866	126.4590
2400.000000	82.182	130.3755
2430.000000	82.431	133.0670
2470.000000	82.735	136.3685
2500.000000	82.930	138.7759
2540.000000	83.165	142.0894
2580.000000	83.402	145.5230
2620.000000	83.652	148.8939
2650.000000	83.838	151.3165
2690.000000	84.069	154.4529
2720.000000	84.232	156.7770
2760.000000	84.440	159.8712
2800.000000	84.646	162.9515
2850.000000	84.899	166.7164
2900.000000	85.144	170.3553
2950.000000	85.376	173.8687
3000.000000	85.592	177.2581
3040.000000	85.747	179.8527
3070.000000	85.847	-178.2420
3110.000000	85.959	-175.6677
3150.000000	86.063	-173.0097
3200.000000	86.201	-169.6337
3250.000000	86.355	-166.3343
3300.000000	86.520	-163.2429
3350.000000	86.680	-160.4626
3400.000000	86.815	-158.0171
3450.000000	86.906	-155.8694
3500.000000	86.944	-153.9803
3550.000000	86.910	-152.3124
3600.000000	86.783	-150.7506
3650.000000	86.554	-149.0809
3700.000000	86.231	-147.0906
3750.000000	85.836	-144.6393
3820.000000	85.205	-140.2912
3870.000000	84.731	-136.5080
3950.000000	83.994	-129.4078
4000.000000	83.567	-124.4703
4060.000000	83.096	-118.1926
4120.000000	82.668	-111.6169
4180.000000	82.283	-104.8254
4250.000000	81.882	-96.7378
4310.000000	81.568	-89.7036
4370.000000	81.275	-82.5562
4440.000000	80.958	-74.0159
4500.000000	80.715	-66.5006
4550.000000	80.538	-60.1116
4620.000000	80.334	-50.9840
4680.000000	80.210	-43.0001
4750.000000	80.142	-33.5861
4820.000000	80.161	-24.2347
4870.000000	80.225	-17.6852
4940.000000	80.379	-8.7863
5000.000000	80.562	-1.4788
5080.000000	80.862	7.6990
5150.000000	81.157	15.1458
5220.000000	81.464	22.0345
5300.000000	81.814	29.2240
5380.000000	82.140	35.6735
5450.000000	82.384	40.7035
5520.000000	82.563	45.2106
5600.000000	82.657	49.8817
5700.000000	82.585	55.4138
5800.000000	82.314	61.1099
5900.000000	81.882	67.2764
6000.000000	81.316	74.1073
6080.000000	80.783	80.1934
6150.000000	80.276	86.0687
6220.000000	79.747	92.5112
6300.000000	79.141	100.6083
6400.000000	78.425	111.8640
6500.000000	77.829	124.3157
6600.000000	77.441	137.5873
6700.000000	77.319	150.8859
6800.000000	77.437	163.2734
6900.000000	77.689	174.1187
7000.000000	77.946	-176.6813
7100.000000	78.098	-168.8314
7200.000000	78.079	-161.8235
7300.000000	77.861	-155.0684
7400.000000	77.459	-148.0198
7500.000000	76.919	-140.2829
7620.000000	76.171	-129.8130
7750.000000	75.350	-116.9827
7880.000000	74.634	-102.9023
8000.000000	74.149	-89.3851
8120.000000	73.851	-76.1685
8250.000000	73.668	-62.8519
8380.000000	73.542	-50.6988
8500.000000	73.441	-40.5100
8620.000000	73.332	-31.4462
8750.000000	73.154	-23.1326
8850.000000	72.913	-17.8839
9000.000000	72.228	-11.5394
9120.000000	71.297	-7.0441
9250.000000	69.860	-1.7119
9380.000000	68.000	5.0363
9500.000000	65.953	13.2496
9620.000000	63.641	24.1365
9750.000000	60.922	40.0825
9880.000000	58.144	61.7957
10000.000000	55.788	87.4609
10150.000000	53.601	122.8746
10300.000000	52.359	154.9929
10440.000000	51.693	-176.9287
10600.000000	51.704	-138.7278
10750.000000	53.228	-96.3253
10900.000000	55.943	-61.7408
11060.000000	59.115	-38.5026
11200.000000	61.612	-26.3485
11380.000000	64.079	-18.0071
11500.000000	65.121	-15.2212
11720.000000	65.687	-11.4041
11800.000000	65.507	-9.3116
12060.000000	64.037	3.8623
12200.000000	63.108	15.7495
12410.000000	62.280	38.0444
12500.000000	62.238	47.9829
12650.000000	62.514	63.4358
12800.000000	63.019	76.6027
13150.000000	63.918	98.0002
13200.000000	63.943	100.1637
13400.000000	63.659	107.1416
13600.000000	62.644	112.3334
13800.000000	60.845	117.6616
14000.000000	58.639	128.7594
14300.000000	57.476	-68.6345
14500.000000	58.694	-57.3237
14750.000000	60.316	-46.5093
15000.000000	61.156	-35.8083
15250.000000	61.395	-22.3923
15500.000000	62.060	-4.3568
15750.000000	63.919	13.3824
16000.000000	65.954	23.3884
16250.000000	67.324	26.9154
16500.000000	68.109	27.8506
16750.000000	68.661	27.9559
17000.000000	69.213	27.2810
17250.000000	69.744	25.2894
17500.000000	70.057	21.7083
17750.000000	69.935	16.8900
18000.000000	69.253	11.7139
18250.000000	68.000	7.1471
18500.000000	66.279	3.7772
18750.000000	64.293	1.4863
19000.000000	62.307	-0.7458
19250.000000	60.547	-4.6609
19500.000000	59.092	-11.4869
19750.000000	57.962	-17.7393
20000.000000	57.312	-10.6672
