* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L s2 5, L s2 5, L s2 5
* Dated: Aug 15, 2024 8:17:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L s2 5, L s2 5, L s2 5
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	75.788
20.299999	75.966
20.600000	76.141
20.900000	76.313
21.200001	76.481
21.400000	76.590
21.799999	76.803
22.000000	76.906
22.400000	77.107
22.700001	77.253
23.000000	77.395
23.299999	77.533
23.600000	77.668
24.000000	77.844
24.299999	77.973
24.700001	78.142
25.000000	78.266
25.400000	78.428
25.799999	78.585
26.200001	78.737
26.500000	78.847
26.900000	78.988
27.200001	79.091
27.600000	79.222
28.000000	79.349
28.500000	79.500
29.000000	79.648
29.500000	79.794
30.000000	79.940
30.400000	80.056
30.700001	80.142
31.100000	80.254
31.500000	80.362
32.000000	80.492
32.500000	80.617
33.000000	80.737
33.500000	80.854
34.000000	80.968
34.500000	81.080
35.000000	81.189
35.500000	81.294
36.000000	81.396
36.500000	81.493
37.000000	81.586
37.500000	81.675
38.200001	81.794
38.700001	81.875
39.500000	82.001
40.000000	82.077
40.599998	82.166
41.200001	82.254
41.799999	82.339
42.500000	82.435
43.099998	82.514
43.700001	82.591
44.400002	82.677
45.000000	82.748
45.500000	82.806
46.200001	82.883
46.799999	82.946
47.500000	83.016
48.200001	83.083
48.700001	83.128
49.400002	83.187
50.000000	83.233
50.799999	83.289
51.500000	83.331
52.200001	83.367
53.000000	83.401
53.799999	83.430
54.500000	83.455
55.200001	83.482
56.000000	83.517
57.000000	83.569
58.000000	83.630
59.000000	83.694
60.000000	83.759
60.799999	83.811
61.500000	83.855
62.200001	83.898
63.000000	83.944
64.000000	83.998
65.000000	84.048
66.000000	84.094
67.000000	84.136
68.000000	84.174
69.000000	84.209
70.000000	84.241
71.000000	84.270
72.000000	84.295
73.000000	84.316
74.000000	84.333
75.000000	84.344
76.199997	84.348
77.500000	84.338
78.800003	84.313
80.000000	84.277
81.199997	84.231
82.500000	84.174
83.800003	84.118
85.000000	84.072
86.199997	84.036
87.500000	84.011
88.500000	84.001
90.000000	83.999
91.199997	84.008
92.500000	84.025
93.800003	84.050
95.000000	84.077
96.199997	84.108
97.500000	84.144
98.800003	84.180
100.000000	84.212
101.500000	84.249
103.000000	84.280
104.400002	84.303
106.000000	84.324
107.500000	84.337
109.000000	84.344
110.599998	84.346
112.000000	84.343
113.800003	84.337
115.000000	84.331
117.199997	84.320
118.000000	84.317
120.599998	84.311
122.000000	84.310
124.099998	84.313
125.000000	84.315
126.500000	84.318
128.000000	84.321
131.500000	84.323
132.000000	84.322
134.000000	84.316
136.000000	84.305
138.000000	84.287
140.000000	84.263
143.000000	84.218
145.000000	84.182
147.500000	84.134
150.000000	84.082
152.500000	84.032
155.000000	83.984
157.500000	83.940
160.000000	83.902
162.500000	83.870
165.000000	83.840
167.500000	83.813
170.000000	83.784
172.500000	83.752
175.000000	83.715
177.500000	83.673
180.000000	83.627
182.500000	83.575
185.000000	83.518
187.500000	83.458
190.000000	83.395
192.500000	83.330
195.000000	83.263
197.500000	83.197
200.000000	83.133
203.000000	83.057
206.000000	82.985
209.000000	82.917
212.000000	82.853
214.000000	82.813
218.000000	82.738
220.000000	82.704
224.000000	82.640
227.000000	82.597
230.000000	82.557
233.000000	82.519
236.000000	82.484
240.000000	82.438
243.000000	82.405
247.000000	82.361
250.000000	82.328
254.000000	82.285
258.000000	82.244
262.000000	82.205
265.000000	82.177
269.000000	82.141
272.000000	82.116
276.000000	82.084
280.000000	82.054
285.000000	82.016
290.000000	81.977
295.000000	81.937
300.000000	81.894
304.000000	81.858
307.000000	81.829
311.000000	81.790
315.000000	81.749
320.000000	81.696
325.000000	81.640
330.000000	81.582
335.000000	81.523
340.000000	81.462
345.000000	81.401
350.000000	81.339
355.000000	81.277
360.000000	81.218
365.000000	81.161
370.000000	81.108
375.000000	81.060
382.000000	80.999
387.000000	80.960
395.000000	80.903
400.000000	80.868
406.000000	80.824
412.000000	80.777
418.000000	80.726
425.000000	80.660
431.000000	80.599
437.000000	80.534
444.000000	80.457
450.000000	80.392
455.000000	80.339
462.000000	80.271
468.000000	80.221
475.000000	80.176
482.000000	80.146
487.000000	80.136
494.000000	80.135
500.000000	80.148
508.000000	80.179
515.000000	80.217
522.000000	80.261
530.000000	80.315
538.000000	80.368
545.000000	80.412
552.000000	80.450
560.000000	80.488
570.000000	80.522
580.000000	80.541
590.000000	80.548
600.000000	80.543
608.000000	80.533
615.000000	80.521
622.000000	80.508
630.000000	80.492
640.000000	80.476
650.000000	80.466
660.000000	80.466
670.000000	80.479
680.000000	80.506
690.000000	80.544
700.000000	80.593
710.000000	80.647
720.000000	80.702
730.000000	80.754
740.000000	80.798
750.000000	80.831
762.000000	80.853
775.000000	80.855
788.000000	80.843
800.000000	80.831
812.000000	80.833
825.000000	80.865
838.000000	80.933
850.000000	81.022
862.000000	81.127
875.000000	81.246
885.000000	81.335
900.000000	81.455
912.000000	81.538
925.000000	81.614
938.000000	81.677
950.000000	81.728
962.000000	81.774
975.000000	81.819
988.000000	81.861
1000.000000	81.897
1015.000000	81.938
1030.000000	81.978
1044.000000	82.014
1060.000000	82.057
1075.000000	82.103
1090.000000	82.158
1106.000000	82.226
1120.000000	82.295
1138.000000	82.396
1150.000000	82.469
1172.000000	82.609
1180.000000	82.660
1206.000000	82.820
1220.000000	82.897
1241.000000	82.999
1250.000000	83.038
1265.000000	83.096
1280.000000	83.148
1315.000000	83.246
1320.000000	83.257
1340.000000	83.292
1360.000000	83.309
1380.000000	83.310
1400.000000	83.296
1430.000000	83.263
1450.000000	83.239
1475.000000	83.217
1500.000000	83.209
1525.000000	83.219
1550.000000	83.247
1575.000000	83.291
1600.000000	83.345
1625.000000	83.399
1650.000000	83.446
1675.000000	83.479
1700.000000	83.500
1725.000000	83.515
1750.000000	83.538
1775.000000	83.580
1800.000000	83.651
1825.000000	83.758
1850.000000	83.901
1875.000000	84.076
1900.000000	84.277
1925.000000	84.496
1950.000000	84.724
1975.000000	84.952
2000.000000	85.173
2030.000000	85.418
2060.000000	85.635
2090.000000	85.823
2120.000000	85.983
2140.000000	86.078
2180.000000	86.250
2200.000000	86.333
2240.000000	86.506
2270.000000	86.648
2300.000000	86.802
2330.000000	86.966
2360.000000	87.137
2400.000000	87.370
2430.000000	87.550
2470.000000	87.795
2500.000000	87.984
2540.000000	88.243
2580.000000	88.508
2620.000000	88.777
2650.000000	88.981
2690.000000	89.256
2720.000000	89.466
2760.000000	89.752
2800.000000	90.044
2850.000000	90.412
2900.000000	90.778
2950.000000	91.131
3000.000000	91.462
3040.000000	91.705
3070.000000	91.872
3110.000000	92.072
3150.000000	92.246
