* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R s2 5, R s2 5, R s2 5, R s2 5
* Dated: Aug 15, 2024 8:16:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R s2 5, R s2 5, R s2 5, R s2 5
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	75.055
20.299999	75.227
20.600000	75.396
20.900000	75.562
21.200001	75.727
21.400000	75.837
21.799999	76.055
22.000000	76.164
22.400000	76.376
22.700001	76.531
23.000000	76.681
23.299999	76.827
23.600000	76.968
24.000000	77.149
24.299999	77.280
24.700001	77.450
25.000000	77.573
25.400000	77.733
25.799999	77.889
26.200001	78.042
26.500000	78.156
26.900000	78.307
27.200001	78.419
27.600000	78.566
28.000000	78.708
28.500000	78.879
29.000000	79.040
29.500000	79.195
30.000000	79.345
30.400000	79.462
30.700001	79.547
31.100000	79.658
31.500000	79.765
32.000000	79.894
32.500000	80.020
33.000000	80.143
33.500000	80.266
34.000000	80.385
34.500000	80.501
35.000000	80.612
35.500000	80.717
36.000000	80.818
36.500000	80.915
37.000000	81.009
37.500000	81.099
38.200001	81.222
38.700001	81.307
39.500000	81.440
40.000000	81.520
40.599998	81.615
41.200001	81.707
41.799999	81.796
42.500000	81.894
43.099998	81.975
43.700001	82.051
44.400002	82.136
45.000000	82.206
45.500000	82.262
46.200001	82.338
46.799999	82.401
47.500000	82.472
48.200001	82.541
48.700001	82.589
49.400002	82.654
50.000000	82.708
50.799999	82.778
51.500000	82.836
52.200001	82.890
53.000000	82.948
53.799999	82.999
54.500000	83.039
55.200001	83.073
56.000000	83.106
57.000000	83.143
58.000000	83.180
59.000000	83.222
60.000000	83.272
60.799999	83.316
61.500000	83.357
62.200001	83.399
63.000000	83.447
64.000000	83.505
65.000000	83.558
66.000000	83.606
67.000000	83.650
68.000000	83.687
69.000000	83.719
70.000000	83.745
71.000000	83.766
72.000000	83.779
73.000000	83.786
74.000000	83.786
75.000000	83.779
76.199997	83.760
77.500000	83.727
78.800003	83.683
80.000000	83.634
81.199997	83.579
82.500000	83.518
83.800003	83.461
85.000000	83.419
86.199997	83.392
87.500000	83.384
88.500000	83.395
90.000000	83.435
91.199997	83.485
92.500000	83.551
93.800003	83.622
95.000000	83.689
96.199997	83.752
97.500000	83.815
98.800003	83.870
100.000000	83.913
101.500000	83.958
103.000000	83.992
104.400002	84.016
106.000000	84.035
107.500000	84.047
109.000000	84.055
110.599998	84.060
112.000000	84.061
113.800003	84.062
115.000000	84.061
117.199997	84.060
118.000000	84.060
120.599998	84.062
122.000000	84.064
124.099998	84.068
125.000000	84.069
126.500000	84.069
128.000000	84.069
131.500000	84.066
