* Measurement data measured by REW V5.31.1
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.420. Timing signal peak level -31.0 dBFS, measurement signal peak level -25.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 12, 2024 9:03:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.4335 ms (-149 mm, -5.85 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: L Satyr 2 HD600 Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	68.437	-56.0654
20.299999	68.642	-56.7803
20.600000	68.840	-57.5101
20.900000	69.035	-58.2505
21.200001	69.227	-59.0180
21.400000	69.354	-59.5563
21.799999	69.594	-60.7044
22.000000	69.704	-61.3009
22.400000	69.899	-62.4646
22.700001	70.030	-63.2436
23.000000	70.160	-63.9070
23.299999	70.301	-64.4756
23.600000	70.462	-65.0181
24.000000	70.706	-65.8570
24.299999	70.896	-66.6531
24.700001	71.131	-67.9368
25.000000	71.281	-68.9887
25.400000	71.445	-70.3518
25.799999	71.586	-71.5446
26.200001	71.730	-72.5551
26.500000	71.850	-73.2515
26.900000	72.021	-74.1910
27.200001	72.151	-74.9344
27.600000	72.314	-75.9549
28.000000	72.463	-76.9409
28.500000	72.641	-78.0438
29.000000	72.826	-79.0181
29.500000	73.023	-79.9502
30.000000	73.225	-80.8945
30.400000	73.388	-81.6678
30.700001	73.510	-82.2666
31.100000	73.673	-83.1114
31.500000	73.830	-84.0284
32.000000	74.003	-85.2571
32.500000	74.143	-86.4811
33.000000	74.257	-87.5853
33.500000	74.366	-88.5369
34.000000	74.481	-89.4020
34.500000	74.603	-90.2662
35.000000	74.720	-91.1540
35.500000	74.829	-92.0272
36.000000	74.934	-92.8446
36.500000	75.045	-93.6113
37.000000	75.165	-94.3769
37.500000	75.292	-95.1948
38.200001	75.464	-96.4554
38.700001	75.576	-97.3997
39.500000	75.738	-98.8833
40.000000	75.835	-99.7762
40.599998	75.952	-100.8366
41.200001	76.066	-101.9065
41.799999	76.175	-102.9820
42.500000	76.295	-104.2228
43.099998	76.392	-105.2690
43.700001	76.484	-106.3007
44.400002	76.582	-107.4702
45.000000	76.659	-108.4187
45.500000	76.721	-109.1670
46.200001	76.810	-110.1803
46.799999	76.884	-111.0495
47.500000	76.961	-112.0630
48.200001	77.027	-113.0348
48.700001	77.071	-113.6910
49.400002	77.134	-114.5750
50.000000	77.190	-115.3266
50.799999	77.267	-116.3485
51.500000	77.336	-117.2746
52.200001	77.403	-118.2432
53.000000	77.470	-119.3945
53.799999	77.518	-120.4999
54.500000	77.552	-121.3097
55.200001	77.601	-121.9438
56.000000	77.693	-122.5947
57.000000	77.848	-123.6077
58.000000	77.994	-124.9707
59.000000	78.088	-126.4990
60.000000	78.140	-127.9487
60.799999	78.169	-129.0339
61.500000	78.191	-129.9685
62.200001	78.207	-130.9025
63.000000	78.220	-131.9714
64.000000	78.227	-133.3139
65.000000	78.221	-134.6473
66.000000	78.197	-135.9359
67.000000	78.154	-137.1357
68.000000	78.093	-138.1713
69.000000	78.027	-139.0051
70.000000	77.963	-139.6720
71.000000	77.903	-140.1825
72.000000	77.858	-140.5394
73.000000	77.834	-140.7948
74.000000	77.836	-141.0361
75.000000	77.856	-141.3444
76.199997	77.888	-141.8137
77.500000	77.926	-142.3755
78.800003	77.976	-143.0248
80.000000	78.022	-143.7496
81.199997	78.062	-144.5662
82.500000	78.093	-145.5172
83.800003	78.110	-146.4781
85.000000	78.117	-147.3369
86.199997	78.118	-148.1472
87.500000	78.118	-148.9718
88.500000	78.117	-149.5827
90.000000	78.113	-150.4735
91.199997	78.105	-151.1740
92.500000	78.088	-151.9207
93.800003	78.064	-152.6382
95.000000	78.041	-153.2826
96.199997	78.019	-153.9299
97.500000	77.995	-154.6426
98.800003	77.972	-155.3591
100.000000	77.949	-156.0153
101.500000	77.919	-156.8343
103.000000	77.880	-157.6564
104.400002	77.832	-158.4059
106.000000	77.767	-159.2220
107.500000	77.701	-159.9521
109.000000	77.635	-160.6290
110.599998	77.571	-161.2865
112.000000	77.518	-161.8348
113.800003	77.441	-162.5439
115.000000	77.377	-162.9972
117.199997	77.242	-163.7455
118.000000	77.193	-164.0019
120.599998	77.047	-164.8354
122.000000	76.973	-165.3045
124.099998	76.854	-165.9597
125.000000	76.800	-166.2147
126.500000	76.708	-166.6226
128.000000	76.615	-167.0118
131.500000	76.408	-167.8363
132.000000	76.378	-167.9476
134.000000	76.247	-168.3725
136.000000	76.094	-168.7382
138.000000	75.930	-169.0663
140.000000	75.760	-169.3655
143.000000	75.491	-169.6393
145.000000	75.295	-169.6490
147.500000	75.032	-169.4421
150.000000	74.774	-168.9822
152.500000	74.547	-168.2767
155.000000	74.358	-167.3691
157.500000	74.204	-166.3594
160.000000	74.083	-165.3138
162.500000	73.998	-164.2843
165.000000	73.936	-163.3616
167.500000	73.882	-162.5959
170.000000	73.827	-161.9745
172.500000	73.773	-161.4182
175.000000	73.718	-160.8574
177.500000	73.661	-160.2760
180.000000	73.601	-159.6782
182.500000	73.545	-159.0548
185.000000	73.494	-158.3871
187.500000	73.447	-157.6779
190.000000	73.399	-156.9488
192.500000	73.350	-156.2032
195.000000	73.306	-155.4510
197.500000	73.272	-154.7146
200.000000	73.251	-154.0061
203.000000	73.240	-153.1814
206.000000	73.240	-152.3710
209.000000	73.243	-151.6003
212.000000	73.249	-150.9056
214.000000	73.255	-150.4835
218.000000	73.273	-149.7181
220.000000	73.283	-149.3847
224.000000	73.300	-148.8670
227.000000	73.307	-148.6085
230.000000	73.310	-148.4230
233.000000	73.303	-148.2789
236.000000	73.284	-148.1560
240.000000	73.243	-148.0226
243.000000	73.201	-147.9476
247.000000	73.131	-147.8804
250.000000	73.066	-147.8515
254.000000	72.963	-147.8272
258.000000	72.838	-147.7910
262.000000	72.687	-147.6952
265.000000	72.557	-147.5637
269.000000	72.360	-147.2940
272.000000	72.197	-146.9993
276.000000	71.958	-146.4386
280.000000	71.697	-145.6391
285.000000	71.350	-144.2143
290.000000	70.997	-142.2190
295.000000	70.668	-139.6346
300.000000	70.397	-136.5038
304.000000	70.242	-133.6754
307.000000	70.166	-131.4280
311.000000	70.121	-128.3865
315.000000	70.139	-125.4342
320.000000	70.240	-121.9940
325.000000	70.402	-118.9321
330.000000	70.602	-116.2978
335.000000	70.819	-114.0634
340.000000	71.041	-112.1735
345.000000	71.258	-110.5694
350.000000	71.466	-109.1866
355.000000	71.661	-107.9824
360.000000	71.838	-106.9294
365.000000	71.997	-105.9858
370.000000	72.141	-105.1238
375.000000	72.273	-104.3328
382.000000	72.440	-103.3206
387.000000	72.544	-102.6502
395.000000	72.689	-101.6338
400.000000	72.766	-101.0087
406.000000	72.848	-100.2479
412.000000	72.922	-99.4763
418.000000	72.987	-98.7055
425.000000	73.051	-97.8073
431.000000	73.098	-97.0247
437.000000	73.139	-96.2232
444.000000	73.184	-95.2722
450.000000	73.220	-94.4572
455.000000	73.247	-93.7816
462.000000	73.279	-92.8353
468.000000	73.300	-92.0127
475.000000	73.317	-91.0267
482.000000	73.328	-90.0113
487.000000	73.332	-89.2678
494.000000	73.334	-88.1949
500.000000	73.332	-87.2391
508.000000	73.325	-85.9066
515.000000	73.318	-84.6817
522.000000	73.312	-83.3958
530.000000	73.310	-81.8578
538.000000	73.315	-80.2714
545.000000	73.327	-78.8670
552.000000	73.345	-77.4661
560.000000	73.373	-75.8907
570.000000	73.414	-73.9719
580.000000	73.450	-72.0790
590.000000	73.478	-70.1322
600.000000	73.511	-68.0566
608.000000	73.551	-66.3203
615.000000	73.600	-64.7967
622.000000	73.661	-63.3135
630.000000	73.741	-61.7019
640.000000	73.845	-59.8245
650.000000	73.944	-58.0667
660.000000	74.034	-56.3778
670.000000	74.116	-54.7067
680.000000	74.194	-53.0315
690.000000	74.270	-51.3656
700.000000	74.347	-49.7199
710.000000	74.423	-48.1026
720.000000	74.497	-46.5213
730.000000	74.565	-44.9660
740.000000	74.622	-43.4032
750.000000	74.675	-41.8006
762.000000	74.740	-39.8187
775.000000	74.819	-37.6432
788.000000	74.907	-35.5166
800.000000	74.987	-33.6166
812.000000	75.057	-31.7246
825.000000	75.129	-29.6168
838.000000	75.207	-27.4764
850.000000	75.285	-25.5086
862.000000	75.365	-23.5437
875.000000	75.458	-21.4158
885.000000	75.536	-19.7999
900.000000	75.661	-17.4674
912.000000	75.761	-15.6947
925.000000	75.863	-13.8331
938.000000	75.957	-11.9973
950.000000	76.040	-10.3218
962.000000	76.118	-8.6804
975.000000	76.194	-6.9441
988.000000	76.255	-5.2098
1000.000000	76.300	-3.5495
1015.000000	76.352	-1.3497
1030.000000	76.414	0.9774
1044.000000	76.488	3.2176
1060.000000	76.599	5.7639
1075.000000	76.724	8.0176
1090.000000	76.851	10.0708
1106.000000	76.968	12.1231
1120.000000	77.057	13.9120
1138.000000	77.167	16.2277
1150.000000	77.241	17.7469
1172.000000	77.372	20.4445
1180.000000	77.417	21.3920
1206.000000	77.547	24.3401
1220.000000	77.602	25.8717
1241.000000	77.658	28.1164
1250.000000	77.671	29.0856
1265.000000	77.681	30.7512
1280.000000	77.683	32.4806
1315.000000	77.658	36.6654
1320.000000	77.651	37.2836
1340.000000	77.610	39.8512
1360.000000	77.566	42.6050
1380.000000	77.528	45.5100
1400.000000	77.502	48.5349
1430.000000	77.503	53.1825
1450.000000	77.531	56.1715
1475.000000	77.560	59.6413
1500.000000	77.547	62.9946
1525.000000	77.495	66.4851
1550.000000	77.422	70.1795
1575.000000	77.340	74.1350
1600.000000	77.268	78.3807
1625.000000	77.226	82.7801
1650.000000	77.199	87.1398
1675.000000	77.158	91.5981
1700.000000	77.124	96.3968
1725.000000	77.130	101.4512
1750.000000	77.186	106.6354
1775.000000	77.293	111.8447
1800.000000	77.457	117.0219
1825.000000	77.683	121.9847
1850.000000	77.944	126.4700
1875.000000	78.192	130.4727
1900.000000	78.399	134.2107
1925.000000	78.567	137.9329
1950.000000	78.717	141.7719
1975.000000	78.868	145.7104
2000.000000	79.025	149.6945
2030.000000	79.225	154.5235
2060.000000	79.449	159.4476
2090.000000	79.722	164.3081
2120.000000	80.024	168.8355
2140.000000	80.224	171.6744
2180.000000	80.623	177.0727
2200.000000	80.824	179.5758
2240.000000	81.176	-176.0109
2270.000000	81.342	-172.9365
2300.000000	81.431	-169.5918
2330.000000	81.498	-165.7446
2360.000000	81.598	-161.5019
2400.000000	81.811	-155.8089
2430.000000	81.994	-151.7726
2470.000000	82.220	-146.6162
2500.000000	82.368	-142.7658
2540.000000	82.553	-137.4859
2580.000000	82.755	-132.0355
2620.000000	82.983	-126.5728
2650.000000	83.165	-122.4943
2690.000000	83.427	-117.0363
2720.000000	83.649	-112.9705
2760.000000	83.980	-107.7208
2800.000000	84.335	-102.7838
2850.000000	84.786	-97.1123
2900.000000	85.217	-91.9618
2950.000000	85.603	-87.2934
3000.000000	85.916	-82.9442
3040.000000	86.113	-79.5275
3070.000000	86.234	-76.9429
3110.000000	86.369	-73.4154
3150.000000	86.484	-69.7581
3200.000000	86.623	-65.0032
3250.000000	86.785	-60.1364
3300.000000	86.980	-55.4081
3350.000000	87.181	-51.0309
3400.000000	87.354	-46.9904
3450.000000	87.487	-43.1817
3500.000000	87.581	-39.5662
3550.000000	87.629	-36.1742
