* Measurement data measured by REW V5.31.1
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.420. Timing signal peak level -31.6 dBFS, measurement signal peak level -26.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 12, 2024 9:03:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.2055 ms (-71 mm, -2.78 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 1.3 ppm
* Measurement: R Satyr 2 HD600 Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	66.494	-54.9119
20.299999	66.842	-55.5747
20.600000	67.171	-56.6274
20.900000	67.449	-57.9445
21.200001	67.660	-59.3263
21.400000	67.765	-60.1813
21.799999	67.916	-61.5260
22.000000	67.978	-61.9708
22.400000	68.114	-62.4417
22.700001	68.246	-62.5571
23.000000	68.409	-62.6219
23.299999	68.596	-62.7506
23.600000	68.794	-63.0061
24.000000	69.055	-63.5567
24.299999	69.240	-64.0934
24.700001	69.468	-64.9066
25.000000	69.628	-65.5559
25.400000	69.833	-66.4548
25.799999	70.032	-67.4046
26.200001	70.227	-68.4359
26.500000	70.367	-69.2718
26.900000	70.537	-70.4432
27.200001	70.650	-71.3188
27.600000	70.785	-72.3978
28.000000	70.920	-73.3195
28.500000	71.121	-74.3256
29.000000	71.369	-75.4506
29.500000	71.618	-76.9346
30.000000	71.805	-78.6637
30.400000	71.895	-79.9496
30.700001	71.939	-80.7153
31.100000	71.998	-81.4106
31.500000	72.092	-81.8267
32.000000	72.275	-82.3041
32.500000	72.495	-83.0741
33.000000	72.694	-84.1749
33.500000	72.844	-85.3788
34.000000	72.958	-86.4549
34.500000	73.068	-87.3382
35.000000	73.194	-88.1215
35.500000	73.338	-88.9443
36.000000	73.487	-89.8926
36.500000	73.623	-90.9590
37.000000	73.737	-92.0606
37.500000	73.833	-93.1014
38.200001	73.963	-94.3957
38.700001	74.064	-95.2664
39.500000	74.228	-96.6920
40.000000	74.323	-97.5826
40.599998	74.433	-98.6037
41.200001	74.547	-99.5916
41.799999	74.662	-100.5964
42.500000	74.793	-101.8203
43.099998	74.895	-102.9197
43.700001	74.982	-104.0585
44.400002	75.055	-105.3571
45.000000	75.098	-106.3541
