* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L Satyr 2 Soulwit Pads, L Satyr 2 Soulwit Pads, L Satyr 2 Soulwit Pads
* Dated: Dec 20, 2024 9:34:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L Satyr 2 Soulwit Pads, L Satyr 2 Soulwit Pads, L Satyr 2 Soulwit Pads
* Measurement: RMS Average 1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	76.136
20.299999	76.343
20.600000	76.546
20.900000	76.742
21.200001	76.931
21.400000	77.052
21.799999	77.283
22.000000	77.394
22.400000	77.605
22.700001	77.756
23.000000	77.900
23.299999	78.038
23.600000	78.170
24.000000	78.339
24.299999	78.463
24.700001	78.624
25.000000	78.743
25.400000	78.900
25.799999	79.055
26.200001	79.209
26.500000	79.322
26.900000	79.471
27.200001	79.581
27.600000	79.724
28.000000	79.862
28.500000	80.027
29.000000	80.184
29.500000	80.331
30.000000	80.470
30.400000	80.576
30.700001	80.651
31.100000	80.749
31.500000	80.844
32.000000	80.958
32.500000	81.070
33.000000	81.178
33.500000	81.282
34.000000	81.381
34.500000	81.476
35.000000	81.567
35.500000	81.654
36.000000	81.740
36.500000	81.825
37.000000	81.909
37.500000	81.992
38.200001	82.107
38.700001	82.189
39.500000	82.314
40.000000	82.390
40.599998	82.475
41.200001	82.554
41.799999	82.628
42.500000	82.709
43.099998	82.775
43.700001	82.839
44.400002	82.911
45.000000	82.972
45.500000	83.020
46.200001	83.086
46.799999	83.140
47.500000	83.197
48.200001	83.250
48.700001	83.284
49.400002	83.329
50.000000	83.364
50.799999	83.408
51.500000	83.445
52.200001	83.479
53.000000	83.516
53.799999	83.552
54.500000	83.582
55.200001	83.612
56.000000	83.645
57.000000	83.685
58.000000	83.725
59.000000	83.766
60.000000	83.809
60.799999	83.844
61.500000	83.877
62.200001	83.910
63.000000	83.949
64.000000	83.999
65.000000	84.049
66.000000	84.099
67.000000	84.147
68.000000	84.192
69.000000	84.233
70.000000	84.270
71.000000	84.301
72.000000	84.327
73.000000	84.347
74.000000	84.363
75.000000	84.374
76.199997	84.385
77.500000	84.395
78.800003	84.406
80.000000	84.420
81.199997	84.437
82.500000	84.459
83.800003	84.486
85.000000	84.512
86.199997	84.538
87.500000	84.565
88.500000	84.584
90.000000	84.609
91.199997	84.626
92.500000	84.640
93.800003	84.650
95.000000	84.657
96.199997	84.661
97.500000	84.662
98.800003	84.662
100.000000	84.659
101.500000	84.653
103.000000	84.644
104.400002	84.635
106.000000	84.624
107.500000	84.613
109.000000	84.602
110.599998	84.593
112.000000	84.585
113.800003	84.577
115.000000	84.573
117.199997	84.565
118.000000	84.562
120.599998	84.551
122.000000	84.543
124.099998	84.528
125.000000	84.521
126.500000	84.508
128.000000	84.495
131.500000	84.463
132.000000	84.459
134.000000	84.443
136.000000	84.429
138.000000	84.417
