* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R Satyr 2 Soulwit Pads, R Satyr 2 Soulwit Pads, R Satyr 2 Soulwit Pads
* Dated: Dec 20, 2024 9:35:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R Satyr 2 Soulwit Pads, R Satyr 2 Soulwit Pads, R Satyr 2 Soulwit Pads
* Measurement: RMS Average 1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	76.072
20.299999	76.236
20.600000	76.396
20.900000	76.552
21.200001	76.703
21.400000	76.802
21.799999	76.993
22.000000	77.086
22.400000	77.269
22.700001	77.403
23.000000	77.533
23.299999	77.661
23.600000	77.784
24.000000	77.942
24.299999	78.056
24.700001	78.203
25.000000	78.309
25.400000	78.449
25.799999	78.587
26.200001	78.725
26.500000	78.828
26.900000	78.965
27.200001	79.066
27.600000	79.199
28.000000	79.328
28.500000	79.484
29.000000	79.631
29.500000	79.772
30.000000	79.906
30.400000	80.010
30.700001	80.085
31.100000	80.183
31.500000	80.277
32.000000	80.389
32.500000	80.496
33.000000	80.599
33.500000	80.696
34.000000	80.789
34.500000	80.878
35.000000	80.963
35.500000	81.045
36.000000	81.124
36.500000	81.200
37.000000	81.273
37.500000	81.344
38.200001	81.437
38.700001	81.499
39.500000	81.589
40.000000	81.640
40.599998	81.696
41.200001	81.748
41.799999	81.797
42.500000	81.852
43.099998	81.901
43.700001	81.954
44.400002	82.025
45.000000	82.091
45.500000	82.151
46.200001	82.236
46.799999	82.309
47.500000	82.393
48.200001	82.473
48.700001	82.528
49.400002	82.600
50.000000	82.658
50.799999	82.729
51.500000	82.785
52.200001	82.834
53.000000	82.884
53.799999	82.927
54.500000	82.961
55.200001	82.993
56.000000	83.026
57.000000	83.065
58.000000	83.100
59.000000	83.133
60.000000	83.163
60.799999	83.187
61.500000	83.208
62.200001	83.229
63.000000	83.254
64.000000	83.288
65.000000	83.326
66.000000	83.368
67.000000	83.414
68.000000	83.464
69.000000	83.517
70.000000	83.573
71.000000	83.629
72.000000	83.687
73.000000	83.744
74.000000	83.800
75.000000	83.856
76.199997	83.922
77.500000	83.992
78.800003	84.060
80.000000	84.121
81.199997	84.181
82.500000	84.243
83.800003	84.302
85.000000	84.354
86.199997	84.404
87.500000	84.455
88.500000	84.492
90.000000	84.542
91.199997	84.579
92.500000	84.616
93.800003	84.650
95.000000	84.679
96.199997	84.705
97.500000	84.731
98.800003	84.755
100.000000	84.775
101.500000	84.798
103.000000	84.817
104.400002	84.833
106.000000	84.850
107.500000	84.863
109.000000	84.875
110.599998	84.885
112.000000	84.893
113.800003	84.900
115.000000	84.903
117.199997	84.906
118.000000	84.906
120.599998	84.904
122.000000	84.902
124.099998	84.898
125.000000	84.896
126.500000	84.894
128.000000	84.893
131.500000	84.898
132.000000	84.899
134.000000	84.906
136.000000	84.914
138.000000	84.924
140.000000	84.933
143.000000	84.944
145.000000	84.950
147.500000	84.954
150.000000	84.954
152.500000	84.952
155.000000	84.947
157.500000	84.940
160.000000	84.931
162.500000	84.921
165.000000	84.908
167.500000	84.894
170.000000	84.876
172.500000	84.857
175.000000	84.837
177.500000	84.816
180.000000	84.797
182.500000	84.779
185.000000	84.765
187.500000	84.756
190.000000	84.751
192.500000	84.751
195.000000	84.757
197.500000	84.766
200.000000	84.778
203.000000	84.795
206.000000	84.813
209.000000	84.830
212.000000	84.847
214.000000	84.857
218.000000	84.874
220.000000	84.882
224.000000	84.895
227.000000	84.902
230.000000	84.908
233.000000	84.912
236.000000	84.915
240.000000	84.915
243.000000	84.913
247.000000	84.908
250.000000	84.902
254.000000	84.891
258.000000	84.878
262.000000	84.863
265.000000	84.850
269.000000	84.831
272.000000	84.816
276.000000	84.795
280.000000	84.773
285.000000	84.744
290.000000	84.713
295.000000	84.682
300.000000	84.651
304.000000	84.626
307.000000	84.607
311.000000	84.583
315.000000	84.559
320.000000	84.531
325.000000	84.504
330.000000	84.478
335.000000	84.453
340.000000	84.430
345.000000	84.407
350.000000	84.385
355.000000	84.363
360.000000	84.342
365.000000	84.322
370.000000	84.303
375.000000	84.283
382.000000	84.257
387.000000	84.239
395.000000	84.211
400.000000	84.194
406.000000	84.174
412.000000	84.154
418.000000	84.134
425.000000	84.112
431.000000	84.093
437.000000	84.076
444.000000	84.057
450.000000	84.042
455.000000	84.031
462.000000	84.017
468.000000	84.007
475.000000	83.997
482.000000	83.989
487.000000	83.984
494.000000	83.979
500.000000	83.976
508.000000	83.973
515.000000	83.971
522.000000	83.971
530.000000	83.971
538.000000	83.973
545.000000	83.975
552.000000	83.979
