* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L Satyr 2 Soulwit Pads nofoam, L Satyr 2 Soulwit Pads nofoam, L Satyr 2 Soulwit Pads nofoam
* Dated: Dec 20, 2024 9:42:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L Satyr 2 Soulwit Pads nofoam, L Satyr 2 Soulwit Pads nofoam, L Satyr 2 Soulwit Pads nofoam
* Measurement: RMS Average 1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	74.887
20.299999	75.136
20.600000	75.381
20.900000	75.620
21.200001	75.854
21.400000	76.007
21.799999	76.307
22.000000	76.453
22.400000	76.738
22.700001	76.946
23.000000	77.150
23.299999	77.349
23.600000	77.544
24.000000	77.799
24.299999	77.986
24.700001	78.230
25.000000	78.409
25.400000	78.642
25.799999	78.870
26.200001	79.093
26.500000	79.256
26.900000	79.469
27.200001	79.626
27.600000	79.829
28.000000	80.027
28.500000	80.267
29.000000	80.499
29.500000	80.722
30.000000	80.936
30.400000	81.102
30.700001	81.223
31.100000	81.380
31.500000	81.534
32.000000	81.722
32.500000	81.904
33.000000	82.080
33.500000	82.250
34.000000	82.413
34.500000	82.570
35.000000	82.721
35.500000	82.868
36.000000	83.010
36.500000	83.148
37.000000	83.281
37.500000	83.410
38.200001	83.582
38.700001	83.700
39.500000	83.879
40.000000	83.985
40.599998	84.109
41.200001	84.227
41.799999	84.343
42.500000	84.474
43.099998	84.583
43.700001	84.690
44.400002	84.810
45.000000	84.909
45.500000	84.989
46.200001	85.096
46.799999	85.182
47.500000	85.277
48.200001	85.365
48.700001	85.425
49.400002	85.506
50.000000	85.572
50.799999	85.656
51.500000	85.727
52.200001	85.795
53.000000	85.869
53.799999	85.940
54.500000	85.998
55.200001	86.052
56.000000	86.111
57.000000	86.178
58.000000	86.238
59.000000	86.292
60.000000	86.338
60.799999	86.371
61.500000	86.396
62.200001	86.419
63.000000	86.441
64.000000	86.465
65.000000	86.484
66.000000	86.498
67.000000	86.509
68.000000	86.515
69.000000	86.517
70.000000	86.515
71.000000	86.510
72.000000	86.502
73.000000	86.490
74.000000	86.476
75.000000	86.459
76.199997	86.434
77.500000	86.403
78.800003	86.368
80.000000	86.332
81.199997	86.296
82.500000	86.256
83.800003	86.218
85.000000	86.185
86.199997	86.153
87.500000	86.122
88.500000	86.099
90.000000	86.066
91.199997	86.042
92.500000	86.016
93.800003	85.991
95.000000	85.968
96.199997	85.945
97.500000	85.919
98.800003	85.891
100.000000	85.865
101.500000	85.829
103.000000	85.790
104.400002	85.751
106.000000	85.704
107.500000	85.657
109.000000	85.607
110.599998	85.552
112.000000	85.502
113.800003	85.434
115.000000	85.388
117.199997	85.301
118.000000	85.268
120.599998	85.160
122.000000	85.101
124.099998	85.011
125.000000	84.973
126.500000	84.908
128.000000	84.842
131.500000	84.681
132.000000	84.656
134.000000	84.552
136.000000	84.438
138.000000	84.314
140.000000	84.182
143.000000	83.974
145.000000	83.837
147.500000	83.677
150.000000	83.540
152.500000	83.435
155.000000	83.364
157.500000	83.328
160.000000	83.321
162.500000	83.335
165.000000	83.363
167.500000	83.395
170.000000	83.428
172.500000	83.456
175.000000	83.479
177.500000	83.493
180.000000	83.499
182.500000	83.495
185.000000	83.481
187.500000	83.457
190.000000	83.422
192.500000	83.377
195.000000	83.324
197.500000	83.265
200.000000	83.199
203.000000	83.115
206.000000	83.025
209.000000	82.931
212.000000	82.832
214.000000	82.764
218.000000	82.620
220.000000	82.544
224.000000	82.384
227.000000	82.259
230.000000	82.133
233.000000	82.008
236.000000	81.890
240.000000	81.749
243.000000	81.661
247.000000	81.572
250.000000	81.527
254.000000	81.493
258.000000	81.483
262.000000	81.489
265.000000	81.500
269.000000	81.516
272.000000	81.528
276.000000	81.542
280.000000	81.554
285.000000	81.565
290.000000	81.572
295.000000	81.575
300.000000	81.572
304.000000	81.561
307.000000	81.549
311.000000	81.524
315.000000	81.490
320.000000	81.435
325.000000	81.370
330.000000	81.300
335.000000	81.230
340.000000	81.168
345.000000	81.118
350.000000	81.084
355.000000	81.066
360.000000	81.065
365.000000	81.076
370.000000	81.098
375.000000	81.126
382.000000	81.168
387.000000	81.195
395.000000	81.224
400.000000	81.229
406.000000	81.221
412.000000	81.196
418.000000	81.157
425.000000	81.096
431.000000	81.036
437.000000	80.972
444.000000	80.901
450.000000	80.847
455.000000	80.809
462.000000	80.769
468.000000	80.749
475.000000	80.743
482.000000	80.752
487.000000	80.768
494.000000	80.800
500.000000	80.835
508.000000	80.891
515.000000	80.945
522.000000	81.001
530.000000	81.064
538.000000	81.123
545.000000	81.168
552.000000	81.205
560.000000	81.237
570.000000	81.260
580.000000	81.270
590.000000	81.271
600.000000	81.270
608.000000	81.269
615.000000	81.269
622.000000	81.270
630.000000	81.273
640.000000	81.281
650.000000	81.298
660.000000	81.329
670.000000	81.378
680.000000	81.448
690.000000	81.537
700.000000	81.643
710.000000	81.760
720.000000	81.882
730.000000	82.006
740.000000	82.128
750.000000	82.245
762.000000	82.380
775.000000	82.519
788.000000	82.655
800.000000	82.779
812.000000	82.903
825.000000	83.038
838.000000	83.174
850.000000	83.300
862.000000	83.426
875.000000	83.562
885.000000	83.666
900.000000	83.820
912.000000	83.942
925.000000	84.070
938.000000	84.192
950.000000	84.300
962.000000	84.400
975.000000	84.500
988.000000	84.591
1000.000000	84.666
1015.000000	84.751
1030.000000	84.826
1044.000000	84.889
1060.000000	84.955
1075.000000	85.011
1090.000000	85.064
1106.000000	85.118
1120.000000	85.164
1138.000000	85.221
1150.000000	85.254
1172.000000	85.303
1180.000000	85.314
1206.000000	85.326
1220.000000	85.316
1241.000000	85.281
1250.000000	85.260
1265.000000	85.216
1280.000000	85.164
1315.000000	85.007
1320.000000	84.980
1340.000000	84.866
1360.000000	84.741
1380.000000	84.615
1400.000000	84.495
1430.000000	84.345
1450.000000	84.267
1475.000000	84.188
1500.000000	84.118
1525.000000	84.048
1550.000000	83.979
1575.000000	83.918
1600.000000	83.872
1625.000000	83.847
1650.000000	83.843
1675.000000	83.861
1700.000000	83.903
1725.000000	83.968
1750.000000	84.049
1775.000000	84.141
