* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R Satyr2 Soulwit pads, R Satyr2 Soulwit pads, R Satyr2 Soulwit pads
* Dated: Dec 20, 2024 9:57:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R Satyr2 Soulwit pads, R Satyr2 Soulwit pads, R Satyr2 Soulwit pads
* Measurement: RMS Average 1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	76.611
20.299999	76.831
20.600000	77.044
20.900000	77.254
21.200001	77.461
21.400000	77.597
21.799999	77.865
22.000000	77.997
22.400000	78.255
22.700001	78.443
23.000000	78.626
23.299999	78.805
23.600000	78.980
24.000000	79.206
24.299999	79.370
24.700001	79.583
25.000000	79.738
25.400000	79.941
25.799999	80.140
26.200001	80.336
26.500000	80.481
26.900000	80.671
27.200001	80.812
27.600000	80.994
28.000000	81.172
28.500000	81.388
29.000000	81.596
29.500000	81.798
30.000000	81.994
30.400000	82.147
30.700001	82.259
31.100000	82.404
31.500000	82.546
32.000000	82.715
32.500000	82.877
33.000000	83.031
33.500000	83.178
34.000000	83.320
34.500000	83.456
35.000000	83.587
35.500000	83.714
36.000000	83.836
36.500000	83.953
37.000000	84.067
37.500000	84.178
38.200001	84.329
38.700001	84.434
39.500000	84.598
40.000000	84.697
40.599998	84.813
41.200001	84.924
41.799999	85.032
42.500000	85.154
43.099998	85.255
43.700001	85.354
44.400002	85.466
45.000000	85.557
45.500000	85.631
46.200001	85.730
46.799999	85.809
47.500000	85.894
48.200001	85.972
48.700001	86.024
49.400002	86.091
50.000000	86.146
50.799999	86.216
51.500000	86.274
52.200001	86.330
53.000000	86.391
53.799999	86.449
54.500000	86.496
55.200001	86.542
56.000000	86.591
57.000000	86.647
58.000000	86.698
59.000000	86.744
60.000000	86.785
60.799999	86.815
61.500000	86.838
62.200001	86.860
63.000000	86.882
64.000000	86.908
65.000000	86.931
66.000000	86.954
67.000000	86.974
