* Measurement data measured by REW V5.31.1
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.420. Timing signal peak level -31.2 dBFS, measurement signal peak level -26.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 12, 2024 10:10:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.3783 ms (-130 mm, -5.11 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 1.4 ppm
* Measurement: L s2 ZMF PL
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	65.359	-58.2224
20.299999	65.526	-58.9395
20.600000	65.706	-59.7029
20.900000	65.889	-60.5746
21.200001	66.062	-61.5615
21.400000	66.165	-62.2592
21.799999	66.335	-63.6290
22.000000	66.405	-64.2442
22.400000	66.536	-65.2467
22.700001	66.645	-65.8064
23.000000	66.779	-66.2769
23.299999	66.937	-66.7577
23.600000	67.111	-67.3317
24.000000	67.344	-68.2915
24.299999	67.504	-69.1197
24.700001	67.690	-70.2512
25.000000	67.813	-71.0486
25.400000	67.967	-71.9973
25.799999	68.122	-72.8399
26.200001	68.282	-73.6388
26.500000	68.402	-74.2383
26.900000	68.559	-75.0476
27.200001	68.671	-75.6559
27.600000	68.813	-76.4569
28.000000	68.949	-77.2403
28.500000	69.111	-78.1962
29.000000	69.264	-79.1340
29.500000	69.410	-80.0670
30.000000	69.543	-80.9935
30.400000	69.639	-81.6996
30.700001	69.706	-82.1820
31.100000	69.796	-82.7416
31.500000	69.897	-83.2225
32.000000	70.050	-83.8261
32.500000	70.222	-84.5884
33.000000	70.386	-85.5626
33.500000	70.520	-86.6416
34.000000	70.627	-87.6731
34.500000	70.723	-88.5910
35.000000	70.822	-89.4300
35.500000	70.924	-90.2370
36.000000	71.024	-91.0119
36.500000	71.128	-91.7407
37.000000	71.240	-92.4511
37.500000	71.359	-93.2012
38.200001	71.515	-94.3500
38.700001	71.607	-95.1660
39.500000	71.733	-96.2882
40.000000	71.812	-96.8701
40.599998	71.912	-97.5183
41.200001	72.013	-98.1652
41.799999	72.107	-98.8179
42.500000	72.208	-99.5722
43.099998	72.290	-100.2173
43.700001	72.368	-100.8761
44.400002	72.456	-101.6629
45.000000	72.531	-102.3372
45.500000	72.597	-102.8964
46.200001	72.696	-103.6788
46.799999	72.786	-104.3303
47.500000	72.904	-105.0538
48.200001	73.036	-105.8048
48.700001	73.125	-106.3750
49.400002	73.230	-107.0999
50.000000	73.315	-107.5446
50.799999	73.459	-108.0368
51.500000	73.597	-108.6730
52.200001	73.701	-109.5561
53.000000	73.752	-110.5937
53.799999	73.759	-111.2895
54.500000	73.795	-111.5835
55.200001	73.884	-111.9776
56.000000	73.973	-112.7288
57.000000	74.041	-113.1321
58.000000	74.268	-113.0870
59.000000	74.533	-114.2566
60.000000	74.597	-115.8206
60.799999	74.565	-116.5274
61.500000	74.537	-116.8193
62.200001	74.522	-116.9971
63.000000	74.520	-117.1992
64.000000	74.538	-117.5641
65.000000	74.581	-118.0874
66.000000	74.652	-118.7827
67.000000	74.738	-119.5886
68.000000	74.832	-120.4075
69.000000	74.924	-121.1791
70.000000	75.006	-121.8690
71.000000	75.075	-122.4781
72.000000	75.136	-123.0417
73.000000	75.194	-123.6187
74.000000	75.252	-124.2573
75.000000	75.307	-124.9458
76.199997	75.374	-125.7468
77.500000	75.456	-126.5256
78.800003	75.542	-127.2864
80.000000	75.607	-127.9288
81.199997	75.669	-128.4977
82.500000	75.741	-129.1635
83.800003	75.813	-129.9380
85.000000	75.877	-130.7154
86.199997	75.938	-131.5067
87.500000	76.001	-132.3538
88.500000	76.046	-132.9946
90.000000	76.106	-133.9484
91.199997	76.148	-134.7177
92.500000	76.186	-135.5628
93.800003	76.220	-136.4122
95.000000	76.245	-137.1937
96.199997	76.266	-137.9607
97.500000	76.283	-138.7759
98.800003	76.294	-139.5797
100.000000	76.299	-140.3013
101.500000	76.299	-141.1436
103.000000	76.297	-141.8997
104.400002	76.294	-142.5349
106.000000	76.290	-143.1644
107.500000	76.295	-143.7276
109.000000	76.304	-144.3708
110.599998	76.310	-145.2096
112.000000	76.295	-146.0602
113.800003	76.246	-147.1068
115.000000	76.206	-147.7262
117.199997	76.134	-148.7390
118.000000	76.107	-149.0741
120.599998	76.024	-150.0309
122.000000	75.983	-150.4794
124.099998	75.926	-151.1346
125.000000	75.901	-151.4138
126.500000	75.857	-151.8699
128.000000	75.812	-152.3189
131.500000	75.683	-153.3378
132.000000	75.662	-153.4733
134.000000	75.572	-153.9802
136.000000	75.476	-154.4043
138.000000	75.375	-154.6997
140.000000	75.275	-154.8489
143.000000	75.145	-154.8846
145.000000	75.079	-154.8527
147.500000	75.016	-154.8072
150.000000	74.966	-154.7751
152.500000	74.929	-154.7723
155.000000	74.900	-154.8041
157.500000	74.874	-154.8808
160.000000	74.841	-155.0428
162.500000	74.796	-155.2682
165.000000	74.745	-155.5161
167.500000	74.688	-155.7992
170.000000	74.624	-156.1034
172.500000	74.558	-156.3795
175.000000	74.492	-156.5875
177.500000	74.420	-156.7287
180.000000	74.340	-156.8233
182.500000	74.257	-156.8875
185.000000	74.172	-156.9354
187.500000	74.083	-156.9795
190.000000	73.990	-157.0226
192.500000	73.892	-157.0390
195.000000	73.793	-156.9693
197.500000	73.693	-156.8061
200.000000	73.590	-156.6042
203.000000	73.465	-156.3753
206.000000	73.350	-156.1660
209.000000	73.252	-155.9277
212.000000	73.168	-155.6301
214.000000	73.113	-155.4030
218.000000	72.989	-154.8976
220.000000	72.921	-154.6322
224.000000	72.782	-154.0653
227.000000	72.675	-153.5914
230.000000	72.567	-153.0742
233.000000	72.466	-152.5205
236.000000	72.374	-151.9370
240.000000	72.257	-151.1106
243.000000	72.166	-150.4461
247.000000	72.041	-149.5303
250.000000	71.952	-148.8459
254.000000	71.842	-147.9246
258.000000	71.742	-146.9576
262.000000	71.646	-145.9133
265.000000	71.576	-145.0748
269.000000	71.488	-143.8942
272.000000	71.427	-142.9709
276.000000	71.355	-141.6942
280.000000	71.292	-140.3922
285.000000	71.227	-138.7814
290.000000	71.180	-137.1919
295.000000	71.155	-135.6105
300.000000	71.146	-134.0639
304.000000	71.147	-132.8763
307.000000	71.151	-132.0027
311.000000	71.162	-130.8582
315.000000	71.177	-129.7509
320.000000	71.197	-128.4164
325.000000	71.217	-127.1309
330.000000	71.237	-125.8832
335.000000	71.260	-124.6702
340.000000	71.289	-123.4980
345.000000	71.322	-122.3471
350.000000	71.357	-121.1998
355.000000	71.391	-120.0656
360.000000	71.427	-118.9564
365.000000	71.467	-117.8743
370.000000	71.510	-116.8348
375.000000	71.552	-115.8434
