* Measurement data measured by REW V5.31.1
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.420. Timing signal peak level -29.4 dBFS, measurement signal peak level -26.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 12, 2024 10:07:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.4006 ms (-137 mm, -5.41 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.6 ppm
* Measurement: R s2 ZMF PL
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	66.199	-59.1582
20.299999	66.376	-59.9156
20.600000	66.559	-60.6831
20.900000	66.743	-61.4841
21.200001	66.923	-62.3177
21.400000	67.039	-62.8824
21.799999	67.258	-64.0005
22.000000	67.362	-64.5426
22.400000	67.565	-65.5826
22.700001	67.714	-66.3304
23.000000	67.861	-67.0620
23.299999	68.004	-67.7836
23.600000	68.143	-68.4946
24.000000	68.321	-69.4136
24.299999	68.451	-70.0743
24.700001	68.624	-70.9266
25.000000	68.756	-71.5657
25.400000	68.932	-72.4559
25.799999	69.100	-73.4082
26.200001	69.252	-74.3940
26.500000	69.354	-75.1161
26.900000	69.480	-76.0073
27.200001	69.573	-76.6132
27.600000	69.705	-77.3689
28.000000	69.847	-78.1279
28.500000	70.026	-79.1445
29.000000	70.195	-80.2014
29.500000	70.355	-81.2125
30.000000	70.523	-82.1888
30.400000	70.665	-83.0228
30.700001	70.769	-83.7108
31.100000	70.891	-84.6923
31.500000	70.987	-85.6649
32.000000	71.077	-86.7035
32.500000	71.166	-87.4657
33.000000	71.281	-88.0558
33.500000	71.422	-88.6593
34.000000	71.570	-89.3660
34.500000	71.707	-90.1350
35.000000	71.834	-90.8962
35.500000	71.958	-91.6357
36.000000	72.081	-92.3851
36.500000	72.198	-93.1650
37.000000	72.304	-93.9620
37.500000	72.399	-94.7488
38.200001	72.519	-95.7979
38.700001	72.599	-96.5025
39.500000	72.723	-97.5681
40.000000	72.801	-98.2164
40.599998	72.894	-98.9890
41.200001	72.984	-99.7432
41.799999	73.075	-100.4672
42.500000	73.186	-101.2947
43.099998	73.285	-102.0142
43.700001	73.382	-102.7407
44.400002	73.493	-103.5792
45.000000	73.585	-104.2852
45.500000	73.660	-104.8600
46.200001	73.761	-105.6299
46.799999	73.848	-106.2661
47.500000	73.951	-107.0334
48.200001	74.043	-107.8592
48.700001	74.097	-108.4564
49.400002	74.160	-109.2386
50.000000	74.213	-109.8436
50.799999	74.292	-110.6296
51.500000	74.367	-111.3693
52.200001	74.442	-112.1639
53.000000	74.526	-113.1281
53.799999	74.600	-114.1627
54.500000	74.644	-115.0515
55.200001	74.673	-115.7734
56.000000	74.718	-116.3424
