* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.360. Timing signal peak level -25.3 dBFS, measurement signal peak level -23.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jun 9, 2024 6:10:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0312 ms (-11 mm, -0.42 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 2.1 ppm
* Measurement: Prototype ZMF Perf Suede
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	63.579	-38.9962
20.299999	63.591	-39.3410
20.600000	63.621	-39.0844
20.900000	63.705	-38.3156
21.200001	63.875	-37.2473
21.400000	64.040	-36.5432
21.799999	64.469	-35.4741
22.000000	64.710	-35.2534
22.400000	65.185	-35.6068
22.700001	65.490	-36.5006
23.000000	65.719	-37.7298
23.299999	65.872	-39.0154
23.600000	65.964	-40.1143
24.000000	66.043	-41.0160
24.299999	66.126	-41.2522
24.700001	66.325	-41.2539
25.000000	66.549	-41.3521
25.400000	66.908	-42.0063
25.799999	67.255	-43.4022
26.200001	67.527	-45.2725
26.500000	67.674	-46.6746
26.900000	67.825	-48.1972
27.200001	67.939	-48.9718
27.600000	68.139	-49.6055
28.000000	68.410	-50.1047
28.500000	68.807	-51.0206
29.000000	69.178	-52.3868
29.500000	69.476	-53.8721
30.000000	69.717	-55.0572
30.400000	69.903	-55.6973
30.700001	70.050	-56.0436
31.100000	70.263	-56.4420
31.500000	70.487	-56.8748
32.000000	70.769	-57.5664
32.500000	71.033	-58.4443
33.000000	71.267	-59.4521
33.500000	71.473	-60.5035
34.000000	71.660	-61.5229
34.500000	71.843	-62.4996
35.000000	72.032	-63.4910
35.500000	72.224	-64.5699
36.000000	72.407	-65.7439
36.500000	72.574	-66.9442
37.000000	72.731	-68.0798
37.500000	72.888	-69.1160
38.200001	73.120	-70.4617
38.700001	73.290	-71.3986
39.500000	73.562	-72.8351
40.000000	73.735	-73.6796
40.599998	73.950	-74.7006
41.200001	74.160	-75.8157
41.799999	74.350	-77.0175
42.500000	74.539	-78.4027
43.099998	74.687	-79.4949
43.700001	74.836	-80.5324
44.400002	75.013	-81.7831
45.000000	75.157	-82.9406
45.500000	75.265	-83.9322
46.200001	75.402	-85.2577
46.799999	75.524	-86.2932
47.500000	75.687	-87.4923
48.200001	75.862	-88.8390
48.700001	75.979	-89.8966
49.400002	76.124	-91.3981
50.000000	76.239	-92.6195
50.799999	76.396	-94.1595
51.500000	76.537	-95.4913
52.200001	76.676	-96.8326
53.000000	76.828	-98.3644
53.799999	76.971	-99.9048
54.500000	77.081	-101.2740
55.200001	77.170	-102.6237
56.000000	77.247	-104.0366
57.000000	77.339	-105.5577
58.000000	77.443	-107.0127
59.000000	77.540	-108.5266
60.000000	77.627	-110.0251
60.799999	77.697	-111.2312
61.500000	77.756	-112.3213
62.200001	77.809	-113.4279
63.000000	77.863	-114.6775
64.000000	77.925	-116.1945
65.000000	77.979	-117.6403
66.000000	78.030	-118.9902
67.000000	78.080	-120.2688
68.000000	78.127	-121.5143
69.000000	78.165	-122.7281
70.000000	78.195	-123.8962
71.000000	78.222	-125.0173
72.000000	78.253	-126.1191
73.000000	78.284	-127.2306
74.000000	78.314	-128.3472
75.000000	78.341	-129.4500
76.199997	78.368	-130.7419
77.500000	78.388	-132.0974
78.800003	78.400	-133.3969
80.000000	78.409	-134.5573
81.199997	78.416	-135.7114
82.500000	78.418	-136.9577
83.800003	78.414	-138.1516
85.000000	78.408	-139.1753
86.199997	78.404	-140.1425
87.500000	78.398	-141.1560
88.500000	78.392	-141.9196
90.000000	78.380	-143.0444
91.199997	78.369	-143.9275
92.500000	78.356	-144.8644
93.800003	78.344	-145.7724
95.000000	78.332	-146.5780
96.199997	78.323	-147.3578
97.500000	78.312	-148.1862
98.800003	78.301	-149.0035
100.000000	78.289	-149.7526
101.500000	78.268	-150.6845
103.000000	78.244	-151.6066
104.400002	78.219	-152.4583
106.000000	78.192	-153.4263
107.500000	78.166	-154.3300
109.000000	78.135	-155.2126
110.599998	78.088	-156.0863
112.000000	78.039	-156.7865
113.800003	77.973	-157.6680
115.000000	77.932	-158.2819
117.199997	77.870	-159.4804
118.000000	77.849	-159.9196
120.599998	77.767	-161.0502
122.000000	77.725	-161.3889
124.099998	77.677	-161.8260
125.000000	77.657	-162.0663
126.500000	77.620	-162.5668
128.000000	77.578	-163.1678
131.500000	77.469	-164.6531
132.000000	77.453	-164.8474
134.000000	77.382	-165.5518
136.000000	77.305	-166.1738
138.000000	77.218	-166.7582
140.000000	77.124	-167.3210
143.000000	76.976	-168.1347
145.000000	76.869	-168.6324
147.500000	76.729	-169.1674
150.000000	76.586	-169.5828
152.500000	76.448	-169.8624
155.000000	76.316	-170.0026
157.500000	76.191	-170.0157
160.000000	76.078	-169.9382
162.500000	75.978	-169.7970
165.000000	75.889	-169.6226
167.500000	75.808	-169.4547
170.000000	75.731	-169.3108
172.500000	75.659	-169.1829
175.000000	75.592	-169.0497
177.500000	75.528	-168.9005
180.000000	75.464	-168.7360
182.500000	75.399	-168.5446
185.000000	75.337	-168.3138
187.500000	75.278	-168.0416
190.000000	75.220	-167.7296
192.500000	75.164	-167.3721
195.000000	75.111	-166.9571
197.500000	75.065	-166.4771
200.000000	75.029	-165.9364
203.000000	75.006	-165.2310
206.000000	75.008	-164.5046
209.000000	75.037	-163.8181
212.000000	75.091	-163.2326
214.000000	75.136	-162.9102
218.000000	75.231	-162.3884
220.000000	75.277	-162.1677
224.000000	75.366	-161.8229
227.000000	75.434	-161.6653
230.000000	75.505	-161.5775
233.000000	75.580	-161.5471
236.000000	75.655	-161.5720
240.000000	75.746	-161.7130
243.000000	75.799	-161.9093
247.000000	75.852	-162.2492
250.000000	75.886	-162.5297
254.000000	75.923	-162.9119
258.000000	75.952	-163.2861
262.000000	75.975	-163.6415
265.000000	75.987	-163.8958
269.000000	75.995	-164.2153
272.000000	75.998	-164.4361
276.000000	76.000	-164.7059
280.000000	76.002	-164.9529
285.000000	76.005	-165.2442
290.000000	76.009	-165.5531
295.000000	76.011	-165.9080
300.000000	76.006	-166.3206
304.000000	75.996	-166.6813
307.000000	75.986	-166.9631
311.000000	75.967	-167.3557
315.000000	75.943	-167.7728
320.000000	75.902	-168.3305
325.000000	75.846	-168.9236
330.000000	75.771	-169.5383
335.000000	75.674	-170.1570
340.000000	75.548	-170.7559
345.000000	75.391	-171.2956
350.000000	75.201	-171.7146
355.000000	74.978	-171.9355
360.000000	74.724	-171.8668
365.000000	74.449	-171.4016
370.000000	74.170	-170.4591
375.000000	73.913	-169.0231
382.000000	73.640	-166.3076
387.000000	73.536	-164.0638
395.000000	73.546	-160.4835
400.000000	73.643	-158.5040
406.000000	73.811	-156.5295
412.000000	74.004	-154.9985
418.000000	74.202	-153.8370
425.000000	74.430	-152.8223
431.000000	74.624	-152.1805
437.000000	74.812	-151.7252
444.000000	75.020	-151.4080
450.000000	75.186	-151.3195
455.000000	75.312	-151.3751
462.000000	75.466	-151.6165
468.000000	75.572	-151.9249
475.000000	75.664	-152.3438
482.000000	75.728	-152.7694
487.000000	75.757	-153.0530
494.000000	75.778	-153.4005
500.000000	75.779	-153.6379
508.000000	75.756	-153.8433
515.000000	75.716	-153.8876
522.000000	75.659	-153.7606
530.000000	75.582	-153.3425
538.000000	75.511	-152.5775
545.000000	75.480	-151.6273
552.000000	75.497	-150.5063
560.000000	75.585	-149.2200
570.000000	75.773	-147.9368
580.000000	75.992	-147.1909
590.000000	76.197	-146.9148
600.000000	76.365	-146.9160
608.000000	76.471	-146.9837
615.000000	76.548	-147.0356
622.000000	76.615	-147.0609
630.000000	76.684	-147.0465
640.000000	76.765	-146.9507
650.000000	76.848	-146.7673
660.000000	76.940	-146.5394
670.000000	77.042	-146.3356
680.000000	77.153	-146.2065
690.000000	77.269	-146.1836
700.000000	77.380	-146.2737
710.000000	77.479	-146.4404
720.000000	77.565	-146.6211
730.000000	77.644	-146.7664
740.000000	77.724	-146.8660
750.000000	77.810	-146.9454
762.000000	77.920	-147.0697
775.000000	78.041	-147.3095
788.000000	78.152	-147.6813
800.000000	78.238	-148.1189
812.000000	78.303	-148.5856
825.000000	78.355	-149.0478
838.000000	78.395	-149.4243
850.000000	78.427	-149.6627
862.000000	78.467	-149.8069
875.000000	78.527	-149.9554
885.000000	78.581	-150.1219
900.000000	78.664	-150.4978
912.000000	78.721	-150.9060
925.000000	78.766	-151.4194
938.000000	78.787	-151.9174
950.000000	78.796	-152.2913
962.000000	78.804	-152.5952
975.000000	78.813	-152.8860
988.000000	78.822	-153.1389
1000.000000	78.831	-153.3157
1015.000000	78.856	-153.4584
1030.000000	78.909	-153.5999
1044.000000	78.986	-153.9019
1060.000000	79.076	-154.6634
1075.000000	79.117	-155.7503
1090.000000	79.091	-156.9395
1106.000000	79.002	-158.0412
1120.000000	78.895	-158.7772
1138.000000	78.737	-159.4459
1150.000000	78.622	-159.7194
1172.000000	78.420	-159.8307
1180.000000	78.358	-159.8068
1206.000000	78.174	-159.8520
1220.000000	78.056	-159.8433
1241.000000	77.879	-159.5700
1250.000000	77.812	-159.4265
1265.000000	77.699	-159.2347
1280.000000	77.564	-159.0176
1315.000000	77.207	-157.6259
1320.000000	77.164	-157.3229
1340.000000	77.034	-156.0468
1360.000000	76.949	-154.8974
1380.000000	76.866	-153.8763
1400.000000	76.775	-152.8029
1430.000000	76.640	-150.9612
1450.000000	76.565	-149.5192
1475.000000	76.517	-147.5498
1500.000000	76.516	-145.6044
1525.000000	76.554	-143.6927
1550.000000	76.633	-141.9108
1575.000000	76.733	-140.3156
1600.000000	76.838	-138.8878
1625.000000	76.940	-137.5663
1650.000000	77.038	-136.3051
1675.000000	77.132	-135.0295
1700.000000	77.240	-133.6746
1725.000000	77.373	-132.3671
1750.000000	77.516	-131.2188
1775.000000	77.652	-130.1696
1800.000000	77.784	-129.1292
1825.000000	77.927	-128.0720
1850.000000	78.086	-127.1031
1875.000000	78.240	-126.3226
1900.000000	78.369	-125.6183
1925.000000	78.483	-124.8394
1950.000000	78.595	-123.9927
1975.000000	78.700	-123.0989
2000.000000	78.800	-122.0579
2030.000000	78.945	-120.5635
2060.000000	79.132	-118.9989
2090.000000	79.348	-117.3975
2120.000000	79.610	-115.7244
2140.000000	79.817	-114.6519
2180.000000	80.290	-112.8482
2200.000000	80.543	-112.1703
2240.000000	81.045	-111.2427
2270.000000	81.406	-110.8137
2300.000000	81.762	-110.4603
2330.000000	82.130	-110.1901
2360.000000	82.505	-110.1349
2400.000000	82.988	-110.4003
2430.000000	83.329	-110.7681
2470.000000	83.768	-111.3171
2500.000000	84.105	-111.7435
2540.000000	84.578	-112.5253
2580.000000	85.047	-113.7717
2620.000000	85.471	-115.4819
2650.000000	85.746	-116.9460
2690.000000	86.059	-118.9483
2720.000000	86.264	-120.3945
2760.000000	86.516	-122.1674
2800.000000	86.778	-123.7631
2850.000000	87.154	-125.8303
2900.000000	87.546	-128.4929
2950.000000	87.871	-131.8527
3000.000000	88.085	-135.5298
3040.000000	88.189	-138.4421
3070.000000	88.236	-140.5674
3110.000000	88.265	-143.3003
3150.000000	88.261	-145.8789
3200.000000	88.229	-148.8701
3250.000000	88.181	-151.6876
3300.000000	88.121	-154.4267
3350.000000	88.043	-157.1441
3400.000000	87.940	-159.8422
3450.000000	87.811	-162.4804
3500.000000	87.664	-165.0924
3550.000000	87.495	-167.7790
3600.000000	87.281	-170.5573
3650.000000	87.002	-173.3102
3700.000000	86.647	-175.8387
3750.000000	86.226	-177.9493
3820.000000	85.561	-179.9973
3870.000000	85.065	179.2209
3950.000000	84.294	179.0120
