* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.360. Timing signal peak level -25.0 dBFS, measurement signal peak level -23.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jun 9, 2024 6:10:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0318 ms (-11 mm, -0.43 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 1.8 ppm
* Measurement: Prototype ZMF Perf Suede
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.639	-24.3003
20.299999	62.964	-25.0646
20.600000	63.244	-25.8365
20.900000	63.486	-26.5273
21.200001	63.700	-27.0697
21.400000	63.836	-27.3262
21.799999	64.113	-27.6091
22.000000	64.265	-27.6765
22.400000	64.611	-27.8222
22.700001	64.902	-28.1171
23.000000	65.203	-28.7180
23.299999	65.487	-29.6569
23.600000	65.739	-30.8746
24.000000	66.007	-32.7412
24.299999	66.159	-34.1364
24.700001	66.314	-35.7962
25.000000	66.415	-36.8187
25.400000	66.549	-37.8672
25.799999	66.706	-38.5899
26.200001	66.906	-39.0605
26.500000	67.094	-39.3310
26.900000	67.394	-39.7324
27.200001	67.645	-40.1830
27.600000	67.983	-41.0822
28.000000	68.288	-42.2780
28.500000	68.595	-43.8573
29.000000	68.848	-45.0800
29.500000	69.117	-45.8348
30.000000	69.442	-46.4644
30.400000	69.726	-47.1796
30.700001	69.932	-47.9120
31.100000	70.175	-49.0984
31.500000	70.373	-50.3844
32.000000	70.567	-51.8969
32.500000	70.734	-53.1712
33.000000	70.903	-54.2457
33.500000	71.084	-55.2326
34.000000	71.274	-56.2145
34.500000	71.470	-57.2110
35.000000	71.668	-58.2106
35.500000	71.872	-59.2075
36.000000	72.079	-60.2148
36.500000	72.288	-61.2505
37.000000	72.493	-62.3167
37.500000	72.688	-63.3926
38.200001	72.949	-64.8663
38.700001	73.129	-65.8925
39.500000	73.408	-67.5558
40.000000	73.572	-68.6374
40.599998	73.756	-69.9706
41.200001	73.924	-71.3080
41.799999	74.082	-72.6138
42.500000	74.267	-74.0805
43.099998	74.434	-75.3209
43.700001	74.610	-76.5893
44.400002	74.820	-78.1156
45.000000	75.004	-79.4567
45.500000	75.156	-80.6148
46.200001	75.354	-82.3159
46.799999	75.495	-83.7739
47.500000	75.629	-85.2808
48.200001	75.763	-86.5121
48.700001	75.873	-87.3172
49.400002	76.035	-88.5183
50.000000	76.164	-89.6519
50.799999	76.309	-91.1875
51.500000	76.426	-92.4702
52.200001	76.546	-93.7366
53.000000	76.686	-95.2330
53.799999	76.822	-96.7847
54.500000	76.935	-98.1751
55.200001	77.037	-99.5751
56.000000	77.139	-101.1217
57.000000	77.256	-102.9143
58.000000	77.369	-104.6436
59.000000	77.464	-106.3626
60.000000	77.541	-107.9818
60.799999	77.604	-109.2130
61.500000	77.663	-110.3062
62.200001	77.721	-111.4423
63.000000	77.779	-112.7687
64.000000	77.839	-114.3968
65.000000	77.892	-115.9420
66.000000	77.943	-117.4160
67.000000	77.991	-118.8565
68.000000	78.030	-120.2647
69.000000	78.063	-121.6340
70.000000	78.090	-122.9814
71.000000	78.111	-124.3074
72.000000	78.127	-125.5995
73.000000	78.140	-126.8606
74.000000	78.149	-128.0854
75.000000	78.153	-129.2621
76.199997	78.155	-130.6255
77.500000	78.148	-132.0598
78.800003	78.132	-133.4334
80.000000	78.113	-134.6410
81.199997	78.093	-135.7880
82.500000	78.074	-136.9691
83.800003	78.054	-138.0912
85.000000	78.035	-139.0619
86.199997	78.016	-139.9746
87.500000	77.998	-140.9190
88.500000	77.984	-141.6238
90.000000	77.962	-142.6478
91.199997	77.944	-143.4374
92.500000	77.923	-144.2675
93.800003	77.901	-145.0648
95.000000	77.885	-145.7690
96.199997	77.877	-146.4763
97.500000	77.875	-147.2859
98.800003	77.871	-148.1180
100.000000	77.863	-148.8624
101.500000	77.850	-149.7451
103.000000	77.834	-150.5995
104.400002	77.817	-151.3929
106.000000	77.796	-152.3150
107.500000	77.777	-153.2091
109.000000	77.754	-154.1319
110.599998	77.718	-155.1073
112.000000	77.679	-155.9123
113.800003	77.636	-156.9183
115.000000	77.617	-157.6109
117.199997	77.595	-158.9465
118.000000	77.584	-159.4373
120.599998	77.502	-160.7708
122.000000	77.436	-161.2127
124.099998	77.347	-161.7674
125.000000	77.313	-162.0633
126.500000	77.257	-162.6848
128.000000	77.196	-163.4414
131.500000	77.012	-165.3159
132.000000	76.981	-165.5562
134.000000	76.849	-166.4007
136.000000	76.714	-167.0809
138.000000	76.578	-167.6388
140.000000	76.443	-168.1182
143.000000	76.232	-168.7142
145.000000	76.076	-168.9927
147.500000	75.864	-169.1483
150.000000	75.659	-169.1085
152.500000	75.502	-169.1088
155.000000	75.364	-169.2228
157.500000	75.220	-169.1086
160.000000	75.079	-168.6701
162.500000	74.945	-167.9964
165.000000	74.829	-167.1481
167.500000	74.741	-166.1889
170.000000	74.687	-165.2287
172.500000	74.661	-164.3869
175.000000	74.654	-163.6650
177.500000	74.667	-163.0047
180.000000	74.702	-162.4250
182.500000	74.750	-161.9660
185.000000	74.801	-161.6248
187.500000	74.849	-161.3637
190.000000	74.888	-161.1265
192.500000	74.918	-160.8591
195.000000	74.947	-160.5429
197.500000	74.987	-160.2013
200.000000	75.042	-159.8759
203.000000	75.128	-159.5773
206.000000	75.225	-159.4363
209.000000	75.323	-159.4460
212.000000	75.413	-159.5550
214.000000	75.464	-159.6686
