* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Satyr2 ZMF Sol Lambskin L, Satyr2 ZMF Sol Lambskin L, Satyr2 ZMF Sol Lambskin L
* Dated: Jun 12, 2024 4:03:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Satyr2 ZMF Sol Lambskin L, Satyr2 ZMF Sol Lambskin L, Satyr2 ZMF Sol Lambskin L
* Measurement: RMS Average Sol L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	71.808
20.299999	71.993
20.600000	72.173
20.900000	72.345
21.200001	72.511
21.400000	72.618
21.799999	72.826
22.000000	72.928
22.400000	73.130
22.700001	73.281
23.000000	73.431
23.299999	73.580
23.600000	73.726
24.000000	73.915
24.299999	74.052
24.700001	74.228
25.000000	74.356
25.400000	74.522
25.799999	74.684
26.200001	74.842
26.500000	74.959
26.900000	75.112
27.200001	75.226
27.600000	75.376
28.000000	75.522
28.500000	75.698
29.000000	75.863
29.500000	76.016
30.000000	76.162
30.400000	76.275
30.700001	76.359
31.100000	76.471
31.500000	76.582
32.000000	76.720
32.500000	76.855
33.000000	76.984
33.500000	77.107
34.000000	77.223
34.500000	77.332
35.000000	77.437
35.500000	77.539
36.000000	77.638
36.500000	77.737
37.000000	77.833
37.500000	77.927
38.200001	78.053
38.700001	78.138
39.500000	78.265
40.000000	78.339
40.599998	78.423
41.200001	78.503
41.799999	78.579
42.500000	78.662
43.099998	78.728
43.700001	78.790
44.400002	78.856
45.000000	78.909
45.500000	78.951
46.200001	79.007
46.799999	79.053
47.500000	79.105
48.200001	79.156
48.700001	79.191
49.400002	79.239
50.000000	79.277
50.799999	79.329
51.500000	79.376
52.200001	79.426
53.000000	79.486
53.799999	79.550
54.500000	79.608
55.200001	79.668
56.000000	79.736
57.000000	79.821
58.000000	79.902
59.000000	79.977
60.000000	80.049
60.799999	80.104
61.500000	80.151
62.200001	80.195
63.000000	80.243
64.000000	80.299
65.000000	80.351
66.000000	80.398
67.000000	80.441
68.000000	80.481
69.000000	80.518
70.000000	80.554
71.000000	80.591
72.000000	80.628
73.000000	80.665
74.000000	80.702
75.000000	80.739
76.199997	80.783
77.500000	80.827
78.800003	80.868
80.000000	80.901
81.199997	80.928
82.500000	80.951
83.800003	80.969
85.000000	80.980
86.199997	80.989
87.500000	80.997
88.500000	81.002
90.000000	81.010
91.199997	81.015
92.500000	81.021
93.800003	81.026
95.000000	81.031
96.199997	81.036
97.500000	81.039
98.800003	81.041
100.000000	81.041
101.500000	81.037
103.000000	81.028
104.400002	81.014
106.000000	80.993
107.500000	80.967
109.000000	80.934
110.599998	80.892
112.000000	80.848
113.800003	80.785
115.000000	80.739
117.199997	80.650
118.000000	80.617
120.599998	80.518
122.000000	80.470
124.099998	80.403
125.000000	80.375
126.500000	80.329
128.000000	80.281
131.500000	80.158
132.000000	80.139
134.000000	80.061
136.000000	79.978
138.000000	79.892
140.000000	79.804
143.000000	79.672
145.000000	79.586
147.500000	79.482
150.000000	79.381
152.500000	79.280
155.000000	79.180
157.500000	79.081
160.000000	78.988
162.500000	78.903
165.000000	78.828
167.500000	78.764
170.000000	78.709
172.500000	78.660
175.000000	78.616
177.500000	78.574
180.000000	78.532
182.500000	78.489
185.000000	78.442
187.500000	78.390
190.000000	78.329
192.500000	78.259
195.000000	78.180
197.500000	78.093
200.000000	77.999
203.000000	77.881
206.000000	77.760
209.000000	77.639
212.000000	77.521
214.000000	77.446
218.000000	77.303
220.000000	77.236
224.000000	77.107
227.000000	77.014
230.000000	76.922
233.000000	76.831
236.000000	76.744
240.000000	76.633
243.000000	76.558
247.000000	76.469
250.000000	76.413
254.000000	76.353
258.000000	76.309
262.000000	76.283
265.000000	76.274
269.000000	76.273
272.000000	76.279
276.000000	76.294
280.000000	76.311
285.000000	76.330
290.000000	76.343
295.000000	76.350
300.000000	76.350
304.000000	76.347
307.000000	76.343
311.000000	76.334
315.000000	76.321
320.000000	76.298
325.000000	76.263
330.000000	76.218
335.000000	76.161
340.000000	76.096
345.000000	76.025
350.000000	75.949
355.000000	75.869
360.000000	75.784
365.000000	75.694
370.000000	75.598
375.000000	75.499
382.000000	75.357
387.000000	75.256
395.000000	75.108
400.000000	75.030
406.000000	74.958
412.000000	74.917
418.000000	74.909
425.000000	74.943
431.000000	75.005
437.000000	75.094
444.000000	75.220
450.000000	75.339
455.000000	75.440
462.000000	75.578
468.000000	75.687
475.000000	75.799
482.000000	75.891
487.000000	75.945
494.000000	76.003
500.000000	76.037
508.000000	76.061
515.000000	76.062
522.000000	76.048
530.000000	76.015
538.000000	75.972
545.000000	75.932
552.000000	75.895
560.000000	75.861
570.000000	75.836
580.000000	75.834
590.000000	75.856
600.000000	75.903
608.000000	75.959
615.000000	76.020
622.000000	76.090
630.000000	76.181
640.000000	76.305
650.000000	76.434
660.000000	76.563
670.000000	76.687
680.000000	76.803
690.000000	76.910
700.000000	77.009
710.000000	77.101
720.000000	77.190
730.000000	77.278
740.000000	77.366
750.000000	77.457
762.000000	77.568
775.000000	77.686
788.000000	77.799
800.000000	77.893
812.000000	77.975
825.000000	78.050
838.000000	78.105
850.000000	78.135
862.000000	78.139
875.000000	78.112
885.000000	78.071
900.000000	77.987
912.000000	77.916
925.000000	77.854
938.000000	77.815
950.000000	77.796
962.000000	77.781
975.000000	77.753
988.000000	77.701
1000.000000	77.630
1015.000000	77.521
1030.000000	77.402
1044.000000	77.294
1060.000000	77.176
1075.000000	77.073
1090.000000	76.974
1106.000000	76.874
1120.000000	76.792
1138.000000	76.694
1150.000000	76.634
1172.000000	76.530
1180.000000	76.493
1206.000000	76.376
1220.000000	76.309
1241.000000	76.199
1250.000000	76.147
1265.000000	76.060
1280.000000	75.976
1315.000000	75.821
1320.000000	75.805
1340.000000	75.764
1360.000000	75.754
1380.000000	75.770
1400.000000	75.800
1430.000000	75.847
1450.000000	75.871
1475.000000	75.894
1500.000000	75.908
1525.000000	75.909
1550.000000	75.897
1575.000000	75.878
1600.000000	75.860
1625.000000	75.849
1650.000000	75.850
1675.000000	75.863
1700.000000	75.884
1725.000000	75.907
1750.000000	75.926
1775.000000	75.943
1800.000000	75.963
1825.000000	75.998
1850.000000	76.060
1875.000000	76.163
1900.000000	76.316
1925.000000	76.515
1950.000000	76.748
1975.000000	77.006
2000.000000	77.279
2030.000000	77.620
2060.000000	77.963
2090.000000	78.295
2120.000000	78.608
2140.000000	78.803
2180.000000	79.164
2200.000000	79.331
2240.000000	79.651
2270.000000	79.881
2300.000000	80.102
2330.000000	80.307
2360.000000	80.489
2400.000000	80.700
2430.000000	80.842
2470.000000	81.023
2500.000000	81.156
2540.000000	81.330
2580.000000	81.494
2620.000000	81.644
2650.000000	81.746
2690.000000	81.870
2720.000000	81.955
2760.000000	82.058
2800.000000	82.154
2850.000000	82.265
2900.000000	82.374
2950.000000	82.489
