* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Satyr2 ZMF Sol Lambskin R, Satyr2 ZMF Sol Lambskin R, Satyr2 ZMF Sol Lambskin R, Satyr2 ZMF Sol Lambskin R
* Dated: Jun 12, 2024 4:04:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Satyr2 ZMF Sol Lambskin R, Satyr2 ZMF Sol Lambskin R, Satyr2 ZMF Sol Lambskin R, Satyr2 ZMF Sol Lambskin R
* Measurement: RMS Average Sol R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	68.830
20.299999	69.023
20.600000	69.213
20.900000	69.400
21.200001	69.584
21.400000	69.704
21.799999	69.939
22.000000	70.054
22.400000	70.277
22.700001	70.439
23.000000	70.599
23.299999	70.757
23.600000	70.912
24.000000	71.115
24.299999	71.264
24.700001	71.456
25.000000	71.596
25.400000	71.778
25.799999	71.956
26.200001	72.130
26.500000	72.259
26.900000	72.428
27.200001	72.552
27.600000	72.713
28.000000	72.870
28.500000	73.059
29.000000	73.242
29.500000	73.419
30.000000	73.591
30.400000	73.725
30.700001	73.823
31.100000	73.950
31.500000	74.073
32.000000	74.222
32.500000	74.364
33.000000	74.501
33.500000	74.634
34.000000	74.762
34.500000	74.885
35.000000	75.003
35.500000	75.115
36.000000	75.223
36.500000	75.327
37.000000	75.427
37.500000	75.523
38.200001	75.650
38.700001	75.736
39.500000	75.864
40.000000	75.940
40.599998	76.026
41.200001	76.108
41.799999	76.185
42.500000	76.268
43.099998	76.335
43.700001	76.397
44.400002	76.465
45.000000	76.518
45.500000	76.559
46.200001	76.613
46.799999	76.657
47.500000	76.706
48.200001	76.754
48.700001	76.788
49.400002	76.836
50.000000	76.879
50.799999	76.940
51.500000	76.997
52.200001	77.059
53.000000	77.136
53.799999	77.219
54.500000	77.295
55.200001	77.373
56.000000	77.463
57.000000	77.572
58.000000	77.675
59.000000	77.770
60.000000	77.860
60.799999	77.928
61.500000	77.986
62.200001	78.041
63.000000	78.102
64.000000	78.173
65.000000	78.240
66.000000	78.303
67.000000	78.364
68.000000	78.422
69.000000	78.479
70.000000	78.535
71.000000	78.589
72.000000	78.642
73.000000	78.691
74.000000	78.737
75.000000	78.780
76.199997	78.827
77.500000	78.874
78.800003	78.915
80.000000	78.949
81.199997	78.980
82.500000	79.008
83.800003	79.033
85.000000	79.053
86.199997	79.069
87.500000	79.084
88.500000	79.093
90.000000	79.104
91.199997	79.111
92.500000	79.117
93.800003	79.121
95.000000	79.123
96.199997	79.124
97.500000	79.125
98.800003	79.123
100.000000	79.121
101.500000	79.115
103.000000	79.106
104.400002	79.094
106.000000	79.076
107.500000	79.052
109.000000	79.023
110.599998	78.986
112.000000	78.947
113.800003	78.891
115.000000	78.849
117.199997	78.768
118.000000	78.737
120.599998	78.640
122.000000	78.591
124.099998	78.531
125.000000	78.511
126.500000	78.487
128.000000	78.478
131.500000	78.506
132.000000	78.514
134.000000	78.554
136.000000	78.593
138.000000	78.621
140.000000	78.632
143.000000	78.609
145.000000	78.573
147.500000	78.510
150.000000	78.440
152.500000	78.369
155.000000	78.303
157.500000	78.245
160.000000	78.194
162.500000	78.145
165.000000	78.097
