* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 4, 2023 12:22:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Satyr1 Dekoni Elite V TH900
* Measurement: Satyr1 Dekoni Elite V TH900
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	64.262	166.5681
20.299999	64.505	164.7337
20.600000	64.750	162.9896
20.900000	64.997	161.2957
21.200001	65.243	159.6116
21.400000	65.403	158.4815
21.799999	65.707	156.2087
22.000000	65.850	155.0762
22.400000	66.117	152.8435
22.700001	66.303	151.2075
23.000000	66.480	149.5948
23.299999	66.648	147.9877
23.600000	66.804	146.3734
24.000000	66.991	144.2200
24.299999	67.115	142.6387
24.700001	67.265	140.6331
25.000000	67.377	139.2206
25.400000	67.538	137.4222
25.799999	67.718	135.6158
26.200001	67.909	133.6981
26.500000	68.049	132.1710
26.900000	68.219	130.0792
27.200001	68.332	128.5372
27.600000	68.474	126.6097
28.000000	68.620	124.8582
28.500000	68.826	122.8210
29.000000	69.051	120.7465
29.500000	69.260	118.5367
30.000000	69.419	116.3330
30.400000	69.510	114.7541
30.700001	69.569	113.7498
31.100000	69.658	112.6513
31.500000	69.780	111.7006
32.000000	69.981	110.3719
32.500000	70.194	108.5457
33.000000	70.344	106.2058
33.500000	70.388	103.7470
34.000000	70.347	101.7409
34.500000	70.303	100.4899
35.000000	70.352	99.7718
35.500000	70.529	99.0034
36.000000	70.783	97.6389
36.500000	71.027	95.5160
37.000000	71.195	92.8989
37.500000	71.267	90.2408
38.200001	71.255	87.1331
38.700001	71.222	85.5176
39.500000	71.219	83.6636
40.000000	71.258	82.6589
40.599998	71.326	81.3905
41.200001	71.398	80.0130
41.799999	71.463	78.5546
42.500000	71.529	76.7816
43.099998	71.576	75.2241
43.700001	71.613	73.6812
44.400002	71.652	71.9666
45.000000	71.687	70.5852
45.500000	71.717	69.4889
46.200001	71.757	68.0319
46.799999	71.786	66.8473
47.500000	71.813	65.5041
48.200001	71.823	64.1596
48.700001	71.817	63.1940
49.400002	71.796	61.8474
50.000000	71.776	60.6884
50.799999	71.765	59.0621
51.500000	71.777	57.4798
52.200001	71.799	55.7479
53.000000	71.824	53.7758
53.799999	71.858	52.1062
54.500000	71.911	50.9878
55.200001	71.985	50.1376
56.000000	72.070	49.4511
57.000000	72.148	49.0103
58.000000	72.182	49.0288
59.000000	72.234	49.2558
60.000000	72.329	48.5908
60.799999	72.335	47.0106
61.500000	72.248	45.2812
62.200001	72.113	43.6203
63.000000	71.970	41.9102
64.000000	71.862	39.9395
65.000000	71.835	38.1200
66.000000	71.856	36.5285
67.000000	71.892	35.2526
68.000000	71.921	34.2562
69.000000	71.924	33.4198
70.000000	71.899	32.6320
71.000000	71.853	31.7955
72.000000	71.796	30.8525
73.000000	71.736	29.8271
74.000000	71.680	28.7921
75.000000	71.632	27.8104
76.199997	71.577	26.7869
77.500000	71.521	25.9252
78.800003	71.476	25.2145
80.000000	71.445	24.5399
81.199997	71.423	23.7714
82.500000	71.405	22.8656
83.800003	71.393	21.9691
85.000000	71.384	21.1871
86.199997	71.369	20.4617
87.500000	71.342	19.7302
88.500000	71.314	19.1847
90.000000	71.264	18.3607
91.199997	71.225	17.6859
92.500000	71.191	16.9698
93.800003	71.169	16.3012
95.000000	71.158	15.7329
96.199997	71.150	15.2054
97.500000	71.137	14.6474
98.800003	71.113	14.0699
100.000000	71.080	13.5077
101.500000	71.033	12.7540
103.000000	70.991	11.9410
104.400002	70.959	11.1859
106.000000	70.932	10.4290
107.500000	70.919	9.8061
109.000000	70.904	9.1676
110.599998	70.872	8.4272
112.000000	70.831	7.7660
113.800003	70.775	6.9845
115.000000	70.737	6.5710
117.199997	70.672	6.1110
118.000000	70.648	5.9949
120.599998	70.548	5.3387
122.000000	70.463	4.7371
124.099998	70.335	3.7826
125.000000	70.295	3.4083
126.500000	70.255	2.8710
128.000000	70.234	2.4692
131.500000	70.149	1.8004
132.000000	70.126	1.6921
134.000000	70.010	1.2004
136.000000	69.892	0.6846
138.000000	69.808	0.2232
140.000000	69.753	-0.1448
143.000000	69.672	-0.5521
145.000000	69.597	-0.7495
147.500000	69.497	-0.9052
150.000000	69.407	-1.0351
152.500000	69.310	-1.2046
155.000000	69.189	-1.3109
157.500000	69.061	-1.2715
160.000000	68.963	-1.1885
162.500000	68.914	-1.2456
165.000000	68.895	-1.4398
167.500000	68.887	-1.5728
170.000000	68.885	-1.5930
172.500000	68.885	-1.6488
