* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 10:25:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Satyr DKNI Th900 Pads mpor Dec 29
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	65.345	167.4282
20.299999	65.574	165.8979
20.600000	65.798	164.3452
20.900000	66.011	162.7740
21.200001	66.210	161.2131
21.400000	66.334	160.1983
21.799999	66.572	158.2697
22.000000	66.689	157.3622
22.400000	66.925	155.6424
22.700001	67.108	154.3972
23.000000	67.295	153.1526
23.299999	67.482	151.8849
23.600000	67.666	150.5874
24.000000	67.899	148.8311
24.299999	68.064	147.5212
24.700001	68.274	145.8185
25.000000	68.427	144.5835
25.400000	68.627	142.9873
25.799999	68.826	141.4286
26.200001	69.023	139.8876
26.500000	69.168	138.7363
26.900000	69.357	137.2056
27.200001	69.493	136.0651
27.600000	69.667	134.5685
28.000000	69.833	133.1221
28.500000	70.034	131.4160
29.000000	70.237	129.8165
29.500000	70.446	128.2620
30.000000	70.655	126.6826
30.400000	70.813	125.3977
30.700001	70.923	124.4436
31.100000	71.061	123.2183
31.500000	71.193	122.0690
32.000000	71.359	120.7194
32.500000	71.530	119.3971
33.000000	71.700	118.0344
33.500000	71.860	116.6159
34.000000	72.006	115.1667
34.500000	72.135	113.7211
35.000000	72.252	112.3182
35.500000	72.361	110.9960
36.000000	72.473	109.7650
36.500000	72.599	108.5858
37.000000	72.741	107.3807
37.500000	72.889	106.0897
38.200001	73.089	104.1530
38.700001	73.219	102.7481
39.500000	73.411	100.5762
40.000000	73.524	99.2809
40.599998	73.655	97.7891
41.200001	73.781	96.3600
41.799999	73.903	94.9679
42.500000	74.034	93.3605
43.099998	74.132	92.0232
43.700001	74.223	90.7746
44.400002	74.334	89.4245
45.000000	74.441	88.2822
45.500000	74.533	87.3015
46.200001	74.660	85.9077
46.799999	74.766	84.7399
47.500000	74.893	83.4069
48.200001	75.016	82.0623
48.700001	75.095	81.1011
49.400002	75.190	79.8021
50.000000	75.261	78.7485
50.799999	75.343	77.4015
51.500000	75.406	76.2457
52.200001	75.465	75.0917
53.000000	75.540	73.7330
53.799999	75.629	72.2450
54.500000	75.714	70.7926
55.200001	75.800	69.2526
56.000000	75.901	67.5089
57.000000	76.053	65.4571
58.000000	76.241	63.4635
59.000000	76.417	61.2449
60.000000	76.475	58.9841
60.799999	76.432	57.7000
61.500000	76.388	57.0605
62.200001	76.372	56.6199
63.000000	76.385	56.0368
64.000000	76.412	55.0032
65.000000	76.431	53.6849
66.000000	76.444	52.2187
67.000000	76.462	50.7148
68.000000	76.489	49.2321
69.000000	76.522	47.8104
70.000000	76.554	46.4771
71.000000	76.582	45.2282
72.000000	76.600	44.0219
73.000000	76.605	42.8214
74.000000	76.595	41.6279
75.000000	76.574	40.4682
76.199997	76.544	39.1686
77.500000	76.522	37.8852
78.800003	76.516	36.6824
80.000000	76.519	35.5996
81.199997	76.525	34.5171
82.500000	76.531	33.3260
83.800003	76.537	32.1090
85.000000	76.543	30.9725
86.199997	76.549	29.8281
87.500000	76.550	28.5858
88.500000	76.543	27.6390
90.000000	76.519	26.2455
91.199997	76.491	25.1431
92.500000	76.454	23.9554
93.800003	76.413	22.8046
95.000000	76.377	21.7971
96.199997	76.347	20.8171
97.500000	76.316	19.7538
98.800003	76.278	18.7007
100.000000	76.237	17.7496
101.500000	76.181	16.5846
103.000000	76.120	15.4289
104.400002	76.057	14.3617
106.000000	75.970	13.1871
107.500000	75.873	12.1648
109.000000	75.763	11.2655
110.599998	75.641	10.4775
112.000000	75.536	9.9296
113.800003	75.404	9.3768
115.000000	75.316	9.0659
117.199997	75.153	8.5598
118.000000	75.099	8.4005
120.599998	74.994	7.9502
122.000000	74.993	7.6014
124.099998	75.008	6.8776
125.000000	75.006	6.5532
126.500000	74.986	6.0426
128.000000	74.949	5.5692
131.500000	74.838	4.5231
132.000000	74.822	4.3760
134.000000	74.767	3.7932
136.000000	74.714	3.2073
138.000000	74.658	2.5861
140.000000	74.592	1.9239
143.000000	74.467	0.9786
145.000000	74.373	0.4678
147.500000	74.257	-0.0547
150.000000	74.137	-0.4919
152.500000	74.019	-0.8086
155.000000	73.920	-1.0714
157.500000	73.823	-1.3944
160.000000	73.695	-1.7333
162.500000	73.552	-1.9883
165.000000	73.434	-2.1318
167.500000	73.360	-2.1566
170.000000	73.312	-2.0855
172.500000	73.267	-2.0002
175.000000	73.222	-1.9796
177.500000	73.179	-2.0084
180.000000	73.133	-2.0132
182.500000	73.083	-1.9706
185.000000	73.032	-1.9353
187.500000	72.986	-1.9476
190.000000	72.943	-1.9870
192.500000	72.903	-2.0238
195.000000	72.866	-2.0533
197.500000	72.831	-2.0794
200.000000	72.798	-2.1018
203.000000	72.759	-2.1221
206.000000	72.721	-2.1372
209.000000	72.685	-2.1578
212.000000	72.651	-2.1918
214.000000	72.628	-2.2250
218.000000	72.576	-2.3220
220.000000	72.544	-2.3800
224.000000	72.475	-2.4720
227.000000	72.419	-2.4806
230.000000	72.365	-2.4202
233.000000	72.319	-2.3055
236.000000	72.282	-2.1611
240.000000	72.239	-1.9495
243.000000	72.206	-1.7910
247.000000	72.167	-1.6023
250.000000	72.143	-1.4833
254.000000	72.115	-1.3431
258.000000	72.090	-1.2032
262.000000	72.068	-1.0308
265.000000	72.055	-0.8734
269.000000	72.042	-0.6680
272.000000	72.037	-0.5488
276.000000	72.030	-0.4515
280.000000	72.015	-0.4132
285.000000	71.985	-0.4077
290.000000	71.949	-0.4008
295.000000	71.911	-0.3602
300.000000	71.874	-0.2165
304.000000	71.850	0.0116
307.000000	71.835	0.2147
311.000000	71.820	0.4690
315.000000	71.808	0.6913
320.000000	71.798	0.9439
325.000000	71.790	1.1780
330.000000	71.784	1.4171
335.000000	71.782	1.6680
340.000000	71.785	1.8755
345.000000	71.790	2.0036
350.000000	71.790	2.0940
355.000000	71.787	2.2039
