* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 10:10:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Satyr Geekria Pads mpore De
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	64.484	170.0106
20.299999	64.718	168.5008
20.600000	64.946	166.9382
20.900000	65.161	165.3293
21.200001	65.357	163.7216
21.400000	65.477	162.6857
21.799999	65.704	160.7685
22.000000	65.817	159.8977
22.400000	66.056	158.2932
22.700001	66.251	157.1343
23.000000	66.456	155.9445
23.299999	66.663	154.6859
23.600000	66.863	153.3578
24.000000	67.112	151.5397
24.299999	67.285	150.1986
24.700001	67.506	148.4912
25.000000	67.673	147.2609
25.400000	67.898	145.6313
25.799999	68.121	143.9462
26.200001	68.327	142.1934
26.500000	68.467	140.8701
26.900000	68.632	139.1703
27.200001	68.745	137.9842
27.600000	68.895	136.5331
28.000000	69.052	135.1906
28.500000	69.260	133.5615
29.000000	69.470	131.9200
29.500000	69.673	130.2999
30.000000	69.877	128.7596
30.400000	70.047	127.5706
30.700001	70.180	126.6708
31.100000	70.360	125.4213
31.500000	70.535	124.1060
32.000000	70.736	122.4304
32.500000	70.921	120.8149
33.000000	71.105	119.2844
33.500000	71.293	117.7723
34.000000	71.474	116.2275
34.500000	71.641	114.6970
35.000000	71.801	113.2622
35.500000	71.971	111.9075
36.000000	72.152	110.5009
36.500000	72.325	108.9370
37.000000	72.465	107.2700
37.500000	72.568	105.6709
38.200001	72.684	103.7587
38.700001	72.774	102.5681
39.500000	72.930	100.6724
40.000000	73.020	99.4492
40.599998	73.118	97.9947
41.200001	73.212	96.5641
41.799999	73.304	95.1238
42.500000	73.407	93.4288
43.099998	73.494	92.0011
43.700001	73.586	90.6071
44.400002	73.706	88.9971
45.000000	73.816	87.6199
45.500000	73.911	86.4743
46.200001	74.046	84.8687
46.799999	74.153	83.5023
47.500000	74.261	81.9877
48.200001	74.359	80.6292
48.700001	74.430	79.7340
49.400002	74.536	78.4714
50.000000	74.621	77.3029
50.799999	74.713	75.6252
51.500000	74.774	74.1101
52.200001	74.825	72.5826
53.000000	74.880	70.8517
53.799999	74.941	69.2009
54.500000	75.009	67.8402
55.200001	75.091	66.5580
56.000000	75.195	65.2300
57.000000	75.340	63.8196
58.000000	75.503	62.6921
59.000000	75.714	61.5346
60.000000	75.903	59.5387
60.799999	75.931	57.4078
61.500000	75.862	55.6321
62.200001	75.754	54.1204
63.000000	75.633	52.5815
64.000000	75.503	50.7150
65.000000	75.390	48.9133
66.000000	75.292	47.3251
67.000000	75.221	46.0929
68.000000	75.192	45.1705
69.000000	75.203	44.3649
70.000000	75.233	43.5063
71.000000	75.263	42.5112
72.000000	75.282	41.3619
73.000000	75.285	40.1049
74.000000	75.276	38.8176
75.000000	75.262	37.5598
76.199997	75.238	36.1509
77.500000	75.206	34.8028
78.800003	75.174	33.6332
80.000000	75.156	32.6138
81.199997	75.152	31.5157
82.500000	75.164	30.1218
83.800003	75.171	28.4371
85.000000	75.144	26.7244
86.199997	75.073	25.0513
87.500000	74.949	23.4794
88.500000	74.842	22.4977
90.000000	74.700	21.2139
91.199997	74.602	20.0991
92.500000	74.472	18.7695
93.800003	74.283	17.6310
95.000000	74.068	17.0766
96.199997	73.849	17.0848
97.500000	73.645	17.5848
98.800003	73.498	18.3436
100.000000	73.422	19.0622
101.500000	73.409	19.7310
103.000000	73.466	19.9419
104.400002	73.540	19.7594
106.000000	73.610	19.3768
107.500000	73.647	19.0206
