* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 9:51:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Satyr Yaxi Pads mpore
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	60.958	-167.3751
20.299999	61.200	-168.8569
20.600000	61.450	-170.2877
20.900000	61.705	-171.7338
21.200001	61.959	-173.2261
21.400000	62.124	-174.2424
21.799999	62.441	-176.2761
22.000000	62.596	-177.2729
22.400000	62.904	-179.2092
22.700001	63.139	179.3737
23.000000	63.377	177.9559
23.299999	63.616	176.5123
23.600000	63.850	175.0344
24.000000	64.148	173.0360
24.299999	64.357	171.5533
24.700001	64.621	169.6462
25.000000	64.810	168.2829
25.400000	65.053	166.5522
25.799999	65.287	164.9082
26.200001	65.512	163.3470
26.500000	65.677	162.2334
26.900000	65.897	160.8156
27.200001	66.065	159.7807
27.600000	66.295	158.3771
28.000000	66.528	156.8741
28.500000	66.806	154.7851
29.000000	67.047	152.5165
29.500000	67.245	150.2416
30.000000	67.420	148.1375
30.400000	67.565	146.5977
30.700001	67.683	145.4855
31.100000	67.852	143.9866
31.500000	68.022	142.4170
32.000000	68.212	140.4044
32.500000	68.368	138.5322
33.000000	68.512	137.0022
33.500000	68.679	135.8021
34.000000	68.883	134.6964
34.500000	69.102	133.4559
35.000000	69.300	132.0541
35.500000	69.464	130.6396
36.000000	69.611	129.3387
36.500000	69.765	128.1108
37.000000	69.933	126.7985
37.500000	70.102	125.2913
38.200001	70.314	122.9072
38.700001	70.449	121.1198
39.500000	70.646	118.2430
40.000000	70.759	116.4857
40.599998	70.881	114.5187
41.200001	70.997	112.7863
41.799999	71.112	111.2897
42.500000	71.240	109.7662
43.099998	71.331	108.6002
43.700001	71.393	107.5731
44.400002	71.438	106.5735
45.000000	71.470	105.7919
45.500000	71.495	105.0703
46.200001	71.516	103.8897
46.799999	71.533	102.8023
47.500000	71.595	101.4556
48.200001	71.739	99.8282
48.700001	71.892	98.4216
49.400002	72.178	96.0181
50.000000	72.447	93.3271
50.799999	72.661	88.9500
51.500000	72.597	85.8051
52.200001	72.426	84.8848
53.000000	72.441	86.0735
53.799999	72.738	87.1516
54.500000	73.024	87.0566
55.200001	73.242	86.4019
56.000000	73.430	85.3908
57.000000	73.608	83.7537
58.000000	73.749	81.7302
59.000000	73.856	79.2803
60.000000	73.883	76.8725
60.799999	73.884	75.5156
61.500000	73.919	74.6965
62.200001	73.984	73.9713
63.000000	74.061	73.1270
64.000000	74.131	72.1036
65.000000	74.176	71.0873
66.000000	74.201	69.9572
67.000000	74.212	68.6902
68.000000	74.223	67.3547
69.000000	74.251	66.0135
70.000000	74.300	64.7001
71.000000	74.363	63.4517
72.000000	74.429	62.2834
73.000000	74.487	61.1961
74.000000	74.536	60.1773
75.000000	74.581	59.1712
76.199997	74.632	57.8937
77.500000	74.683	56.4161
78.800003	74.737	54.9247
80.000000	74.794	53.5831
81.199997	74.854	52.2727
82.500000	74.917	50.8657
83.800003	74.970	49.4428
85.000000	75.007	48.0950
86.199997	75.032	46.7220
87.500000	75.045	45.2369
88.500000	75.049	44.1150
90.000000	75.050	42.4740
91.199997	75.046	41.1960
92.500000	75.038	39.8490
93.800003	75.026	38.5392
95.000000	75.011	37.3512
96.199997	74.988	36.1760
97.500000	74.955	34.9213
98.800003	74.916	33.6900
100.000000	74.877	32.5795
101.500000	74.828	31.2269
103.000000	74.773	29.8865
104.400002	74.698	28.6582
106.000000	74.570	27.3961
107.500000	74.421	26.4292
109.000000	74.262	25.6872
110.599998	74.102	25.1601
112.000000	73.981	24.9385
113.800003	73.860	24.9543
115.000000	73.800	25.0844
117.199997	73.727	25.3188
118.000000	73.712	25.3525
120.599998	73.727	25.0220
122.000000	73.763	24.4644
124.099998	73.806	23.3743
125.000000	73.815	22.9145
126.500000	73.818	22.2242
128.000000	73.807	21.6265
131.500000	73.754	20.3921
132.000000	73.746	20.2235
134.000000	73.716	19.5839
136.000000	73.691	19.0194
138.000000	73.667	18.5023
140.000000	73.641	17.9723
143.000000	73.599	17.0932
145.000000	73.568	16.4867
147.500000	73.514	15.8041
150.000000	73.442	15.2538
152.500000	73.363	14.7593
155.000000	73.285	14.2490
157.500000	73.208	13.7398
160.000000	73.133	13.2792
162.500000	73.067	12.9174
165.000000	73.023	12.6684
167.500000	73.002	12.4814
170.000000	72.984	12.2908
172.500000	72.962	12.0448
175.000000	72.932	11.7244
177.500000	72.897	11.3798
180.000000	72.863	11.0583
182.500000	72.830	10.7523
185.000000	72.796	10.4447
187.500000	72.760	10.1569
190.000000	72.722	9.9093
192.500000	72.685	9.7024
195.000000	72.645	9.5450
197.500000	72.605	9.4455
200.000000	72.568	9.3877
203.000000	72.533	9.3165
206.000000	72.505	9.1935
209.000000	72.482	9.0219
212.000000	72.457	8.8248
214.000000	72.437	8.6928
218.000000	72.390	8.4672
220.000000	72.364	8.3877
224.000000	72.320	8.2969
227.000000	72.296	8.2596
230.000000	72.276	8.2200
233.000000	72.255	8.1691
236.000000	72.233	8.1113
240.000000	72.202	8.0468
243.000000	72.181	8.0195
247.000000	72.157	7.9955
250.000000	72.141	7.9804
254.000000	72.120	7.9803
258.000000	72.098	8.0012
262.000000	72.081	8.0242
265.000000	72.073	8.0421
269.000000	72.070	8.0519
272.000000	72.070	8.0353
276.000000	72.070	7.9758
280.000000	72.066	7.8852
285.000000	72.054	7.7634
290.000000	72.033	7.6649
295.000000	72.003	7.5977
300.000000	71.971	7.5264
304.000000	71.948	7.4720
307.000000	71.931	7.4603
311.000000	71.907	7.4995
315.000000	71.882	7.5840
320.000000	71.853	7.7195
325.000000	71.828	7.8738
330.000000	71.810	8.0460
335.000000	71.799	8.2300
340.000000	71.793	8.4136
345.000000	71.792	8.5974
350.000000	71.795	8.7861
355.000000	71.802	8.9689
360.000000	71.813	9.1212
365.000000	71.824	9.2283
370.000000	71.833	9.3048
375.000000	71.839	9.3699
382.000000	71.844	9.4639
387.000000	71.845	9.5472
395.000000	71.846	9.7075
400.000000	71.848	9.8185
406.000000	71.850	9.9640
412.000000	71.854	10.1170
418.000000	71.858	10.2643
425.000000	71.866	10.4266
431.000000	71.872	10.5671
437.000000	71.875	10.7238
444.000000	71.878	10.9526
450.000000	71.884	11.1978
455.000000	71.894	11.4242
462.000000	71.920	11.7386
468.000000	71.950	11.9776
475.000000	71.989	12.2039
482.000000	72.027	12.3813
487.000000	72.053	12.4865
494.000000	72.087	12.6136
500.000000	72.112	12.7186
508.000000	72.142	12.8798
515.000000	72.170	13.0493
522.000000	72.201	13.2263
530.000000	72.243	13.4000
538.000000	72.287	13.5234
545.000000	72.328	13.5940
552.000000	72.367	13.6406
560.000000	72.408	13.6723
570.000000	72.455	13.6840
580.000000	72.494	13.6666
590.000000	72.524	13.6320
600.000000	72.545	13.6033
608.000000	72.558	13.5877
615.000000	72.565	13.5820
622.000000	72.568	13.5929
630.000000	72.568	13.6377
640.000000	72.562	13.7546
650.000000	72.558	13.9507
660.000000	72.563	14.2130
670.000000	72.581	14.4794
680.000000	72.611	14.6640
690.000000	72.636	14.6816
700.000000	72.628	14.5382
710.000000	72.554	14.4863
720.000000	72.429	14.9673
730.000000	72.334	16.1501
740.000000	72.339	17.6547
750.000000	72.433	18.9929
762.000000	72.601	20.1484
775.000000	72.794	20.9733
788.000000	72.983	21.5450
800.000000	73.160	21.9048
812.000000	73.339	22.0668
825.000000	73.523	21.9911
838.000000	73.680	21.7167
850.000000	73.798	21.3932
862.000000	73.900	21.0719
875.000000	74.001	20.7282
885.000000	74.073	20.4503
900.000000	74.173	19.9911
912.000000	74.244	19.5614
925.000000	74.310	19.0184
938.000000	74.364	18.3972
950.000000	74.398	17.7091
962.000000	74.401	16.8691
975.000000	74.338	15.8805
988.000000	74.185	15.1293
1000.000000	73.975	15.0539
1015.000000	73.713	16.1533
1030.000000	73.599	18.1685
1044.000000	73.662	19.9702
1060.000000	73.836	21.3136
1075.000000	74.011	21.9437
1090.000000	74.165	22.1948
1106.000000	74.296	22.2332
1120.000000	74.382	22.1849
1138.000000	74.464	22.1462
1150.000000	74.509	22.1746
1172.000000	74.593	22.2736
1180.000000	74.624	22.2932
1206.000000	74.716	22.1910
1220.000000	74.740	22.0430
1241.000000	74.717	21.9232
1250.000000	74.688	22.0293
1265.000000	74.643	22.5253
1280.000000	74.637	23.3024
1315.000000	74.782	24.9070
1320.000000	74.808	25.0690
1340.000000	74.915	25.6188
1360.000000	75.018	26.0709
1380.000000	75.115	26.4431
1400.000000	75.202	26.7874
1430.000000	75.335	27.3568
1450.000000	75.438	27.6455
1475.000000	75.546	27.7158
1500.000000	75.571	27.7329
1525.000000	75.526	28.4257
1550.000000	75.551	30.0454
1575.000000	75.731	31.6958
1600.000000	75.974	32.7205
1625.000000	76.203	33.3135
1650.000000	76.416	33.7369
1675.000000	76.622	34.0580
1700.000000	76.823	34.3010
1725.000000	77.022	34.4575
1750.000000	77.216	34.5021
1775.000000	77.399	34.4678
1800.000000	77.572	34.3936
1825.000000	77.739	34.2882
1850.000000	77.904	34.1506
1875.000000	78.070	33.9468
1900.000000	78.234	33.6000
1925.000000	78.381	33.0592
1950.000000	78.492	32.3484
1975.000000	78.552	31.5499
2000.000000	78.548	30.7999
2030.000000	78.444	30.3201
2060.000000	78.268	30.8987
2090.000000	78.151	32.8494
2120.000000	78.244	35.5812
2140.000000	78.433	37.3040
2180.000000	78.980	39.5978
2200.000000	79.271	40.1079
2240.000000	79.803	40.2355
2270.000000	80.148	39.8857
2300.000000	80.452	39.3509
2330.000000	80.722	38.7494
2360.000000	80.967	38.1559
2400.000000	81.273	37.4290
2430.000000	81.499	36.9509
2470.000000	81.810	36.3391
2500.000000	82.047	35.8462
2540.000000	82.375	35.2162
2580.000000	82.748	34.5363
2620.000000	83.157	33.4982
2650.000000	83.462	32.4105
2690.000000	83.853	30.5898
2720.000000	84.125	28.9662
2760.000000	84.447	26.5034
2800.000000	84.715	23.8243
2850.000000	84.987	20.3487
2900.000000	85.205	16.7664
2950.000000	85.370	13.0447
3000.000000	85.473	9.2096
3040.000000	85.512	6.1179
3070.000000	85.519	3.7827
3110.000000	85.496	0.6304
3150.000000	85.429	-2.5565
3200.000000	85.269	-6.4822
3250.000000	85.025	-10.1464
3300.000000	84.714	-13.3646
3350.000000	84.374	-16.0743
3400.000000	84.039	-18.4159
3450.000000	83.722	-20.6594
3500.000000	83.394	-22.9506
3550.000000	83.027	-25.1950
3600.000000	82.614	-27.2330
3650.000000	82.159	-28.9441
3700.000000	81.674	-30.2239
3750.000000	81.184	-31.0174
3820.000000	80.547	-31.5295
3870.000000	80.147	-31.7272
3950.000000	79.589	-32.2224
4000.000000	79.258	-32.8312
4060.000000	78.829	-33.8149
4120.000000	78.332	-34.8338
4180.000000	77.766	-35.6193
4250.000000	77.043	-36.1085
4310.000000	76.378	-36.1671
4370.000000	75.666	-35.7848
4440.000000	74.783	-34.6133
4500.000000	73.998	-32.9151
4550.000000	73.334	-30.9606
4620.000000	72.405	-27.3012
4680.000000	71.633	-23.2543
4750.000000	70.792	-17.3876
4820.000000	70.072	-10.2006
4870.000000	69.693	-4.2780
4940.000000	69.468	4.9208
5000.000000	69.672	13.1783
5080.000000	70.530	23.1028
5150.000000	71.582	29.1818
5220.000000	72.650	32.3609
5300.000000	73.743	33.1135
5380.000000	74.694	31.7533
5450.000000	75.436	29.1066
5520.000000	76.052	24.8139
5600.000000	76.454	17.7883
5700.000000	76.283	7.7799
5800.000000	75.368	0.4516
5900.000000	74.049	-1.6532
6000.000000	72.880	0.5121
6080.000000	72.379	3.0056
6150.000000	72.252	4.1163
6220.000000	72.250	3.4879
6300.000000	72.167	0.7257
6400.000000	71.699	-4.2268
6500.000000	70.744	-8.2319
6600.000000	69.433	-9.4382
6700.000000	68.016	-7.9625
6800.000000	66.695	-4.9869
6900.000000	65.528	-1.4088
7000.000000	64.470	2.5151
7100.000000	63.470	6.9881
7200.000000	62.541	12.1444
7300.000000	61.735	17.6642
7400.000000	61.052	23.1288
7500.000000	60.439	28.4518
7620.000000	59.724	35.0728
7750.000000	58.990	43.6995
7880.000000	58.640	54.8560
