* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L Senn HD500A, L Senn HD500A, L Senn HD500A
* Dated: Jun 30, 2024 12:07:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L Senn HD500A, L Senn HD500A, L Senn HD500A
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	70.084
20.299999	70.295
20.600000	70.517
20.900000	70.747
21.200001	70.977
21.400000	71.126
21.799999	71.406
22.000000	71.535
22.400000	71.770
22.700001	71.929
23.000000	72.078
23.299999	72.217
23.600000	72.351
24.000000	72.524
24.299999	72.655
24.700001	72.833
25.000000	72.968
25.400000	73.143
25.799999	73.297
26.200001	73.426
26.500000	73.510
26.900000	73.621
27.200001	73.716
27.600000	73.870
28.000000	74.051
28.500000	74.285
29.000000	74.486
29.500000	74.634
30.000000	74.742
30.400000	74.819
30.700001	74.879
31.100000	74.968
31.500000	75.063
32.000000	75.181
32.500000	75.288
33.000000	75.376
33.500000	75.443
34.000000	75.487
34.500000	75.507
35.000000	75.510
35.500000	75.507
36.000000	75.515
36.500000	75.545
37.000000	75.602
37.500000	75.682
38.200001	75.820
38.700001	75.935
39.500000	76.145
40.000000	76.292
40.599998	76.479
41.200001	76.672
41.799999	76.864
42.500000	77.080
43.099998	77.256
43.700001	77.422
44.400002	77.601
45.000000	77.738
45.500000	77.839
46.200001	77.963
46.799999	78.054
47.500000	78.143
48.200001	78.209
48.700001	78.239
49.400002	78.261
50.000000	78.267
50.799999	78.267
51.500000	78.271
52.200001	78.287
53.000000	78.333
53.799999	78.414
54.500000	78.512
55.200001	78.631
56.000000	78.781
57.000000	78.979
58.000000	79.175
59.000000	79.364
60.000000	79.538
60.799999	79.665
61.500000	79.768
62.200001	79.865
63.000000	79.971
64.000000	80.093
65.000000	80.202
66.000000	80.302
67.000000	80.394
68.000000	80.480
69.000000	80.563
70.000000	80.643
71.000000	80.720
72.000000	80.793
73.000000	80.861
74.000000	80.923
75.000000	80.980
76.199997	81.044
77.500000	81.110
78.800003	81.172
80.000000	81.227
81.199997	81.281
82.500000	81.338
83.800003	81.395
85.000000	81.446
86.199997	81.496
87.500000	81.549
88.500000	81.588
90.000000	81.643
91.199997	81.681
92.500000	81.714
93.800003	81.739
95.000000	81.758
96.199997	81.774
97.500000	81.790
98.800003	81.804
100.000000	81.815
101.500000	81.828
103.000000	81.840
104.400002	81.849
106.000000	81.863
107.500000	81.884
109.000000	81.915
110.599998	81.959
112.000000	82.000
113.800003	82.048
115.000000	82.073
117.199997	82.100
118.000000	82.107
120.599998	82.139
122.000000	82.166
124.099998	82.215
125.000000	82.236
126.500000	82.268
128.000000	82.294
131.500000	82.331
132.000000	82.335
134.000000	82.353
136.000000	82.368
138.000000	82.374
140.000000	82.368
