* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R Senn HD500A, R Senn HD500A, R Senn HD500A
* Dated: Jun 30, 2024 12:08:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R Senn HD500A, R Senn HD500A, R Senn HD500A
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	70.540
20.299999	70.796
20.600000	71.070
20.900000	71.351
21.200001	71.634
21.400000	71.822
21.799999	72.188
22.000000	72.362
22.400000	72.677
22.700001	72.871
23.000000	73.018
23.299999	73.118
23.600000	73.179
24.000000	73.231
24.299999	73.275
24.700001	73.370
25.000000	73.470
25.400000	73.612
25.799999	73.726
26.200001	73.790
26.500000	73.816
26.900000	73.854
27.200001	73.913
27.600000	74.047
28.000000	74.230
28.500000	74.467
29.000000	74.658
29.500000	74.797
30.000000	74.918
30.400000	75.018
30.700001	75.094
31.100000	75.190
31.500000	75.275
32.000000	75.365
32.500000	75.454
33.000000	75.556
33.500000	75.680
34.000000	75.822
34.500000	75.972
35.000000	76.117
35.500000	76.248
36.000000	76.360
36.500000	76.456
37.000000	76.545
37.500000	76.632
38.200001	76.751
38.700001	76.830
39.500000	76.952
40.000000	77.032
40.599998	77.138
41.200001	77.251
41.799999	77.364
42.500000	77.487
43.099998	77.580
43.700001	77.659
44.400002	77.734
45.000000	77.784
45.500000	77.816
46.200001	77.843
46.799999	77.849
47.500000	77.838
48.200001	77.809
48.700001	77.780
49.400002	77.737
50.000000	77.708
50.799999	77.691
51.500000	77.695
52.200001	77.707
53.000000	77.725
53.799999	77.746
54.500000	77.771
55.200001	77.806
56.000000	77.860
57.000000	77.950
58.000000	78.069
59.000000	78.216
60.000000	78.380
60.799999	78.510
61.500000	78.614
62.200001	78.705
63.000000	78.794
64.000000	78.886
65.000000	78.966
66.000000	79.047
67.000000	79.140
68.000000	79.247
69.000000	79.360
70.000000	79.471
71.000000	79.571
72.000000	79.658
73.000000	79.733
74.000000	79.801
75.000000	79.866
76.199997	79.943
77.500000	80.026
78.800003	80.101
80.000000	80.158
81.199997	80.203
82.500000	80.244
83.800003	80.284
85.000000	80.323
86.199997	80.366
87.500000	80.418
88.500000	80.458
90.000000	80.509
91.199997	80.538
92.500000	80.557
93.800003	80.573
95.000000	80.591
96.199997	80.615
97.500000	80.648
98.800003	80.680
100.000000	80.705
101.500000	80.727
103.000000	80.739
104.400002	80.746
106.000000	80.752
107.500000	80.762
109.000000	80.778
110.599998	80.799
112.000000	80.818
113.800003	80.837
115.000000	80.849
117.199997	80.872
118.000000	80.883
120.599998	80.924
122.000000	80.946
124.099998	80.972
125.000000	80.981
126.500000	80.992
128.000000	81.000
131.500000	81.014
132.000000	81.016
134.000000	81.022
136.000000	81.027
138.000000	81.031
140.000000	81.036
143.000000	81.047
145.000000	81.057
147.500000	81.068
150.000000	81.072
152.500000	81.069
155.000000	81.066
157.500000	81.065
160.000000	81.070
162.500000	81.077
165.000000	81.083
167.500000	81.084
170.000000	81.082
172.500000	81.080
175.000000	81.079
177.500000	81.076
180.000000	81.071
182.500000	81.065
185.000000	81.057
187.500000	81.047
190.000000	81.031
192.500000	81.010
195.000000	80.986
197.500000	80.965
200.000000	80.950
203.000000	80.942
206.000000	80.944
209.000000	80.950
212.000000	80.951
214.000000	80.947
218.000000	80.925
220.000000	80.912
224.000000	80.884
227.000000	80.866
230.000000	80.848
233.000000	80.832
236.000000	80.817
240.000000	80.800
243.000000	80.789
247.000000	80.773
250.000000	80.758
254.000000	80.740
258.000000	80.727
262.000000	80.720
265.000000	80.715
269.000000	80.706
272.000000	80.697
276.000000	80.680
280.000000	80.662
285.000000	80.638
290.000000	80.617
295.000000	80.598
300.000000	80.580
304.000000	80.566
307.000000	80.556
311.000000	80.541
315.000000	80.526
320.000000	80.506
325.000000	80.485
330.000000	80.464
335.000000	80.445
340.000000	80.426
