* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2023 5:58:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Skullcandy Hesh 2
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	80.229	160.1758
20.299999	80.411	158.0989
20.600000	80.590	156.0817
20.900000	80.769	154.0964
21.200001	80.947	152.1084
21.400000	81.062	150.7689
21.799999	81.282	148.0616
22.000000	81.384	146.7060
22.400000	81.570	144.0369
22.700001	81.699	142.1104
23.000000	81.826	140.2662
23.299999	81.955	138.4849
23.600000	82.089	136.7313
24.000000	82.271	134.3792
24.299999	82.403	132.5849
24.700001	82.563	130.1835
25.000000	82.670	128.4271
25.400000	82.803	126.2010
25.799999	82.939	124.0939
26.200001	83.084	122.0003
26.500000	83.192	120.3653
26.900000	83.314	118.0688
27.200001	83.378	116.3097
27.600000	83.421	114.0525
28.000000	83.426	112.0614
28.500000	83.425	110.0208
29.000000	83.456	108.2498
29.500000	83.509	106.4196
30.000000	83.539	104.4242
30.400000	83.524	102.8456
30.700001	83.488	101.7755
31.100000	83.422	100.6022
31.500000	83.351	99.7563
32.000000	83.283	99.1366
32.500000	83.265	98.9227
33.000000	83.323	98.9766
33.500000	83.472	99.0868
34.000000	83.703	98.9684
34.500000	83.981	98.3978
35.000000	84.263	97.3221
35.500000	84.517	95.8404
36.000000	84.731	94.1100
36.500000	84.907	92.2583
37.000000	85.053	90.3604
37.500000	85.176	88.4331
38.200001	85.316	85.6467
38.700001	85.389	83.5665
39.500000	85.445	80.1530
40.000000	85.444	78.0663
40.599998	85.416	75.6886
41.200001	85.373	73.4521
41.799999	85.320	71.3329
42.500000	85.243	69.0249
43.099998	85.164	67.2394
43.700001	85.079	65.6761
44.400002	84.981	64.1604
45.000000	84.914	63.0865
45.500000	84.876	62.2484
46.200001	84.836	60.9737
46.799999	84.782	59.7259
47.500000	84.665	58.2370
48.200001	84.488	56.9085
48.700001	84.329	56.1187
49.400002	84.066	55.3237
50.000000	83.811	55.0634
50.799999	83.467	55.4778
51.500000	83.214	56.5328
52.200001	83.048	58.1039
53.000000	83.005	60.2968
53.799999	83.140	62.5926
54.500000	83.407	64.3625
55.200001	83.778	65.5126
56.000000	84.227	65.7027
57.000000	84.672	64.5447
58.000000	84.962	62.8718
59.000000	85.177	61.2933
60.000000	85.391	59.7475
60.799999	85.567	58.2132
61.500000	85.685	56.5458
62.200001	85.739	54.7738
63.000000	85.735	52.9956
64.000000	85.707	51.3214
65.000000	85.698	49.8956
66.000000	85.682	48.4538
67.000000	85.634	47.0041
68.000000	85.540	45.6317
69.000000	85.398	44.5307
70.000000	85.223	43.9374
71.000000	85.055	44.0207
72.000000	84.947	44.7516
73.000000	84.938	45.8373
74.000000	85.023	46.8779
75.000000	85.163	47.5929
76.199997	85.351	47.9053
77.500000	85.545	47.6124
78.800003	85.713	46.8204
80.000000	85.850	45.9229
81.199997	85.992	45.0721
82.500000	86.163	44.1848
83.800003	86.318	43.2435
85.000000	86.422	42.4168
86.199997	86.500	41.6913
87.500000	86.577	40.8968
88.500000	86.635	40.1967
90.000000	86.715	39.0126
91.199997	86.770	38.0299
92.500000	86.822	37.0165
93.800003	86.869	36.0450
95.000000	86.902	35.1744
96.199997	86.931	34.3789
97.500000	86.979	33.6099
98.800003	87.058	32.8651
100.000000	87.151	32.1208
101.500000	87.265	31.1055
103.000000	87.353	30.0741
104.400002	87.411	29.1302
106.000000	87.460	28.0228
107.500000	87.493	26.9677
109.000000	87.521	25.9714
110.599998	87.550	24.9877
112.000000	87.574	24.1017
113.800003	87.593	22.7985
115.000000	87.600	21.8084
117.199997	87.620	19.8113
118.000000	87.628	19.0744
120.599998	87.624	17.0067
122.000000	87.604	16.2090
124.099998	87.568	15.1908
125.000000	87.552	14.7339
126.500000	87.523	13.9025
128.000000	87.491	13.0085
131.500000	87.381	11.0569
132.000000	87.361	10.8205
134.000000	87.273	9.9879
136.000000	87.187	9.2871
138.000000	87.101	8.6536
140.000000	86.991	8.1578
143.000000	86.811	7.9340
145.000000	86.751	7.9389
147.500000	86.772	7.6601
150.000000	86.838	6.9418
152.500000	86.888	6.0109
155.000000	86.904	5.0283
157.500000	86.881	3.9589
