* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Sony MDR7506 L, Sony MDR7506 L, Sony MDR7506 L
* Dated: Feb 22, 2024 5:58:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Sony MDR7506 L, Sony MDR7506 L, Sony MDR7506 L
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	67.410
20.299999	67.691
20.600000	67.961
20.900000	68.220
21.200001	68.469
21.400000	68.631
21.799999	68.948
22.000000	69.105
22.400000	69.415
22.700001	69.647
23.000000	69.877
23.299999	70.104
23.600000	70.328
24.000000	70.620
24.299999	70.832
24.700001	71.107
25.000000	71.307
25.400000	71.564
25.799999	71.811
26.200001	72.047
26.500000	72.217
26.900000	72.435
27.200001	72.593
27.600000	72.799
28.000000	72.998
28.500000	73.239
29.000000	73.471
29.500000	73.695
30.000000	73.912
30.400000	74.081
30.700001	74.207
31.100000	74.372
31.500000	74.534
32.000000	74.732
32.500000	74.926
33.000000	75.113
33.500000	75.292
34.000000	75.463
34.500000	75.625
35.000000	75.782
35.500000	75.934
36.000000	76.083
36.500000	76.226
37.000000	76.360
37.500000	76.483
38.200001	76.637
38.700001	76.736
39.500000	76.883
40.000000	76.973
40.599998	77.083
41.200001	77.196
41.799999	77.307
42.500000	77.433
43.099998	77.535
43.700001	77.629
44.400002	77.728
45.000000	77.803
45.500000	77.857
46.200001	77.917
46.799999	77.955
47.500000	77.981
48.200001	77.989
48.700001	77.985
49.400002	77.970
50.000000	77.950
50.799999	77.918
51.500000	77.887
52.200001	77.853
53.000000	77.805
53.799999	77.744
54.500000	77.676
55.200001	77.597
56.000000	77.498
57.000000	77.373
58.000000	77.264
59.000000	77.181
60.000000	77.129
60.799999	77.107
61.500000	77.101
62.200001	77.103
63.000000	77.110
64.000000	77.120
65.000000	77.122
66.000000	77.107
67.000000	77.069
68.000000	77.007
69.000000	76.929
70.000000	76.842
71.000000	76.757
72.000000	76.675
73.000000	76.591
74.000000	76.494
75.000000	76.375
76.199997	76.197
77.500000	75.966
78.800003	75.719
80.000000	75.501
81.199997	75.310
82.500000	75.148
83.800003	75.038
85.000000	74.982
86.199997	74.970
87.500000	75.005
88.500000	75.061
90.000000	75.178
91.199997	75.288
92.500000	75.412
93.800003	75.533
95.000000	75.640
96.199997	75.739
97.500000	75.831
98.800003	75.900
100.000000	75.938
101.500000	75.941
103.000000	75.890
104.400002	75.788
106.000000	75.606
107.500000	75.380
109.000000	75.123
110.599998	74.850
112.000000	74.643
113.800003	74.454
115.000000	74.380
117.199997	74.329
118.000000	74.327
120.599998	74.350
122.000000	74.367
124.099998	74.389
125.000000	74.396
126.500000	74.403
128.000000	74.402
131.500000	74.368
132.000000	74.360
134.000000	74.323
136.000000	74.280
138.000000	74.234
140.000000	74.187
143.000000	74.109
145.000000	74.048
147.500000	73.955
150.000000	73.842
152.500000	73.711
155.000000	73.567
157.500000	73.415
160.000000	73.252
162.500000	73.076
165.000000	72.889
167.500000	72.689
170.000000	72.476
172.500000	72.245
175.000000	71.996
177.500000	71.732
180.000000	71.457
182.500000	71.179
185.000000	70.906
187.500000	70.641
190.000000	70.386
192.500000	70.138
195.000000	69.894
197.500000	69.651
200.000000	69.406
203.000000	69.114
206.000000	68.830
209.000000	68.567
212.000000	68.339
214.000000	68.215
218.000000	68.051
220.000000	68.014
224.000000	68.031
