* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Sony MDR7506 R, Sony MDR7506 R, Sony MDR7506 R
* Dated: Feb 22, 2024 5:58:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Sony MDR7506 R, Sony MDR7506 R, Sony MDR7506 R
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	63.629
20.299999	63.951
20.600000	64.264
20.900000	64.567
21.200001	64.861
21.400000	65.051
21.799999	65.419
22.000000	65.597
22.400000	65.943
22.700001	66.195
23.000000	66.443
23.299999	66.686
23.600000	66.926
24.000000	67.239
24.299999	67.468
24.700001	67.767
25.000000	67.987
25.400000	68.272
25.799999	68.551
26.200001	68.823
26.500000	69.022
26.900000	69.279
27.200001	69.465
27.600000	69.707
28.000000	69.940
28.500000	70.221
29.000000	70.492
29.500000	70.751
30.000000	70.997
30.400000	71.185
30.700001	71.322
31.100000	71.500
31.500000	71.674
32.000000	71.888
32.500000	72.099
33.000000	72.305
33.500000	72.506
34.000000	72.700
34.500000	72.888
35.000000	73.070
35.500000	73.244
36.000000	73.408
36.500000	73.562
37.000000	73.709
37.500000	73.849
38.200001	74.038
38.700001	74.168
39.500000	74.366
40.000000	74.483
40.599998	74.617
41.200001	74.746
41.799999	74.870
42.500000	75.009
43.099998	75.122
43.700001	75.231
44.400002	75.349
45.000000	75.443
45.500000	75.514
46.200001	75.602
46.799999	75.667
47.500000	75.730
48.200001	75.778
48.700001	75.801
49.400002	75.815
50.000000	75.810
50.799999	75.779
51.500000	75.728
52.200001	75.659
53.000000	75.565
53.799999	75.468
54.500000	75.392
55.200001	75.333
56.000000	75.293
57.000000	75.288
58.000000	75.326
59.000000	75.387
60.000000	75.444
60.799999	75.465
61.500000	75.460
62.200001	75.430
63.000000	75.369
64.000000	75.259
65.000000	75.119
66.000000	74.962
67.000000	74.808
68.000000	74.678
69.000000	74.585
70.000000	74.519
71.000000	74.464
72.000000	74.404
73.000000	74.330
74.000000	74.245
75.000000	74.152
76.199997	74.043
77.500000	73.944
78.800003	73.872
80.000000	73.830
81.199997	73.809
82.500000	73.811
83.800003	73.838
85.000000	73.884
86.199997	73.945
87.500000	74.020
88.500000	74.079
90.000000	74.159
91.199997	74.207
92.500000	74.236
93.800003	74.241
95.000000	74.230
96.199997	74.209
97.500000	74.183
98.800003	74.155
100.000000	74.129
101.500000	74.092
103.000000	74.042
104.400002	73.976
106.000000	73.865
107.500000	73.720
109.000000	73.529
110.599998	73.280
112.000000	73.038
113.800003	72.734
115.000000	72.558
117.199997	72.331
118.000000	72.279
120.599998	72.180
122.000000	72.144
124.099998	72.083
125.000000	72.050
126.500000	71.985
128.000000	71.910
131.500000	71.713
132.000000	71.684
134.000000	71.571
136.000000	71.462
138.000000	71.357
140.000000	71.255
143.000000	71.109
145.000000	71.019
147.500000	70.918
150.000000	70.829
152.500000	70.750
155.000000	70.672
157.500000	70.588
160.000000	70.491
162.500000	70.380
165.000000	70.251
167.500000	70.103
170.000000	69.936
172.500000	69.755
175.000000	69.568
177.500000	69.383
180.000000	69.206
182.500000	69.041
185.000000	68.891
187.500000	68.753
190.000000	68.629
192.500000	68.515
195.000000	68.410
197.500000	68.314
200.000000	68.227
203.000000	68.136
206.000000	68.060
209.000000	68.000
212.000000	67.954
214.000000	67.929
218.000000	67.893
220.000000	67.881
224.000000	67.872
227.000000	67.884
230.000000	67.916
233.000000	67.972
236.000000	68.053
240.000000	68.198
243.000000	68.330
247.000000	68.526
250.000000	68.682
254.000000	68.894
258.000000	69.106
262.000000	69.313
265.000000	69.464
269.000000	69.659
272.000000	69.802
276.000000	69.989
280.000000	70.171
285.000000	70.395
290.000000	70.613
295.000000	70.820
300.000000	71.013
304.000000	71.156
307.000000	71.256
311.000000	71.381
315.000000	71.496
320.000000	71.628
325.000000	71.749
330.000000	71.861
335.000000	71.964
340.000000	72.058
345.000000	72.143
350.000000	72.218
355.000000	72.283
360.000000	72.339
365.000000	72.388
370.000000	72.430
375.000000	72.465
382.000000	72.506
387.000000	72.529
395.000000	72.559
400.000000	72.573
406.000000	72.588
412.000000	72.602
418.000000	72.614
425.000000	72.627
431.000000	72.638
437.000000	72.649
444.000000	72.662
450.000000	72.672
455.000000	72.679
462.000000	72.683
468.000000	72.684
475.000000	72.680
482.000000	72.674
487.000000	72.668
494.000000	72.660
500.000000	72.651
508.000000	72.639
515.000000	72.628
522.000000	72.616
530.000000	72.603
538.000000	72.590
545.000000	72.580
552.000000	72.570
560.000000	72.561
570.000000	72.551
580.000000	72.544
590.000000	72.537
600.000000	72.530
608.000000	72.525
615.000000	72.521
622.000000	72.517
630.000000	72.513
640.000000	72.509
650.000000	72.507
660.000000	72.505
670.000000	72.505
680.000000	72.506
690.000000	72.508
700.000000	72.512
710.000000	72.518
720.000000	72.526
730.000000	72.537
740.000000	72.550
750.000000	72.565
762.000000	72.587
775.000000	72.613
788.000000	72.639
800.000000	72.660
812.000000	72.673
825.000000	72.679
838.000000	72.674
850.000000	72.661
862.000000	72.641
875.000000	72.613
885.000000	72.590
900.000000	72.556
912.000000	72.533
925.000000	72.515
938.000000	72.506
950.000000	72.507
962.000000	72.518
975.000000	72.539
988.000000	72.568
1000.000000	72.601
1015.000000	72.647
1030.000000	72.697
1044.000000	72.746
1060.000000	72.804
1075.000000	72.860
1090.000000	72.918
1106.000000	72.982
1120.000000	73.040
1138.000000	73.119
1150.000000	73.175
1172.000000	73.292
1180.000000	73.339
1206.000000	73.519
1220.000000	73.634
1241.000000	73.829
1250.000000	73.917
1265.000000	74.065
1280.000000	74.208
1315.000000	74.498
1320.000000	74.535
1340.000000	74.674
1360.000000	74.809
1380.000000	74.947
1400.000000	75.085
1430.000000	75.291
1450.000000	75.422
1475.000000	75.579
1500.000000	75.727
1525.000000	75.871
1550.000000	76.010
1575.000000	76.147
1600.000000	76.284
1625.000000	76.421
1650.000000	76.561
1675.000000	76.705
1700.000000	76.854
1725.000000	77.009
1750.000000	77.172
1775.000000	77.345
1800.000000	77.527
1825.000000	77.719
1850.000000	77.919
1875.000000	78.124
1900.000000	78.333
1925.000000	78.544
1950.000000	78.756
1975.000000	78.968
2000.000000	79.181
2030.000000	79.436
2060.000000	79.687
2090.000000	79.931
2120.000000	80.158
2140.000000	80.295
2180.000000	80.527
2200.000000	80.621
2240.000000	80.784
2270.000000	80.904
2300.000000	81.037
2330.000000	81.192
2360.000000	81.370
2400.000000	81.646
2430.000000	81.886
2470.000000	82.246
2500.000000	82.542
2540.000000	82.960
2580.000000	83.394
2620.000000	83.835
2650.000000	84.168
2690.000000	84.610
2720.000000	84.939
2760.000000	85.370
2800.000000	85.789
2850.000000	86.290
2900.000000	86.754
2950.000000	87.170
3000.000000	87.523
3040.000000	87.744
3070.000000	87.865
3110.000000	87.962
3150.000000	87.984
3200.000000	87.935
3250.000000	87.862
3300.000000	87.806
3350.000000	87.756
3400.000000	87.676
3450.000000	87.545
3500.000000	87.360
3550.000000	87.131
3600.000000	86.872
3650.000000	86.600
3700.000000	86.338
3750.000000	86.111
3820.000000	85.893
3870.000000	85.827
3950.000000	85.878
4000.000000	85.991
4060.000000	86.181
4120.000000	86.402
4180.000000	86.624
4250.000000	86.849
4310.000000	86.983
4370.000000	87.037
4440.000000	86.980
4500.000000	86.821
4550.000000	86.617
4620.000000	86.237
4680.000000	85.848
4750.000000	85.346
4820.000000	84.820
4870.000000	84.442
4940.000000	83.926
5000.000000	83.506
5080.000000	82.993
5150.000000	82.598
5220.000000	82.258
5300.000000	81.939
5380.000000	81.690
5450.000000	81.523
5520.000000	81.398
5600.000000	81.300
5700.000000	81.237
5800.000000	81.228
5900.000000	81.261
6000.000000	81.319
6080.000000	81.373
6150.000000	81.419
6220.000000	81.459
6300.000000	81.490
6400.000000	81.501
6500.000000	81.476
6600.000000	81.415
6700.000000	81.322
6800.000000	81.199
6900.000000	81.045
7000.000000	80.852
7100.000000	80.619
7200.000000	80.350
7300.000000	80.058
7400.000000	79.768
7500.000000	79.503
7620.000000	79.247
7750.000000	79.064
7880.000000	78.984
8000.000000	79.002
8120.000000	79.123
8250.000000	79.391
8380.000000	79.805
8500.000000	80.280
8620.000000	80.774
8750.000000	81.239
8850.000000	81.488
9000.000000	81.607
9120.000000	81.443
9250.000000	80.992
9380.000000	80.279
9500.000000	79.430
9620.000000	78.458
9750.000000	77.352
9880.000000	76.300
10000.000000	75.477
10150.000000	74.775
10300.000000	74.538
10440.000000	74.754
10600.000000	75.388
10750.000000	76.127
10900.000000	76.779
11060.000000	77.216
11200.000000	77.320
11380.000000	77.068
11500.000000	76.683
11720.000000	75.607
11800.000000	75.124
12060.000000	73.364
12200.000000	72.393
12410.000000	71.078
12500.000000	70.601
12650.000000	69.941
12800.000000	69.428
13150.000000	68.521
13200.000000	68.395
13400.000000	67.825
13600.000000	67.091
13800.000000	66.130
14000.000000	64.929
14300.000000	62.798
14500.000000	61.360
14750.000000	59.855
15000.000000	58.839
15250.000000	58.201
15500.000000	57.764
15750.000000	57.504
16000.000000	57.532
16250.000000	57.961
16500.000000	58.763
16750.000000	59.706
17000.000000	60.478
17250.000000	60.863
17500.000000	60.814
17750.000000	60.434
18000.000000	59.938
18250.000000	59.585
18500.000000	59.549
18750.000000	59.804
19000.000000	60.180
19250.000000	60.505
19500.000000	60.695
19750.000000	60.761
