* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -46.3 dBFS, measurement signal peak level -42.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 16, 2024 6:45:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0226 ms (-7.7 mm, -0.3 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -51.8 ppm
* Measurement: YH5k XB500 Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	61.430	173.1001
20.299999	61.709	170.5336
20.600000	61.911	168.1721
20.900000	62.058	166.1778
21.200001	62.181	164.6096
21.400000	62.265	163.7736
21.799999	62.462	162.3906
22.000000	62.577	161.7418
22.400000	62.826	160.3743
22.700001	63.014	159.2325
23.000000	63.195	158.0233
23.299999	63.372	156.7972
23.600000	63.552	155.5815
24.000000	63.811	153.9338
24.299999	64.022	152.5963
24.700001	64.310	150.5715
25.000000	64.515	148.8636
25.400000	64.756	146.4235
25.799999	64.955	143.9826
26.200001	65.127	141.7143
26.500000	65.251	140.1698
26.900000	65.427	138.2808
27.200001	65.572	136.9304
27.600000	65.777	135.1093
28.000000	65.982	133.1863
28.500000	66.206	130.6299
29.000000	66.374	128.0737
29.500000	66.490	125.7640
30.000000	66.594	123.8417
30.400000	66.698	122.5153
30.700001	66.795	121.5449
31.100000	66.944	120.1537
31.500000	67.098	118.5563
32.000000	67.264	116.2755
32.500000	67.378	113.8395
33.000000	67.441	111.4636
33.500000	67.466	109.2634
34.000000	67.467	107.2444
34.500000	67.442	105.3855
35.000000	67.380	103.7509
35.500000	67.280	102.5182
36.000000	67.168	101.8880
36.500000	67.096	101.9037
37.000000	67.118	102.3387
37.500000	67.254	102.7987
38.200001	67.583	102.8807
38.700001	67.861	102.3866
39.500000	68.310	100.7538
40.000000	68.571	99.3279
40.599998	68.850	97.3701
41.200001	69.092	95.3162
41.799999	69.305	93.2750
42.500000	69.519	90.9535
43.099998	69.667	89.0645
43.700001	69.784	87.3407
44.400002	69.893	85.5731
45.000000	69.975	84.2278
45.500000	70.041	83.1672
46.200001	70.132	81.6418
46.799999	70.198	80.1888
47.500000	70.241	78.3449
48.200001	70.248	76.5219
48.700001	70.247	75.2939
49.400002	70.256	73.6181
50.000000	70.268	72.1661
50.799999	70.278	70.2705
51.500000	70.281	68.7559
52.200001	70.286	67.3988
53.000000	70.298	65.9879
53.799999	70.312	64.6410
54.500000	70.324	63.4585
55.200001	70.336	62.2507
56.000000	70.361	60.7943
57.000000	70.428	58.7133
58.000000	70.524	56.0808
59.000000	70.538	53.0118
60.000000	70.416	50.9091
60.799999	70.361	50.5414
61.500000	70.432	50.6117
62.200001	70.572	50.4420
63.000000	70.724	49.7991
64.000000	70.829	48.6830
65.000000	70.844	47.5726
66.000000	70.812	46.5366
67.000000	70.769	45.4393
68.000000	70.729	44.1592
69.000000	70.690	42.7175
70.000000	70.649	41.2723
71.000000	70.615	39.9702
72.000000	70.595	38.8173
73.000000	70.580	37.7601
74.000000	70.558	36.7741
75.000000	70.527	35.8615
76.199997	70.488	34.8379
77.500000	70.455	33.7316
78.800003	70.431	32.6167
80.000000	70.416	31.6376
81.199997	70.407	30.7054
82.500000	70.395	29.7105
83.800003	70.370	28.7116
85.000000	70.335	27.7689
86.199997	70.292	26.7844
87.500000	70.242	25.6813
88.500000	70.206	24.8248
90.000000	70.161	23.5322
91.199997	70.126	22.4944
92.500000	70.077	21.4200
93.800003	70.014	20.4847
95.000000	69.948	19.7784
96.199997	69.882	19.1865
97.500000	69.809	18.6099
98.800003	69.735	18.0718
100.000000	69.667	17.5983
101.500000	69.591	16.9905
103.000000	69.520	16.3243
104.400002	69.447	15.7425
106.000000	69.366	15.2930
107.500000	69.311	15.0392
109.000000	69.271	14.7530
110.599998	69.225	14.2971
112.000000	69.175	13.8463
113.800003	69.124	13.4042
115.000000	69.114	13.2623
117.199997	69.153	13.2484
118.000000	69.178	13.2329
120.599998	69.189	12.4941
122.000000	69.100	11.7477
124.099998	68.904	10.7397
125.000000	68.828	10.3929
126.500000	68.726	9.9198
128.000000	68.648	9.5616
131.500000	68.482	8.9786
132.000000	68.460	8.9103
134.000000	68.391	8.6776
136.000000	68.359	8.5102
138.000000	68.340	8.3505
140.000000	68.306	8.0240
143.000000	68.216	7.0876
145.000000	68.165	6.4760
147.500000	68.115	5.9946
150.000000	68.037	5.8496
152.500000	67.944	5.7762
155.000000	67.883	5.4956
157.500000	67.848	5.0660
160.000000	67.807	4.7098
162.500000	67.745	4.4425
165.000000	67.664	4.3041
167.500000	67.595	4.3134
170.000000	67.556	4.2941
172.500000	67.535	4.1408
175.000000	67.530	3.9697
177.500000	67.548	3.8749
180.000000	67.565	3.7634
182.500000	67.506	3.5382
185.000000	67.332	3.4060
187.500000	67.123	3.4477
190.000000	66.992	3.3965
192.500000	66.959	3.2039
195.000000	66.979	3.0845
197.500000	67.001	3.0786
200.000000	67.001	3.0688
203.000000	66.983	2.9669
206.000000	66.967	2.8054
209.000000	66.949	2.6311
212.000000	66.922	2.4418
214.000000	66.897	2.3156
218.000000	66.841	2.1091
220.000000	66.809	2.0093
224.000000	66.738	1.7513
227.000000	66.686	1.5767
230.000000	66.635	1.5140
233.000000	66.578	1.5513
236.000000	66.516	1.6047
240.000000	66.440	1.5849
243.000000	66.391	1.5118
247.000000	66.330	1.4504
250.000000	66.282	1.4670
254.000000	66.210	1.5315
258.000000	66.135	1.5959
262.000000	66.072	1.6558
265.000000	66.034	1.7183
269.000000	65.988	1.8600
272.000000	65.953	1.9851
276.000000	65.906	2.0947
280.000000	65.852	2.1216
285.000000	65.768	2.1721
290.000000	65.667	2.3728
295.000000	65.556	2.7039
300.000000	65.461	3.0900
304.000000	65.425	3.4614
307.000000	65.424	3.7521
311.000000	65.438	4.0915
315.000000	65.451	4.3141
320.000000	65.440	4.3891
325.000000	65.388	4.3658
330.000000	65.302	4.4302
335.000000	65.208	4.6591
340.000000	65.131	5.0359
345.000000	65.076	5.4480
350.000000	65.028	5.8126
355.000000	64.974	6.1660
360.000000	64.915	6.5388
365.000000	64.853	6.9028
370.000000	64.794	7.2906
375.000000	64.744	7.7538
382.000000	64.690	8.4601
387.000000	64.657	8.9434
395.000000	64.603	9.6689
400.000000	64.563	10.1260
406.000000	64.513	10.7383
412.000000	64.467	11.4763
418.000000	64.429	12.2715
425.000000	64.394	13.0592
431.000000	64.375	13.6476
437.000000	64.362	14.2585
444.000000	64.347	15.0140
