* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of YH5k Perf Leather Pads, YH5k Perf Leather Pads, YH5k Perf Leather Pads, YH5k Perf Leather Pads, YH5k Perf Leather Pads
* Dated: Feb 16, 2024 5:29:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of YH5k Perf Leather Pads, YH5k Perf Leather Pads, YH5k Perf Leather Pads, YH5k Perf Leather Pads, YH5k Perf Leather Pads
* Measurement: RMS Average Perf Leath Pad
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	63.419
20.299999	63.676
20.600000	63.921
20.900000	64.159
21.200001	64.394
21.400000	64.549
21.799999	64.855
22.000000	65.006
22.400000	65.301
22.700001	65.515
23.000000	65.724
23.299999	65.927
23.600000	66.123
24.000000	66.374
24.299999	66.555
24.700001	66.790
25.000000	66.963
25.400000	67.191
25.799999	67.415
26.200001	67.634
26.500000	67.792
26.900000	67.996
27.200001	68.143
27.600000	68.330
28.000000	68.509
28.500000	68.725
29.000000	68.936
29.500000	69.142
30.000000	69.339
30.400000	69.486
30.700001	69.588
31.100000	69.720
31.500000	69.853
32.000000	70.034
32.500000	70.232
33.000000	70.429
33.500000	70.606
34.000000	70.757
34.500000	70.890
35.000000	71.016
35.500000	71.143
36.000000	71.269
36.500000	71.391
37.000000	71.507
37.500000	71.617
38.200001	71.763
38.700001	71.862
39.500000	72.015
40.000000	72.109
40.599998	72.216
41.200001	72.317
41.799999	72.415
42.500000	72.529
43.099998	72.626
43.700001	72.719
44.400002	72.824
45.000000	72.911
45.500000	72.979
46.200001	73.064
46.799999	73.126
47.500000	73.191
48.200001	73.258
48.700001	73.311
49.400002	73.391
50.000000	73.462
50.799999	73.561
51.500000	73.654
52.200001	73.752
53.000000	73.861
53.799999	73.957
54.500000	74.025
55.200001	74.079
56.000000	74.125
57.000000	74.173
58.000000	74.211
59.000000	74.235
60.000000	74.267
60.799999	74.315
61.500000	74.367
62.200001	74.416
63.000000	74.462
64.000000	74.509
65.000000	74.548
66.000000	74.580
67.000000	74.607
68.000000	74.628
69.000000	74.645
70.000000	74.659
71.000000	74.673
72.000000	74.687
73.000000	74.701
74.000000	74.713
75.000000	74.722
76.199997	74.727
77.500000	74.729
78.800003	74.729
80.000000	74.730
81.199997	74.729
82.500000	74.725
83.800003	74.715
85.000000	74.704
86.199997	74.694
87.500000	74.681
88.500000	74.669
90.000000	74.647
91.199997	74.626
92.500000	74.600
93.800003	74.570
95.000000	74.537
96.199997	74.496
97.500000	74.446
98.800003	74.395
100.000000	74.351
101.500000	74.301
103.000000	74.256
104.400002	74.217
106.000000	74.172
107.500000	74.132
109.000000	74.097
110.599998	74.067
112.000000	74.045
113.800003	74.019
115.000000	74.000
117.199997	73.952
118.000000	73.932
120.599998	73.862
122.000000	73.822
124.099998	73.763
125.000000	73.740
126.500000	73.704
128.000000	73.669
131.500000	73.586
132.000000	73.574
134.000000	73.524
136.000000	73.477
138.000000	73.432
140.000000	73.388
143.000000	73.317
145.000000	73.270
147.500000	73.214
150.000000	73.160
152.500000	73.103
155.000000	73.041
157.500000	72.978
160.000000	72.917
162.500000	72.853
165.000000	72.786
167.500000	72.721
170.000000	72.657
172.500000	72.593
175.000000	72.526
177.500000	72.461
180.000000	72.397
182.500000	72.333
185.000000	72.267
187.500000	72.201
190.000000	72.133
192.500000	72.064
195.000000	71.994
197.500000	71.925
200.000000	71.857
203.000000	71.777
206.000000	71.697
209.000000	71.618
212.000000	71.539
214.000000	71.487
218.000000	71.381
220.000000	71.327
224.000000	71.222
227.000000	71.153
230.000000	71.095
233.000000	71.050
236.000000	71.020
240.000000	71.003
243.000000	71.008
247.000000	71.040
250.000000	71.084
254.000000	71.165
258.000000	71.266
262.000000	71.381
265.000000	71.472
269.000000	71.593
272.000000	71.681
276.000000	71.787
280.000000	71.877
285.000000	71.963
290.000000	72.022
295.000000	72.062
300.000000	72.084
304.000000	72.093
307.000000	72.099
311.000000	72.107
315.000000	72.118
320.000000	72.133
325.000000	72.143
330.000000	72.129
335.000000	72.088
340.000000	72.039
345.000000	72.006
350.000000	71.995
355.000000	71.999
360.000000	72.011
365.000000	72.027
370.000000	72.043
375.000000	72.058
382.000000	72.079
387.000000	72.092
395.000000	72.099
400.000000	72.093
406.000000	72.077
412.000000	72.057
418.000000	72.037
425.000000	72.017
431.000000	72.005
437.000000	72.000
444.000000	72.000
450.000000	72.002
455.000000	72.004
462.000000	72.008
468.000000	72.008
475.000000	72.003
482.000000	71.996
487.000000	71.993
494.000000	71.990
500.000000	71.987
508.000000	71.982
515.000000	71.984
522.000000	71.994
530.000000	72.016
538.000000	72.044
545.000000	72.068
552.000000	72.090
560.000000	72.119
570.000000	72.172
580.000000	72.240
590.000000	72.308
600.000000	72.367
608.000000	72.409
615.000000	72.444
622.000000	72.472
630.000000	72.493
640.000000	72.503
650.000000	72.500
660.000000	72.492
670.000000	72.494
680.000000	72.515
690.000000	72.563
700.000000	72.646
710.000000	72.766
720.000000	72.909
730.000000	73.059
740.000000	73.202
750.000000	73.333
762.000000	73.477
775.000000	73.623
788.000000	73.756
800.000000	73.859
812.000000	73.949
825.000000	74.044
838.000000	74.148
850.000000	74.245
862.000000	74.338
875.000000	74.433
885.000000	74.499
900.000000	74.575
912.000000	74.608
925.000000	74.623
938.000000	74.628
950.000000	74.638
962.000000	74.668
975.000000	74.737
988.000000	74.860
1000.000000	75.041
1015.000000	75.387
1030.000000	75.861
1044.000000	76.375
1060.000000	76.971
1075.000000	77.481
1090.000000	77.912
1106.000000	78.281
1120.000000	78.544
1138.000000	78.837
1150.000000	79.013
1172.000000	79.295
1180.000000	79.380
1206.000000	79.564
1220.000000	79.609
1241.000000	79.665
1250.000000	79.698
1265.000000	79.770
1280.000000	79.859
1315.000000	80.116
1320.000000	80.157
1340.000000	80.333
1360.000000	80.506
1380.000000	80.663
1400.000000	80.778
1430.000000	80.796
1450.000000	80.614
1475.000000	80.016
1500.000000	78.882
1525.000000	77.298
1550.000000	75.683
1575.000000	74.599
1600.000000	74.275
1625.000000	74.480
1650.000000	74.895
1675.000000	75.311
1700.000000	75.635
1725.000000	75.841
1750.000000	75.966
1775.000000	76.100
1800.000000	76.310
1825.000000	76.614
1850.000000	77.011
1875.000000	77.480
1900.000000	77.955
1925.000000	78.343
1950.000000	78.552
1975.000000	78.494
2000.000000	78.096
2030.000000	77.101
2060.000000	75.526
2090.000000	73.476
2120.000000	71.267
2140.000000	69.997
2180.000000	68.790
2200.000000	68.885
2240.000000	69.787
2270.000000	70.696
2300.000000	71.654
2330.000000	72.594
2360.000000	73.454
2400.000000	74.407
2430.000000	74.947
2470.000000	75.356
2500.000000	75.362
2540.000000	74.884
2580.000000	73.820
2620.000000	72.337
2650.000000	71.180
2690.000000	69.933
2720.000000	69.353
2760.000000	69.042
2800.000000	69.120
2850.000000	69.434
2900.000000	69.691
2950.000000	69.995
3000.000000	70.604
3040.000000	71.248
3070.000000	71.723
3110.000000	72.307
3150.000000	72.946
3200.000000	74.076
3250.000000	75.557
3300.000000	76.973
3350.000000	77.944
3400.000000	78.389
3450.000000	78.451
3500.000000	78.321
3550.000000	78.118
3600.000000	77.878
3650.000000	77.607
3700.000000	77.328
3750.000000	77.063
3820.000000	76.760
3870.000000	76.635
3950.000000	76.706
4000.000000	76.996
4060.000000	77.637
4120.000000	78.505
4180.000000	79.393
4250.000000	80.259
4310.000000	80.837
4370.000000	81.296
4440.000000	81.701
4500.000000	81.907
4550.000000	81.951
4620.000000	81.778
4680.000000	81.393
