* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of YH5k Velour Pads, YH5k Velour Pads, YH5k Velour Pads, YH5k Velour Pads, YH5k Velour Pads, Vector average
* Dated: Feb 16, 2024 5:26:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of YH5k Velour Pads, YH5k Velour Pads, YH5k Velour Pads, YH5k Velour Pads, YH5k Velour Pads, Vector average
* Measurement: RMS Average Velour Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	64.684
20.299999	64.935
20.600000	65.180
20.900000	65.417
21.200001	65.648
21.400000	65.798
21.799999	66.095
22.000000	66.241
22.400000	66.529
22.700001	66.738
23.000000	66.938
23.299999	67.129
23.600000	67.310
24.000000	67.542
24.299999	67.711
24.700001	67.935
25.000000	68.102
25.400000	68.324
25.799999	68.540
26.200001	68.748
26.500000	68.897
26.900000	69.089
27.200001	69.230
27.600000	69.415
28.000000	69.597
28.500000	69.821
29.000000	70.034
29.500000	70.235
30.000000	70.426
30.400000	70.574
30.700001	70.683
31.100000	70.826
31.500000	70.964
32.000000	71.130
32.500000	71.290
33.000000	71.443
33.500000	71.590
34.000000	71.733
34.500000	71.872
35.000000	72.007
35.500000	72.136
36.000000	72.258
36.500000	72.372
37.000000	72.479
37.500000	72.582
38.200001	72.722
38.700001	72.819
39.500000	72.967
40.000000	73.054
40.599998	73.152
41.200001	73.245
41.799999	73.334
42.500000	73.430
43.099998	73.508
43.700001	73.581
44.400002	73.663
45.000000	73.727
45.500000	73.777
46.200001	73.844
46.799999	73.899
47.500000	73.960
48.200001	74.021
48.700001	74.067
49.400002	74.138
50.000000	74.206
50.799999	74.303
51.500000	74.390
52.200001	74.473
53.000000	74.554
53.799999	74.625
54.500000	74.686
55.200001	74.747
56.000000	74.816
57.000000	74.904
58.000000	75.002
59.000000	75.087
60.000000	75.128
60.799999	75.149
61.500000	75.180
62.200001	75.223
63.000000	75.274
64.000000	75.324
65.000000	75.357
66.000000	75.381
67.000000	75.399
68.000000	75.413
69.000000	75.426
70.000000	75.440
71.000000	75.454
72.000000	75.468
73.000000	75.480
74.000000	75.491
75.000000	75.501
76.199997	75.511
77.500000	75.520
78.800003	75.529
80.000000	75.537
81.199997	75.542
82.500000	75.542
83.800003	75.534
85.000000	75.523
86.199997	75.512
87.500000	75.500
88.500000	75.490
90.000000	75.471
91.199997	75.453
92.500000	75.430
93.800003	75.403
95.000000	75.376
96.199997	75.346
97.500000	75.311
98.800003	75.271
100.000000	75.230
101.500000	75.175
103.000000	75.120
104.400002	75.074
106.000000	75.033
107.500000	75.006
109.000000	74.985
110.599998	74.963
112.000000	74.943
113.800003	74.910
115.000000	74.882
117.199997	74.822
118.000000	74.800
120.599998	74.745
122.000000	74.721
124.099998	74.683
125.000000	74.669
126.500000	74.647
128.000000	74.625
131.500000	74.560
132.000000	74.549
134.000000	74.505
136.000000	74.463
138.000000	74.425
140.000000	74.389
143.000000	74.327
145.000000	74.282
147.500000	74.227
150.000000	74.178
152.500000	74.130
155.000000	74.077
157.500000	74.021
160.000000	73.967
162.500000	73.913
165.000000	73.857
167.500000	73.801
170.000000	73.744
172.500000	73.685
175.000000	73.624
177.500000	73.564
180.000000	73.504
182.500000	73.444
185.000000	73.383
187.500000	73.322
190.000000	73.260
192.500000	73.197
195.000000	73.133
197.500000	73.069
200.000000	73.007
203.000000	72.931
206.000000	72.855
209.000000	72.776
212.000000	72.696
214.000000	72.642
218.000000	72.533
220.000000	72.480
224.000000	72.379
227.000000	72.308
230.000000	72.243
233.000000	72.188
236.000000	72.147
240.000000	72.115
243.000000	72.113
247.000000	72.139
250.000000	72.177
254.000000	72.248
258.000000	72.339
262.000000	72.443
265.000000	72.529
269.000000	72.647
272.000000	72.735
276.000000	72.843
280.000000	72.935
285.000000	73.026
290.000000	73.093
295.000000	73.141
300.000000	73.175
304.000000	73.196
307.000000	73.208
311.000000	73.222
315.000000	73.233
320.000000	73.237
325.000000	73.220
330.000000	73.177
335.000000	73.127
340.000000	73.088
345.000000	73.069
350.000000	73.068
355.000000	73.079
360.000000	73.097
365.000000	73.119
370.000000	73.143
375.000000	73.167
382.000000	73.200
387.000000	73.218
395.000000	73.233
400.000000	73.231
406.000000	73.219
412.000000	73.201
418.000000	73.183
425.000000	73.165
431.000000	73.155
437.000000	73.149
444.000000	73.145
450.000000	73.144
455.000000	73.144
462.000000	73.144
468.000000	73.138
475.000000	73.123
482.000000	73.103
487.000000	73.089
494.000000	73.071
500.000000	73.055
508.000000	73.036
515.000000	73.029
522.000000	73.033
530.000000	73.050
538.000000	73.069
545.000000	73.083
552.000000	73.097
560.000000	73.119
570.000000	73.159
580.000000	73.209
590.000000	73.255
600.000000	73.292
608.000000	73.315
615.000000	73.330
622.000000	73.336
630.000000	73.330
640.000000	73.306
650.000000	73.269
660.000000	73.226
670.000000	73.186
680.000000	73.152
690.000000	73.141
700.000000	73.170
710.000000	73.247
720.000000	73.364
730.000000	73.501
740.000000	73.637
750.000000	73.759
762.000000	73.881
775.000000	73.988
788.000000	74.069
800.000000	74.116
812.000000	74.141
825.000000	74.152
838.000000	74.151
850.000000	74.148
862.000000	74.150
875.000000	74.150
885.000000	74.139
900.000000	74.089
912.000000	74.024
925.000000	73.944
938.000000	73.871
950.000000	73.818
962.000000	73.780
975.000000	73.765
988.000000	73.791
1000.000000	73.884
1015.000000	74.139
1030.000000	74.562
1044.000000	75.058
1060.000000	75.641
1075.000000	76.122
1090.000000	76.502
1106.000000	76.799
1120.000000	76.993
1138.000000	77.188
1150.000000	77.292
1172.000000	77.434
1180.000000	77.469
1206.000000	77.513
1220.000000	77.509
1241.000000	77.526
1250.000000	77.550
1265.000000	77.609
1280.000000	77.685
1315.000000	77.905
1320.000000	77.940
1340.000000	78.082
1360.000000	78.213
1380.000000	78.330
1400.000000	78.423
1430.000000	78.473
1450.000000	78.363
1475.000000	77.909
1500.000000	76.956
1525.000000	75.535
1550.000000	73.952
1575.000000	72.744
1600.000000	72.280
1625.000000	72.442
1650.000000	72.897
1675.000000	73.411
1700.000000	73.875
1725.000000	74.239
1750.000000	74.516
1775.000000	74.770
1800.000000	75.066
1825.000000	75.437
1850.000000	75.897
1875.000000	76.432
1900.000000	76.983
1925.000000	77.473
1950.000000	77.817
1975.000000	77.931
2000.000000	77.741
2030.000000	77.021
2060.000000	75.713
2090.000000	73.870
2120.000000	71.727
2140.000000	70.377
2180.000000	68.790
2200.000000	68.739
2240.000000	69.566
2270.000000	70.494
2300.000000	71.461
2330.000000	72.390
2360.000000	73.236
2400.000000	74.215
2430.000000	74.834
2470.000000	75.453
2500.000000	75.693
2540.000000	75.587
2580.000000	74.887
2620.000000	73.644
2650.000000	72.524
2690.000000	71.142
2720.000000	70.408
2760.000000	69.936
2800.000000	69.928
2850.000000	70.232
2900.000000	70.526
2950.000000	70.770
3000.000000	71.214
3040.000000	71.742
3070.000000	72.154
3110.000000	72.649
3150.000000	73.111
3200.000000	73.865
3250.000000	75.004
3300.000000	76.321
3350.000000	77.381
3400.000000	77.947
3450.000000	78.064
3500.000000	77.913
3550.000000	77.654
3600.000000	77.358
3650.000000	77.046
3700.000000	76.733
3750.000000	76.441
3820.000000	76.085
3870.000000	75.880
3950.000000	75.722
4000.000000	75.822
4060.000000	76.257
4120.000000	77.026
4180.000000	77.919
4250.000000	78.813
4310.000000	79.372
4370.000000	79.789
4440.000000	80.173
4500.000000	80.435
4550.000000	80.584
4620.000000	80.635
4680.000000	80.502
4750.000000	80.122
4820.000000	79.479
4870.000000	78.848
4940.000000	77.720
5000.000000	76.545
5080.000000	74.797
5150.000000	73.309
5220.000000	72.092
5300.000000	71.248
5380.000000	71.093
5450.000000	71.446
5520.000000	72.085
5600.000000	72.954
5700.000000	73.995
5800.000000	74.848
5900.000000	75.500
6000.000000	75.931
6080.000000	76.090
6150.000000	76.099
6220.000000	76.009
6300.000000	75.828
6400.000000	75.562
6500.000000	75.336
6600.000000	75.220
6700.000000	75.233
6800.000000	75.336
6900.000000	75.470
7000.000000	75.587
7100.000000	75.649
7200.000000	75.623
7300.000000	75.476
7400.000000	75.185
7500.000000	74.745
7620.000000	74.071
7750.000000	73.321
7880.000000	72.786
8000.000000	72.650
8120.000000	72.930
8250.000000	73.728
8380.000000	74.993
8500.000000	76.378
8620.000000	77.647
8750.000000	78.531
8850.000000	78.720
9000.000000	78.170
9120.000000	77.091
9250.000000	75.442
9380.000000	73.510
9500.000000	71.656
9620.000000	69.849
9750.000000	68.014
9880.000000	66.415
10000.000000	65.368
10150.000000	64.982
10300.000000	65.551
10440.000000	66.452
10600.000000	67.405
10750.000000	67.977
10900.000000	68.176
11060.000000	68.078
11200.000000	67.900
11380.000000	67.847
11500.000000	68.091
